"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Dispersal to or from an African biodiversity hotspot","https://scispace.com/paper/dispersal-to-or-from-an-african-biodiversity-hotspot-11v619fdks","2009","Journal Article","Molecular Ecology","David C. Blackburn
G. J. Measey","10.1111/J.1365-294X.2009.04156.X","","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution.","Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution, and is compared with contrasting hypotheses of latitudinal range expansion using bayes factors."
"Biogeographical Importance of the Livingstone Mountains in Southern Tanzania: Comparative Genetic Structure of Small Non-volant Mammals","https://scispace.com/paper/biogeographical-importance-of-the-livingstone-mountains-in-3poohbt0","2022","Journal Article","Frontiers in Ecology and Evolution","Laura N Cuypers
Christopher A. Sabuni
Radim Šumbera
Tatiana Aghová
Edita Lišková
Herwig Leirs
Stuart J. E. Baird
Joëlle Goüy de Bellocq
Josef Bryja","10.3389/fevo.2021.742851","https://scispace.com/pdf/biogeographical-importance-of-the-livingstone-mountains-in-3poohbt0.pdf","The Livingstone Mountains (LM; also known as the Kipengere Range) found in south-western Tanzania at the northern end of Lake Nyasa are an important region for understanding the biogeography of Eastern Africa. The two branches of the East African Rift Valley meet here and the mountains might represent stepping stones for colonization and migration between different parts of the Eastern Afromontane Biodiversity Hotspot (especially the link between the Eastern Arc Mountains, EAM, and the Southern Rift Mountains, SRM), as well as an efficient barrier to gene flow for taxa living in drier savannahs in lower elevations. Here we combine new mitochondrial sequence data from 610 recently sampled rodents and shrews with available georeferenced genetic data (3538 specimens) from southern Tanzania, northern Malawi/Zambia and northern Mozambique and compare the spatial genetic structure among different taxa. There is no universal phylogeographic pattern in taxa preferring humid montane habitats. For some of them, the Makambako Gap acts as a barrier between the SRM and the EAM, but other taxa can bridge this gap. Barriers within the EAM (frequently) and within the SRM (sometimes) appear more important. The Rukwa rift between the SRM and the ARM is an important barrier that perhaps can only be crossed by taxa that are not that strictly tied to humid montane environments. For mammals living in lower-elevation savannah-like habitats, the LM can act as a strict barrier to gene flow, and together with the Ufipa Plateau, Lake Nyasa and the EAM create a very similar phylogeographic pattern with three recognizable genetic groups in most savannah-dwellers. The Livingstone Mountains thus appear to be one of the most important biogeographic crossroads in Eastern Africa.","The Livingstone Mountains (LM; also known as the Kipengere Range) found in south-western Tanzania at the northern end of Lake Nyasa are an important region for understanding the biogeography of Eastern Africa as discussed by the authors ."
"Phylogeny, phylogeography, and geographic variation of Sylvisorex howelli (Soricidae), an endemic shrew of the Eastern Arc Mountains, Tanzania","https://scispace.com/paper/phylogeny-phylogeography-and-geographic-variation-of-1tx2ynukhv","2005","Journal Article","Journal of Zoology","William T. Stanley
Link E. Olson","10.1017/S0952836905007016","","The Eastern Arc Mountains of eastern Africa are notable for the high levels of endemism exhibited by various forest-dwelling organisms of this ancient montane archipelago. There has been virtually no assessment of the variation among populations of small mammal species living on these unique mountains, but recent faunal surveys have produced sufficient material to initiate such studies. Cranial morphometric and DNA sequence data were examined from six populations of Sylvisorex howelli Jenkins, 1984, an endemic shrew found in several different massifs of the Eastern Arc Mountains, to assess variation across the archipelago in the context of various hypotheses of historical biogeography. Twenty-two cranial measurements were analysed using principal components analysis. Age classes (based on tooth wear) and sex had little effect on the variation exhibited by the variables studied. Overall, specimens of S. howelli from the East Usambara Mountains are smaller than specimens from other known populations. The mitochondrial ND2 and 12S rRNA genes from representatives of each montane population of S. howelli in addition to several crocidurine taxa from eastern Africa and three soricine outgroup species were sequenced to assess phylogenetic relationships among these taxa. Neither maximum likelihood, maximum parsimony, nor Bayesian analyses support monophyly of the genus Sylvisorex, but S. howelli populations were consistently recovered as a well-supported clade. Over 40 individuals of S. howelli from six disjunct montane ranges, comprising the entire known distribution of the species, were sequenced for 504 base pairs of ND2 to investigate phylogeographic patterns. Phylogenetic analysis recovered six reciprocally monophyletic haplotype clades grouped by locality. Branch lengths are consistent with relatively long periods of isolation among populations from the Uluguru, Ukaguru, Nguru, Nguu, East Usambara and West Usambara Mountains, with low levels of diversity observed within each population. These results are interpreted within the historical context of the Eastern Arc Mountains.","Neither maximum likelihood, maximum parsimony, nor Bayesian analyses support monophyly of the genus Sylvisorex, but S. howelli populations were consistently recovered as a well-supported clade, and specimens from the East Usambara Mountains are smaller than specimens from other known populations."
"Diversification in a biodiversity hot spot: landscape correlates of phylogeographic patterns in the African spotted reed frog","https://scispace.com/paper/diversification-in-a-biodiversity-hot-spot-landscape-tghiifkxid","2013","Journal Article","Molecular Ecology","Lucinda P. Lawson
Lucinda P. Lawson","10.1111/MEC.12229","","The Eastern Afromontane Biodiversity Hotspot is known for microendemism and exceptional population genetic structure. The region's landscape heterogeneity is thought to limit gene flow between fragmented populations and create opportunities for regional adaptation, but the processes involved are poorly understood. Using a combination of phylogeographic analyses and circuit theory, I investigate how characteristics of landscape heterogeneity including regional distributions of slope, rivers and streams, habitat and hydrological basins (drainages) impact genetic distance among populations of the endemic spotted reed frog (Hyperolius substriatus), identifying corridors of connectivity as well as barriers to dispersal. Results show that genetic distance among populations is most strongly correlated to regional and local hydrologic structure and the distribution of suitable habitat corridors, not isolation by distance. Contrary to expectations, phylogeographic structure is not coincident with the two montane systems, but instead corresponds to the split between the region's two major hydrological basins (Zambezi and East Central Coastal). This results in a paraphyletic relationship for the Malawian Highlands populations with respect to the Eastern Arc Mountains and implies that the northern Malawian Highlands are the diversity centre for H. substriatus. Although the Malawian Highlands collectively hold the greatest genetic diversity, individual populations have lower diversity than their Eastern Arc counterparts, with an overall pattern of decreasing population diversity from north to south. Through the study of intraspecific differentiation across a mosaic of ecosystem and geographic heterogeneity, we gain insight into the processes of diversification and a broader understanding of the role of landscape in evolution.","This work investigates how characteristics of landscape heterogeneity including regional distributions of slope, rivers and streams, habitat and hydrological basins (drainages) impact genetic distance among populations of the endemic spotted reed frog (Hyperolius substriatus), identifying corridors of connectivity as well as barriers to dispersal."
"Biogeographic implications of small mammals from Northern Highlands in Tanzania with first data from the volcanic Mount Kitumbeine","https://scispace.com/paper/biogeographic-implications-of-small-mammals-from-northern-33pm7hcskh","2018","Journal Article","Mammalia","Christopher A. Sabuni
Tatiana Aghová
Anna Bryjová
Radim Šumbera
Josef Bryja","10.1515/MAMMALIA-2017-0069","","Small terrestrial mammals and their biogeographical affinities were studied on Mount Kitumbeine, one of the little known volcanoes in the Gregory Rift Valley (northern Tanzania). In June, 2015, a total of 10 species, two insectivores and eight rodents, were recorded during a short-time sampling in two high altitude habitats. Taxonomic identification was based on genetic data allowing zoogeographic interpretations. For most of the taxa, there was a clear link with fauna of the northern part of the Eastern Arc Mountains, but there were also species with their core distributions in the Albertine Rift Mountains (Crocidura montis) as well as taxa endemic to the volcanic Northern Highlands (e.g. Hanang or Ngorongoro), such as Lophuromys makundi and probably Otomys angoniensis. Comparison of genotyped small mammals from Kitumbeine and neighboring hills with previously collected data revealed the first genetically confirmed Tanzanian records of two species (C. montis and Lophuromys stanleyi) and one species (Lophuromys sabunii) is reported for the first time from Zambia. The present study thus showed that, even in such well-studied areas like northern Tanzania, a basic faunistic survey of mammals can still bring interesting results stressing the need to study biota in small and poorly known areas.","The present study showed that, even in such well-studied areas like northern Tanzania, a basic faunistic survey of mammals can still bring interesting results stressing the need to study biota in small and poorly known areas."
"Small Mammals of the Eastern Arc Mountains, Tanzania","https://scispace.com/paper/small-mammals-of-the-eastern-arc-mountains-tanzania-18f5q81qhy","1998","Journal Article","Journal of East African Natural History","William T. Stanley
Philip M. Kihaule
Kim M. Howell
Rainer Hutterer","10.2982/0012-8317(1998)87[91:SMOTEA]2.0.CO;2","https://bioone.org/journals/Journal-of-East-African-Natural-History/volume-87/issue-1/0012-8317(1998)87[91:SMOTEA]2.0.CO;2/Small-Mammals-of-the-Eastern-Arc-Mountains-Tanzania/10.2982/0012-8317(1998)87[91:SMOTEA]2.0.CO;2.pdf","The Eastern Arc Mountains (EAM) contain some of the most biologically diverse and endemic-rich montane ecosystems in all of Africa. Because of the staggering degree of biodiversity, how little we know about the biota of the EAM and the rapid degradation of the remaining montane forests of these mountains, we are studying the natural history and biogeography of the small mammals (shrews and rodents) of this archipelago. We are also interested in specific questions such as the effects of forest fragmentation on and elevational distribution of EAM small mammals. To date we have surveyed the South Pare, East Usambara, West Usambara, Nguru, Uluguru and Udzungwa Mountains. We have documented a rodent fauna that is widespread across the archipelago, although restricted to montane and submontane habitats. Shrew species are much more patchy in distribution with each EAM or subset of mountains holding at least one seemingly endemic species, suggesting that speciation has contributed to the current pattern ...","The Eastern Arc Mountains (EAM) contain some of the most biologically diverse and endemic-rich montane ecosystems in all of Africa as mentioned in this paper, and the authors of this paper are interested in specific questions such as the effects of forest fragmentation on and elevational distribution of EAM small mammals."
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","https://scispace.com/pdf/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp.pdf","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest.","The importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest, are highlighted."
"Mammals Inventory of the Kihansi River Gorge in Udzungwa Mountains, Tanzania","https://scispace.com/paper/mammals-inventory-of-the-kihansi-river-gorge-in-udzungwa-m48p40lonyno","2019","Journal Article","Tanzania Journal of Science","Dennis K. Ikanda
Samuel N. Mtoka
Mustafa Hassanali
Anna Mshanga","10.65085/2507-7961.1674","","The Kihansi gorge montane forest in Udzungwa Mountains forms part of the Eastern Arc Mountains (EAM) which contain some of the most biologically diverse and endemic montane ecosystems in all of Africa. The Kihansi river gorge was opened up for hydroelectric development in the late 1990s, attracting hundreds of farming communities whose activities lead to environmental degradation and hence presumed biodiversity loss in the montane forest which is not understood. Using camera traps, an inventory of mammals of the area was conducted for 24 consecutive days. About 14 mammal species were photo captured, indicating diverse assemblage of large and medium size mammals, including the bushbuck, bush pig, yellow baboons, Udzungwa red colobus monkey, black and white colobus monkey, red duiker and grey duiker in the Kihansi gorge montane forest. There is also an array of small mammals including porcupine, bush hyrax, Eastern tree hyrax, giant shrew and bushy-tailed mongooses. Analyses show that the mammalian diversity compares to other EAM montane forests, including adjacent Mwanihana forest. The inventory of mammals in the Kihansi forest indicates the presence of substantial types of species that comprise of the natural history of the greater Udzungwa Mountains. These findings emphasize the need to accord greater protection for the species and habitat of the Kihansi gorge.","A 24-day camera trap survey in Tanzania's Kihansi River Gorge montane forest revealed 14 mammal species, including large and small mammals, with diversity comparable to other Eastern Arc Mountains montane forests, highlighting the need for conservation efforts."
"Mammals Inventory of the Kihansi River Gorge in Udzungwa Mountains, Tanzania","https://scispace.com/paper/mammals-inventory-of-the-kihansi-river-gorge-in-udzungwa-4otidt5kxh","2019","Journal Article","Tanzania Journal of Science","Dennis Ikanda
Samuel Mtoka
Mustafa Hassanali
Anna Mshanga","10.4314/TJS.V45I4","https://scispace.com/pdf/mammals-inventory-of-the-kihansi-river-gorge-in-udzungwa-4otidt5kxh.pdf","The Kihansi gorge montane forest in Udzungwa Mountains forms part of the Eastern Arc Mountains (EAM) which contain some of the most biologically diverse and endemic montane ecosystems in all of Africa. The Kihansi river gorge was opened up for hydroelectric development in the late 1990s, attracting hundreds of farming communities whose activities lead to environmental degradation and hence presumed biodiversity loss in the montane forest which is not understood. Using camera traps, an inventory of mammals of the area was conducted for 24 consecutive days. About 14 mammal species were photo captured, indicating diverse assemblage of large and medium size mammals, including the bushbuck, bush pig, yellow baboons, Udzungwa red colobus monkey, black and white colobus monkey , red duiker and grey duiker in the Kihansi gorge montane forest. There is also an array of small mammals including porcupine , bush hyrax, Eastern tree hyrax, giant shrew and bushy-tailed mongooses. Analyses show that the mammalian diversity compares to other EAM montane forests, including adjacent Mwanihana forest. The inventory of mammals in the Kihansi forest indicates the presence of substantial types of species that comprise of the natural history of the greater Udzungwa Mountains. These findings emphasize the need to accord greater protection for the species and habitat of the Kihansi gorge.","The Kihansi river gorge was opened up for hydroelectric development in the late 1990s, attracting hundreds of farming communities whose activities lead to environmental degradation and hence presumed biodiversity loss in the montane forest which is not understood as discussed by the authors."
"The influence of life history and climate driven diversification on the mtDNA phylogeographic structures of two southern African Mastomys species (Rodentia: Muridae: Murinae)","https://scispace.com/paper/the-influence-of-life-history-and-climate-driven-2nti73gtnh","2015","Journal Article","Biological Journal of The Linnean Society","Arthur F. Sands
Sonja Matthee
John K. E. Mfune
Conrad A. Matthee","10.1111/BIJ.12397","","The phylogeographic patterns of small mammals in southern Africa are frequently disjunct. This pattern is predominately attributed to vicariant geographical barriers coupled to climate driven diversification. To gain further insights into this hypothesis, we embarked on a comparative mtDNA phylogeographic study of two common rodent species in southern Africa, Mastomys natalensis and Mastomys coucha. Parsimony haplotype networks and SplitsTrees of mtDNA cytochrome oxidase I data showed a large degree of haplotype sharing throughout the sampling range. Within southern Africa, we found no conclusive evidence to support geographic vicariance as a contributing factor towards Mastomys speciation. We proposed that the regional phylogeographic structures detected for M. natalensis and M. coucha are the result of weak isolation by distance coupled to repeated expansions and contractions of suitable habitat. Both species probably survived in multiple refugia during unfavourable periods and mismatch distributions show signs of population expansion. Mitochondrial DNA nucleotide diversity values (π) show marked differences between the two species (M. natalensis: 0.003 and M. coucha: 0.468), and M. coucha also shows a higher level of population differentiation in AMOVA analyses. These differences are most likely due to life history discrepancies between the two species. Mastomys coucha is regarded to be more of a habitat specialist when compared to M. natalensis, and this probably places a higher constraint on M. coucha dispersal abilities. © 2014 The Linnean Society of London, Biological Journal of the Linnean Society, 2014, 114, 58–68.","A comparative mtDNA phylogeographic study of two common rodent species in southern Africa found no conclusive evidence to support geographic vicariance as a contributing factor towards Mastomys speciation and proposed that weak isolation by distance coupled to repeated expansions and contractions of suitable habitat are the result of weak isolatedness."
