"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Is Recombination a Problem for Species-Tree Analyses?","https://scispace.com/paper/2012laniesknowlesisrecombsb-mq5ftto2","2012","","Systematic Biology","Hayley C. Lanier
L. Lacey Knowles","","https://scispace.com/records/2012laniesknowlesisrecombsb-mq5ftto2","1. Keywords: species tree, recombination, multispecies coalescent, *BEAST

2. DISCUSSION:
 Coalescent methods for species-tree reconstruction","As the field of phylogenetics transitions into phylogenomics it has spurred a shift in the general paradigm for data analysis whereby specific dataset attributes can now be considered in a model-based framework. Much effort has been put in to modeling the effects of nucleotide substitution within a genealogy (i.e., modeling mutations; Felsenstein 2005) and the sorting genes between lineages (i.e., coalescence; Knowles and Kubatko 2010), both of which are inherent properties of all species histories. Improvements in accuracy of species-tree estimation related to using models that account for these two sources of uncertainty have been well documented (Carstens and Knowles 2007; Edwards et al. 2007; Kubatko and Degnan 2007), but these are clearly not the only sources of gene-tree species-tree discordance. As the field transitions towards using multilocus data, the role of other inherent dataset properties that may be sources of uncertainty, such as intralocus recombination, needs to be examined and quantified. As all species-tree methods in current use rely on the simplifying assumption that recombination occurs between but not within loci, ignoring the presence of recombination represents a widespread and ubiquitous violation of species-tree models. Recombination within a locus may be a greater problem for species-tree methodologies than for concatenation because species-tree methods more accurately model the patterns arising from coalescent stochasticity. Concatenation assumes all genes share a common underlying tree, a model violated by most multilocus data (Knowles and Carstens 2007; Cranston 2010; Linnen 2010; Wiens et al. 2010). The failure to recognize recombination events may result in a mismatch between estimated gene trees and the true genealogies (Fig. 1). This discord is necessarily smaller relative to the discord of ignoring both recombination and making the assumption that all loci would have the same genealogy (i.e., ignoring coalescent variance), as when data are concatenated. Nevertheless, because coalescent methods for species-tree estimation explicitly model each gene tree separately, the relative contribution of recombination to the uncertainty of the estimated species tree may be substantial. Challenges posed by recombination may also be greatest for species-tree methods that rely on estimating parameters related to the scaled mutation rate (Liu 2008; Liu et al. 2008; Heled and Drummond 2010) because recombination-introduced heterogeneity may interfere with branch length estimates or for species-tree methods that do not fully account for gene-tree uncertainty (Maddison and Knowles 2006; Kubatko et al, 2009). Lastly, recombination may interact with other aspects of the speciation history, such as time to divergence, population size, the length of time between speciation events, and sampling effort (McCormack et al. 2009). For example, recombination events occurring in recently speciated groups may not have accumulated a sufficient number of mutations for the effects to be problematic (see Fig. 1). Unlike coalescent events, which are treelike and depend on waiting time to coalescence, accounting for both coalescence and recombination requires an ancestral recombination graph with a mathematically complex series of reticulations (Hein et al. 2005; Wakeley 2009). Because of the complexity introduced by recombination, no species-tree reconstruction method (in current use) deals with it explicitly. Options do exist for simulating the process of coalescence with recombination as it affects a genealogy, though, and these may be useful for understanding the effects of recombination in species-tree estimation. Hudson's (1983) formulation models coalescence and recombination as two competing exponentially-distributed events which differ in their relationship to population size. The rate of coalescence is proportional to the square of the number of ancestors whereas recombination rate increases linearly with ancestral population size (Hein et al. 2005), meaning that coalescense will always be more prevalent in a dataset than recombination. Furthermore, not all recombination events are likely to have the same effect on gene-tree quality. Looking backwards through time, recombination events can be divided into three categories relative to coalescence (Fig. 1; Hein et al. 2005): a) recombination followed by coalescence between recombining sequences producing no change to topology or branch length, b) recombination followed by coalescence with another sequence and then with the other recombining lineage changing branch length but not topology, and c) recombining sequences each coalesce first with other genes affecting both branch length and topology. These three types of recombination events are expected to affect the accuracy of species-tree reconstructions to different degrees given they will contribute varying types of gene-tree species-tree discord. Moreover, directly modeling them in a species-tree framework may be difficult due to the nearly infinite number of ancestral states they generate. This raises the legitimate question of how recombination should be dealt with. Should we be removing loci that show the signature of recombination? Or should we proceed with species-tree analyses, despite recombination within loci? In general, recombination with respect to species-tree reconstruction has been little discussed. Where mentioned, the opinions on the subject differ widely. Some authors consider recombination to be of little interest to species-tree reconstruction (Ané 2010), but others note that it may lead to important consequences (Edwards 2009). There has also been a lack of studies that explicitly address recombination and the effect that it has on species-tree inference, with the exception of one study (Castillo-Ramírez et al. 2010). However, because this study artificially represented the effects of recombination in multilocus datasets by swapping branches randomly among taxa in the respective gene trees, the results are difficult to interpret (i.e., it is unclear the extent to which the genealogical discord generated falls within the natural range of recombination rates). It may be that any negative effect on the quality of species-tree inference has more to do with the manner in which recombination was represented in the simulation (Castillo-Ramírez et al. 2010). Given this ambiguity, and the fairly pervasive source of uncertainty that recombination potentially poses for species-tree estimates, explicit tests of whether species-tree estimates are susceptible to or robust to intralocus recombination are very much needed."
"The Accuracy of Species Tree Estimation under Simulation: A Comparison of Methods","https://scispace.com/paper/leache-and-rannala-2011-the-accuracy-of-species-tree-uucu6e1q","2010","","Systematic Biology","Adam D. Leaché
Bruce Rannala","10.1093/sysbio/syq073","https://scispace.com/records/leache-and-rannala-2011-the-accuracy-of-species-tree-uucu6e1q","1. Species Tree Inference:
 These methods (described below) included data concatenation, Bayesian concordance analysis, and models that incorporate the multispecies coalescent (maximum likelihood [ML] using gene trees and Bayesian inference).

2. Species Tree Inference:
 Coalescent models.-The multispecies coalescent model accommodates deep coalescence into the phylogenetic inference of species trees . ML and Bayesian implementations of this model for species tree inference are available, and we use both here.","Numerous simulation studies have investigated the accuracy of phylogenetic inference of gene trees under maximum parsimony, maximum likelihood, and Bayesian techniques. The relative accuracy of species tree inference methods under simulation has received less study. The number of analytical techniques available for inferring species trees is increasing rapidly, and in this paper, we compare the performance of several species tree inference techniques at estimating recent species divergences using computer simulation. Simulating gene trees within species trees of different shapes and with varying tree lengths (T) and population sizes (θ), and evolving sequences on those gene trees, allows us to determine how phylogenetic accuracy changes in relation to different levels of deep coalescence and phylogenetic signal. When the probability of discordance between the gene trees and the species tree is high (i.e., T is small and/or θ is large), Bayesian species tree inference using the multispecies coalescent (BEST) outperforms other methods. The performance of all methods improves as the total length of the species tree is increased, which reflects the combined benefits of decreasing the probability of discordance between species trees and gene trees and gaining more accurate estimates for gene trees. Decreasing the probability of deep coalescences by reducing θ also leads to accuracy gains for most methods. Increasing the number of loci from 10 to 100 improves accuracy under difficult demographic scenarios (i.e., coalescent units < 4Ne), but 10 loci are adequate for estimating the correct species tree in cases where deep coalescence is limited or absent. In general, the correlation between the phylogenetic accuracy and the posterior probability values obtained from BEST is high, although posterior probabilities are overestimated when the prior distribution for θ is misspecified. [Coalescence; gene trees; incomplete lineage sorting; multilocus data; phylogeny reconstruction; simulation; tree shape.]"
"Is Recombination a Problem for Species-Tree Analyses?","https://scispace.com/paper/lanier-and-knowles-2012-is-recombination-a-problem-for-vofboqvz","2012","","Systematic Biology","Hayley C. Lanier
L. Lacey Knowles","10.1093/sysbio/syr128","https://scispace.com/records/lanier-and-knowles-2012-is-recombination-a-problem-for-vofboqvz","1. METHODS:
 The Bayesian program *BEAST v.1.5.4 (Heled and Drummond 2010) was used to simultaneously estimate gene trees and species trees under the multispecies coalescent model. An HKY + Γ model was utilized, with a constant population size coalescent prior on gene trees and a Yule prior on species trees.

2. VOL. 61:
 Coalescent methods for species-tree reconstruction ) take advantage of the information contained in a sample of gene trees to reconstruct species trees accurately and are robust to error a variety of sources, including hybridization , gene flow , or recombination (this paper).","As the field of phylogenetics transitions into phylogenomics it has spurred a shift in the general paradigm for data analysis whereby specific dataset attributes can now be considered in a model-based framework. Much effort has been put into modeling the effects of nucleotide substitution within a genealogy (i.e., modeling mutations; Felsenstein 2005) and the sorting of genes between lineages (i.e., coalescence; Knowles and Kubatko 2010), both of which are inherent properties of all species histories. Improvements in accuracy of species-tree estimation related to using models that account for these two sources of uncertainty have been well documented (Carstens and Knowles 2007; Edwards et al. 2007; Kubatko and Degnan 2007), but these are clearly not the only sources of gene-tree species-tree discordance. As the field transitions towards using multilocus data, the role of other inherent dataset properties that may be sources of uncertainty, such as intralocus recombination, needs to be examined and quantified. As all species-tree methods in current use rely on the simplifying assumption that recombination occurs between but not within loci, ignoring the presence of recombination represents a widespread and ubiquitous violation of species-tree models. Recombination within a locus may be a greater problem for species-tree methodologies than for concatenation because species-tree methods more accurately model the patterns arising from coalescent stochasticity. Concatenation assumes that all genes share a common underlying tree, a model violated by most multilocus data (Knowles and Carstens 2007; Cranston 2010; Linnen 2010; Wiens et al. 2010). The failure to recognize recombination events may result in a mismatch between estimated gene trees and the true genealogies (Fig. 1). This discord is necessarily smaller relative to the discord of both ignoring recombination and making the assumption that all loci would have the same genealogy (i.e., ignoring coalescent variance), as when data are concatenated. Nevertheless, because coalescent methods for species-tree estimation explicitly model each gene tree separately, the relative contribution of recombination to the uncertainty of the estimated species tree may be substantial. Challenges posed by recombination may also be greatest for species-tree methods that rely on estimating parameters related to the scaled mutation rate (Liu 2008; Liu et al. 2008; Heled and Drummond 2010) because recombination-introduced heterogeneity may interfere with branch length estimates or for species-tree methods that do not fully account for gene-tree uncertainty (Maddison and Knowles 2006; Kubatko et al. 2009). Lastly, recombination may interact with other aspects of the speciation history, such as time to divergence, population size, the length of time between speciation events, and sampling effort (McCormack et al. 2009). For example, recombination events occurring in recently speciated groups may not have accumulated a sufficient number of mutations for the effects to be problematic (see Fig. 1)."
"On the Robustness to Gene Tree Estimation Error (or lack thereof) of Coalescent-Based Species Tree Methods","https://scispace.com/paper/roch-and-warnow-2015-on-the-robustness-to-gene-tree-h6oucw7w","2015","","Systematic Biology","Sebastien Roch
Tandy Warnow","10.1093/sysbio/syv016","https://scispace.com/records/roch-and-warnow-2015-on-the-robustness-to-gene-tree-h6oucw7w","1. Abstract:
 [coalescent-based methods; gene tree estimation error; incomplete lineage sorting; multi-species coalescent; species tree reconstruction; statistical consistency]

2. RECOMMENDATIONS:
 Instead, despite the awareness of gene tree incongruence as an important challenge for phylogenomic analysis , methods for estimating species trees from multiple loci are still in their first generation. Nevertheless, there is a very active effort in developing new coalescent-based species tree estimation methods.

3. RECOMMENDATIONS:
 These methods may also be reliably more accurate than concatenation even under the conditions where current coalescent-based methods are less accurate than concatenation.","The estimation of species trees using multiple loci has become increasingly common. Because different loci can have different phylogenetic histories (reflected in different gene tree topologies) for multiple biological causes, new approaches to species tree estimation have been developed that take gene tree heterogeneity into account. Among these multiple causes, incomplete lineage sorting (ILS), modeled by the multi-species coalescent, is potentially the most common cause of gene tree heterogeneity, and much of the focus of the recent literature has been on how to estimate species trees in the presence of ILS. Despite progress in developing statistically consistent techniques for estimating species trees when gene trees can differ due to ILS, there is substantial controversy in the systematics community as to whether to use the new coalescent-based methods or the traditional concatenation methods. One of the key issues that has been raised is understanding the impact of gene tree estimation error on coalescent-based methods that operate by combining gene trees. Here we explore the mathematical guarantees of coalescent-based methods when analyzing estimated rather than true gene trees. Our results provide some insight into the differences between promise of coalescent-based methods in theory and their performance in practice. [coalescent-based methods; gene tree estimation error; incomplete lineage sorting; multi-species coalescent; species tree reconstruction; statistical consistency]"
"Gene tree discordance, phylogenetic inference and the multispecies coalescent","https://scispace.com/paper/degnan-and-rosenberg-2009-gene-tree-discordance-phylogenetic-wkvqkdvs","2009","","Trends in Ecology and Evolution","James H. Degnan
Noah A. Rosenberg","10.1016/j.tree.2009.01.009","https://scispace.com/records/degnan-and-rosenberg-2009-gene-tree-discordance-phylogenetic-wkvqkdvs","1. The multispecies coalescent:
 In population genetics, the coalescent is typically applied to several individuals sampled from one population. In phylogenetics, individuals from the same population are usually assumed to be similar compared to the differences that exist among populations (or species) and, often, only one individual is sampled per population.

2. Abstract:
 Multispecies coalescent: the coalescent model applied to gene trees in a species tree; this model is used to assemble separate coalescent processes occurring in populations connected by an evolutionary tree.

3. Review:
 However, we emphasize that the multispecies coalescent examines the underlying discordance of gene and species trees separately from mutation models used during data analysis that can also cause inferred gene trees to disagree with the species tree. Thus, even correctly inferred gene trees do not necessarily match the species tree.","The field of phylogenetics is entering a new era in which trees of historical relationships between species are increasingly inferred from multilocus and genomic data. A major challenge for incorporating such large amounts of data into inference of species trees is that conflicting genealogical histories often exist in different genes throughout the genome. Recent advances in genealogical modeling suggest that resolving close species relationships is not quite as simple as applying more data to the problem. Here we discuss the complexities of genealogical discordance and review the issues that new methods for multilocus species tree inference will need to address to account successfully for naturally occurring genomic variability in evolutionary histories."
"New Heuristic Methods for Joint Species Delimitation and Species Tree Inference","https://scispace.com/paper/o-meara-2010-new-heuristic-methods-for-joint-species-wp7m9k79","2009","","Systematic Biology","Brian C. O'Meara","10.1093/sysbio/syp077","https://scispace.com/records/o-meara-2010-new-heuristic-methods-for-joint-species-wp7m9k79","1. Related Work:
 Most of these methods, such as the BEST approach , the ""STEM"" approach , the ""Minimize Deep Coalescences"" approach , the ""GLASS"" method , or the ""coalescent-based approach"" , have a fixed assignment of samples to species, though some approaches  do allow some optimization of this assignment.

2. Related Work:
 There are numerous coalescent-based approaches for this, such as those implemented in MIGRATE  and IM , which also generally start from genetic data rather than fixed inferred gene trees.

3. Related Work:
 In theory, many of these other approaches to recovering the species tree could be extended in the same way, though the increased size of the problem space may make such methods impractical (and methods without some sort of intraspecific cost, such as the Minimize Deep Coalescences approach , would generally return only 1 species).","Species delimitation and species tree inference are difficult problems in cases of recent divergence, especially when different loci have different histories. This paper quantifies the difficulty of jointly finding the division of samples to species and estimating a species tree without constraining the possible assignments a priori. It introduces a parametric and a nonparametric method, including new heuristic search strategies, to do this delimitation and tree inference using individual gene trees as input. The new methods were evaluated using thousands of simulations and 4 empirical data sets. These analyses suggest that the new methods, especially the nonparametric one, may provide useful insights for systematists working at the species level with molecular data. However, they still often return incorrect results. [Brownie; gene tree parsimony; gene tree species tree; speciation; species delimitation.]"
"Bayesian Inference of Species Trees from Multilocus Data","https://scispace.com/paper/heled-and-drummond-2010-bayesian-inference-of-species-trees-ckv57tjl","2009","","Molecular Biology and Evolution","Joseph Heled
Alexei J. Drummond","10.1093/molbev/msp274","https://scispace.com/records/heled-and-drummond-2010-bayesian-inference-of-species-trees-ckv57tjl","1. Introduction:
 A number of researchers have taken advantage of the multispecies coalescent model to develop methods that reconcile a set of gene trees with a shared species tree .

2. Introduction:
 The multispecies coalescent assumes that each gene tree represents the relationships between orthologous genes from a small sample of individuals from multiple species and that there is no horizontal gene transfer or admixture between individuals from different species.

3. Introduction:
 STAR and STEAC ) are methods that use coalescence summary statistics as the basis of inference. In addition to the development of these new methods, the performance of consensus methods of species tree estimation has also been investigated .","Until recently, it has been common practice for a phylogenetic analysis to use a single gene sequence from a single individual organism as a proxy for an entire species. With technological advances, it is now becoming more common to collect data sets containing multiple gene loci and multiple individuals per species. These data sets often reveal the need to directly model intraspecies polymorphism and incomplete lineage sorting in phylogenetic estimation procedures. For a single species, coalescent theory is widely used in contemporary population genetics to model intraspecific gene trees. Here, we present a Bayesian Markov chain Monte Carlo method for the multispecies coalescent. Our method coestimates multiple gene trees embedded in a shared species tree along with the effective population size of both extant and ancestral species. The inference is made possible by multilocus data from multiple individuals per species. Using a multiindividual data set and a series of simulations of rapid species radiations, we demonstrate the efficacy of our new method. These simulations give some insight into the behavior of the method as a function of sampled individuals, sampled loci, and sequence length. Finally, we compare our new method to both an existing method (BEST 2.2) with similar goals and the supermatrix (concatenation) method. We demonstrate that both BEST and our method have much better estimation accuracy for species tree topology than concatenation, and our method outperforms BEST in divergence time and population size estimation."
"New Heuristic Methods for Joint Species Delimitation and Species Tree Inference","https://scispace.com/paper/o-meara-2010-new-heuristic-methods-for-joint-species-82ww1abz","2009","","Systematic Biology","Brian C. O'Meara","10.1093/sysbio/syp077","https://scispace.com/records/o-meara-2010-new-heuristic-methods-for-joint-species-82ww1abz","1. Related Work:
 Most of these methods, such as the BEST approach , the ""STEM"" approach , the ""Minimize Deep Coalescences"" approach , the ""GLASS"" method , or the ""coalescent-based approach"" , have a fixed assignment of samples to species, though some approaches  do allow some optimization of this assignment.

2. Related Work:
 There are numerous coalescent-based approaches for this, such as those implemented in MIGRATE  and IM , which also generally start from genetic data rather than fixed inferred gene trees.

3. Proposed Methods:
 I develop 2 new methods of delimited species tree inference. These new approaches start with inferred gene trees rather than actual sequence data, like many others in the literature ) and therefore differ from the ""BEST"" approach  or importance sampling or related approaches that integrate over the gene trees .","Species delimitation and species tree inference are difficult problems in cases of recent divergence, especially when different loci have different histories. This paper quantifies the difficulty of jointly finding the division of samples to species and estimating a species tree without constraining the possible assignments a priori. It introduces a parametric and a nonparametric method, including new heuristic search strategies, to do this delimitation and tree inference using individual gene trees as input. The new methods were evaluated using thousands of simulations and 4 empirical data sets. These analyses suggest that the new methods, especially the nonparametric one, may provide useful insights for systematists working at the species level with molecular data. However, they still often return incorrect results. [Brownie; gene tree parsimony; gene tree species tree; speciation; species delimitation.]"
"PHYLOGENOMICS AND THE RECONSTRUCTION OF THE TREE OF LIFE","https://scispace.com/paper/delsuc-et-al-2005-phylogenomics-and-the-reconstruction-of-sjjezwt4","2005","","NATURE REVIEWS | GENETICS","Frédéric Delsuc
Henner Brinkmann
Hervé Philippe","10.1038/nrg1603","https://scispace.com/records/delsuc-et-al-2005-phylogenomics-and-the-reconstruction-of-sjjezwt4","1. Current methods for phylogenomics -an overview:
 The two crucial steps of classical phylogenetic inference -the identification of homologous characters and tree reconstruction -are generally preserved in phylogenomics.

2. Current methods for phylogenomics -an overview:
 With this increase, the emphasis of phylogenetic inference is shifting from the search for informative characters to the development of better reconstruction methods for using genomic data.

3. Current methods for phylogenomics -an overview:
 Therefore, as for phylogenies that are based on morphological data or single genes, the reliability of a phylogenomic tree depends on the quality of the characters and the accuracy of the reconstruction methods.","As more complete genomes are sequenced, phylogenetic analysis is entering a new era — that of phylogenomics. One branch of this expanding field aims to reconstruct the evolutionary history of organisms on the basis of the analysis of their genomes. Recent studies have demonstrated the power of this approach, which has the potential to provide answers to several fundamental evolutionary questions. However, challenges for the future have also been revealed. The very nature of the evolutionary history of organisms and the limitations of current phylogenetic reconstruction methods mean that part of the tree of life might prove difficult, if not impossible, to resolve with confidence."
"Sources of Error Inherent in Species-Tree Estimation: Impact of Mutational and Coalescent Effects on Accuracy and Implications for Choosing among Different Methods","https://scispace.com/paper/huang-et-al-2010-sources-of-error-inherent-in-species-tree-ao4e3tbs","2010","","Systematic Biology","Huateng Huang
Qixin He
Laura S. Kubatko
L. Lacey Knowles","10.1093/sysbio/syq047","https://scispace.com/records/huang-et-al-2010-sources-of-error-inherent-in-species-tree-ao4e3tbs","1. METHODS:
 Species trees were estimated from coalescent gene trees and estimated gene trees with the two methods: MDC (implemented in Mesquite;  and STEM . MDC heuristically searches tree space for the specific speciestree topology that minimizes the number of deep coalescences (i.e., ancestral coalescent events prior to speciation; .

2. Variation in the Sources of Error When Estimating a Species Tree:
 The incorporation of a stochastic model of gene lineage coalescence in STEM ) means that the method is very efficient in extracting phylogenetic signal from coalescent gene trees, despite widespread incomplete lineage sorting (Fig. ).","Discord in the estimated gene trees among loci can be attributed to both the process of mutation and incomplete lineage sorting. Effectively modeling these two sources of variation—mutational and coalescent variance-provides two distinct challenges for phylogenetic studies. Despite extensive investigation on mutational models for gene-tree estimation over the past two decades and recent attention to modeling of the coalescent process for phylogenetic estimation, the effects of these two variances have yet to be evaluated simultaneously. Here, we partition the effects of mutational and coalescent processes on phylogenetic accuracy by comparing the accuracy of species trees estimated from gene trees (i.e., the actual coalescent genealogies) with that of species trees estimated from estimated gene trees (i.e., trees estimated from nucleotide sequences, which contain both coalescent and mutational variance). Not only is there a significant contribution of both mutational and coalescent variance to errors in species-tree estimates, but the relative magnitude of the effects on the accuracy of species-tree estimation also differs systematically depending on 1) the timing of divergence, 2) the sampling design, and 3) the method used for species-tree estimation. These findings explain why using more information contained in gene trees (e.g., topology and branch lengths as opposed to just topology) does not necessarily translate into pronounced gains in accuracy, highlighting the strengths and limits of different methods for species-tree estimation. Differences in accuracy scores between methods for different sampling regimes also emphasize that it would be a mistake to assume more computationally intensive species-tree estimation procedures that will always provide better estimates of species trees. To the contrary, the performance of a method depends not only on the method per se but also on the compatibilities between the input genetic data and the method as determined by the relative impact of mutational and coalescent variance. [Coalescence, gene tree, lineage sorting, mutation, phylogenetics, sample design, species tree.]"
