"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A new genus for the eastern dwarf galagos (Primates: Galagidae)","https://scispace.com/paper/a-new-genus-for-the-eastern-dwarf-galagos-primates-galagidae-41i8wkex5w","2017","Journal Article","Zoological Journal of the Linnean Society","Judith C. Masters
Judith C. Masters
Fabien Génin
Sébastien Couette
Sébastien Couette
Colin P. Groves
Stephen D. Nash
Massimiliano Delpero
Luca Pozzi
Luca Pozzi","10.1093/ZOOLINNEAN/ZLW028","https://iris.unito.it/bitstream/2318/1618044/2/Paragalago_ZJLS_accepted_4aperto.pdf","… We argue for the recognition of a sixth genus, if the taxonomy is to reflect … Galagoides (Galagoides cocos, Galagoides granti, Galagoides orinus, Galagoides rondoensis and Galagoides …",""
"Hidden in the dark: A review of galagid systematics and phylogenetics","https://scispace.com/paper/hidden-in-the-dark-a-review-of-galagid-systematics-and-an33f2bfw6","2024","Journal Article","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://par.nsf.gov/servlets/purl/10510328","… to clarify the systematics of certain galago groups. A series of studies combined genetic and bioacoustic data to clarify the systematics of the Paragalago zanzibaricus species complex (…",""
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://link.springer.com/content/pdf/10.1186/1471-2148-14-72.pdf","… , several of the dwarf galago species recognized more recently are restricted to East Africa [3]. At least six different species have been described in this region: Galagoides cocos along …","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group."
"Introduction to the special issue on What they do in the shadows: new perspectives on Africa's nocturnal bushbabies","https://scispace.com/paper/introduction-to-the-special-issue-on-what-they-do-in-the-4b6h94xrvie1","2024","Journal Article","International Journal of Primatology","Frank P. Cuozzo
Michelle L. Sauther
Luca Pozzi
John K. Dalton","10.1007/s10764-024-00476-w","https://link.springer.com/content/pdf/10.1007/s10764-024-00476-w.pdf","… Following this work, the overall taxonomy greatly expanded … attempts at galagid systematics dominated by morphological … Paragalago zanzibaricus cryptic species cluster of East Africa. …","a summary of their evolution and divergence from other primate clades, comments on their conservation status"
"Species boundaries within morphologically cryptic galagos: Evidence from acoustic and genetic data","https://scispace.com/paper/species-boundaries-within-morphologically-cryptic-galagos-3wjx3ad1ud","2019","Journal Article","Folia Primatologica","Luca Pozzi
Todd R. Disotell
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Marco Gamba","10.1159/000496972","","… The taxonomy and systematics of dwarf galagos has been … clade belonging to the genus Galagoides and including up to 3 … The analyses conducted in this study included 50 Paragalago …","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"Evolutionary history, systematics, and species boundaries in galagos (Primates: Galagidae)","https://scispace.com/paper/KfzZ_wstyi0J","","","","L Pozzi","","","… Collectively, the results from the combination of genetic and acoustic data confirmed that Galagoides cocos and Galagoides zanzibaricus represent two different cryptic species of dwarf …",""
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/jbi.12846","… between Galagoides orinus and Galagoides rondoensis. An earlier … to emerge within the eastern Galagoides, and G. orinus as … to clarify the interrelationships within eastern Galagoides. …","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
"A new galago species for South Africa (Primates: Strepsirhini: Galagidae)","https://scispace.com/paper/a-new-galago-species-for-south-africa-primates-strepsirhini-3g1xv05v6b","2016","Journal Article","African Zoology","Fabien Génin
Ayabulela Yokwana
Nokuthula Kom
Sébastien Couette
Thibault Dieuleveut
Stephen D. Nash
Judith C. Masters","10.1080/15627020.2016.1232602","https://sebastiencouette.wordpress.com/wp-content/uploads/2016/10/genin-et-al-2016-galagidae.pdf","… We abbreviate the genus Galagoides as Gs to distinguish it from the abbreviation used for … Galagoides zanzibaricus granti was the taxonomy followed for more than 20 years (Meester et …","The primate fauna of South Africa has historically been viewed as comprising three diurnal cercopithecoid taxa — chacma baboons (Papio ursinus), vervet (Chlorocebus pygerythrus) and samango monkeys (Cercopithecus albogularis) — and two nocturnal lorisoid species — the thick-tailed greater galago (Otolemur crassicaudatus) and the southern lesser galago (Galago moholi). Here we report the positive identification of a third galago species within South Africa's borders: the Mozambique dwarf galago or Grant's galago, Galagoides granti (Thomas and Wroughton, 1907). The taxon was previously held to be restricted to Mozambique, eastern Zimbabwe, Malawi and Tanzania, but we have also observed it in the sand forest of Tembe Elephant Park and the Tshanini Community Reserve, near the Mozambique border. The species was formerly mistaken for Galago moholi, erroneously (we believe) extending the range of the latter species into northern KwaZulu-Natal. In South Africa the two small galagos are unlikely to have overlappin..."
"Galagidae (Lorisoidea, Primates)","https://scispace.com/paper/galagidae-lorisoidea-primates-in3dyz78ow","2011","Book Chapter","","Terry Harrison","10.1007/978-90-481-9962-4_5","https://www.researchgate.net/profile/Terry-Harrison-4/publication/227209978_Galagidae_Lorisoidea_Primates/links/591c5f420f7e9b7727da0ab6/Galagidae-Lorisoidea-Primates.pdf","… , as well as stem galagids from the Miocene of East Africa, to be placed in its own genus, … discover a sister taxon of extant galagids surviving in East Africa until at least the Pliocene, …","An additional specimen of a fossil galagid was recently recovered from the Upper Laetolil Beds at Laetoli in northern Tanzania. This new find represents the most complete specimen of a galagid known from Laetoli, and comprises associated partial right and left mandibular corpora. The galagid material from Laetoli can all be attributed to a single species, previously referred to as Galago sadimanensis. However, the taxon is sufficiently distinct from all extant galagids, as well as stem galagids from the Miocene of East Africa, to be placed in its own genus, Laetolia. The fossil record of galagids from the Pliocene of Africa is exceedingly poor, and Laetolia sadimanensis represents the best-known form. Laetolia can be distinguished from other galagids by its unique suite of morphological features. The stout and vertical implantation of P2, the steeply inclined and robust symphysis, and the relatively deep corpus are all specialized features that are probably functionally linked. However, Laetolia has a less molariform P4 than extant galagids, and it can be inferred to represents their primitive sister taxon. Based on molecular clock estimates, extant galagids shared a last common ancestor during the late Oligocene. It is interesting, therefore, to discover a sister taxon of extant galagids surviving in East Africa until at least the Pliocene, contemporary with more advanced crown members of the clade. From a paleoecological perspective, the occurrence of fossil galagids at Laetoli implies the presence of habitats with at least a sparse coverage of trees and/or thorn bush."
"The primates of East Africa: country lists and conservation priorities","https://scispace.com/paper/hZ0ptqrfTogJ","","","","YA De Jong
TM Butynski","","https://www.researchgate.net/profile/Yvonne-De-Jong-2/publication/232765950_The_Primates_of_East_Africa_Country_Lists_and_Conservation_Priorities/links/09e415094af22cd3bf000000/The-Primates-of-East-Africa-Country-Lists-and-Conservation-Priorities.pdf","… 47 subspecies of primate occur in East Africa. Tanzania holds the largest number … East Africa supports 68% of Africa’s primate genera and 41% of Africa’s primate species. In East Africa, …",""
