"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Gene tree discordance, phylogenetic inference and the multispecies coalescent","https://scispace.com/paper/degnan-and-rosenberg-2009-gene-tree-discordance-phylogenetic-wkvqkdvs","2009","","Trends in Ecology and Evolution","James H. Degnan
Noah A. Rosenberg","10.1016/j.tree.2009.01.009","https://scispace.com/records/degnan-and-rosenberg-2009-gene-tree-discordance-phylogenetic-wkvqkdvs","1. The multispecies coalescent:
 Considering multiple populations, the multispecies coalescent can be used to describe a probability distribution of random gene trees that evolve along the branches of a species tree . Gene lineages from different species trace backward through time, finding common ancestors at rates specified by the model.

2. Review:
 However, we emphasize that the multispecies coalescent examines the underlying discordance of gene and species trees separately from mutation models used during data analysis that can also cause inferred gene trees to disagree with the species tree. Thus, even correctly inferred gene trees do not necessarily match the species tree.

3. Consensus and concatenation:
 Perhaps the most straightforward method of inferring species trees from multilocus data is the 'democratic vote' procedure, in which the most commonly occurring gene tree topology is used as the estimate of the species tree. Under the multispecies coalescent, this method is statistically consistent for three-taxon trees .","The field of phylogenetics is entering a new era in which trees of historical relationships between species are increasingly inferred from multilocus and genomic data. A major challenge for incorporating such large amounts of data into inference of species trees is that conflicting genealogical histories often exist in different genes throughout the genome. Recent advances in genealogical modeling suggest that resolving close species relationships is not quite as simple as applying more data to the problem. Here we discuss the complexities of genealogical discordance and review the issues that new methods for multilocus species tree inference will need to address to account successfully for naturally occurring genomic variability in evolutionary histories."
"Is Recombination a Problem for Species-Tree Analyses?","https://scispace.com/paper/2012laniesknowlesisrecombsb-mq5ftto2","2012","","Systematic Biology","Hayley C. Lanier
L. Lacey Knowles","","https://scispace.com/records/2012laniesknowlesisrecombsb-mq5ftto2","1. Keywords: species tree, recombination, multispecies coalescent, *BEAST

2. DISCUSSION:
 Coalescent methods for species-tree reconstruction

3. DISCUSSION:
 Species-tree estimates under the multispecies coalescent are robust to uncertainty introduced by unrecognized recombination within a locus (Fig. ), at least within the natural range of recombination observed in empirical data across different methods of analysis and for different diversification histories (including both recent and deep radiations)(e.g., Fig. , and supplement Fig. ).","As the field of phylogenetics transitions into phylogenomics it has spurred a shift in the general paradigm for data analysis whereby specific dataset attributes can now be considered in a model-based framework. Much effort has been put in to modeling the effects of nucleotide substitution within a genealogy (i.e., modeling mutations; Felsenstein 2005) and the sorting genes between lineages (i.e., coalescence; Knowles and Kubatko 2010), both of which are inherent properties of all species histories. Improvements in accuracy of species-tree estimation related to using models that account for these two sources of uncertainty have been well documented (Carstens and Knowles 2007; Edwards et al. 2007; Kubatko and Degnan 2007), but these are clearly not the only sources of gene-tree species-tree discordance. As the field transitions towards using multilocus data, the role of other inherent dataset properties that may be sources of uncertainty, such as intralocus recombination, needs to be examined and quantified. As all species-tree methods in current use rely on the simplifying assumption that recombination occurs between but not within loci, ignoring the presence of recombination represents a widespread and ubiquitous violation of species-tree models. Recombination within a locus may be a greater problem for species-tree methodologies than for concatenation because species-tree methods more accurately model the patterns arising from coalescent stochasticity. Concatenation assumes all genes share a common underlying tree, a model violated by most multilocus data (Knowles and Carstens 2007; Cranston 2010; Linnen 2010; Wiens et al. 2010). The failure to recognize recombination events may result in a mismatch between estimated gene trees and the true genealogies (Fig. 1). This discord is necessarily smaller relative to the discord of ignoring both recombination and making the assumption that all loci would have the same genealogy (i.e., ignoring coalescent variance), as when data are concatenated. Nevertheless, because coalescent methods for species-tree estimation explicitly model each gene tree separately, the relative contribution of recombination to the uncertainty of the estimated species tree may be substantial. Challenges posed by recombination may also be greatest for species-tree methods that rely on estimating parameters related to the scaled mutation rate (Liu 2008; Liu et al. 2008; Heled and Drummond 2010) because recombination-introduced heterogeneity may interfere with branch length estimates or for species-tree methods that do not fully account for gene-tree uncertainty (Maddison and Knowles 2006; Kubatko et al, 2009). Lastly, recombination may interact with other aspects of the speciation history, such as time to divergence, population size, the length of time between speciation events, and sampling effort (McCormack et al. 2009). For example, recombination events occurring in recently speciated groups may not have accumulated a sufficient number of mutations for the effects to be problematic (see Fig. 1). Unlike coalescent events, which are treelike and depend on waiting time to coalescence, accounting for both coalescence and recombination requires an ancestral recombination graph with a mathematically complex series of reticulations (Hein et al. 2005; Wakeley 2009). Because of the complexity introduced by recombination, no species-tree reconstruction method (in current use) deals with it explicitly. Options do exist for simulating the process of coalescence with recombination as it affects a genealogy, though, and these may be useful for understanding the effects of recombination in species-tree estimation. Hudson's (1983) formulation models coalescence and recombination as two competing exponentially-distributed events which differ in their relationship to population size. The rate of coalescence is proportional to the square of the number of ancestors whereas recombination rate increases linearly with ancestral population size (Hein et al. 2005), meaning that coalescense will always be more prevalent in a dataset than recombination. Furthermore, not all recombination events are likely to have the same effect on gene-tree quality. Looking backwards through time, recombination events can be divided into three categories relative to coalescence (Fig. 1; Hein et al. 2005): a) recombination followed by coalescence between recombining sequences producing no change to topology or branch length, b) recombination followed by coalescence with another sequence and then with the other recombining lineage changing branch length but not topology, and c) recombining sequences each coalesce first with other genes affecting both branch length and topology. These three types of recombination events are expected to affect the accuracy of species-tree reconstructions to different degrees given they will contribute varying types of gene-tree species-tree discord. Moreover, directly modeling them in a species-tree framework may be difficult due to the nearly infinite number of ancestral states they generate. This raises the legitimate question of how recombination should be dealt with. Should we be removing loci that show the signature of recombination? Or should we proceed with species-tree analyses, despite recombination within loci? In general, recombination with respect to species-tree reconstruction has been little discussed. Where mentioned, the opinions on the subject differ widely. Some authors consider recombination to be of little interest to species-tree reconstruction (Ané 2010), but others note that it may lead to important consequences (Edwards 2009). There has also been a lack of studies that explicitly address recombination and the effect that it has on species-tree inference, with the exception of one study (Castillo-Ramírez et al. 2010). However, because this study artificially represented the effects of recombination in multilocus datasets by swapping branches randomly among taxa in the respective gene trees, the results are difficult to interpret (i.e., it is unclear the extent to which the genealogical discord generated falls within the natural range of recombination rates). It may be that any negative effect on the quality of species-tree inference has more to do with the manner in which recombination was represented in the simulation (Castillo-Ramírez et al. 2010). Given this ambiguity, and the fairly pervasive source of uncertainty that recombination potentially poses for species-tree estimates, explicit tests of whether species-tree estimates are susceptible to or robust to intralocus recombination are very much needed."
"The Accuracy of Species Tree Estimation under Simulation: A Comparison of Methods","https://scispace.com/paper/leache-and-rannala-2011-the-accuracy-of-species-tree-uucu6e1q","2010","","Systematic Biology","Adam D. Leaché
Bruce Rannala","10.1093/sysbio/syq073","https://scispace.com/records/leache-and-rannala-2011-the-accuracy-of-species-tree-uucu6e1q","1. Species Tree Inference:
 These methods (described below) included data concatenation, Bayesian concordance analysis, and models that incorporate the multispecies coalescent (maximum likelihood [ML] using gene trees and Bayesian inference).

2. Species Tree Inference:
 Coalescent models.-The multispecies coalescent model accommodates deep coalescence into the phylogenetic inference of species trees . ML and Bayesian implementations of this model for species tree inference are available, and we use both here.","Numerous simulation studies have investigated the accuracy of phylogenetic inference of gene trees under maximum parsimony, maximum likelihood, and Bayesian techniques. The relative accuracy of species tree inference methods under simulation has received less study. The number of analytical techniques available for inferring species trees is increasing rapidly, and in this paper, we compare the performance of several species tree inference techniques at estimating recent species divergences using computer simulation. Simulating gene trees within species trees of different shapes and with varying tree lengths (T) and population sizes (θ), and evolving sequences on those gene trees, allows us to determine how phylogenetic accuracy changes in relation to different levels of deep coalescence and phylogenetic signal. When the probability of discordance between the gene trees and the species tree is high (i.e., T is small and/or θ is large), Bayesian species tree inference using the multispecies coalescent (BEST) outperforms other methods. The performance of all methods improves as the total length of the species tree is increased, which reflects the combined benefits of decreasing the probability of discordance between species trees and gene trees and gaining more accurate estimates for gene trees. Decreasing the probability of deep coalescences by reducing θ also leads to accuracy gains for most methods. Increasing the number of loci from 10 to 100 improves accuracy under difficult demographic scenarios (i.e., coalescent units < 4Ne), but 10 loci are adequate for estimating the correct species tree in cases where deep coalescence is limited or absent. In general, the correlation between the phylogenetic accuracy and the posterior probability values obtained from BEST is high, although posterior probabilities are overestimated when the prior distribution for θ is misspecified. [Coalescence; gene trees; incomplete lineage sorting; multilocus data; phylogeny reconstruction; simulation; tree shape.]"
"Bayesian Inference of Species Trees from Multilocus Data","https://scispace.com/paper/heled-and-drummond-2010-bayesian-inference-of-species-trees-ckv57tjl","2009","","Molecular Biology and Evolution","Joseph Heled
Alexei J. Drummond","10.1093/molbev/msp274","https://scispace.com/records/heled-and-drummond-2010-bayesian-inference-of-species-trees-ckv57tjl","1. Introduction:
 The multispecies coalescent assumes that each gene tree represents the relationships between orthologous genes from a small sample of individuals from multiple species and that there is no horizontal gene transfer or admixture between individuals from different species.

2. Introduction:
 A number of researchers have taken advantage of the multispecies coalescent model to develop methods that reconcile a set of gene trees with a shared species tree .

3. Abstract:
 Here, we present a Bayesian Markov chain Monte Carlo method for the multispecies coalescent. Our method coestimates multiple gene trees embedded in a shared species tree along with the effective population size of both extant and ancestral species.","Until recently, it has been common practice for a phylogenetic analysis to use a single gene sequence from a single individual organism as a proxy for an entire species. With technological advances, it is now becoming more common to collect data sets containing multiple gene loci and multiple individuals per species. These data sets often reveal the need to directly model intraspecies polymorphism and incomplete lineage sorting in phylogenetic estimation procedures. For a single species, coalescent theory is widely used in contemporary population genetics to model intraspecific gene trees. Here, we present a Bayesian Markov chain Monte Carlo method for the multispecies coalescent. Our method coestimates multiple gene trees embedded in a shared species tree along with the effective population size of both extant and ancestral species. The inference is made possible by multilocus data from multiple individuals per species. Using a multiindividual data set and a series of simulations of rapid species radiations, we demonstrate the efficacy of our new method. These simulations give some insight into the behavior of the method as a function of sampled individuals, sampled loci, and sequence length. Finally, we compare our new method to both an existing method (BEST 2.2) with similar goals and the supermatrix (concatenation) method. We demonstrate that both BEST and our method have much better estimation accuracy for species tree topology than concatenation, and our method outperforms BEST in divergence time and population size estimation."
"On the Robustness to Gene Tree Estimation Error (or lack thereof) of Coalescent-Based Species Tree Methods","https://scispace.com/paper/roch-and-warnow-2015-on-the-robustness-to-gene-tree-h6oucw7w","2015","","Systematic Biology","Sebastien Roch
Tandy Warnow","10.1093/sysbio/syv016","https://scispace.com/records/roch-and-warnow-2015-on-the-robustness-to-gene-tree-h6oucw7w","1. Triplet Unanimity and Consistency:
 Any species tree reconstruction method having the triplet unanimity property is statistically consistent for the multi-species coalescent when used with gene tree estimation methods with GTEE model R.

2. Abstract:
 [coalescent-based methods; gene tree estimation error; incomplete lineage sorting; multi-species coalescent; species tree reconstruction; statistical consistency]

3. RECOMMENDATIONS:
 These methods may also be reliably more accurate than concatenation even under the conditions where current coalescent-based methods are less accurate than concatenation.","The estimation of species trees using multiple loci has become increasingly common. Because different loci can have different phylogenetic histories (reflected in different gene tree topologies) for multiple biological causes, new approaches to species tree estimation have been developed that take gene tree heterogeneity into account. Among these multiple causes, incomplete lineage sorting (ILS), modeled by the multi-species coalescent, is potentially the most common cause of gene tree heterogeneity, and much of the focus of the recent literature has been on how to estimate species trees in the presence of ILS. Despite progress in developing statistically consistent techniques for estimating species trees when gene trees can differ due to ILS, there is substantial controversy in the systematics community as to whether to use the new coalescent-based methods or the traditional concatenation methods. One of the key issues that has been raised is understanding the impact of gene tree estimation error on coalescent-based methods that operate by combining gene trees. Here we explore the mathematical guarantees of coalescent-based methods when analyzing estimated rather than true gene trees. Our results provide some insight into the differences between promise of coalescent-based methods in theory and their performance in practice. [coalescent-based methods; gene tree estimation error; incomplete lineage sorting; multi-species coalescent; species tree reconstruction; statistical consistency]"
"Gene Tree Distributions Under the Coalescent Process","https://scispace.com/paper/degnan-and-salter-gene-tree-distributions-under-the-nuxco0ye","2005","","Evolution","James H. Degnan
Laura A. Salter","","https://scispace.com/records/degnan-and-salter-gene-tree-distributions-under-the-nuxco0ye","1. Computational Considerations:
 For trees with much more than 20 taxa, and especially for applications that require evaluating many trees such as species tree inference, methods can be used to approximate (12), such as importance sampling on the set of coalescent histories .","Under the coalescent model for population divergence, lineage sorting can cause considerable variability in gene trees generated from any given species tree. In this paper, we derive a method for computing the distribution of gene tree topologies given a bifurcating species tree for trees with an arbitrary number of taxa in the case that there is one gene sampled per species. Applications for gene tree distributions include determining exact probabilities of topological equivalence between gene trees and species trees and inferring species trees from multiple datasets. In addition, we examine the shapes of gene tree distributions and their sensitivity to changes in branch lengths, species tree shape, and tree size. The method for computing gene tree distributions is implemented in the computer program COAL."
"Is Recombination a Problem for Species-Tree Analyses?","https://scispace.com/paper/lanier-and-knowles-2012-is-recombination-a-problem-for-vofboqvz","2012","","Systematic Biology","Hayley C. Lanier
L. Lacey Knowles","10.1093/sysbio/syr128","https://scispace.com/records/lanier-and-knowles-2012-is-recombination-a-problem-for-vofboqvz","1. VOL. 61:
 Coalescent methods for species-tree reconstruction ) take advantage of the information contained in a sample of gene trees to reconstruct species trees accurately and are robust to error a variety of sources, including hybridization , gene flow , or recombination (this paper).","As the field of phylogenetics transitions into phylogenomics it has spurred a shift in the general paradigm for data analysis whereby specific dataset attributes can now be considered in a model-based framework. Much effort has been put into modeling the effects of nucleotide substitution within a genealogy (i.e., modeling mutations; Felsenstein 2005) and the sorting of genes between lineages (i.e., coalescence; Knowles and Kubatko 2010), both of which are inherent properties of all species histories. Improvements in accuracy of species-tree estimation related to using models that account for these two sources of uncertainty have been well documented (Carstens and Knowles 2007; Edwards et al. 2007; Kubatko and Degnan 2007), but these are clearly not the only sources of gene-tree species-tree discordance. As the field transitions towards using multilocus data, the role of other inherent dataset properties that may be sources of uncertainty, such as intralocus recombination, needs to be examined and quantified. As all species-tree methods in current use rely on the simplifying assumption that recombination occurs between but not within loci, ignoring the presence of recombination represents a widespread and ubiquitous violation of species-tree models. Recombination within a locus may be a greater problem for species-tree methodologies than for concatenation because species-tree methods more accurately model the patterns arising from coalescent stochasticity. Concatenation assumes that all genes share a common underlying tree, a model violated by most multilocus data (Knowles and Carstens 2007; Cranston 2010; Linnen 2010; Wiens et al. 2010). The failure to recognize recombination events may result in a mismatch between estimated gene trees and the true genealogies (Fig. 1). This discord is necessarily smaller relative to the discord of both ignoring recombination and making the assumption that all loci would have the same genealogy (i.e., ignoring coalescent variance), as when data are concatenated. Nevertheless, because coalescent methods for species-tree estimation explicitly model each gene tree separately, the relative contribution of recombination to the uncertainty of the estimated species tree may be substantial. Challenges posed by recombination may also be greatest for species-tree methods that rely on estimating parameters related to the scaled mutation rate (Liu 2008; Liu et al. 2008; Heled and Drummond 2010) because recombination-introduced heterogeneity may interfere with branch length estimates or for species-tree methods that do not fully account for gene-tree uncertainty (Maddison and Knowles 2006; Kubatko et al. 2009). Lastly, recombination may interact with other aspects of the speciation history, such as time to divergence, population size, the length of time between speciation events, and sampling effort (McCormack et al. 2009). For example, recombination events occurring in recently speciated groups may not have accumulated a sufficient number of mutations for the effects to be problematic (see Fig. 1)."
"A coalescent perspective on delimiting and naming species: a reply to Bauer et al.","https://scispace.com/paper/fujita-and-leache-2011-a-coalescent-perspective-on-016ld7s0","2010","","Proceedings of the Royal Society B: Biological Sciences","Matthew K. Fujita
Adam D. Leaché","10.1098/rspb.2010.1864","https://scispace.com/records/fujita-and-leache-2011-a-coalescent-perspective-on-016ld7s0","1. MULTI-LOCUS, COALESCENT-BASED METHODS INCREASE OBJECTIVITY IN SPECIES DELIMITATION:
 Multi-locus approaches for species delimitation that use the multi-species coalescent model are advantageous because they can model the probabilities associated with lineage formation, which is directly aligned with the principles of lineage-based species concepts ; this is not the case when requiring strict adherence to intrinsic characters for defining species.

2. MULTI-LOCUS, COALESCENT-BASED METHODS INCREASE OBJECTIVITY IN SPECIES DELIMITATION:
 We emphasize that by coalescent history we do not mean reciprocal monophyly of alleles between species (although this could occur), but rather a significant shift in gene trees away from the patterns expected under the null hypothesis of random mating. Third, the method embraces genetics and lineage-based arguments.

3. MULTI-LOCUS, COALESCENT-BASED METHODS INCREASE OBJECTIVITY IN SPECIES DELIMITATION:
 Multi-locus data also capture the stochasticity inherent in the coalescent, including gene tree incongruence stemming from incomplete lineage sorting, variation in molecular sequences and variation in demographic parameters , all of which must be modelled to achieve accurate species delimitation with molecular genetic data.",""
"Properties of Consensus Methods for Inferring Species Trees from Gene Trees","https://scispace.com/paper/degnan-et-al-2009-properties-of-consensus-methods-for-64z53tib","2009","","Systematic Biology","James H. Degnan
Michael Degiorgio
David Bryant
Noah A. Rosenberg","10.1093/sysbio/syp008","https://scispace.com/records/degnan-et-al-2009-properties-of-consensus-methods-for-64z53tib","1. CONCLUSIONS:
 The only feature of the multispecies coalescent model used in proving the consistency of the R * method is the fact that in this model, 3-taxon re-lationships that occur in the species tree are also expected to occur in the gene-tree distribution.

2. ASSUMPTIONS AND DEFINITIONS:
 The set of rooted triples for all n 3 subsets of 3 taxa uniquely identifies the species tree ; thus, the RACT is always fully resolved under the multispecies coalescent model.

3. CONCLUSIONS:
 The fact that under the multispecies coalescent model R * trees are asymptotically guaranteed to be fully resolved and to match the species-tree topology means that the R * procedure is not only not misleading but is also a statistically consistent estimator of the species-tree topology.","Consensus methods provide a useful strategy for summarizing information from a collection of gene trees. An important application of consensus methods is to combine gene trees to estimate a species tree. To investigate the theoretical properties of consensus trees that would be obtained from large numbers of loci evolving according to a basic evolutionary model, we construct consensus trees from rooted gene trees that occur in proportion to gene-tree probabilities derived from coalescent theory. We consider majority-rule, rooted triple (R*), and greedy consensus trees obtained from known, rooted gene trees, both in the asymptotic case as numbers of gene trees approach infinity and for finite numbers of genes. Our results show that for some combinations of species-tree branch lengths, increasing the number of independent loci can make the rooted majority-rule consensus tree more likely to be at least partially unresolved. However, the probability that the R* consensus tree has the species-tree topology approaches 1 as the number of gene trees approaches ∞. Although the greedy consensus algorithm can be the quickest to converge on the correct species-tree topology when increasing the number of gene trees, it can also be positively misleading. The majority-rule consensus tree is not a misleading estimator of the species-tree topology, and the R* consensus tree is a statistically consistent estimator of the species-tree topology. Our results therefore suggest a method for using multiple loci to infer the species-tree topology, even when it is discordant with the most likely gene tree. [Anomalous gene tree; coalescence; discordance; lineage sorting; phylogenetics; statistical consistency.]"
"Measuring Branch Support in Species Trees Obtained by Gene Tree Parsimony","https://scispace.com/paper/joly-and-bruneau-2009-measuring-branch-support-in-species-4p0j8tuc","2009","","Systematic Biology","Simon Joly
Anne Bruneau","10.1093/sysbio/syp013","https://scispace.com/records/joly-and-bruneau-2009-measuring-branch-support-in-species-4p0j8tuc","1. Abstract:
 The 4 methods were tested for several species trees and for different sampling efforts (i.e., number of genes and individuals sampled) using coalescent simulations. PPGTS performed best overall with lowest Type I and II error rates, followed by BLC. The BL and BC methods had higher error rates.

2. Comparison of the Methods:
 This means that several sequences will not coalesce within the species lineage and that coalescent events will occur along internal branches of the species tree, leading to incongruent gene trees.","Several methods have recently been developed that allow the reconstruction of species trees from gene trees, an important achievement in our ongoing quest to obtain reliable species phylogenies. However, considerably less attention has been given to evaluating the accuracy of species trees' estimates. Four methods for measuring branch support of species trees are tested in this study in a gene tree parsimony framework: 1) bootstrap lineages (BL) (sequences) within species, 2) bootstrap characters (BC) within genes (i.e., the standard nonparametric bootstrap), 3) bootstrap lineages and characters (BLC), and 4) posterior probability gene tree sampling (PPGTS) (where, for each resampled data set, gene trees are sampled according to their posterior probability). For each method, n species trees are reconstructed from n resampled data sets and the branch support consists in the percentage of the n species trees in which a branch is recovered. The 4 methods were tested for several species trees and for different sampling efforts (i.e., number of genes and individuals sampled) using coalescent simulations. PPGTS performed best overall with lowest Type I and II error rates, followed by BLC. The BL and BC methods had higher error rates. This suggests that in order to properly measure branch support in a species tree context, it is important to account for the uncertainty involved in reconstructing gene trees from DNA sequences as well as that involved in reconstructing the species tree from individual gene trees. With the parameters used in the simulations, sampling more individuals per species resulted in similar improvements in support values as when sampling more genes. Moreover, sampling more individuals per species appeared to be important for escaping the anomaly zone present when only 1 sequence was sampled. We also apply the 4 methods to obtain branch supports for the species phylogeny of diploid wild roses (Rosa) in North America. [Branch support; coalescent theory; gene trees; gene tree parsimony; incomplete lineage sorting; nonparametric bootstrap; species trees.]"
