"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Species-Specific Responses to Paleoclimatic Changes and Landscape Barriers Drive Contrasting Phylogeography of Co-Distributed Lemur Species in Northeastern Madagascar","https://scispace.com/paper/species-specific-responses-to-paleoclimatic-changes-and-wduj18w49lvn","2025","Journal Article","","Tobias van Elst
Dominik Schüßler
Stephan Michel Rafamantanantsoa
Tahiriniaina Radriarimanga
Naina R. Rabemananjara
David W. Rasolofoson
R. Domenico Randimbiharinirina
Paul D. Etter
Ute Radespiel","10.3929/ethz-c-000790505","","River barriers have long played a central role in diversification models of tropical regions, including the exceptionally biodiverse island Madagascar. Although their role is best understood by integrating additional factors such as elevation and the ecological niche of a species, empirical studies integrating these variables remain rare. We used restriction site-associated DNA sequencing to assess the combined effect of rivers, topography, climate and forest cover on the distributions and diversity of four Microcebus and two Avahi species (Primates, Lemuriformes) in northeastern Madagascar. We inferred population structure, gene flow and genetic diversity, and assessed the association of these ecogeographic variables and genetic differentiation using isolation-by-resistance models. Our results show that significant differences in genetic diversity and connectivity among species can be explained by species-specific responses to landscape features and phylogeographic histories. Specifically, rivers present general barriers to gene flow, but dispersal between inter-river systems is possible via high-elevation headwater regions. While this led to high connectivity and genetic diversity in M. lehilahytsara and A. laniger, gene flow among M. jonahi populations is limited by low climatic niche suitability at higher elevations. Moreover, the more restricted distributions of M. macarthurii, M. simmonsi and A. mooreorum likely resulted from refugial dynamics and sea level fluctuations leading to allopatric divergence and microendemism. Together, the findings illustrate how ecological differences among species and temporal landscape dynamics mediate the role of rivers as dispersal barriers. They also highlight the importance of prioritising river headwaters and topographically complex regions, which were shown to promote connectivity, in conservation efforts. ","Northeastern Madagascar's lemur species exhibit contrasting phylogeography due to species-specific responses to paleoclimatic changes, landscape barriers, and ecological niches, with rivers acting as general barriers to gene flow but high-elevation headwaters facilitating connectivity in some species."
"Final report of DFG project: The use of comparative phylogeographic and ecologic modelling to disentangle interacting evolutionary processes in contrasting Malagasy lemur clades (Microcebus spp., Avahi spp.))","https://scispace.com/paper/final-report-of-dfg-project-the-use-of-comparative-y8ahh4stara2","2025","Journal Article","","Radespiel, Ute","10.5281/zenodo.15783043","","Species formation processes are diverse and complex. They can be influenced by topographical barriers but also by ecological mechanisms, e.g. differential flexibility in habitat selection or different mobility between habitats. Most previous studies have analysed the simultaneous role of only a few factors for the evolution of species. We investigated the simultaneous influence of several important factors on the diversification of nocturnal lemurs, mainly in eastern Madagascar. Two genera, the small, species-rich mouse lemurs (Microcebus spp.: 7 species) and the medium-sized woolly lemurs (Avahi spp.: 2 species) were selected as models. ","This study investigates the simultaneous influence of topographical barriers, ecological mechanisms, and habitat selection on the diversification of nocturnal lemurs in eastern Madagascar, using Microcebus and Avahi spp. as model species to disentangle interacting evolutionary processes."
"Diversification processes in Gerp's mouse lemur demonstrate the importance of rivers and altitude as biogeographic barriers in Madagascar's humid rainforests","https://scispace.com/paper/diversification-processes-in-gerp-s-mouse-lemur-demonstrate-1ned4zh0","2023","Journal Article","Ecology and Evolution","Tobias van Elst
Dominik Schüßler
Romule Rakotondravony
Anne Veillet
Paul A. Hohenlohe
Jonah Ratsimbazafy
Rodin M. Rasoloarison
Solofonirina Rasoloharijaona
Blanchard Randrianambinina
Miarisoa L. Ramilison
Anne D. Yoder
Edward E. Louis
Ute Radespiel","10.1002/ece3.10254","","Abstract Madagascar exhibits exceptionally high levels of biodiversity and endemism. Models to explain the diversification and distribution of species in Madagascar stress the importance of historical variability in climate conditions which may have led to the formation of geographic barriers by changing water and habitat availability. The relative importance of these models for the diversification of the various forest‐adapted taxa of Madagascar has yet to be understood. Here, we reconstructed the phylogeographic history of Gerp's mouse lemur (Microcebus gerpi) to identify relevant mechanisms and drivers of diversification in Madagascar's humid rainforests. We used restriction site associated DNA (RAD) markers and applied population genomic and coalescent‐based techniques to estimate genetic diversity, population structure, gene flow and divergence times among M. gerpi populations and its two sister species M. jollyae and M. marohita. Genomic results were complemented with ecological niche models to better understand the relative barrier function of rivers and altitude. We show that M. gerpi diversified during the late Pleistocene. The inferred ecological niche, patterns of gene flow and genetic differentiation in M. gerpi suggest that the potential for rivers to act as biogeographic barriers depended on both size and elevation of headwaters. Populations on opposite sides of the largest river in the area with headwaters that extend far into the highlands show particularly high genetic differentiation, whereas rivers with lower elevation headwaters have weaker barrier functions, indicated by higher migration rates and admixture. We conclude that M. gerpi likely diversified through repeated cycles of dispersal punctuated by isolation to refugia as a result of paleoclimatic fluctuations during the Pleistocene. We argue that this diversification scenario serves as a model of diversification for other rainforest taxa that are similarly limited by geographic factors. In addition, we highlight conservation implications for this critically endangered species, which faces extreme habitat loss and fragmentation.","In this paper , the authors reconstructed the phylogeographic history of Gerp's mouse lemur (Microcebus gerpi) to identify relevant mechanisms and drivers of diversification in Madagascar's humid rainforests."
"Impact of model assumptions on demographic inferences: the case study of two sympatric mouse lemurs in northwestern Madagascar.","https://scispace.com/paper/impact-of-model-assumptions-on-demographic-inferences-the-2lm5yx82rv","2021","","","H. Teixeira
Jordi Salmona
Armando Arredondo
Beatriz Mourato
Sophie Manzi
Romule Rakotondravony
Olivier Mazet
Lounès Chikhi
Lounès Chikhi
Julia Metzger
Ute Radespiel","10.1186/S12862-021-01929-Z","","Background Quaternary climate fluctuations have been acknowledged as major drivers of the geographical distribution of the extraordinary biodiversity observed in tropical biomes, including Madagascar. The main existing framework for Pleistocene Malagasy diversification assumes that forest cover was strongly shaped by warmer Interglacials (leading to forest expansion) and by cooler and arid glacials (leading to forest contraction), but predictions derived from this scenario for forest-dwelling animals have rarely been tested with genomic datasets. Results We generated genomic data and applied three complementary demographic approaches ( Stairway Plot , PSMC and IICR -simulations) to infer population size and connectivity changes for two forest-dependent primate species ( Microcebus murinus and M. ravelobensis ) in northwestern Madagascar. The analyses suggested major demographic changes in both species that could be interpreted in two ways, depending on underlying model assumptions (i.e., panmixia or population structure). Under panmixia, the two species exhibited larger population sizes across the Last Glacial Maximum (LGM) and towards the African Humid Period (AHP). This peak was followed by a population decline in M. ravelobensis until the present, while M. murinus may have experienced a second population expansion that was followed by a sharp decline starting 3000 years ago. In contrast, simulations under population structure suggested decreasing population connectivity between the Last Interglacial and the LGM for both species, but increased connectivity during the AHP exclusively for M. murinus . Conclusion Our study shows that closely related species may differ in their responses to climatic events. Assuming that Pleistocene climatic conditions in the lowlands were similar to those in the Malagasy highlands, some demographic dynamics would be better explained by changes in population connectivity than in population size. However, changes in connectivity alone cannot be easily reconciled with a founder effect that was shown for M. murinus during its colonization of the northwestern Madagascar in the late Pleistocene. To decide between the two alternative models, more knowledge about historic forest dynamics in lowland habitats is necessary. Altogether, our study stresses that demographic inferences strongly depend on the underlying model assumptions. Final conclusions should therefore be based on a comparative evaluation of multiple approaches.","In this article, the authors applied three complementary demographic approaches (Stairway Plot, PSMC and IICR -simulations) to infer population size and connectivity changes for two forest-dependent primate species (Microcebus murinus and M. ravelobensis ) in northwestern Madagascar."
"Phylogeographic analysis of Goodman's mouse lemur reveals historical interconnectivity of Madagascar's Central Highlands and eastern rainforests","https://scispace.com/paper/phylogeographic-analysis-of-goodman-s-mouse-lemur-reveals-l29zd5suvq","2020","Posted Content","bioRxiv","George P. Tiley
Marina B. Blanco
José M. Ralison
Rodin M. Rasoloarison
Amanda R Stalhke
Paul A. Hohenlohe
Anne D. Yoder","10.1101/2020.01.30.923300","","The Central Highland Plateau of Madagascar is largely composed of savannah, interspersed with patches of closed-canopy forests. The origins of this landscape are now accepted as long preceding the arrival of humans in Madagascar, but whether savannah vegetation has remained static or expanded over time remains a topic of debate. By analyzing multiple populations of Goodman9s mouse lemur (Microcebus lehilahytsara), a small-bodied nocturnal primate, we reconstruct its phylogeographic and demographic history to serve as a proximal estimate of the time at which the Central Highland and eastern forests became discontinuous. We applied coalescent methods to RADseq data to infer phylogeographic relationships, population structure, and migration corridors among sampling sites. Analyses revealed that forest fragmentation occurred rapidly and affected both the Central Highlands and eastern forests during a period of decreased precipitation near the last glacial maximum. There was clear structure between Central Highland populations versus those of the eastern rainforests, but there has also been historical migration across this presumed gene flow barrier. Findings support origins of the Central Highland savannah that predate human arrival and demonstrate that this natural landscape has long impacted the population dynamics of Goodman9s mouse lemur.","In this paper, the authors analyzed multiple populations of Goodman9s mouse lemur (Microcebus lehilahytsara), a small-bodied nocturnal primate, and reconstructed its phylogeographic and demographic history to serve as a proximal estimate of the time at which the Central Highland and eastern forests became discontinuous."
"Population genomic structure in Goodman’s mouse lemur reveals long-standing separation of Madagascar’s Central Highlands and eastern rainforests","https://scispace.com/paper/population-genomic-structure-in-goodman-s-mouse-lemur-3uprwmihi7","2020","Posted Content","bioRxiv","George P. Tiley
Marina B. Blanco
José M. Ralison
Rodin M. Rasoloarison
Rodin M. Rasoloarison
Amanda R. Stahlke
Paul A. Hohenlohe
Anne D. Yoder","10.1101/2020.01.30.923300","","The Central Highland Plateau of Madagascar is largely composed of grassland savanna, interspersed with patches of closed-canopy forest. Conventional wisdom has it that these grasslands are anthropogenic in nature, having been created very recently via human agricultural practices. Yet, the ancient origins of the endemic grasses suggest that the extensive savannas are natural biomes, similar to others found around the globe. We use a phylogeographic approach to compare these two competing scenarios. By sampling multiple populations of Goodman’s mouse lemur (Microcebus lehilahytsara), a small-bodied nocturnal primate, we reconstruct the phylogeographic and demographic history of these “environmental metronomes” to estimate the time at which their populations diverged, and thus proximally, when their habitats would have become fragmented. We applied coalescent methods to RADseq data to infer phylogenetic relationships, population structure, and migration corridors among sampling sites. These analyses indicate that forest fragmentation occurred rapidly during a period of decreased precipitation near the last glacial maximum and would have affected both the Central Highlands and eastern forests. Though there is clear genomic structure separating the populations of the Central Highland from those of the eastern rainforests, there is also evidence of historical migration between them. Findings support the hypothesis that the Central Highland savanna predates human arrival, indicating that it is a natural landscape that has long impacted the population dynamics of Goodman’s mouse lemur, and by extension, other forest-dwelling organisms in Madagascar.","The hypothesis that the Central Highland savanna predates human arrival is supported, indicating that it is a natural landscape that has long impacted the population dynamics of Goodman’s mouse lemur, and by extension, other forest-dwelling organisms in Madagascar."
"Genetic Differentiation and Demographic History of the Northern Rufous Mouse Lemur (Microcebus tavaratra) Across a Fragmented Landscape in Northern Madagascar","https://scispace.com/paper/genetic-differentiation-and-demographic-history-of-the-4ib3op1rj3","2018","Journal Article","International Journal of Primatology","Gabriele Maria Sgarlata
Jordi Salmona
Jordi Salmona
Jordi Salmona
Isa Aleixo-Pais
Isa Aleixo-Pais
Ando Rakotonanahary
Ana Priscila Sousa
Celia Kun-Rodrigues
Tantely Ralantoharijaona
Fabien Jan
Radavison Zaranaina
Emmanuel Rasolondraibe
John R. Zaonarivelo
Nicole Volasoa Andriaholinirina
Lounès Chikhi
Lounès Chikhi
Lounès Chikhi","10.1007/S10764-018-0015-0","","Phylogeographic barriers, together with habitat loss and fragmentation, contribute to the evolution of a species’ genetic diversity by limiting gene flow and increasing genetic differentiation among populations. Changes in connectivity can thus affect the genetic diversity of populations, which may influence the evolutionary potential of species and the survival of populations in the long term. We studied the genetic diversity of the little known Northern rufous mouse lemur (Microcebus tavaratra), endemic to Northern Madagascar. We focused on the population of M. tavaratra in the Loky–Manambato region, Northern Madagascar, a region delimited by two permanent rivers and characterized by a mosaic of fragmented forests. We genotyped 148 individuals at three mitochondrial loci (D-loop, cytb, and cox2) in all the major forests of the study region. Our analyses suggest that M. tavaratra holds average genetic diversity when compared to other mouse lemur species, and we identified two to four genetic clusters in the study region, a pattern similar to that observed in another lemur endemic to the region (Propithecus tattersalli). The main cluster involved samples from the two mountain forests in the study region, which were connected until recently. However, the river crossing the study region does not appear to be a strict barrier to gene flow in M. tavaratra. Finally, the inferred demographic history of M. tavaratra suggests no detectable departure from stationarity over the last millennia. Comparisons with codistributed species (P. tattersalli and two endemic rodents, Eliurus spp.) suggest both differences and similarities in the genetic clusters identified (i.e., barriers to species dispersal) and in the inferred demographic history. These comparisons suggest that studies of codistributed species are important to understand the effects of landscape features on species and to reconstruct the history of habitat changes in a region.","The authors' analyses suggest that M. tavaratra holds average genetic diversity when compared to other mouse lemur species, and two to four genetic clusters in the study region, a pattern similar to that observed in another lemur endemic to the region (Propithecus tattersalli)."
"Messing about on the river: the role of geographic barriers in shaping the genetic structure of Bornean small mammals in a fragmented landscape","https://scispace.com/paper/messing-about-on-the-river-the-role-of-geographic-barriers-auif5ixbya","2019","Journal Article","Conservation Genetics","Jennifer Brunke
Ute Radespiel
Isa-Rita M. Russo
Michael William Bruford
Benoit Goossens","10.1007/S10592-019-01159-3","","Landscape features may restricting dispersal and gene flow, and increase demographic isolation among sub-populations. In addition, landscape features may represent potential dispersal barriers depending on species vagility. To predict the persistence of populations and to formulate adequate conservation measures it is essential to understand the ability of species to transverse landscape barriers. Using population genetic techniques we assessed the importance of physical barriers along the Kinabatangan River for a suite of non-volant small mammals. Cytochrome b sequence variation was examined for each of the 19 species sampled across both riverbanks. Haplotype networks and molecular variance analyses indicated contrasting patterns of genetic isolation between riversides for different taxa. Genetic isolation between riversides ranged from moderate to complete in tree shrews and squirrels, whereas no isolating effect could be detected in murids and gymnures. Although genetic divergence between forest fragments on the same side of the river could only be studied in a subset of six species, the results suggest an additional dispersal barrier for two of these studied species. While barrier effects of a paved road and tributaries could not be verified, large oil palm plantations seem to have disrupted gene flow in these species. Furthermore, the findings suggest higher genetic connectivity on the more continuously forested compared to the more fragmented riverside, and underline the importance of forest corridors as essential conservation measures to maintain genetic diversity in a fragmented landscape such as that along the Kinabatangan River.","The findings suggest higher genetic connectivity on the more continuously forested compared to the more fragmented riverside, and underline the importance of forest corridors as essential conservation measures to maintain genetic diversity in a fragmented landscape such as that along the Kinabatangan River."
"Forest refugia and riverine barriers promote diversification in the West African pygmy shrew (Crocidura obscurior complex, Soricomorpha)","https://scispace.com/paper/forest-refugia-and-riverine-barriers-promote-diversification-1aknhscluq","2014","Journal Article","Zoologica Scripta","François Jacquet
Violaine Nicolas
Marc Colyn
Blaise Kadjo
Rainer Hutterer
Jan Decher
Bertin Akpatou
Corinne Cruaud
Christiane Denys","10.1111/ZSC.12039","","The Crocidura obscurior or West African pygmy shrew complex is endemic to West African forests from south-eastern Guinea, eastern Liberia, southern Cote d'Ivoire and south-western Ghana. We explore the genetic and morphometric diversity of 239 individuals of the C. obscurior complex from 17 localities across its geographical range. Using genetic data from three mitochondrial (16S, cytochrome b and COI) and four nuclear markers (BRCA1, STAT5A, HDAC2 and RIOK3) and skull geometric morphometrics, we show that this complex is composed of two cryptic and sympatric species, C. obscurior and C. eburnea. We then test several hypotheses to infer their evolutionary history. The observed phylogeographical pattern based on cytochrome b and COI sequences fits the forest refuge theory: during arid phases of the Plio-Pleistocene, around 3.5, 2.1, 1 and 0.5 Mya, a small number of populations survived in isolated forest patches and diverged allopatrically. During wetter climatic periods, forests expanded, leading to secondary contacts between previously isolated populations. Our results also suggest the possible contribution of episodes of isolation in subrefuges. Historical variation of the West African hydrographic network could also have contributed to the observed patterns of genetic differentiation. Rivers such as the Volta and Sassandra may act as past and/or current barriers to gene flow. Although these two species have sympatric distributions, their phylogeographical histories are somewhat dissimilar due to small differences in their dispersal abilities and ecological requirements.","The observed phylogeographical pattern based on cytochrome b and COI sequences fits the forest refuge theory: during arid phases of the Plio‐Pleistocene, a small number of populations survived in isolated forest patches and diverged allopatrically, leading to secondary contacts between previously isolated populations."
"The phylogeography of the rodent genus Malacomys suggests multiple Afrotropical Pleistocene lowland forest refugia","https://scispace.com/paper/the-phylogeography-of-the-rodent-genus-malacomys-suggests-4qibpnn1pa","2015","Journal Article","Journal of Biogeography","Kouakou Hilaire Bohoussou
Raphaël Cornette
Bertin Akpatou
Marc Colyn
Julian C. Kerbis Peterhans
Jan Kennis
Radim Šumbera
Erik Verheyen
Erik Verheyen
Eliézer K. N’Goran
Pionus Katuala
Violaine Nicolas","10.1111/JBI.12570","","Aim This study aims to reconstruct the evolutionary history of the African rodent genus Malacomys and to identify factors driving diversification within this genus.Location African tropical lowland forest.Methods Analyses were based on sampling representatives from most of the known geographical range of the genus. We assessed genetic structure and historical biogeography using a combination of mitochondrial and nuclear markers. Morphological differences between lineages were analysed using a geometric morphometric approach.Results Three species of Malacomys are recognized within the genus. Two are endemic to West Africa, and one is endemic to Central Africa. Our analyses reveal a strong phylogeographical structure with 13 lineages, most of them allopatric or parapatric. A complex biogeographical history, including dispersal–vicariance events, explains the current genetic structure of Malacomys. Discrete divergence events within the genus are dated to the mid-Pliocene (3.7 Ma, 95% range: 2.4–5.2 Ma) and the Pleistocene (less than 1.9 Ma, with most events less than 1 Ma). Morphological variation is partly congruent with genetic structure and may indicate local adaptations.Main conclusions Climatic oscillations, which led to periodic fragmentation of the forest habitat, seem to be the major driver of diversification within this genus. Our results support the existence of multiple small, rather than a few large, forest refugia during glacial maxima. Rivers have played a significant role in shaping boundaries of several regional haplogroups, either by promoting diversification or by preventing secondary contact between previously isolated lineages.","This study aims to reconstruct the evolutionary history of the African rodent genus Malacomys and to identify factors driving diversification within this genus."
