"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Primates on Mt. Kasigau, Kaya Rabai, and along the Tana River, Kenya: Preparing for Red List Assessments and Conservation Action","https://scispace.com/paper/butynski-and-box-primates-on-mt-kasigau-kaya-rabai-and-along-0spcxx9z","2004","","","Thomas M. Butynski
Yvonne A. de Jong","","https://scispace.com/records/butynski-and-box-primates-on-mt-kasigau-kaya-rabai-and-along-0spcxx9z","1. Introduction & Background:
 Primates are an especially important taxonomic group for the focus of conservation actions in the ""Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya Biodiversity Hotspot"" (EACF Hotspot). The EACF Hotspot supports no fewer than nine endemic species and five endemic (or near-endemic) subspecies of primates.","The Kenya coast galago Galagoides cocos is a recently designated species, and one with a complicated history of binomial and trinomial name changes, and synonymy. This article provides a summary review of these name changes. The upgrading of Galagoides zanzibaricus cocos to a species is based primarily upon the great difference recently found between the species-specific loud call of lesser galagos at Diani, Kenya (that were assumed to be G. cocos but for which identity needed confirmation), and the loud call of the nominotypical Zanzibar galago G. zanzibaricus zanzibaricus. The loud call of C. cocos at the type locality, Mazeras, remained unknown. Diani and Mazeras are ca. 40 km apart. Here we confirm that the loud call of G. cocos at Mazeras is the same as that for the lesser galago at Diani. In short the lesser galagos at these two localities are conspecific. As such, the name 'cocos' is the correct name to apply to the Kenya coastal galago."
"Dispersal to or from an African biodiversity hotspot?","https://scispace.com/paper/blackburn-and-measey-2009-dispersal-to-or-from-an-african-463lwhsu","2009","","Molecular Ecology","D. C. Blackburn
G. J. Measey","10.1111/j.1365-294X.2009.04156.x","https://scispace.com/records/blackburn-and-measey-2009-dispersal-to-or-from-an-african-463lwhsu","1. Abstract:
 We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa.

2. Introduction:
 Of these hotspots, the Eastern Arc Mountains and coastal forests of Tanzania and Kenya, hereafter referred to simply as the Eastern Arc, are of special note because they contain the highest known concentration of endemic plants and vertebrates in the entire world .

3. Phylogeography:
 The origin and initial diversification of lineages within A. xenodactyloides thus occurred within the Eastern Arc with subsequent dispersal to the Malawian mountains and, presumably, those farther south in Zimbabwe. The PMM estimated that h 2 = 1 (variance = 70.38; log likelihood = -13.66),","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution."
"Management Decentralization and Montane Forest Conditions in Tanzania","https://scispace.com/paper/persha-and-blomley-2009-management-decentralization-and-7n4gk28k","2009","","Conservation Biology","Lauren Persha
Tom Blomley","10.1111/j.1523-1739.2009.01276.x","https://scispace.com/records/persha-and-blomley-2009-management-decentralization-and-7n4gk28k","1. Study Area:
 The West Usambara Mountains, Tanzania, are part of the Eastern Arc Mountains biodiversity hotspot and are a priority area for conservation .","We examined how differences in local forest-management institutions relate to disparate anthropogenic forest disturbance and forest conditions among three neighboring montane forests in Tanzania under centralized, comanaged, or communal management. Institutional differences have been shaped by decentralization reforms. We conducted semistructured interviews with members of forest management committees, local government, and village households and measured anthropogenic disturbance, tree structure, and species composition in forest plots. We assessed differences in governance system components of local institutions, including land tenure, decision-making autonomy by forest users, and official and de facto processes of rule formation, monitoring, and enforcement among the three management strategies. We also assessed differences in frequencies of prohibited logging and subsistence pole cutting, and measures of forest condition. An adjacent research forest served as an ecological reference for comparison of forest conditions. Governance was similar for comanaged and centralized management, whereas communal managers had greater tenure security and decision-making autonomy over the use and management of their forest. There was significantly less illegal logging in the communal forest, but subsistence pole cutting was common across all management strategies. The comanaged forest was most disturbed by recent logging and pole cutting, as were peripheral areas of the larger centralized forest. This manifested in more degraded indicators of forest conditions (lower mean tree size, basal area, density of trees ≥ 90 cm dbb, and aboveground biomass and higher overall stem density). Greater tenure security and institutional autonomy of the communal strategy contributed to more effective management, less illegal logging, and maintenance of good forest conditions, but generating livelihood benefits was a challenge for both decentralized strategies. Our results underscore the importance of well-designed institutional arrangements in forest management and illustrate mechanisms for improved forest governance and conservation in the context of Tanzanian decentralization reforms."
"Coalescent models reveal the relative roles of ancestral polymorphism, vicariance, and dispersal in shaping phylogeographical structure of an African montane forest robin","https://scispace.com/paper/bowie-et-al-2006-coalescent-models-reveal-the-relative-roles-1sy23px3","2005","","Molecular Phylogenetics and Evolution","Rauri C.K. Bowie
Jon Fjeldså
Shannon J. Hackett
John M. Bates
Timothy M. Crowe","10.1016/j.ympev.2005.06.001","https://scispace.com/records/bowie-et-al-2006-coalescent-models-reveal-the-relative-roles-1sy23px3","1. Eastern Arc, UWpa and Malawi rifts:
 Both of the taxa from Mt. Kilimanjaro and the Chyulu Hills have unique haplotypes (Table ).

2. Clade:
 Therefore, it is doubtful that birds are dispersing across central Tanzania, and more likely that the haplotypes shared between the Albertine Rift (region B) and south-central Eastern Arc (region D) are a consequence of incomplete lineage sorting.

3. Eastern Arc, UWpa and Malawi rifts:
 Examination of gene Xow (Fig. , Table ) reveals that little to no gene Xow exists within the Eastern Arc, with the wide gap of arid-lowland savannah separating the Nguru Mts (region D) from the northern Usambara and Pare Mts (region C).","Although many studies have documented the effect of glaciation on the evolutionary history of Northern Hemisphere flora and fauna, this study is the first to investigate how the indirect aridification of Africa caused by global cooling in response to glacial cycles at higher latitudes has influenced the evolutionary history of an African montane bird. Mitochondrial DNA sequences from the NADH 3 gene were collected from 283 individual Starred Robins (Pogonocichla stellata, Muscicapoidea). At least two major vicariant events, one that separated the Albertine Rift from all but the Kenyan Highlands around 1.3-1.2 Myrs BP, and another that separated the Kenyan Highlands from the northern Eastern Arc, and the northern Eastern Arc from the south-central Eastern Arc between 0.9 and 0.8 Myrs BP appear to underlie much of the observed genetic diversity and structure within Starred Robin populations. These dates of divergence suggest a lack of recurrent gene flow; although the Albertine Rift and south-central Eastern Arc share haplotypes, based on coalescent analyses this can confidently be accounted for by ancestral polymorphism as opposed to recurrent gene flow. Taken collectively, strong evidence exists for recognition of four major ancestral populations: (1) Kenyan Highlands (subspecies keniensis), (2) Albertine Rift (ruwenzori), (3) northern Eastern Arc (helleri), and (4) south-central Eastern Arc, Ufipa and the Malawi Rift (orientalis). The estimated divergence times cluster remarkably around one of the three estimated peaks of aridification in Africa during the Plio-Pleistocene centred on 1 Myrs BP. Further, time to most recent common ancestor (TMRCA) estimates (1.7-1.6 Myrs BP) of gene divergence between the Albertine Rift and the other montane highlands corresponds closely with a second estimated peak of aridification at about 1.7 Myrs BP. Collectively, these results suggest that aridification of Africa in response to glaciation at higher latitudes during the Pleistocene has had a profound influence on montane speciation in east and central Africa. © 2005 Elsevier Inc. All rights reserved."
"Coalescent models reveal the relative roles of ancestral polymorphism, vicariance, and dispersal in shaping phylogeographical structure of an African montane forest robin","https://scispace.com/paper/bowie-et-al-2006-coalescent-models-reveal-the-relative-roles-8zd5yn7t","2005","","Molecular Phylogenetics and Evolution","Rauri C.K. Bowie
Jon Fjeldså
Shannon J. Hackett
John M. Bates
Timothy M. Crowe","10.1016/j.ympev.2005.06.001","https://scispace.com/records/bowie-et-al-2006-coalescent-models-reveal-the-relative-roles-8zd5yn7t","1. Eastern Arc, UWpa and Malawi rifts:
 Both of the taxa from Mt. Kilimanjaro and the Chyulu Hills have unique haplotypes (Table ).

2. Clade:
 Therefore, it is doubtful that birds are dispersing across central Tanzania, and more likely that the haplotypes shared between the Albertine Rift (region B) and south-central Eastern Arc (region D) are a consequence of incomplete lineage sorting.

3. Eastern Arc, UWpa and Malawi rifts:
 Examination of gene Xow (Fig. , Table ) reveals that little to no gene Xow exists within the Eastern Arc, with the wide gap of arid-lowland savannah separating the Nguru Mts (region D) from the northern Usambara and Pare Mts (region C).","Although many studies have documented the effect of glaciation on the evolutionary history of Northern Hemisphere flora and fauna, this study is the first to investigate how the indirect aridification of Africa caused by global cooling in response to glacial cycles at higher latitudes has influenced the evolutionary history of an African montane bird. Mitochondrial DNA sequences from the NADH 3 gene were collected from 283 individual Starred Robins (Pogonocichla stellata, Muscicapoidea). At least two major vicariant events, one that separated the Albertine Rift from all but the Kenyan Highlands around 1.3-1.2 Myrs BP, and another that separated the Kenyan Highlands from the northern Eastern Arc, and the northern Eastern Arc from the south-central Eastern Arc between 0.9 and 0.8 Myrs BP appear to underlie much of the observed genetic diversity and structure within Starred Robin popula-tions. These dates of divergence suggest a lack of recurrent gene flow; although the Albertine Rift and south-central Eastern Arc share haplotypes, based on coalescent analyses this can confidently be accounted for by ancestral polymorphism as opposed to recur-rent gene flow. Taken collectively, strong evidence exists for recognition of four major ancestral populations: (1) Kenyan Highlands (subspecies keniensis), (2) Albertine Rift (ruwenzori), (3) northern Eastern Arc (helleri), and (4) south-central Eastern Arc, Ufipa and the Malawi Rift (orientalis). The estimated divergence times cluster remarkably around one of the three estimated peaks of aridifica-tion in Africa during the Plio-Pleistocene centred on 1 Myrs BP. Further, time to most recent common ancestor (TMRCA) estimates (1.7-1.6 Myrs BP) of gene divergence between the Albertine Rift and the other montane highlands corresponds closely with a second estimated peak of aridification at about 1.7 Myrs BP. Collectively, these results suggest that aridification of Africa in response to gla-ciation at higher latitudes during the Pleistocene has had a profound influence on montane speciation in east and central Africa. ©2005 Elsevier Inc. All rights reserved."
"ECOSYSTEM PROFILE: EASTERN ARC MOUNTAINS & COASTAL FORESTS OF TANZANIA & KENYA","https://scispace.com/paper/2003ecosystemprofiletanzaniakenya-n5klb7ny","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2003ecosystemprofiletanzaniakenya-n5klb7ny","1. INTRODUCTION:
 The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots. It qualifies by virtue of its high endemicity and a severe degree of threat.

2. Tanzania:
 These are all Eastern Arc Mountains blocks.","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"Ecosystem Profile: Eastern Arc Mountains & Coastal Forests of Tanzania & Kenya","https://scispace.com/paper/2005cepfeasternarccoastalreport-wvu9noiy","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2005cepfeasternarccoastalreport-wvu9noiy","1. INTRODUCTION:
 The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots. It qualifies by virtue of its high endemicity and a severe degree of threat.

2. Tanzania:
 These are all Eastern Arc Mountains blocks.

3. Eastern Arc Mountains:
 Much of this is allocated to the restructuring of the Forestry Division in Tanzania and perhaps $5 million will be spent on activities broadly classed as forest conservation within the hotspot (including the Tanzanian coastal forests) during 2003.","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"A new species of Congosorex from the Eastern Arc Mountains, Tanzania, with significant biogeographical implications","https://scispace.com/paper/stanley-et-al-2005-a-new-species-of-congosorex-from-the-matrna1w","2004","","J. Zool., Lond.","W. T. Stanley
M. A. Rogers
R. Hutterer","10.1017/S0952836904006314","https://scispace.com/records/stanley-et-al-2005-a-new-species-of-congosorex-from-the-matrna1w","1. Keywords: Congosorex, shrews, Eastern Arc Mountains, Tanzania, biogeography","A new species of Congosorex is described. The new species occurs in Tanzania and is larger in external characteristics than the other two known species in the genus, with the longer tail being especially distinctive. The skull of the new species is wider, on average, than other Congosorex, but intermediate in greatest length. Previously undocumented characteristics that differentiate Congosorex from Myosorex are described. The presence of Congosorex in the Eastern Arc Mountains supports the theory that these mountains are refuges of ancient lineages of organisms with ties to the Guineo-Congolian region of Africa and that there was once a continuous swath of forest connecting these two areas."
"PRIMATES IN PERIL: The World's 25 Most Endangered Primates 2004–2006","https://scispace.com/paper/2006mittermeieretalprimatesperilprimcons-o7lhc0eh","2005","","","Russell A. Mittermeier
Cláudio Valladares-Pádua
Anthony B. Rylands
Ardith A. Eudey
Thomas M. Butynski
Jörg U. Ganzhorn
Rebecca Kormos
John M. Aguiar
Sally Walker","","https://scispace.com/records/2006mittermeieretalprimatesperilprimcons-o7lhc0eh","1. Introduction:
 Of those 14 hotspots, seven are considered the highest priority for primates; together they harbor 106 severely threatened species and subspecies, representing 46% of all threatened primate taxa.","In all the living world, primates are humanity's closest kindred—we can see ourselves in their eyes, thinking and feeling beings who use their hands as we do, to shape their surroundings and hold their family close. Surviving in tropical forests and savannas scattered across three continents, far widespread but nowhere safe, they live in a world which industrial humanity has long since forgotten. Their dawnsongs and duets rival the music of any bird; their faces are a riot of brilliant color, from sky-sharp blue to incandescent bronze. They are among the most beautiful and intelligent of tropical wonders, and they are among the most persecuted—relentlessly hunted for their meat and fur, bodies broken for dubious medicines, shot for stealing crops in fields which were once their home. All the forests of the world cannot satisfy the sum of human hunger: they are cut and burned, day and night, and the remnants of their grandeur will not long survive without our intervention. Thus no primate is entirely free from danger; but the few highlighted in this report are those whose very existence is in doubt. Each one named here is almost lost—each an entire race of beings, now reduced to a tattered remnant: two or three dozen in the worst of cases, a mere few hundred for the rest. To their greatest fortune, none so far have vanished; for despite the overwhelming loss of forests worldwide, we believe no primate has gone extinct in all the twentieth century. But bare survival should not deceive us: their luck is almost spent, and they cannot long withstand the dangers which steadily erode the final slivers of their habitat. From the Atlantic Forest of Brazil to the monsoon slopes of Madagascar, from the mountains of southwest China to the islands of Mentawai, these primates are caught between fading hope and hard oblivion. And if through our failure of action they should cease to exist, we will have lost our nearest companions, and a part of ourselves, from what wilderness remains in the world."
"Application to the PRIMATE ACTION FUND for the research project: “Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""","https://scispace.com/paper/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","2009","","PRIMATE ACTION FUND","Johan Karlsson","","https://scispace.com/records/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","1. Abstract:
 This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010.

2. Objectives:
 The objectives of this study are: A. To establish a preliminary taxonomic rank of three of the most isolated and esoteric populations of the nocturnal galagos The information that is gathered will serve as baseline data for a overarching genetic project planned for 2010 to establish a phylogeny based on DNA markers of dwarf galagos in the Eastern Afromontane Biodiversity Hotspot of Tanzania and Malawi.","African nocturnal primates of the family Galagidae (galagos) display species-specific sets of vocalizations that can contain up to 25 structurally distinct calls. This fact has been used to identify populations in the wild and has been especially effective when studying and the small (<200 grams) and elusive members of the Galagoides genera. There are currently 11 species of Galagoides recognized but the taxonomic rank of at least three is uncertain due to lack of behavioral and genetic data. Five Galagoides species can be found in Malawi, where of four are endemic: Malawi galago (Galagoides nyasae), Mt. Thyolo galago (G. sp. nov. 2), Kalwe small galago (Galagoides sp. nov. 1), and the Misuku Hills galago (Galagoides sp.), but their taxonomic rank is highly uncertain or undecided. The current conservation status of these three populations is tentative since the studies that identified them dates back 20 (Kalwe small and Misuku Hills galago) to 120 (Malawi galago) years, and no further field study has been carried out since. In the light of the described data deficiency, this study suggests a survey of the above described Galagoides species' type localities, to record each population's vocal repertoire, map their geographical distribution, local abundance, and establish their basic ecological preferences. The baseline data derived from this study will help to clarify the taxonomic status, the presence and abundance, the ecological requirements, and allow an up-to-date analysis of their conservation status. This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010."
