"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Speciation by Sensory Drive in the Paragalago zanzibaricus Species Complex","https://scispace.com/paper/speciation-by-sensory-drive-in-the-paragalago-zanzibaricus-2bdhffs73s","2021","Journal Article","International Journal of Primatology","Fabien Génin","10.1007/S10764-021-00213-7","","Cryptic animal species are often distinguishable by nonvisual communication signals used in specific-mate recognition. The three cryptic taxa comprising the Paragalago zanzibaricus species complex use distinct loud calls that do not obviously reflect molecular phylogenetic relationships. Paragalago granti and P. cocos both have incremental calls but are not sister taxa; P. cocos is the sister taxon to P. zanzibaricus, which has a rolling (trilling) call like that of P. rondoensis, one of the outliers to the complex. To test current hypotheses of species delimitation, I conducted 378 playback trials, using conspecific and heterospecific loud calls and recording both vocal responses and movement toward the speaker. To investigate the sensory drive hypothesis (acoustic adaptation), I measured reverberation duration of 215 short “yap” mobbing calls and examined 282 sonotopes (local soundscapes). I tested the hypothesis that different species’ ear lengths allow the animals to filter out interfering frequencies in local background noise. On Zanzibar Island, P. zanzibaricus responded solely to conspecific calls (23/32). In South Africa, P. granti individuals responded to conspecific calls (12/22) but also sometimes to P. cocos calls (9/22). In Kenya, P. cocos individuals responded to conspecific calls (34/40) but also sometimes to P. zanzibaricus calls (8/40). The three habitats showed differences in reverberation duration, and soundscapes differed in background orthopteran frequencies. Incremental calls probably evolved in the ancestor of the complex, in response to high levels of reverberation and a continuous backdrop of katydid stridulation in dry forest. Secondary evolution of trilling and decreased ear size probably evolved as result of decreased reverberation and higher frequency katydid interference in the P. cocos–P. zanzibaricus ancestor. A loss of short units in P. zanzibaricus probably occurred as result of decreased reverberation in thicket. The study validates the three species of the complex and provides information supporting speciation by sensory drive.","The study validates the three species of the Paragalago zanzibaricus species complex and provides information supporting speciation by sensory drive, and tests the hypothesis that different species’ ear lengths allow the animals to filter out interfering frequencies in local background noise."
"Species Boundaries within Morphologically Cryptic Galagos: Evidence from Acoustic and Genetic Data","https://scispace.com/paper/species-boundaries-within-morphologically-cryptic-galagos-3wjx3ad1ud","2019","Journal Article","Folia Primatologica","Luca Pozzi
Todd R. Disotell
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Marco Gamba","10.1159/000496972","","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests.","Investigating species boundaries between two putative highly cryptic species of Eastern dwarf galagos concludes that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group.","Using a multilocus approach, the results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates."
"S1 File -","https://scispace.com/paper/s1-file-n8epwagnr8q7","2016","Repository","","","10.1371/journal.pone.0163740.s001","","&lt;p&gt;&lt;b&gt;Table A.&lt;/b&gt; Information for tissue samples and GenBank accession codes for sequences. &lt;b&gt;Table B.&lt;/b&gt; Primers used for PCR. &lt;b&gt;Table C.&lt;/b&gt; Partitioning scheme and nucleotide substitution models for phylogenetic analyses. &lt;b&gt;Table D.&lt;/b&gt; Estimates of net evolutionary divergence. &lt;b&gt;Table E.&lt;/b&gt; Mean rates for molecular markers. &lt;b&gt;Table F.&lt;/b&gt; BioGeoBEARS outputs based on the *BEAST species tree. &lt;b&gt;Table G.&lt;/b&gt; BioGeoBEARS outputs based on the concatenated BEAST tree. &lt;b&gt;Matrix A.&lt;/b&gt; Unconstrained dispersal multiplier matrix. &lt;b&gt;Matrix B.&lt;/b&gt; Distance constrained dispersal multiplier matrix. &lt;b&gt;Matrix C.&lt;/b&gt; East-to-west (EWD) constrained dispersal multiplier matrix. &lt;b&gt;Matrix D.&lt;/b&gt; West-to-east (WWD) constrained dispersal multiplier matrix. &lt;b&gt;Figure A.&lt;/b&gt; Phylogenetic gene tree for COI. &lt;b&gt;Figure B.&lt;/b&gt; Phylogenetic gene tree for 16S. &lt;b&gt;Figure C.&lt;/b&gt; Phylogenetic gene tree for H3a. &lt;b&gt;Figure D.&lt;/b&gt; Phylogenetic gene tree for 28S. &lt;b&gt;Figure E.&lt;/b&gt; Chronogram inferred using the concatenated COI, 16S, H3a and 28S data. &lt;b&gt;Figure F.&lt;/b&gt; Species coalescence tree with node age estimates based COI, 16S, H3a and 28S. &lt;b&gt;Figure G.&lt;/b&gt; Ancestral range estimates based on the concatenated topology from BEAST.&lt;/p&gt; &lt;p&gt;(DOC)&lt;/p&gt; ",""
"Distribution, Population Density, and Behavior of Dwarf Galagos (Paragalago sp.) in Taita Hills, Kenya","https://scispace.com/paper/distribution-population-density-and-behavior-of-dwarf-1kekxnt25h","2023","Journal Article","International Journal of Primatology","Hanna Rosti
Janne Heiskanen
Simon K. Bearder
Benson Lombo
Henry Sebastian Pihlström
Petri Pellikka
Jouko Rikkinen","10.1007/s10764-023-00390-7","","Abstract A good understanding of taxonomy, distribution, and population density is needed for conservation. Scientific knowledge of dwarf galagos ( Paragalago sp.) remains limited. Two populations of Taita dwarf galagos survive in the largest remnants of moist montane forest in Taita Hills, Kenya. We obtained acoustic data on the two remaining populations using AudioMoths—small, passive recorders—more than 231 h in January and February 2021. We measured forest structure by using airborne LiDAR and ground-level observations and tested the influence of forest size and height, canopy coverage, and density on calls per hour as an indicator of population density. Forest size significantly affected population size. Taita dwarf galagos prefer dense canopy coverage, and they prefer the lower 20–30-m tall forest. Mbololo forest (185 ha) has steady population, whereas dwarf galagos are nearly extinct in Ngangao forest (120 ha). The calls of Taita dwarf galagos resemble those of Kenya coast dwarf galagos ( Paragalago cocos ). DNA studies are urgently needed to resolve the taxonomic status of both surviving populations of dwarf galagos in the Taita Hills. This simple study design should be conducted across African forests to obtain crucial knowledge for galago conservation. ","A simple study design should be conducted across African forests to obtain crucial knowledge for galago conservation and test the influence of forest size and height, canopy coverage, and density on calls per hour as an indicator of population density."
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene.","This study suggests that galagid evolution and diversification was affected by three major climatic episodes: the global cooling and forest contraction in the Early Oligocene, the forest expansion and the uplift of the African rifts in the Miocene, and the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex.","https://scispace.com/paper/cryptic-diversity-and-species-boundaries-within-the-35mpmiaq7i","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/J.YMPEV.2020.106887","","","This study explores species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods and concludes that these three lineages represent valid cryptic species."
"Quantitatively defining species boundaries with more efficiency and more biological realism","https://scispace.com/paper/quantitatively-defining-species-boundaries-with-more-ap81yfv5","2022","Journal Article","Communications biology","Jordan Douglas
Remco R. Bouckaert","10.1038/s42003-022-03723-z","","Abstract We introduce a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods. We extend a threshold-based method to allow the ancestral speciation rate to vary through time as a smooth piecewise function. Furthermore, we introduce the cutting-edge proposal kernels of StarBeast3 to this model, thus enabling rapid species delimitation on large molecular datasets and allowing the use of relaxed molecular clock models. We validate these methods with genomic sequence data and SNP data, and show they are more efficient than existing methods at achieving parameter convergence during Bayesian MCMC. Lastly, we apply these methods to two datasets ( Hemidactylus and Galagidae ) and find inconsistencies with the published literature. Our methods are powerful for rapid quantitative testing of species boundaries in large multilocus datasets and are implemented as an open source BEAST 2 package called SPEEDEMON. ","In this article , a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods is introduced. But this method does not support the use of relaxed molecular clock models."
"Taxonomy, Distribution, and Conservation Status of Three Species of Dwarf Galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew Perkin
Simon K. Bearder
Paul Honess","10.1896/0898-6207.21.1.63","","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets","The authors reviewed the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon."
"Galagoides orinus","https://scispace.com/paper/galagoides-orinus-koltl4oj30yi","2022","Repository","","Russell A. Mittermeier
Anthony B. Rylands
Don E. Wilson","10.5281/zenodo.6656960","","3. Mountain Dwarf Galago Galagoides orinus French: Galago des Usambara / German: Uluguru-Zwerggalago / Spanish: Galago pequeno de montana Other common names: Amani Dwarf Galago, Uluguru Bushbaby, Usambara Galago Taxonomy. Galago demidovii orinus Lawrence & Washburn, 1936, Tanzania, Uluguru Mountains, Bagilo. Galagoides orinus was recognized as a full species by P. Honess in 1996 based on differences in vocalizations and morphology—a classification subsequently accepted in the revisions of C. P. Groves in 2001 and P. Grubb and coworkers in 2003. It is sympatric with G. zanzibaricus. Researchers have confirmed the presence of a small dwarf galago, similar to G. orinus, on Mount Rungwe in the south-western highlands of Tanzania. In 2001 Groves referred to a similar-looking galago from the Ukinga Mountains, off the north-east shore of Lake Malawi, and adjacent to and east of Mount Rungwe as the “Ukinga” form, a similar galago is also found in Northern Malawi’s Misuku Hills. Differences in calls, morphology, and other characteristics strongly suggest that although currently considered G. orinus, this form is likely a new species. Monotypic. Distribution. Poorly known but found in many of the Eastern Arc Mts of SE Kenya and E Tanzania, including the Taita Hills and the E & W Usumbara, Uluguru, Udzungwa, and Rubeho Mts. Descriptive notes. Head-body 12-:5-15 cm,tail 17-19 cm; weight ¢.80 g. The Mountain Dwarf Galago is generally dark brownish-green and reddish-toned. It has a conspicuous creamy-yellow median stripe on the face, and eye-rings are thin and dark brown. Ears are not deeply pigmented. The muzzle is slender and turned up. The chin and neck are yellowish-white. The crown, dorsum, forelimbs, thighs, and flanks are dark brown. The ventrum, inner forelimbs, and inner hindlimbs are creamy white. The tail is relatively short and of uniform thickness with long hairs; it is reddish at the base and darker at the tip. Hindfeet are very short. Habitat. Mountain Dwarf Galagos live at low densities in mid-elevation and montane moist forests at 1200-2000 m above sea level and in giant heather Erica forest at the limit of the tree zone. Disturbed forest, such as tree-fall zones, appears to be preferred, especially areas of thick vine tangles. The canopy, mid-canopy, and understory are used. They are also found in forest with large numbers of wild bananas and Hageniadominant montane forest, where they occupy the midto high canopy. Food and Feeding. The Mountain Dwarf Galago is a faunivore-frugivore. It eats fruits, young leaves, exudates, and invertebrates (e.g. moths and cockroaches). Individuals will enter large, cone-shaped banana flowers to eat the nectar. It usually hunts in trees but occasionally searches for insects in leaflitter. Breeding. There is little information available on this species, but aspects of breeding are probably similar to other species of Galagoides, with the female giving birth to one or two young after gestation of 110-114 days. Activity patterns. Mountain Dwarf Galagos are nocturnal and arboreal but little is known aboutits specific activity patterns. Their mode of locomotion is mainly vertical clinging and leaping. They also scamper quadrupedally on horizontal supports and run head down on tree trunks. They hop to the ground for foraging but quickly return to vertical stems; they can leap up to 5 m. All forest strata are used. Movements, Home range and Social organization. Mountain Dwarf Galagos are largely solitary. A male’s home range overlaps those of the females. Their social organization is otherwise little known. They use round nests constructed of leaves and twigs for sleeping in the daytime. Nests may be set in clumps of lianas 15 m up in the canopy and hold three to four individuals. They forage alone and in small groups. After leaving their sleeping sites, members of small groups participate in bouts of intergroup and intragroup advertisement calling. They then separate to forage solitarily but maintain contact by calling, which reaches a second peak at dawn. The species-specific advertisement call is a “double unit repetitive call,” and they also emit diagnostic alarm call yaps and descending screeches. Status and Conservation. CITES Appendix II. Classified as Near Threatened on The IUCN Red List. Although the Mountain Dwarf Galago is widespread, habitats throughout its distribution are fragmented and threatened by habitat loss and degradation. It occurs in the Udzungwa Mountains National Park and forest reserves in Tanzania: Amani West, Livingstone, Mporoto Ridge, Rungwe, Udzungwa Scarp, Uluguru North, and West Kilombero Scarp. It also probably occurs in the Taita Hills Wildlife Sanctuary in Kenya. The Livingstone Forest Reserve is within the proposed Kitulo National Park. Bibliography. Bearder et al. (2003), Burgess et al. (2000), Butynski et al. (1998), Honess (1996), Honess & Bearder (1996), Jorgensbye (2007), Kingdon (1997), Lawrence & Washburn (1936), Perkin (2000, 2001a, 2001b, 2004), Perkin et al. (2002). ",""
