"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The genetic legacy of the Quaternary ice ages","https://scispace.com/paper/the-genetic-legacy-of-the-quaternary-ice-ages-b8gxknk0fl","2000","Journal Article","Nature","Godfrey M. Hewitt","10.1038/35016000","","Global climate has fluctuated greatly during the past three million years, leading to the recent major ice ages. An inescapable consequence for most living organisms is great changes in their distribution, which are expressed differently in boreal, temperate and tropical zones. Such range changes can be expected to have genetic consequences, and the advent of DNA technology provides most suitable markers to examine these. Several good data sets are now available, which provide tests of expectations, insights into species colonization and unexpected genetic subdivision and mixture of species. The genetic structure of human populations may be viewed in the same context. The present genetic structure of populations, species and communities has been mainly formed by Quaternary ice ages, and genetic, fossil and physical data combined can greatly help our understanding of how organisms were so affected.","The present genetic structure of populations, species and communities has been mainly formed by Quaternary ice ages, and genetic, fossil and physical data combined can greatly help understanding of how organisms were so affected."
"Phylogeography of the root vole Microtus oeconomus in Russian Far East: A special reference to comparison between Holarctic and Palaearctic voles","https://scispace.com/paper/phylogeography-of-the-root-vole-microtus-oeconomus-in-559j1tkqa2","2009","Journal Article","Mammal Study","Masahiro A. Iwasa
Victor A. Kostenko
L. V. Frisman
Irina V. Kartavtseva","10.3106/041.034.0301","","The phylogeography of the Holarctic Microtus oeconomus in Russian Far East, near the Beringia, was studied using mitochondrial cytochrome b (Cytb) gene sequences. In comparison with the Cytb data of the Holarctic Myodes rutilus and the Palaearctic My. rufocanus previously studied by us, those of Mi. oeconomus showed similar local differentiation patterns to those of My. rutilus and obviously differed from those of My. rufocanus. Further, the current and previous Cytb data indicated that the genetic distances of specimens between the Magadan and Kamchatka/Kuril Archipelago regions were clearly higher in Mi. oeconomus and My. rutilus and lower in My. rufocanus. On the basis of the genetic distances and the geological splitting time between Kamchatka and Kuril Archipelago as 10,000 years ago previously reported, we could estimate the divergence time between the two region populations of Holarctic arvicolids as a few ten thousand years at most. Namely, in the Russian Far East, a past geographic and/or environmental barrier seemed to have appeared and to have inhibited genetic communication between the Magadan and Kamchatka/Sakhalin/Kuril Archipelago regions in Mi. oeconomus and My. rutilus, before My. rufocanus had expanded its distribution there.","The divergence time between the two region populations of Holarctic arvicolids could be estimated as a few ten thousand years at most on the basis of the genetic distances and the geological time between Kamchatka and Kuril Archipelago as 10,000 years ago previously reported."
"Ice age distributions of European small mammals: insights from species distribution modelling","https://scispace.com/paper/ice-age-distributions-of-european-small-mammals-insights-2y4dq5pyxd","2009","Journal Article","Journal of Biogeography","Camilla Fløjgaard
Signe Normand
Flemming Skov
Jens-Christian Svenning","10.1111/J.1365-2699.2009.02089.X","","Aim In addition to the traditionally recognized Last Glacial Maximum (LGM, 21 ka) refuge areas in the Mediterranean region, more northerly LGM distributions for temperate and boreal taxa in central and eastern Europe are increasingly being discussed based on palaeoecological and phylogeographical evidence. Our aim was to investigate the potential refuge locations using species distribution modelling to estimate the geographical distribution of suitable climatic conditions for selected rodent species during the LGM.

Location  Eurasia.

Methods  Presence/absence data for seven rodent species with range limits corresponding to the limits of temperate or boreal forest or arctic tundra were used in the analysis. We developed predictive distribution models based on the species present-day European distributions and validated these against their present-day Siberian ranges. The models with the best predictors of the species distributions across Siberia were projected onto LGM climate simulations to assess the distribution of climatically suitable areas.

Results  The best distribution models provided good predictions of the present-day Siberian ranges of the study species. Their LGM projections showed that areas with a suitable LGM climate for the three temperate species (Apodemus flavicollis, Apodemus sylvaticus and Microtus arvalis) were largely restricted to the traditionally recognized southern refuge areas, i.e. mainly in the Mediterranean region, but also southernmost France and southern parts of the Russian Plain. In contrast, suitable climatic conditions for the two boreal species (Clethrionomys glareous and Microtus agrestis) were predicted as far north as southern England and across southern parts of central and eastern Europe eastwards into the Russian Plain. For the two arctic species (Lemmus lemmus and Microtus oeconomus), suitable climate was predicted from the Atlantic coast eastward across central Europe and into Russia.

Main conclusions  Our results support the idea of more northerly refuge areas in Europe, indicating that boreal species would have found suitable living conditions over much of southern central and eastern Europe and the Russian Plain. Temperate species would have primarily found suitable conditions in the traditional southern refuge areas, but interestingly also in much of the southern Russian Plain.","In this article, the authors investigated the potential refuge locations using species distribution modelling to estimate the geographical distribution of suitable climatic conditions for selected rodent species during the last glacial maximum (LGM)."
"DIVERSIFICATION OF RAINFOREST FAUNAS: An Integrated Molecular Approach","https://scispace.com/paper/diversification-of-rainforest-faunas-an-integrated-molecular-1bwtvpvg2x","2000","Journal Article","Annual Review of Ecology, Evolution, and Systematics","Craig Moritz
James L. Patton
Christopher J. Schneider
Thomas B. Smith","10.1146/ANNUREV.ECOLSYS.31.1.533","","▪ Abstract Understanding the evolutionary processes that generate and sustain diversity in tropical faunas has challenged biologists for over a century and should underpin conservation strategies. Molecular studies of diversity within species and relationships among species, when integrated with more traditional approaches of biogeography and paleoecology, have much to contribute to this challenge. Here we outline the current major hypotheses, develop predictions relevant to integrated molecular approaches, and evaluate the current evidence, focusing on central African, Australian, and South American systems. The available data are sparse relative to the scale of the questions. However, the following conclusions can be drawn: (a) in most cases, the divergence of extant sister taxa predates the Pleistocene; (b) areas with high habitat heterogeneity and recent climatic or geological instability appear to harbor more species of recent origin; (c) there is support for both allopatric and gradient models of di...","The current major hypotheses are outlined, predictions relevant to integrated molecular approaches are developed, and the current evidence is evaluated, focusing on central African, Australian, and South American systems."
"Comparative phylogeography and demographic history of the wood lemming (Myopus schisticolor): implications for late Quaternary history of the taiga species in Eurasia.","https://scispace.com/paper/comparative-phylogeography-and-demographic-history-of-the-js90od9jc6","2007","Journal Article","Molecular Ecology","Vadim B. Fedorov
Anna V. Goropashnaya
G. G. Boeskorov
Joseph A. Cook","10.1111/J.1365-294X.2007.03595.X","","The association between demographic history, genealogy and geographical distribution of mitochondrial DNA cytochrome b haplotypes was studied in the wood lemming (Myopus schisticolor), a species that is closely associated with the boreal forest of the Eurasian taiga zone from Scandinavia to the Pacific coast. Except for a major phylogeographic discontinuity (0.9% nucleotide divergence) in southeastern Siberia, only shallow regional genetic structure was detected across northern Eurasia. Genetic signs of demographic expansions imply that successive range contractions and expansions on different spatial scales represented the primary historical events that shaped geographical patterns of genetic variation. Comparison of phylogeographic structure across a taxonomically diverse array of other species that are ecologically associated with the taiga forest revealed similar patterns and identified two general aspects. First, the major south–north phylogeographic discontinuity observed in five out of six species studied in southeastern Siberia and the Far East implies vicariant separation in two different refugial areas. The limited distribution range of the southeastern lineages provides no evidence of the importance of the putative southeastern refugial area for postglacial colonization of northern Eurasia by boreal forest species. Second, the lack of phylogeographic structure associated with significant reciprocal monophyly and genetic signatures of demographic expansion in all nine boreal forest animal species studied to date across most of northern Eurasia imply contraction of each species to a single refugial area during the late Pleistocene followed by range expansion on a continental scale. Similar phylogeographic patterns observed in this taxonomically diverse set of organisms with different life histories and dispersal potentials reflect the historical dynamics of their shared environment, the taiga forest in northern Eurasia.","The association between demographic history, genealogy and geographical distribution of mitochondrial DNA cytochrome b haplotypes was studied in the wood lemming, a species that is closely associated with the boreal forest of the Eurasian taiga zone."
"Speciation, hybrid zones and phylogeography - or seeing genes in space and time.","https://scispace.com/paper/speciation-hybrid-zones-and-phylogeography-or-seeing-genes-3teef54fl2","2008","Journal Article","Molecular Ecology","Godfrey M. Hewitt","10.1046/J.1365-294X.2001.01202.X","","The origins and development of the study of speciation, hybrid zones and phylogeography are outlined using evolutionary iconography. This traces the ideas in this field from Lamarck and Darwin through to the present as represented in diagrams and figures. A ‘tree of trees’ summarizes this growth and current vitality. The new facility to use various DNA sequences from nuclear, mitochondrial and chloroplast genomes to determine genetic variation throughout a species range is examined particularly. There is great genomic subdivision across species distributions, which can be interpreted in the light of the recent demonstrations of severe palaeoclimatic oscillations. Refugia and postglacial colonization routes are proposed for several organisms across Europe. The role of geography in speciation through the Pleistocene is considered. These emerging principles and analyses are applied to data available on a variety of organisms in other regions of the world, such as the Arctic, North America and the Tropics, and including the progress of Homo sapiens through the last ice age. Some suggestions are made for future research directions.","The origins and development of the study of speciation, hybrid zones and phylogeography are outlined using evolutionary iconography, and a ‘tree of trees’ summarizes this growth and current vitality."
"Phylogeographical structure and regional history of the dusky-footed woodrat, Neotoma fuscipes.","https://scispace.com/paper/phylogeographical-structure-and-regional-history-of-the-2oyzuq4l1h","2002","Journal Article","Molecular Ecology","Marjorie D. Matocq","10.1046/J.0962-1083.2001.01430.X","","The dusky-footed woodrat, Neotoma fuscipes, is a medium-sized rodent that inhabits low elevation woodland habitats along the Pacific coast of North America from Oregon, throughout California and into Baja California. Analyses of mitochondrial sequence variation throughout the distribution reveal substantial phylogeographical structure within N. fuscipes. The major mitochondrial lineages are largely concordant with previously identified morphological subdivisions within the taxon. The geographical distribution of distinct clades suggests that a combination of topographic barriers and the expansion and contraction of suitable habitat during the past 2 million years, especially along particular mountain ranges, have played a major role in the diversification of N. fuscipes. Furthermore, relatively low levels of genetic variation across the northern half of the distribution suggest that dusky-footed woodrats may have only recently expanded into this region.","The geographical distribution of distinct clades suggests that a combination of topographic barriers and the expansion and contraction of suitable habitat during the past 2 million years, especially along particular mountain ranges, have played a major role in the diversification of N. fuscipes."
"Isolation and introgression in the Intermountain West: contrasting gene genealogies reveal the complex biogeographic history of the American pika (Ochotona princeps)","https://scispace.com/paper/isolation-and-introgression-in-the-intermountain-west-1l6ww48gc1","2010","Journal Article","Journal of Biogeography","Kurt E. Galbreath
Kurt E. Galbreath
David J. Hafner
Kelly R. Zamudio
Kelly Agnew","10.1111/J.1365-2699.2009.02201.X","","Aim We studied the history of colonization, diversification and introgression among major phylogroups in the American pika, Ochotona princeps (Lagomorpha), using comparative and statistical phylogeographic methods. Our goal was to understand how Pleistocene climatic fluctuations have shaped the distribution of diversity at mitochondrial DNA (mtDNA) and nuclear DNA (nDNA) loci in this alpine specialist.","The goal was to understand how Pleistocene climatic fluctuations have shaped the distribution of diversity at mitochondrial DNA (mtDNA) and nuclear DNA (nDNA) loci in this alpine specialist."
"Coupling genetic and ecological-niche models to examine how past population distributions contribute to divergence.","https://scispace.com/paper/coupling-genetic-and-ecological-niche-models-to-examine-how-4aix7eeesu","2007","Journal Article","Current Biology","L. Lacey Knowles
Bryan C. Carstens
Marcia L. Keat","10.1016/J.CUB.2007.04.033","","","The coupling of genetic and ecological-niche modeling provides a new and flexible tool for integrating paleoenvironmental details into species-specific predictions of population structure that can increase the understanding of why the glacial cycles promoted speciation in some taxa and yet inhibited diversification in others."
"Phylogeography of field voles (Microtus agrestis) in Eurasia inferred from mitochondrial DNA sequences","https://scispace.com/paper/phylogeography-of-field-voles-microtus-agrestis-in-eurasia-25pzxnt63d","2002","Journal Article","Molecular Ecology","Maarit Jaarola
Jeremy B. Searle","10.1046/J.1365-294X.2002.01639.X","","In a distribution-wide phylogeographic survey of the field vole (Microtus agrestis), 75 specimens from 56 localities across Eurasia were examined for DNA sequence variation along the whole 1140 base pair (bp) mitochondrial (mt) cytochrome b gene. The species is subdivided into three main mtDNA phylogeographic groups - western, eastern and southern - with largely allopatric distributions. The western phylogeographical group is found in west and central Europe and spread most probably from a glacial refugium in the Carpathians. The eastern group covers a large range from Lithuania to central Asia, and probably originated from a southeast European source (e.g. the southern Urals or the Caucasus). The southern group occupies an area from Portugal to Hungary, with division into two distinct mtDNA sublineages that presumably derive from separate glacial refugia in the Iberian Peninsula. Molecular clock estimates suggest that the western and eastern field vole populations separated during the last glaciation, whereas the southern population dates back 0.5-0.9 Myr. High levels of mtDNA variation indicate relatively large population sizes and subdivisions within phylogeographic groups during the last glaciation. We report a possible new suture zone in east Europe.","High levels of mtDNA variation indicate relatively large population sizes and subdivisions within phylogeographic groups during the last glaciation of the field vole, and a possible new suture zone in east Europe."
"A new perspective on the evolutionary history of western European Sorex araneus group revealed by paternal and maternal molecular markers.","https://scispace.com/paper/a-new-perspective-on-the-evolutionary-history-of-western-40pwgxszlg","2008","Journal Article","Molecular Phylogenetics and Evolution","Glenn Yannic
Patrick Basset
Jacques Hausser","10.1016/J.YMPEV.2008.01.029","","","Comparison of mtDNA and Y-chromosome phylogenies suggests that the genetic and chromosomal evolution in the Sorex araneus group are disconnected processes."
