"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Mountaintops phylogeography: A case study using small mammals from the Andes and the coast of central Chile.","https://scispace.com/paper/mountaintops-phylogeography-a-case-study-using-small-mammals-1b9yvk7etd","2017","Journal Article","PLOS ONE","R. Eduardo Palma
Pablo Gutiérrez-Tapia
Juan González
Dusan Boric-Bargetto
Fernando Torres-Pérez","10.1371/JOURNAL.PONE.0180231","","We evaluated if two sigmodontine rodent taxa (Abrothrix olivacea and Phyllotis darwini) from the Andes and Coastal mountaintops of central Chile, experienced distributional shifts due to altitudinal movements of habitat and climate change during and after the Last Glacial Maximum (LGM). We tested the hypothesis that during LGM populations of both species experienced altitudinal shifts from the Andes to the lowlands and the coastal Cordillera, and then range retractions during interglacial towards higher elevations in the Andes. These distributional shifts may have left remnants populations on the mountaintops. We evaluated the occurrence of intraspecific lineages for each species, to construct distribution models at LGM and at present, as extreme climatic conditions for each lineage. Differences in distribution between extreme climatic conditions were interpreted as post-glacial distributional shifts. Abrothrix olivacea displayed a lineage with shared sequences between both mountain systems, whereas a second lineage was restricted to the Andes. A similar scenario of panmictic unit in the past was recovered for A. olivacea in the Andes, along with an additional unit that included localities from the rest of its distribution. For P. darwini, both lineages recovered were distributed in coastal and Andean mountain ranges at present as well, and structuring analyses for this species recovered coastal and Andean localities as panmictic units in the past. Niche modeling depicted differential postglacial expansions in the recovered lineages. Results suggest that historical events such as LGM triggered the descending of populations to Andean refuge areas (one of the A. olivacea’s lineages), to the lowlands, and to the coastal Cordillera. Backward movements of populations after glacial retreats may have left isolates on mountaintops of the coastal Cordillera, suggesting that current species distribution would be the outcome of climate change and habitat reconfiguration after LGM.","Results suggest that historical events such as LGM triggered the descending of populations to Andean refuge areas, to the lowlands, and to the coastal Cordillera, suggesting that current species distribution would be the outcome of climate change and habitat reconfiguration after LGM."
"Populationsgenetik und Differenzierung von Arten der Gattungen Mausmaki, Microcebus (E. Geoffroy St. Hilaire, 1828) und Katzenmaki, Cheirogaleus (E. Geoffroy St. Hilaire, 1812) in Südost-Madagaskar","https://scispace.com/paper/populationsgenetik-und-differenzierung-von-arten-der-2c2xkvckgr","2005","","","Andreas Hapke","","","In der vorliegenden Arbeit wurden auf einer regionalen geographischen Skala innerhalb eines Untersuchungsgebietes in Sudost-Madagaskar Aspekte der Biogeographie mehrerer Lemurenarten der Gattungen Microcebus (Mausmaki) und Cheirogaleus (Katzenmaki) untersucht. Dabei wurden Fragestellungen auf drei Ebenen bearbeitet:

Welche Arten kommen in welchen Habitaten im Untersuchungsgebiet vor?

Wie ist das geschlechtsspezifische Ausbreitungsverhalten einzelner Arten?

Gibt es Beziehungen zwischen Landschaftsfaktoren und der genetischen Populationsstruktur einzelner Arten?

Als Untersuchungsgebiet wurde die Region Fort Dauphin in Sudostmadagaskar ausgewahlt, die aufgrund ihrer Lage und aufgrund des Reliefs eine fur Madagaskar herausragende Variabilitat unterschiedlicher Waldtypen auf engem Raum aufweist.
In eigenen Feldarbeiten wurden an 18 Untersuchungsorten in der Region Fort Dauphin Individuen der beiden untersuchten Gattungen aus mehreren Arten gefangen und vermessen, und es wurden Gewebeproben fur genetische Untersuchungen entnommen. Zusatzliches Probenmaterial aus dem Untersuchungsgebiet und aus anderen Regionen Madagaskars wurde von weiteren Wissenschaftlern zur Verfugung gestellt und an Museumsexemplaren entnommen. Mit Hilfe der Gewebeproben wurden die meisten beprobten Individuen mit je nach Fragestellung verschiedenen genetischen Markern typisiert. Bei 468 Individuen wurde die mitochondriale Hypervariable Region I sequenziert, bei 48 Individuen das Cytochrom b Gen, und 417 Individuen wurden mit je 8-11 Mikrosatellitenmarkern typisiert. Die Mehrzahl der fur die Gattung Microcebus verwendeten Mikrosatellitenmarker wurde, in Zusammenarbeit mit anderen Wissenschaftlern, im Rahmen der vorliegenden Arbeit entwickelt.

Im Untersuchungsgebiet wurden drei verschiedene Morphotypen der Gattung Cheirogaleus beobachtet, die morphologisch C. medius, C. major und C. crossleyi ahnelten. Unter Bezug auf eine kurzliche Revision dieser Gattung, war Sudost-Madagaskar insbesondere fur C. crossleyi weit entfernt vom bekannten Verbreitungsgebiet dieser Art. Die Individuen aus dem Untersuchungsgebiet wurden mit Museumsexemplaren von mehreren Orten in Madagaskar und mit Feldproben aus West-Madagaskar mit Hilfe genetischer Analysen unter Verwendung des mitochondrialen Cytochrom b Gens verglichen. Die genetischen Daten lieferten starke Unterstutzung dafur, dass zwei der drei Morphotypen C. medius und C. major entsprechen. Der dritte Morphotyp wurde als genetisch eng verwandt mit C. crossleyi befunden. Die Beobachtungen weisen auf eine isolierte Population in Sudost-Madagaskar hin. Es wird vorgeschlagen, diesen dritten Morphotyp als C. crossleyi zu identifizieren. Die populationsgenetischen und biogeographischen Uberlegungen, die zu diesem Schluss fuhren, werden diskutiert.
Das Vorkommen der Microcebus-Arten M. griseorufus, M. murinus und M. rufus im Untersuchungsgebiet war bereits aus der Literatur bekannt.
Die zweite und dritte Fragestellung wurden anhand der Modellarten C. medius, M. murinus und M. rufus bearbeitet. Die ersten beiden Arten kommen im Untersuchungsgebiet nur in Waldfragmenten, die dritte in Waldfragmenten und kontinuierlichem Wald vor. Bei Populationen von M. murinus und M. rufus in Waldfragmenten im Untersuchungsgebiet wurden geographische Cluster verwandter mitochondrialer Haplotypen beobachtet, was fur weibliche Philopatrie spricht. Bei C. medius in Waldfragmenten im Untersuchungsgebiet wurden keine geographischen Cluster verwandter Haplotypen beobachtet, was gegen weibliche Philopatrie sprechen konnte. Tests auf der Grundlage von Mikrosatelliten-Daten liefern Hinweise auf mannliche Philopatrie und female-biased dispersal, aber kein eindeutiges, signifikantes Ergebnis. Als Ursache dafur wird die mogliche Prasenz von Jahrlingen, die vor der Abwanderung noch bei ihren Eltern leben, im Datensatz diskutiert. Das Gesamtbild der Befunde spricht fur mannliche Philopatrie und female-biased dispersal.
In Korrelationen genetischer und geographischer Distanzen wurde bei den drei Modellarten „isolation by distance“ bestatigt. Partielle Korrelationen von genetischen Distanzen und einem Parameter fur die Waldfragmentation unter Kontrolle der geographischen Distanz ergaben bei allen Modellarten signifikante Beziehungen. Eine durchgefuhrte F-Statistik ergab allerdings keine Hinweise auf eine starke genetische Strukturierung. Es wurden keine Hinweise auf Inzucht in fragmentierten Populationen beobachtet. Mehrere Verfahren zur Beschreibung der Variabilitat an Mikrosatellitenallelen in einzelnen Populationen ergeben deutliche Hinweise auf Fragmentationseffekte bei M. murinus und M. rufus in Waldfragmenten. Die Beobachtungen bei M. murinus in einer Gruppe von Kustenwaldfragmenten konnten mit einer Metapopulationsdynamik mit wiederholten Rekolonisierungen einzelner Waldfragmente erklart werden.","In der vorliegenden Arbeit wurden auf einer regionalen geographischen Skala innerhalb eines Untersuchungsgebietes in Sudost-Madagaskar Aspekte der Biogeographie mehrerer Lemurenarten der Gattungen Microcebus and Cheirogaleus untersucht."
"Patterns of Genetic Variation Within and Between Gibbon Species","https://scispace.com/paper/patterns-of-genetic-variation-within-and-between-gibbon-5cu9ehkrnr","2011","Journal Article","Molecular Biology and Evolution","Sung K. Kim
Lucia Carbone
Lucia Carbone
Celine Becquet
Alan R. Mootnick
David Jiang Li
Pieter J. de Jong
Jeffrey D. Wall","10.1093/MOLBEV/MSR033","","Gibbons are small, arboreal, highly endangered apes that are understudied compared with other hominoids. At present, there are four recognized genera and approximately 17 species, all likely to have diverged from each other within the last 5-6 My. Although the gibbon phylogeny has been investigated using various approaches (i.e., vocalization, morphology, mitochondrial DNA, karyotype, etc.), the precise taxonomic relationships are still highly debated. Here, we present the first survey of nuclear sequence variation within and between gibbon species with the goal of estimating basic population genetic parameters. We gathered ~60 kb of sequence data from a panel of 19 gibbons representing nine species and all four genera. We observe high levels of nucleotide diversity within species, indicative of large historical population sizes. In addition, we find low levels of genetic differentiation between species within a genus comparable to what has been estimated for human populations. This is likely due to ongoing or episodic gene flow between species, and we estimate a migration rate between Nomascus leucogenys and N. gabriellae of roughly one migrant every two generations. Together, our findings suggest that gibbons have had a complex demographic history involving hybridization or mixing between diverged populations.","The first survey of nuclear sequence variation within and between gibbon species with the goal of estimating basic population genetic parameters suggests that gibbons have had a complex demographic history involving hybridization or mixing between diverged populations."
"The comparative phylogeography of Neotropical mammals: patterns of intraspecific mitochondrial DNA variation among bats contrasted to nonvolant small mammals","https://scispace.com/paper/the-comparative-phylogeography-of-neotropical-mammals-4epeylqyv8","2000","Journal Article","Molecular Ecology","Albert David Ditchfield","10.1046/J.1365-294X.2000.01013.X","","The major aim of this study was to compare the phylogeographic patterns of codistributed bats and small nonvolant Neotropical mammals. Cytochrome b sequences (mitochondrial DNA) were obtained for a total of 275 bats representing 17 species. The tissue samples were collected in coastal Brazil, and were available from Mexico and the Guyana. The study concentrates on four species (Artibeus lituratus, Carollia perspicillata, Sturnira lilium and Glossophaga soricina) which were well represented. The other 13 species were sequenced to test the generality of the patterns observed. In general, sequence divergence values within species were low, with most bat species presenting less than 4% average sequence divergence, and usually between 1 and 2.5%. Clades of highly similar haplotypes enjoyed broad distribution on a continental scale. These clades were not usually geographically structured, and at a given locality the number of haplotypes was high (8-10). As distance increased, some moderately divergent clades were found, although the levels of divergence were low. This suggests a geographical effect that varied depending on species and scale. Small nonvolant mammals almost invariably have high levels of sequence divergence (> 10%) for cytochrome b over much shorter distances (< 1000 km). The grain of intraspecific variation found in small nonvolant mammals is much finer than in bats. Low levels of geographical structuring cannot be attributed to a slower evolutionary rate of bat DNA in relation to other mammalian taxa. The phylogeographic pattern of bats contrasts sharply with the pattern found for Neotropical rodents and marsupials.","The phylogeographic pattern of bats contrasts sharply with the pattern found for Neotropical rodents and marsupials, which suggests a geographical effect that varied depending on species and scale."
"Phylogeography and impact of hybridization on the evolution of African green monkeys (Chlorocebus Gray, 1870)","https://scispace.com/paper/phylogeography-and-impact-of-hybridization-on-the-evolution-4ljqpakv07","2013","Dissertation","","Tanja Haus","","","The evolution of the current global biodiversity has been profoundly influenced by climatic and environmental changes over the past million years. While there is an obvious impact of Quaternary climate changes and glacial cycles on Northern Hemisphere biota, the influence of these climate conditions on (sub-) tropical regions, especially on the African savannah biome, is less clear. Nonetheless, environmental changes in tropical and non-tropical regions produced a large number of current hybrid zones, where previously isolated populations came into secondary contact. Although the evolutionary potential of hybridization has become generally accepted, many open questions remain and our understanding of the role of hybridization within the evolution of animals is by far not complete.
The distribution of African green monkeys of the genus Chlorocebus almost reflects the current extension of the African savannah biome and, based on field observations and museum material, hybridization is supposed to occur in most areas where ranges of two of the six recognized parapatric species come into contact. Therefore, in my thesis I used African green monkeys as a model to analyse the role of hybridization in the evolution of primates and animals in general, and to examine major evolutionary trends in extant African savannah mammals. First I analysed complete cytochrome b (cyt b) gene sequences of samples representing all species and most of the genus’ wide range to obtain elementary information on the mitochondrial DNA (mtDNA) diversity and distribution of African green monkeys. Second I used sequence variations of two Y-chromosomal loci, a fragment of the sex determining region (SRY) and the last intron of the Zinc finger (ZFY), to test for potential ancient hybridization events, and third I analysed additional mitochondrial markers of samples from each previously obtained mtDNA clade to increase genetic information for spatial and temporal phylogeographic reconstructions. Finally, I compared obtained phylogeographic patterns of African green monkeys to phylogeographies of three other widely distributed savannah mammal genera including baboons (Papio), warthogs (Phacochoerus) and hartebeests (Alcelaphus).
Analyses of mtDNA revealed nine distinct clades that do not reflect any previously suggested taxonomy of African green monkeys. Several para- and polyphyletic relationships caused by discordance of mtDNA and morphotype distribution provide evidence for on-going introgressive hybridization in contact zones of all species except for species in West Africa. Moreover, mitochondrial data indicate the occurrence of possible ancient introgressive hybridization beyond current contact zones, and Y-chromosomal analyses further support this assumption within the species C. pygerythrus in East Africa. Here male biased ancient introgression and subsequent nuclear swamping most likely led to the cytonuclear extinction of a former taxon. However, polyphyletic relationships within C. tantalus could not be explained by ancient introgression, and Y-chromosomal data rather support the hypothesis that two morphologically cryptic taxa exist (a western and an eastern) within the range of C. tantalus. This is the first genetic indication of a possible new species. The absence of hybridization among C. sabaeus and the western form of C. tantalus in Ghana and Burkina Faso is also shown by concordant distributions of Y-chromosomal haplotypes and morphotypes assuming that the Volta River and its tributaries represent geographic barriers throughout their courses and not only in the South as it was previously supposed.
The phylogeography of African green monkeys indicates a complex evolutionary history with an origin of the genus in West Africa around 2.46 mya, a subsequent immigration into Southern Africa and two independent colonisations of Northeast Africa from the West and from the South, respectively. The comparison of the phylogeography of savannah mammals revealed no concordant pattern of divergence time estimates among primate and ungulate genera and divergences occurred during regional arid as well as humid periods. Changes in population sizes over the past 500,000 years show dissimilar patterns between primate and ungulate genera, which most probably reflect different ecological adaptations and habitat preferences although all four genera are predominantly savannah living. Moreover, most of the changes in population sizes of all genera combined did not coincide with the Last Interglacial and the Last Glacial Maximum supporting the influence of regional African climate variations.
In conclusion, African green monkeys evolved in the beginning of the Early Pleistocene and Quaternary climatic changes likely caused recurrent range retractions and extensions, which in turn led repeatedly to the formation of secondary contact zones and to widespread introgressive hybridization within the genus. The cytonuclear extinction of former taxa or populations as a result of male-biased introgression and nuclear swamping accentuate the potential role of hybridization within the evolution of primates and animals in general. Major divergences within savannah mammals were most probably induced by both warm-humid as well as cold-arid climate periods, which were rather triggered by more regional African climate variations than by Northern Hemisphere glacial cycles. The results of my thesis indicate that it is essential for phylogeographic studies to analyse both maternal and paternal inherited markers to obtain a more complete picture of evolutionary patterns, potential hybridization, and of genetic and species diversity.","Mitochondrial data indicate the occurrence of possible ancient introgressive hybridization beyond current contact zones, and Y-chromosomal analyses further support this assumption within the species C. tantalus."
"Final report of DFG project: The use of comparative phylogeographic and ecologic modelling to disentangle interacting evolutionary processes in contrasting Malagasy lemur clades (Microcebus spp., Avahi spp.))","https://scispace.com/paper/final-report-of-dfg-project-the-use-of-comparative-y8ahh4stara2","2025","Journal Article","","Radespiel, Ute","10.5281/zenodo.15783043","","Species formation processes are diverse and complex. They can be influenced by topographical barriers but also by ecological mechanisms, e.g. differential flexibility in habitat selection or different mobility between habitats. Most previous studies have analysed the simultaneous role of only a few factors for the evolution of species. We investigated the simultaneous influence of several important factors on the diversification of nocturnal lemurs, mainly in eastern Madagascar. Two genera, the small, species-rich mouse lemurs (Microcebus spp.: 7 species) and the medium-sized woolly lemurs (Avahi spp.: 2 species) were selected as models. ","This study investigates the simultaneous influence of topographical barriers, ecological mechanisms, and habitat selection on the diversification of nocturnal lemurs in eastern Madagascar, using Microcebus and Avahi spp. as model species to disentangle interacting evolutionary processes."
"Multi-model inference in comparative phylogeography: an integrative approach based on multiple lines of evidence.","https://scispace.com/paper/multi-model-inference-in-comparative-phylogeography-an-26yvuh8lsg","2015","Journal Article","Frontiers in Genetics","Rosane G. Collevatti
Levi Carina Terribile
José Alexandre Felizola Diniz-Filho
Matheus S. Lima-Ribeiro","10.3389/FGENE.2015.00031","","Comparative phylogeography has its roots in classical biogeography and, historically, relies on a pattern-based approach. Here, we present a model-based framework for comparative phylogeography. Our framework was initially developed for statistical phylogeography based on a multi-model inference approach, by coupling ecological niche modeling, coalescent simulation and direct spatio-temporal reconstruction of lineage diffusion using a relaxed random walk model. This multi-model inference framework is particularly useful to investigate the complex dynamics and current patterns in genetic diversity in response to processes operating on multiple taxonomic levels in comparative phylogeography. In addition, because of the lack, or incompleteness of fossil record, the understanding of the role of biogeographical events (vicariance and dispersal routes) in most regions worldwide is barely known. Thus, we believe that the expansion of that framework for multiple species under a comparative approach may give clues on genetic legacies in response to Quaternary climate changes and other biogeographical processes.","It is believed that the expansion of that framework for multiple species under a comparative approach may give clues on genetic legacies in response to Quaternary climate changes and other biogeographical processes."
"Footprints of ancient‐balanced polymorphisms in genetic variation data from closely related species","https://scispace.com/paper/footprints-of-ancient-balanced-polymorphisms-in-genetic-3yniaqbz5b","2015","Journal Article","Evolution","Ziyue Gao
Molly Przeworski
Guy Sella","10.1111/EVO.12567","","When long-lasting, balancing selection can lead to “trans-species” polymorphisms that are shared by two or more species identical by descent. In such cases, the gene genealogy at the selected site clusters by allele instead of by species, and nearby neutral sites also have unusual genealogies because of linkage. While this scenario is expected to leave discernible footprints in genetic variation data, the specific patterns remain poorly characterized. Motivated by recent findings in primates, we focus on the case of a biallelic polymorphism under ancient balancing selection and derive approximations for summaries of the polymorphism data from two species. Specifically, we characterize the length of the segment that carries most of the footprints, the expected number of shared neutral single nucleotide polymorphisms (SNPs), and the patterns of allelic associations among them. We confirm the accuracy of our approximations by coalescent simulations. We further show that for humans and chimpanzees—more generally, for pairs of species with low genetic diversity levels—these patterns are highly unlikely to be generated by neutral recurrent mutations. We discuss the implications for the design and interpretation of genome scans for ancient balanced polymorphisms in primates and other taxa.","In this paper, the authors focus on the case of a biallelic polymorphism under ancient balancing selection and derive approximations for summaries of the polymorphism data from two species."
"Genomic signatures of island colonization in highly diverse primates","https://scispace.com/paper/genomic-signatures-of-island-colonization-in-highly-diverse-1eox3tynptab","2024","Journal Article","","Ivo Colmonero-Costeira
Katerina Guschanski
Mariama Djaló
Nelson Luis Mello Fernandes
Tomas Camara
Kyle Kai‐How Farh
Lukas F. K. Kuderna
Jeffrey Rogers
Tomás Marquès‐Bonet
Michael W. Bruford
Isa‐Rita M. Russo
Axel Jensen
Maria Joana Ferreira da Silva","10.1101/2024.12.13.628324","","Understanding how small populations cope with loss of genetic diversity and deleterious variation is crucial to address the current biodiversity crisis. Insular populations are particularly interesting as they have often persisted at low population sizes and higher inbreeding than their mainland counterparts. While the genome-wide consequences of inbreeding in threatened insular species have received some attention, comparative genomics between insular and mainland populations of wide-spread and genetically diverse species have rarely been performed. Yet, they are particularly well suited to inform about the consequences of drastic population declines from initially large populations - a phenomenon that is becoming increasingly common. The spot-nosed monkey (Cercopithecus petaurista), the Campbell's monkey (Cercopithecus campbelli) and the green monkey (Chlorocebus sabaeus) are common and genetically diverse West African primates. Insular populations can be found at the Bijagos Archipelago, Guinea-Bissau. Here, we assessed the genome-wide diversity, inbreeding, genetic load and adaptive variation using whole genome sequencing data from insular and mainland populations. In the three species, island populations showed lower genome-wide diversity and higher inbreeding. Genetic drift has likely promoted the conversion of masked genetic load into realized load without increased purging of deleterious variation. Additionally, we found no evidence for accumulation of deleterious variation, suggesting that these populations are not yet at risk of extinction by genetic factors and may act as reservoirs of mainland genetic diversity. We highlight, however, that other anthropogenic factors are threatening these insular primates and therefore conservation management should target their immediate threats and safeguard against additional loss of diversity. ","This study examines genomic signatures of island colonization in three West African primate species, finding lower diversity and higher inbreeding in insular populations, but no evidence of deleterious variation accumulation, suggesting they may act as genetic reservoirs despite anthropogenic threats."
"Role of recent and old riverine barriers in fine-scale population genetic structure of Geoffroy's tamarin (Saguinus geoffroyi) in the Panama Canal watershed.","https://scispace.com/paper/role-of-recent-and-old-riverine-barriers-in-fine-scale-43f0dg4wyv","2012","Journal Article","Ecology and Evolution","Samuel L. Díaz-Muñoz","10.1002/ECE3.79","","The role of physical barriers in promoting population divergence and genetic structuring is well known. While it is well established that animals can show genetic structuring at small spatial scales, less well-resolved is how the timing of the appearance of barriers affects population structure. This study uses the Panama Canal watershed as a test of the effects of old and recent riverine barriers in creating population structure in Saguinus geoffroyi, a small cooperatively breeding Neotropical primate. Mitochondrial sequences and microsatellite genotypes from three sampling localities revealed genetic structure across the Chagres River and the Panama Canal, suggesting that both waterways act as barriers to gene flow. F-statistics and exact tests of population differentiation suggest population structure on either side of both riverine barriers. Genetic differentiation across the Canal, however, was less than observed across the Chagres. Accordingly, Bayesian clustering algorithms detected between two and three populations, with localities across the older Chagres River always assigned as distinct populations. While conclusions represent a preliminary assessment of genetic structure of S. geoffroyi, this study adds to the evidence indicating that riverine barriers create genetic structure across a wide variety of taxa in the Panama Canal watershed and highlights the potential of this study area for discerning modern from historical influences on observed patterns of population genetic structure.","Evidence is added to the evidence indicating that riverine barriers create genetic structure across a wide variety of taxa in the Panama Canal watershed and highlights the potential of this study area for discerning modern from historical influences on observed patterns of population genetic structure."
