"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Identification, Abundance, and Behaviour of Galagos (Primates, Galagidae) in the Shire Highlands, Malawi","https://scispace.com/paper/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","2005","","","Graham Edward Wallace","","https://scispace.com/records/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","1. INTRODUCTION:
 G. nyasae, and   G. granti) appear to replace each other sequentially from southern and western Tanzania through Malawi and into Mozambique, although each may co-occur with other species of galagos within their range .

2. INTRODUCTION:
 Although assessment of taxonomic status is rarely a straightforward process across many primate genera , galago systematics continue to be particularly unclear and subject to ongoing revision .

3. BACKGROUND:
 Although galagos (Order Primates, Family Galagidae) are extensively distributed across sub-Saharan Africa as a taxonomic group, many species of galago continue to be only partially described both in terms of and throughout their range .","Although galagos are extensively distributed across sub-Saharan Africa as a taxonomic group, many species are only partially described both in terms of and throughout their range. In particular, there is a lack of data for species occurring in the Shire Highlands of Malawi, and one form at Thyolo Mountain awaits description. The aims of the study where to address existing data deficiencies by (i) identifying and describing the species of galago occurring in Malawi's Shire Highlands, (ii) assessing their distribution and relative abundance, (iii) providing insights into their behaviour, and (iv) gathering information with regard to human impacts that impinge upon their current and future conservation status. Assessment of the inter-relationships between these factors is fundamental to ensuring the long-term viability of galago populations in the region. Vocalisation analysis, compilation of call profiles, descriptions of morphology, systematic surveys, behaviour observations, and assessments of substrate-use were completed to identify two species of galago in the Shire Highlands (Galagoides granti and Otolemur crassicaudatus), determine their distribution and relative abundance on the basis of encounter rates, construct activity budgets, and compile substrate-use profiles that reflect habitat preferences across the region. Vocal repertoires were compiled for each species, and preliminary information regarding human impacts and disturbance was acquired. The results of the study not only contribute to clarification of galago diversity but also provide valuable preliminary data fundamental to management and conservation of galagos across the Shire Highlands."
"Identification, distribution, taxonomy, and conservation status of three populations of galagos (Primates, Galagidae) in Malawi.","https://scispace.com/paper/ptes-application-15-dec-2006-j-karlsson-u4tk4zi3","2006","","","Johan Karlsson","","https://scispace.com/records/ptes-application-15-dec-2006-j-karlsson-u4tk4zi3","1. Abstract:
 Identification, distribution, taxonomy, and conservation status of three populations of galagos (Primates, Galagidae) in Malawi.

2. Results of applications if known or when expected::
 Malawi is believed to have five species of galagos, of which two (Galagoides nyasae and G. sp. nov 1) are not listed in the IUCN Red List and one (Galagoides granti) is registered as Data Deficient ).

3. Study subjects:
 Three widely separated galagos are thought to be endemic to Malawi:","Galagos (Primates, Galagidae) are small (150 – 2000 grams), nocturnal primates, that can be found over most parts of sub-Saharan Africa (Groves 2001; Grubb et al. 2003). While a few species are very widely distributed, most are confined to small and isolated regions and long term research is limited to only four countries (South Africa, Tanzania, Kenya, and Gabon - Nekaris & Bearder 2007; Grubb et al. 2003). The IUCN Red List (IUCN 2006) lists only 62.5% of the galago species that are now recognised (15 of 24 - Grubb et al. 2003) and two taxa (Galagoides sp. nov. 3 and G. rondoensis) are listed by the IUCN/SSC Primate Specialist Group among the Top 25 Most Endangered Primates (Mittermeier et al. 2006a, b). The lack of research on this group is, therefore, especially alarming. There is an urgent need to conduct more baseline and long-term research on cryptic species that are currently overlooked in relation to conservation protection programmes, and to widen the geographical coverage of such efforts.
Malawi is believed to have five species of galagos, of which two (Galagoides nyasae and G. sp. nov 1) are not listed in the IUCN Red List and one (Galagoides granti) is registered as Data Deficient (IUCN 2006). The only previous scientific studies of galagos in Malawi are two short term field studies (Courtenay & Bearder 1989; Wallace 2005) limited to very small geographical areas. With a current annual deforestation rate in Malawi at 3.5% (WWF 2006) it is clear that all forest species now face severe threats to their future existence. Establishment of a scientific baseline on the presence and abundance of key indicator species will enhance recognition of the problem and help to establish protection strategies for the most vulnerable and important of the remaining forest habitats."
"Application to the PRIMATE ACTION FUND for the research project: “Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""","https://scispace.com/paper/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","2009","","PRIMATE ACTION FUND","Johan Karlsson","","https://scispace.com/records/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","1. Summary:
 The findings from this project are expected to give strong indications on the taxonomic and ecological status of three, virtually unknown, populations of galagos.

2. Abstract:
 Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""

3. Summary:
 This study aims to establish baseline data on presence/absence, taxonomic status, geographic spread, habitat preferences, and conservation status of four target populations in Malawi: Malawi galago, Galagoides nyasae;","African nocturnal primates of the family Galagidae (galagos) display species-specific sets of vocalizations that can contain up to 25 structurally distinct calls. This fact has been used to identify populations in the wild and has been especially effective when studying and the small (<200 grams) and elusive members of the Galagoides genera. There are currently 11 species of Galagoides recognized but the taxonomic rank of at least three is uncertain due to lack of behavioral and genetic data. Five Galagoides species can be found in Malawi, where of four are endemic: Malawi galago (Galagoides nyasae), Mt. Thyolo galago (G. sp. nov. 2), Kalwe small galago (Galagoides sp. nov. 1), and the Misuku Hills galago (Galagoides sp.), but their taxonomic rank is highly uncertain or undecided. The current conservation status of these three populations is tentative since the studies that identified them dates back 20 (Kalwe small and Misuku Hills galago) to 120 (Malawi galago) years, and no further field study has been carried out since. In the light of the described data deficiency, this study suggests a survey of the above described Galagoides species' type localities, to record each population's vocal repertoire, map their geographical distribution, local abundance, and establish their basic ecological preferences. The baseline data derived from this study will help to clarify the taxonomic status, the presence and abundance, the ecological requirements, and allow an up-to-date analysis of their conservation status. This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010."
"Application to the PRIMATE ACTION FUND for the research project: “Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""","https://scispace.com/paper/paf-karlson-fy10-agreement-4frn5wm9","2009","","PRIMATE ACTION FUND","Johan Karlsson","","https://scispace.com/records/paf-karlson-fy10-agreement-4frn5wm9","1. Summary:
 The findings from this project are expected to give strong indications on the taxonomic and ecological status of three, virtually unknown, populations of galagos.

2. Summary:
 This study aims to establish baseline data on presence/absence, taxonomic status, geographic spread, habitat preferences, and conservation status of four target populations in Malawi: Malawi galago, Galagoides nyasae;

3. Abstract:
 This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010.","African nocturnal primates of the family Galagidae (galagos) display species-specific sets of vocalizations that can contain up to 25 structurally distinct calls. This fact has been used to identify populations in the wild and has been especially effective when studying and the small (<200 grams) and elusive members of the Galagoides genera. There are currently 11 species of Galagoides recognized but the taxonomic rank of at least three is uncertain due to lack of behavioral and genetic data. Five Galagoides species can be found in Malawi, where of four are endemic: Malawi galago (Galagoides nyasae), Mt. Thyolo galago (G. sp. nov. 2), Kalwe small galago (Galagoides sp. nov. 1), and the Misuku Hills galago (Galagoides sp.), but their taxonomic rank is highly uncertain or undecided. The current conservation status of these three populations is tentative since the studies that identified them dates back 20 (Kalwe small and Misuku Hills galago) to 120 (Malawi galago) years, and no further field study has been carried out since. In the light of the described data deficiency, this study suggests a survey of the above described Galagoides species' type localities, to record each population's vocal repertoire, map their geographical distribution, local abundance, and establish their basic ecological preferences. The baseline data derived from this study will help to clarify the taxonomic status, the presence and abundance, the ecological requirements, and allow an up-to-date analysis of their conservation status. This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1. 77).:
 This galago of uncertain taxonomic status  appears to have a distribution that is limited to areas of southeastern Tanzania ;

2. GENERAL INTRODUCTION:
 In addition to behavioural ecology and taxonomy in Tanzania (this study), research on galagos has expanded in molecular bioiogy (M. Bayes and M. Bruford -Institute of Zoology, London), comparative morphology (M. Anderson) and bioacoustics and ecology of West African forms, particularly in Gabon (L. Ambrose).

3. Grant's galago:
 The range of this fonn was known to extend from Tanzania into Mozambique from where the type specimen was collected, possibly as far as the Zambezi River (Jenkins, 1987).","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"Identification, distribution, and taxonomy of three endemic populations of galagos (Primates, Galagidae, Galagoides spp.) in Malawi.","https://scispace.com/paper/karlsson-johan-malawi-galagos-appl-cv-gush8aov","","","","Johan Karlsson","","https://scispace.com/records/karlsson-johan-malawi-galagos-appl-cv-gush8aov","1. Abstract:
 Identification, distribution, and taxonomy of three endemic populations of galagos (Primates, Galagidae, Galagoides spp.) in Malawi.","The cryptic, nocturnal, and vocal African primates of the genus Galagoides (Primates, Galagidae), belong, not only to the smallest (<200 grams) subset within its family, but also to one of the least studied. As an effect of a paradigm shift in species concept twenty years ago, to the Recognition Species Concept, galago vocalizations became useful as species denominator. The very elusive Galagoides then became an easier target for study, and as a result, approximately six new Galagoides species was described. In some cases the rate of discovery surpassed the rate of detailed species descriptions which lead to ambiguities in taxonomic status of several the new taxa. Malawi harbour three esoteric and little studied endemic populations of Galagoides: Malawi galago (Galagoides nyasae); Kalwe small galago (Galagoides sp. nov. 1); and the Misuku Hills galago (Galagoides sp.). There exists little or no records of their vocal repertoire and their status has not been confirmed in 20-100 years. Hence, his study suggests a survey of their type localities to record each population's vocal repertoire, mapping their geographical distribution, local abundance, and establish their basic ecological preferences. The findings from this project are expected to give strong indications on their taxonomic and ecological status, and further underpin a planned long-term study of Malawi's galagos."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-wiwdh4b7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-wiwdh4b7","1. 77).:
 This galago of uncertain taxonomic status  appears to have a distribution that is limited to areas of southeastern Tanzania ;

2. GENERAL INTRODUCTION:
 In addition to behavioural ecology and taxonomy in Tanzania (this study), research on galagos has expanded in molecular bioiogy (M. Bayes and M. Bruford -Institute of Zoology, London), comparative morphology (M. Anderson) and bioacoustics and ecology of West African forms, particularly in Gabon (L. Ambrose).

3. Grant's galago:
 The range of this fonn was known to extend from Tanzania into Mozambique from where the type specimen was collected, possibly as far as the Zambezi River (Jenkins, 1987).","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"A survey of nocturnal primates in Malawi – August 2009","https://scispace.com/paper/bearder-and-karlsson-a-survey-of-nocturnal-primates-in-qpyo03o3","2009","","","Simon K. Bearder
Johan Karlsson","","https://scispace.com/records/bearder-and-karlsson-a-survey-of-nocturnal-primates-in-qpyo03o3","1. Results:
 These confirmed that the populations of galagos surviving in this area are indeed distinctive. They most resemble Galagoides granti in calling patterns and behaviour, but have a different kind of 'incremental call' call and facial markings -suggesting that they are a separate species found only in Malawi (Galagoides sp. nov.

2. Introduction:
 Further poorly known species have been provisionally identified in southern Malawi -in the region of Mount Mulanje and Thyolo Mountains (Galagoides nyasae and Galagoides sp. nov. 2).

3. Introduction:
 A detailed study by  provided strong evidence that the small galagos in this area were Galagoides granti, as found in neighbouring Mozambique and extending north into coastal Tanzania.","We conducted 75 hours of nocturnal surveys in the rainforests of Malawi from 30 July to 23 August 2009 in three regions: Mount Mulanje, in the south; Nkhata Bay, on the lake-shore; and in the Misuku Hills, in the far north. We identified four different kinds of bushbaby (galagos) on the basis of their different calls and pelage colouration: Otolemur crassicaudatus (in all areas); Galagoides granti (Southern Malawi); Galagoides sp. nov. 1 (near Nkahata Bay); and Galagoides orinus/Galagoides sp. nov. 3 (Mughese Forest, Misuku). We noted the position, height and behaviour of each animal seen during night surveys using torch light and a handheld GPS-unit. We collected over 10 hours of tape recordings of galago calls, 4 hours of video recordings and many photographs of the animals and their habitats to aid a more detailed analysis and assessment of conservation priorities for the severely threatened, yet unique forest areas that remain in Malawi. The complete destruction of the Kalwe Forest Reserve, the last remaining easily accessible forest of its kind in Malawi and a national treasure, is particularly alarming."
"A survey of nocturnal primates in Malawi – August 2009","https://scispace.com/paper/bearder-and-karlsson-a-survey-of-nocturnal-primates-in-pm0j9ph8","2009","","","Simon K. Bearder
Johan Karlsson","","https://scispace.com/records/bearder-and-karlsson-a-survey-of-nocturnal-primates-in-pm0j9ph8","1. Results:
 These confirmed that the populations of galagos surviving in this area are indeed distinctive.

2. Results:
 They most resemble Galagoides granti in calling patterns and behaviour, but have a different kind of 'incremental call' call (Figure ) and facial markings (Figure ) -suggesting that they are a separate species found only in Malawi (Galagoides sp. nov. 1).

3. Introduction:
 Further poorly known species have been provisionally identified in southern Malawi -in the Shire Highland region of Mount Mulanje and Thyolo Mountains (Galagoides nyasae and Galagoides sp. nov. 2).","We conducted 78 hours of nocturnal surveys in the rainforests of Malawi from 30 July to 23 August 2009 in three regions: Mount Mulanje, in the south; Nkhata Bay, on the lake-shore; and in the Misuku Hills, in the far north. We identified four different kinds of bushbaby (galagos) on the basis of their different calls and pelage colouration: Otolemur crassicaudatus (in all areas); Galagoides granti (Southern Malawi); Galagoides sp. nov. 1 (near Nkahata Bay); and Galagoides orinus/Galagoides sp. nov. 3 (Mughesse Forest, Misuku Hills Forest Reserve). We noted the position, height and behaviour of each animal seen during night surveys using torch light and a handheld GPS-unit. We collected over 10 hours of tape recordings of galago calls, 4 hours of video recordings and many photographs of the animals and their habitats to aid a more detailed analysis and assessment of conservation priorities for the severely threatened, yet unique forest areas that remain in Malawi. The complete destruction of the Kalwe Forest Reserve, the last remaining easily accessible forest of its kind in Malawi and a national treasure, is particularly alarming."
"Hidden in the Dark: A Review of Galagid Systematics and Phylogenetics","https://scispace.com/paper/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","2024","","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://scispace.com/records/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","1. Bridging systematics and conservation:
 Careful investigation of genetic diversity across the distribution of galagos will likely reveal narrow-range genotypically and morphologically unique lineages that may require special protection or management.","An accurate representation of species diversity is critical in primatology; most of the questions in evolutionary biology, ecology, and conservation hinge on species as a fundamental unit of analysis. Galagos are among the least-known primates. Because of their cryptic morphology, broad distribution, and sampling challenges arising from elusive habits and political instability, substantial knowledge gaps about their taxonomy, evolutionary history, and biogeography remain. Despite these limitations, recent research that integrated field surveys, acoustic, morphological, and genetic analyses helped us to better understand the taxonomic diversity of this primate group. In this paper, we (1) review the current status of galagid taxonomy; (2) synthesize our current understanding of their phylogenetics, origins, and biogeography; and (3) explore current and future approaches to elucidate galagid cryptic species diversity. The onset of galago systematics dates back to the early 19th century, with taxonomic descriptions following natural history expeditions and comparative anatomy studies. Although morphology has historically dominated systematic research on galagos, the coupling of acoustic analyses with genetic data has revolutionized the field. Taxonomic rearrangements include the discovery of new species in the wild (e.g., Galagoides kumbirensis) and the description of a new genus (Paragalago). Technological advances have allowed the collection of acoustic data in remote areas, and molecular techniques have the potential to help researchers fill important geographic gaps. Improving the resolution of galago species diversity also has implications for the conservation of wild populations, as a better understanding of species boundaries and ranges can aid in the implementation of conservation strategies."
"Identification, distribution, and taxonomy of three populations of galagos (Primates, Galagidae) in Malawi","https://scispace.com/paper/systematics-application-kadxcqp0","2007","","","Johan Karlsson","","https://scispace.com/records/systematics-application-kadxcqp0","1. Abstract:
 1. To establish a preliminary taxonomic rank of three of the most isolated and esoteric populations of galagos (bushbabies) (Primates, Galagidae) of the genus Galagoides in Africa: (Malawi galago, G. nyasae; Kalwe small galago, G. sp. nov. 1; Misuku Hills galago, G. sp.), based on their vocal repertoire.

2. Abstract:
 The information that is gathered will serve as baseline data for a PhDproject commencing during the winter 20078, on the phylogeny and biogeography of galagos in the southern regions of the Eastern Afromontane Biodiversity Hotspot ).",""
"Identification, distribution, and taxonomy of three populations of galagos (Primates, Galagidae) in Malawi","https://scispace.com/paper/j-karlsson-galago-malawi-ssb-application-21-march-2007-et00k377","2007","","","Johan Karlsson","","https://scispace.com/records/j-karlsson-galago-malawi-ssb-application-21-march-2007-et00k377","1. Abstract:
 1. To establish a preliminary taxonomic rank of three of the most isolated and esoteric populations of galagos (bushbabies) (Primates, Galagidae) of the genus Galagoides in Africa: (Malawi galago, G. nyasae; Kalwe small galago, G. sp. nov. 1; Misuku Hills galago, G. sp.), based on their vocal repertoire.

2. Abstract:
 The information that is gathered will serve as baseline data for a PhDproject commencing during the winter 20078, on the phylogeny and biogeography of galagos in the southern regions of the Eastern Afromontane Biodiversity Hotspot ).","The objectives of this study are: 1. To establish a preliminary taxonomic rank of three of the most isolated and esoteric populations of galagos (bushbabies) (Primates, Galagidae) of the genus Galagoides in Africa: (Malawi galago, G. nyasae; Kalwe small galago, G. sp. nov. 1; Misuku Hills galago, G. sp.), based on their vocal repertoire. 2. To investigate the ecological requirements of these populations. 3. To estimate local population density and distribution with each type locality. 4. To initiate biogeographic mapping of the inhabited forest patches using Geographic Information System (GIS) models. The information that is gathered will serve as baseline data for a PhD-project commencing during the winter 2007-8, on the phylogeny and biogeography of galagos in the southern regions of the Eastern Afromontane Biodiversity Hotspot (Brooks et al. 2007)."
"Assessment of the Diversity of African Primates","https://scispace.com/paper/grubb-et-al-2003-assessment-of-the-diversity-of-african-lujudh7y","2003","","International Journal of Primatology","Peter Grubb
Thomas M. Butynski
John F. Oates
Simon K. Bearder
Todd R. Disotell
Colin P. Groves
Thomas T. Struhsaker","","https://scispace.com/records/grubb-et-al-2003-assessment-of-the-diversity-of-african-lujudh7y","1. GALAGOIDES ORINUS, G. ZANZIBARICUS, and G. GRANTI GROUPS:
 Five species  appear to replace each other in sequence from southern Tanzania through Malawi into Mozambique. The history of systematics in Table  and discussed under the Galagoides zanzibaricus and G. granti groups suggests that several authors were working towards recognition of Galagoides zanzibaricus as a polytypic species.

2. Mwera Greater Galago:
 Searches in the wild have failed to find firm evidence for the existence of such a population. We encourage further study, but for now we recommend that this name is not included in the taxonomy of African primates.","This account of the systematics of African primates is the consensus view of a group of authors who attended the Workshop of the IUCN/SSC Primate Specialist Group held at Orlando, Florida, in February 2000. We list all species and subspecies that we consider to be valid, together with a selected synonymy for all names that have been controversial in recent years or that have been considered to be valid by other authors in recent publications. For genera, species-groups or species, we tabulate and discuss different published systematic interpretations, with emphasis on more recent publications. We explain why we have adopted our taxonomic treatment and give particular attention to cases where more research is urgently required and in which systematic changes are most likely to be made. For all taxa, from suborder to subspecies, we provide English names."
