"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Distinguishing Phylogenetic Level-2 Networks with Quartets and Inter-Taxon Quartet Distances.","https://scispace.com/paper/41128995","2025","Journal Article","Bulletin of mathematical biology","Holtgrefe
Allman
Baños
van Iersel
Moulton
Rhodes
Wicke","10.1007/s11538-025-01549-4","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12549781/pdf","The inference of phylogenetic networks, which model complex evolutionary processes including hybridization and gene flow, remains a central challenge in evolutionary biology. Until now, statistically consistent inference methods have been limited to phylogenetic level-1 networks, which allow no interdependence between reticulate events. In this work, we establish the theoretical foundations for a statistically consistent inference method for a much broader class: semi-directed level-2 networks that are outer-labeled planar and galled. We precisely characterize the features of these networks that are distinguishable from the topologies of their displayed quartet trees. Moreover, we prove that an inter-taxon distance derived from these quartets is circular decomposable, enabling future robust inference of these networks from quartet data, such as concordance factors obtained from gene tree distributions under the Network Multispecies Coalescent model. Our results also have novel identifiability implications across different data types and evolutionary models, applying to any setting in which displayed quartets can be distinguished."
"Species delimitation within a taxonomically complex group: An example from the genus Apodemus (Rodentia: Muridae).","https://scispace.com/paper/41110658","2026","Journal Article","Molecular phylogenetics and evolution","Pan
Peng
Wang
Chen
Cheng
Liao
Huang
Li
Liu","10.1016/j.ympev.2025.108483","","Species delimitation based on genetic data plays a critical role in taxonomy research, particularly for resolving taxonomically complex groups and detecting cryptic diversity. However, few studies have assessed the consistency and reliability of the various species delimitation approaches using the real dataset. In this study, we compared the most widely used approaches for species delimitation within the complex group of the Apodemus genus from China. Multiple species delimitation approaches were applied, including the multispecies coalescent model- and machine learning-based approaches. Unexpectedly, we observed considerable discrepancies across methods, with some results lacking taxonomic validity. To resolve the taxonomic puzzle of this taxon, we integrated phylogenetic and population analyses with morphological and ecological assessments, ultimately recognizing nine valid species and identifying one cryptic species. Phylogeographic analyses of endemic lineages in east Himalayan Mountains of Southwest China indicated that orogenic activity and glacial-interglacial cycles have played key roles in the speciation and diversification of Apodemus in China. These results highlight the challenges of species delimitation in taxonomically complex groups and demonstrate that relying solely on molecular methods is insufficient. We advocate an integrative taxonomic framework that combines molecular, morphological, and ecological data to address these taxonomic puzzles."
"Inference of Phylogenetic Networks From Sequence Data Using Composite Likelihood.","https://scispace.com/paper/39387633","2025","Journal Article","Systematic biology","Kong
Swofford
Kubatko","10.1093/sysbio/syae054","","While phylogenies have been essential in understanding how species evolve, they do not adequately describe some evolutionary processes. For instance, hybridization, a common phenomenon where interbreeding between 2 species leads to formation of a new species, must be depicted by a phylogenetic network, a structure that modifies a phylogenetic tree by allowing 2 branches to merge into 1, resulting in reticulation. However, existing methods for estimating networks become computationally expensive as the dataset size and/or topological complexity increase. The lack of methods for scalable inference hampers phylogenetic networks from being widely used in practice, despite accumulating evidence that hybridization occurs frequently in nature. Here, we propose a novel method, PhyNEST (Phylogenetic Network Estimation using SiTe patterns), that estimates binary, level-1 phylogenetic networks with a fixed, user-specified number of reticulations directly from sequence data. By using the composite likelihood as the basis for inference, PhyNEST is able to use the full genomic data in a computationally tractable manner, eliminating the need to summarize the data as a set of gene trees prior to network estimation. To search network space, PhyNEST implements both hill climbing and simulated annealing algorithms. PhyNEST assumes that the data are composed of coalescent independent sites that evolve according to the Jukes-Cantor substitution model and that the network has a constant effective population size. Simulation studies demonstrate that PhyNEST is often more accurate than 2 existing composite likelihood summary methods (SNaQand PhyloNet) and that it is robust to at least one form of model misspecification (assuming a less complex nucleotide substitution model than the true generating model). We applied PhyNEST to reconstruct the evolutionary relationships among Heliconius butterflies and Papionini primates, characterized by hybrid speciation and widespread introgression, respectively. PhyNEST is implemented in an open-source Julia package and is publicly available at https://github.com/sungsik-kong/PhyNEST.jl."
"Massive Inter-species Introgression Overwhelms Phylogenomic Relationships Among Jaguar, Lion, and Leopard.","https://scispace.com/paper/40128107","2025","Journal Article","Systematic biology","Santos
Figueiró
Flouri
Ramalho
Cullen
Yang
Murphy
Eizirik","10.1093/sysbio/syaf021","","Phylogenomic analyses of closely related species allow important glimpses into their evolutionary history. Although recent studies have demonstrated that inter-species hybridization has occurred in several groups, incorporating this process in phylogenetic reconstruction remains challenging. Specifically, the most predominant topology across the genome is often assumed to reflect the speciation tree, but rampant hybridization might overwhelm the genomes, causing that assumption to be violated. The notoriously challenging phylogeny of the 5 extant Panthera species (specifically jaguar [P. onca], lion [P. leo], and leopard [P. pardus]) is an interesting system to address this problem. Here we employed a Panthera-wide whole-genome-sequence data set incorporating 3 jaguar genomes and 2 representatives of lions and leopards to dissect the relationships among these 3 species. Maximum-likelihood trees reconstructed from non-overlapping genomic fragments of 4 different sizes strongly supported the monophyly of all 3 species. The most frequent topology (76-95%) united lion + leopard as a sister species (topology 1), followed by lion + jaguar (topology 2: 4-8%) and leopard + jaguar (topology 3: 0-6%). Topology 1 was dominant across the genome, especially in high-recombination regions. Topologies 2 and 3 were enriched in low-recombination segments, likely reflecting the species tree in the face of hybridization. Divergence times between sister species of each topology, corrected for local-recombination-rate effects, indicated that the lion-leopard divergence was significantly younger than the alternatives, likely driven by post-speciation admixture. Introgression analyses detected pervasive hybridization between lions and leopards, regardless of the assumed species tree. This inference was strongly supported by multispecies-coalescence-with-introgression analyses, which rejected topology 1 (lion+leopard) or any model without introgression. Interestingly, topologies 2 (lion+jaguar) and 3 (jaguar+leopard) with extensive lion-leopard introgression were unidentifiable, highlighting the complexity of this phylogenetic problem. Our results suggest that the dominant genome-wide tree topology is not the true species tree but rather a consequence of overwhelming post-speciation admixture between lion and leopard."
"Bayesian Inference Under the Multispecies Coalescent with Ancient DNA Sequences.","https://scispace.com/paper/39078610","2024","Journal Article","Systematic biology","Nagel
Flouri
Yang
Rannala","10.1093/sysbio/syae047","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11637557/pdf","Ancient DNA (aDNA) is increasingly being used to investigate questions such as the phylogenetic relationships and divergence times of extant and extinct species. If aDNA samples are sufficiently old, expected branch lengths (in units of nucleotide substitutions) are reduced relative to contemporary samples. This can be accounted for by incorporating sample ages into phylogenetic analyses. Existing methods that use tip (sample) dates infer gene trees rather than species trees, which can lead to incorrect or biased inferences of the species tree. Methods using a multispecies coalescent (MSC) model overcome these issues. We developed an MSC model with tip dates and implemented it in the program BPP. The method performed well for a range of biologically realistic scenarios, estimating calibrated divergence times and mutation rates precisely. Simulations suggest that estimation precision can be best improved by prioritizing sampling of many loci and more ancient samples. Incorrectly treating ancient samples as contemporary in analyzing simulated data, mimicking a common practice of empirical analyses, led to large systematic biases in model parameters, including divergence times. Two genomic datasets of mammoths and elephants were analyzed, demonstrating the method's empirical utility."
"Traditional multilocus phylogeny fails to fully resolve Palearctic ground squirrels (Spermophilus) relationships but reveals a new species endemic to West Siberia.","https://scispace.com/paper/38471598","2024","Journal Article","Molecular phylogenetics and evolution","Simonov
Lopatina
Titov
Ivanova
Brandler
Surin
Matrosova
Dvilis
Oreshkova
Kapustina
Golenishchev
Ermakov","10.1016/j.ympev.2024.108057","","Previous efforts to reconstruct evolutionary history of Palearctic ground squirrels within the genus Spermophilus have primarily relied on a single mitochondrial marker for phylogenetic data. In this study, we present the first phylogeny with comprehensive taxon sampling of Spermophilus via a conventional multilocus approach utilizing five mitochondrial and five nuclear markers. Through application of the multispecies coalescent model, we constructed a species tree revealing four distinct clades that diverged during the Late Miocene. These clades are 1) S. alaschanicus and S. dauricus from East Asia; 2) S. musicus and S. pygmaeus from East Europe and northwestern Central Asia; 3) the subgenus Colobotis found across Central Asia and its adjacent regions and encompassing S. brevicauda, S. erythrogenys, S. fulvus, S. major, S. pallidicauda, S. ralli, S. relictus, S. selevini, and S. vorontsovi sp. nov.; and 4) a Central/Eastern Europe and Asia Minor clade comprising S. citellus, S. taurensis, S. xanthoprymnus, S. suslicus, and S. odessanus. The latter clade lacked strong support owing to uncertainty of taxonomic placement of S. odessanus and S. suslicus. Resolving relationships within the subgenus Colobotis, which radiated rapidly, remains challenging likely because of incomplete lineage sorting and introgressive hybridization. Most of modern Spermophilus species diversified during the Early-Middle Pleistocene (2.2-1.0 million years ago). We propose a revised taxonomic classification for the genus Spermophilus by recognizing 18 species including a newly identified one (S. vorontsovi sp. nov.), which is found only in a limited area in the southeast of West Siberia. Employing genome-wide single-nucleotide polymorphism genotyping, we substantiated the role of the Ob River as a major barrier ensuring robust isolation of this taxon from S. erythrogenys. Despite its inherent limitations, the traditional multilocus approach remains a valuable tool for resolving relationships and can provide important insights into otherwise poorly understood groups. It is imperative to recognize that additional efforts are needed to definitively determine phylogenetic relationships between certain species of Palearctic ground squirrels."
"A comprehensive phylogenomic study unveils evolutionary patterns and challenges in the mitochondrial genomes of Carcharhiniformes: A focus on Triakidae.","https://scispace.com/paper/38147941","2024","Journal Article","Genomics","Winn
Maduna
Bester-van der Merwe","10.1016/j.ygeno.2023.110771","","The complex evolutionary patterns in the mitochondrial genome (mitogenome) of the most species-rich shark order, the Carcharhiniformes (ground sharks) has led to challenges in the phylogenomic reconstruction of the families and genera belonging to the order, particularly the family Triakidae (houndsharks). The current state of Triakidae phylogeny remains controversial, with arguments for both monophyly and paraphyly within the family. We hypothesize that this variability is triggered by the selection of different a priori partitioning schemes to account for site and gene heterogeneity within the mitogenome. Here we used an extensive statistical framework to select the a priori partitioning scheme for inference of the mitochondrial phylogenomic relationships within Carcharhiniformes, tested site heterogeneous CAT + GTR + G4 models and incorporated the multi-species coalescent model (MSCM) into our analyses to account for the influence of gene tree discordance on species tree inference. We included five newly assembled houndshark mitogenomes to increase resolution of Triakidae. During the assembly procedure, we uncovered a 714 bp-duplication in the mitogenome of Galeorhinus galeus. Phylogenetic reconstruction confirmed monophyly within Triakidae and the existence of two distinct clades of the expanded Mustelus genus. The latter alludes to potential evolutionary reversal of reproductive mode from placental to aplacental, suggesting that reproductive mode has played a role in the trajectory of adaptive divergence. These new sequences have the potential to contribute to population genomic investigations, species phylogeography delineation, environmental DNA metabarcoding databases and, ultimately, improved conservation strategies for these ecologically and economically important species."
"TRAILS: Tree reconstruction of ancestry using incomplete lineage sorting.","https://scispace.com/paper/38330138","2024","Journal Article","PLoS genetics","Rivas-González
Schierup
Wakeley
Hobolth","10.1371/journal.pgen.1010836","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10880969/pdf","Genome-wide genealogies of multiple species carry detailed information about demographic and selection processes on individual branches of the phylogeny. Here, we introduce TRAILS, a hidden Markov model that accurately infers time-resolved population genetics parameters, such as ancestral effective population sizes and speciation times, for ancestral branches using a multi-species alignment of three species and an outgroup. TRAILS leverages the information contained in incomplete lineage sorting fragments by modelling genealogies along the genome as rooted three-leaved trees, each with a topology and two coalescent events happening in discretized time intervals within the phylogeny. Posterior decoding of the hidden Markov model can be used to infer the ancestral recombination graph for the alignment and details on demographic changes within a branch. Since TRAILS performs posterior decoding at the base-pair level, genome-wide scans based on the posterior probabilities can be devised to detect deviations from neutrality. Using TRAILS on a human-chimp-gorilla-orangutan alignment, we recover speciation parameters and extract information about the topology and coalescent times at high resolution."
"Species delimitation with limited sampling: An example from rare trapdoor spider genus Cyclocosmia (Mygalomorphae, Halonoproctidae).","https://scispace.com/paper/37971187","2024","Journal Article","Molecular ecology resources","Opatova
Bourguignon
Bond","10.1111/1755-0998.13894","","The outcome of species delimitation depends on many factors, including conceptual framework, study design, data availability, methodology employed and subjective decision making. Obtaining sufficient taxon sampling in endangered or rare taxa might be difficult, particularly when non-lethal tissue collection cannot be utilized. The need to avoid overexploitation of the natural populations may thus limit methodological framework available for downstream data analyses and bias the results. We test species boundaries in rare North American trapdoor spider genus Cyclocosmia Ausserer (1871) inhabiting the Southern Coastal Plain biodiversity hotspot with the use of genomic data and two multispecies coalescent model methods. We evaluate the performance of each methodology within a limited sampling framework. To mitigate the risk of species over splitting, common in taxa with highly structured populations, we subsequently implement a species validation step via genealogical diversification index (gdi), which accounts for both genetic isolation and gene flow. We delimited eight geographically restricted lineages within sampled North American Cyclocosmia, suggesting that major river drainages in the region are likely barriers to dispersal. Our results suggest that utilizing BPP in the species discovery step might be a good option for datasets comprising hundreds of loci, but fewer individuals, which may be a common scenario for rare taxa. However, we also show that such results should be validated via gdi, in order to avoid over splitting."
"PhyloAcc-GT: A Bayesian Method for Inferring Patterns of Substitution Rate Shifts on Targeted Lineages Accounting for Gene Tree Discordance.","https://scispace.com/paper/37665177","2023","Journal Article","Molecular biology and evolution","Yan
Hu
Thomas
Edwards
Sackton
Liu","10.1093/molbev/msad195","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10540510/pdf","An important goal of evolutionary genomics is to identify genomic regions whose substitution rates differ among lineages. For example, genomic regions experiencing accelerated molecular evolution in some lineages may provide insight into links between genotype and phenotype. Several comparative genomics methods have been developed to identify genomic accelerations between species, including a Bayesian method called PhyloAcc, which models shifts in substitution rate in multiple target lineages on a phylogeny. However, few methods consider the possibility of discordance between the trees of individual loci and the species tree due to incomplete lineage sorting, which might cause false positives. Here, we present PhyloAcc-GT, which extends PhyloAcc by modeling gene tree heterogeneity. Given a species tree, we adopt the multispecies coalescent model as the prior distribution of gene trees, use Markov chain Monte Carlo (MCMC) for inference, and design novel MCMC moves to sample gene trees efficiently. Through extensive simulations, we show that PhyloAcc-GT outperforms PhyloAcc and other methods in identifying target lineage-specific accelerations and detecting complex patterns of rate shifts, and is robust to specification of population size parameters. PhyloAcc-GT is usually more conservative than PhyloAcc in calling convergent rate shifts because it identifies more accelerations on ancestral than on terminal branches. We apply PhyloAcc-GT to two examples of convergent evolution: flightlessness in ratites and marine mammal adaptations, and show that PhyloAcc-GT is a robust tool to identify shifts in substitution rate associated with specific target lineages while accounting for incomplete lineage sorting."
