"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex.","https://scispace.com/paper/cryptic-diversity-and-species-boundaries-within-the-35mpmiaq7i","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/J.YMPEV.2020.106887","","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses multispecies coalescent to resolve Paragalago lineages; provides detailed East African dwarf galago taxonomy; mentions forest fragmentation hinting at refugia; details mitochondrial and nuclear markers; does not address southern African galago populations.",""
"Species Boundaries within Morphologically Cryptic Galagos: Evidence from Acoustic and Genetic Data","https://scispace.com/paper/species-boundaries-within-morphologically-cryptic-galagos-3wjx3ad1ud","2019","Journal Article","Folia Primatologica","Luca Pozzi
Todd R. Disotell
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Marco Gamba","10.1159/000496972","","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses mitochondrial cytochrome b and vocal data to delimit two East African dwarf galagos; lacks coalescent analyses and southern African focus; touches on historic fragmentation.","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"Leveraging museum genomics to unravel species boundaries and historical biogeography of nocturnal African primates (Galagidae)","https://scispace.com/paper/QT2eis9UqcgJ","","","","APC Penna","","","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses genome‑scale data and MSC models to resolve galagid species trees; details markers for delimitation; includes some dwarf galago taxa but focuses mainly on western ranges; offers limited insight into East African forest refugia; does not address southern African conservation populations.",""
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://scispace.com/pdf/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses multilocus nuclear data for species‑tree inference, but without explicit MSC tools; includes East African galago lineages but not focused on dwarf genera; discusses deep divergences rather than Pleistocene refugia; details markers suitable for delimiting primate species; lacks southern African conservation context.","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group."
"Evolutionary history, systematics, and species boundaries in galagos (Primates: Galagidae)","https://scispace.com/paper/KfzZ_wstyi0J","","","","L Pozzi","","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses extensive genetic and acoustic data to resolve dwarf galago species in East Africa; mentions cryptic species and some forest distribution patterns, but lacks multispecies coalescent analysis, detailed refugia modeling, comprehensive marker protocols, and southern African conservation focus.",""
"Uncovering cryptic diversity and refugial persistence among small mammal lineages across the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/uncovering-cryptic-diversity-and-refugial-persistence-among-45p0n14597","2014","Journal Article","Molecular Phylogenetics and Evolution","Terrence C. Demos
Terrence C. Demos
Terrence C. Demos
Julian C. Kerbis Peterhans
Julian C. Kerbis Peterhans
Bernard Agwanda
Michael J. Hickerson
Michael J. Hickerson","10.1016/J.YMPEV.2013.10.014","https://www.researchgate.net/profile/Terrence-Demos-2/publication/258047841_Uncovering_cryptic_diversity_and_refugial_persistence_among_small_mammal_lineages_across_the_Eastern_Afromontane_biodiversity_hotspot/links/5e5a9e4392851cefa1d1d9e8/Uncovering-cryptic-diversity-and-refugial-persistence-among-small-mammal-lineages-across-the-Eastern-Afromontane-biodiversity-hotspot.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides strong evidence on East African montane forest refugia and phylogeography, uses coalescent analyses, but offers limited focus on dwarf galagos, primate markers, and no southern African galago data.",""
"Molecular phylogeny of East African dwarf galagos (Galagoides spp.)","https://scispace.com/paper/rwpgrantapplication-j-karlsson-2011-47gf2wi3","2011","","","Johan Karlsson","","https://scispace.com/records/rwpgrantapplication-j-karlsson-2011-47gf2wi3","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a comprehensive molecular phylogeny of East African dwarf galagos, directly addressing their systematics. Mentions regional forest contexts and uses genetic loci, but lacks coalescent modeling and southern African focus.","Non-human primate species belong to a group of generally well studied mammals. One of the more pertinent exceptions is the rarely seen but often heard African nocturnal primate, the dwarf galago (genus Galagoides). As with many nocturnal animals, dwarf galagos have a cryptic morphology that confounds full understanding of their true species diversity. To fully quantify the extent of the taxonomic variety of the genus, it is necessary to conduct an assessment of the genetic diversity in an evolutionary perspective, i.e. create a genetically based phylogeny. However, current records of dwarf galago DNA are very patchy and are mostly derived from captive populations, leaving incomplete phylogenetic understanding. Differences between species are often hard to discern, especially when it comes to cryptic species such as dwarf galagos. Morphology and behavior cannot always be used to differentiate between species and cannot, with any high accuracy, reveal ancestral relationships between species. We therefore suggest a survey of specific localities in the Eastern Afromountain Biodiversity Hotspots of Tanzania, Kenya and Malawi to collect genetic material from all known and all presumptive dwarf galago species (table 1; see table 2 for timeline for fieldwork). The intent is to construct the most comprehensive phylogeny made to date over the genus Galagoides derived from genetic markers. We believe the results from this study will prove pivotal for future research and conservation prioritizing of dwarf galagos."
"Cryptic Patterns of Speciation in Cryptic Primates: Microendemic Mouse Lemurs and the Multispecies Coalescent","https://scispace.com/paper/cryptic-patterns-of-speciation-in-cryptic-primates-4ze1jkq5od","2021","Journal Article","Systematic Biology","Jelmer W. Poelstra
Jordi Salmona
George P. Tiley
Dominik Schüßler
Marina B. Blanco
Jean B Andriambeloson
Olivier Bouchez
C. Ryan Campbell
Paul D. Etter
Paul A. Hohenlohe
Kelsie E. Hunnicutt
Kelsie E. Hunnicutt
Amaia Iribar
Eric A. Johnson
Peter M. Kappeler
Peter A. Larsen
Peter A. Larsen
Sophie Manzi
José M. Ralison
Blanchard Randrianambinina
Rodin M Rasoloarison
David W. Rasolofoson
Amanda R. Stahlke
David W. Weisrock
Rachel C. Williams
Lounès Chikhi
Lounès Chikhi
Edward E. Louis
Ute Radespiel
Anne D. Yoder","10.1093/SYSBIO/SYAA053","","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses multispecies coalescent RADseq analyses to delimit mouse lemur species, providing detailed MSC methodology and marker discussion; no content on galagos, East African forests, or related conservation topics.","Mouse lemurs (Microcebus) are a radiation of morphologically cryptic primates distributed throughout Madagascar for which the number of recognized species has exploded in the past two decades. This taxonomic revision has prompted understandable concern that there has been substantial oversplitting in the mouse lemur clade. Here, we investigate mouse lemur diversity in a region in northeastern Madagascar with high levels of microendemism and predicted habitat loss. We analyzed RADseq data with multispecies coalescent (MSC) species delimitation methods for two pairs of sister lineages that include three named species and an undescribed lineage previously identified to have divergent mtDNA. Marked differences in effective population sizes, levels of gene flow, patterns of isolation-by-distance, and species delimitation results were found among the two pairs of lineages. Whereas all tests support the recognition of the presently undescribed lineage as a separate species, the species-level distinction of two previously described species, M. mittermeieri and M. lehilahytsara is not supported-a result that is particularly striking when using the genealogical discordance index (gdi). Nonsister lineages occur sympatrically in two of the localities sampled for this study, despite an estimated divergence time of less than 1 Ma. This suggests rapid evolution of reproductive isolation in the focal lineages and in the mouse lemur clade generally. The divergence time estimates reported here are based on the MSC calibrated with pedigree-based mutation rates and are considerably more recent than previously published fossil-calibrated relaxed-clock estimates. We discuss the possible explanations for this discrepancy, noting that there are theoretical justifications for preferring the MSC estimates in this case. [Cryptic species; effective population size; microendemism; multispecies coalescent; speciation; species delimitation.]."
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses extensive nuclear and mitochondrial loci for galagid phylogeny, notes east African dwarf galago clade, but lacks MSC methods, detailed refugia analysis, and southern African conservation focus.","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
"Taxonomy, Distribution, and Conservation Status of Three Species of Dwarf Galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/0898-6207-21-1-63-1-pdf-a67pzk2u","2006","","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://scispace.com/records/0898-6207-21-1-63-1-pdf-a67pzk2u","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides detailed taxonomy and distribution of East African dwarf galagos, touching on habitat ranges and some biogeographic notes, but lacks coalescent analyses, molecular marker discussion, and southern African focus.","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and examines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conservation status. The following are among the findings: (1) 'Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets the IUCN Red List criteria for an Endangered subspecies."
