"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Diversification of the Balloon bushcrickets (Orthoptera, Hexacentrinae, Aerotegmina) in the East African mountains.","https://scispace.com/paper/diversification-of-the-balloon-bushcrickets-orthoptera-5gm3s7dx4h","2021","Journal Article","Scientific Reports","Beata Grzywacz
Elżbieta Warchałowska-Śliwa
Maciej Kociński
Klaus-Gerhard Heller
Claudia Hemp","10.1038/S41598-021-89364-4","","East African mountains constitute a network of isolated habitat islands among dry savannah and are thus ideal for studying species diversification processes. This study elucidated the phylogenetic and phylogeographic relationships of all bushcricket species comprising the genus Aerotegmina. Our analysis indicated that large-scale climatic and topographic processes in Africa are likely to have driven speciation in this group, and revealed the cytogenetic traits of the species. Molecular phylogeny supported the monophyly of Aerotegmina and showed that the genus probably originated in the old Eastern Arc Mountains of Tanzania and Kenya. Two lineages were distinguished: small- and large-sized species with geographically distinct habitats. The underlying processes are thought to be eight dispersals, ten vicariance events, and one extinction event linked to repeated fragmentation of the African rainforest. Those processes, in conjunction with habitat change, probably also led to the spatial separation of the species into a northern clade with a diploid number of chromosomes 2n = 32 + X0 or 2n = 30 + neo-XY and a southern clade with a reduced number of chromosomes (2n = 28 + X0 or 24 + neo-X1X2Y). Karyotype analysis suggests that Aerotegmina is currently in the process of speciation.","It is indicated that large-scale climatic and topographic processes in Africa are likely to have driven speciation in bushcricket species comprising the genus Aerotegmina, and cytogenetic traits of the species were revealed."
"Coastal forests of eastern Africa: status, endemism patterns and their potential causes","https://scispace.com/paper/coastal-forests-of-eastern-africa-status-endemism-patterns-5a6b1762ew","1998","Journal Article","Biological Journal of The Linnean Society","Neil D. Burgess
G. P. Clarke
W. A. Rodgers","10.1111/J.1095-8312.1998.TB00337.X","","Eastern African coastal forests are located within the Swahili regional centre of endemism and Swahili-Maputaland regional transition zone in eastern Africa, between 1° North and 25° South, and 34–41° East. Approximately 3167 km 2 coastal forest remains: 2 km 2 in Somalia, 660 km 2 in Kenya, 697 km 2 in Tanzania, 16 km 2 in Malawi, 3 km 2 in Zimbabwe and perhaps 1790 km 2 in Mozambique. Most forests are small (≤20 km 2 ), and all but 19 are under 30 km 2 in area. Over 80% of coastal forest is located on government land, principally Forest Reserves; only 8.3 km 2 is found in National Parks (6.2 km 2 in Kenya (Arabuko-Sokoke), 2 km 2 in Tanzania (Mafia Island) and tiny patches in Zimbabwe). Coastal forests are an important and highly threatened centre of endemism for plants ( c 550 endemic species), mammals (6 species), birds (9 species), reptiles (26 species), frogs (2 species), butterflies (79 species), snails (>86 species) and millipedes (>>20 species). Endemic species are concentrated in the forests of the Tana River, between Malindi in Kenya to Tanga in northern Tanzania, and in southern Tanzania. Forests with highest numbers of endemics are: lower Tana River, Arabuko-Sokoke, Shimba Hills (Kenya); lowland East Usambara, Pugu Hills, Matumbi Hills, Rondo and Litipo and other plateaux near Lindi (Tanzania); the Tanzanian offshore island of Pemba; Bazaruto archipelago (Mozambique), and tiny forest remnants of southern Malawi, eastern Zimbabwe and Mozambique. Most coastal forest endemics have a narrow distributional range, often exhibiting single-site endemism or with scattered or disjunct distributional patterns. They are best interpreted as relicts and not the result of recent evolution. Relictualization probably started with the separation of the ancient Pan African rainforest into two parts during the Miocene. The coastal forests are interpreted as a «vanishing refuge» with the endemic species gradually becoming more and more relict (and presumably extinct) due historically to climatic desiccation and more recently to human destruction.","The coastal forests are interpreted as a «vanishing refuge» with the endemic species gradually becoming more and more relict (and presumably extinct) due historically to climatic desiccation and more recently to human destruction."
"Phylogeography of Jackson's Forest Lizard Adolfus jacksoni (Sauria: Lacertidae) Reveals Cryptic Diversity in the Highlands of East Africa","https://scispace.com/paper/phylogeography-of-jackson-s-forest-lizard-adolfus-jacksoni-3xx5safa1u","2018","Journal Article","Herpetological Monographs","Eli Greenbaum
Stephanie Dowell Beer
Daniel F. Hughes
Philipp Wagner
Christopher G. Anderson
Cesar O. Villanueva
Patrick Malonza
Chifundera Kusamba
Wandege M. Muninga
Mwenebatu M. Aristote
William R. Branch","10.1655/HERPMONOGRAPHS-D-18-00005.1","","Jackson's Forest Lizard (Adolfus jacksoni) is widespread throughout the highlands of the Albertine Rift, southern Uganda, western and central Kenya, and northern Tanzania. To understand th...","Results from phylogenetic analyses and additional morphological data indicated that Adolfus jacksoni occurs throughout the Albertine Rift, likely from the Kabobo Plateau to the Lendu Plateau of Democratic Republic of the Congo, as well as southern Uganda, Mt. Elgon, and the highlands of western Kenya on the western side of the Kenyan Rift."
"Divergence at the edges: peripatric isolation in the montane spiny throated reed frog complex","https://scispace.com/paper/divergence-at-the-edges-peripatric-isolation-in-the-montane-3z49ou8d7m","2015","Journal Article","BMC Evolutionary Biology","Lucinda P. Lawson
Lucinda P. Lawson
Lucinda P. Lawson
John M. Bates
John M. Bates
Michele Menegon
Simon P. Loader","10.1186/S12862-015-0384-3","","Peripatric speciation and peripheral isolation have uncertain importance in species accumulation, and are largely overshadowed by assumed dominance of allopatric modes of speciation Understanding the role of different speciation mechanisms within biodiversity hotspots is central to understanding the generation of biological diversity Here, we use a phylogeographic analysis of the spiny-throated reed frogs and examine sister pairings with unbalanced current distributional ranges for characteristics of peripatric speciation We further investigate whether forest/grassland mosaic adapted species are more likely created through peripatric speciation due to instability of this habitat type We reconstructed a multi-locus molecular phylogeny of spiny-throated reed frogs which we then combined with comparative morphologic data to delimit species and analyze historical demographic change; identifying three new species Three potential peripatric speciation events were identified along with one case of allopatric speciation Peripatric speciation is supported through uneven potential and realized distributions and uneven population size estimates based on field collections An associated climate shift was observed in most potentially peripatric splits Morphological variation was highest in sexually dimorphic traits such as body size and gular shape, but this variation was not limited to peripatric species pairs as hypothesized The potentially allopatric species pair showed no niche shifts and equivalent effective population sizes, ruling out peripatry in that speciation event Two major ecological niche shifts were recovered within this radiation, possibly as adaptations to occupy areas of grassland that became more prevalent in the last 5 million years Restricted and fluctuating grassland mosaics within forests might promote peripatric speciation in the Eastern Arc Biodiversity Hotspot (EABH) In our case study, peripatric speciation appears to be an important driver of diversity within the EABH biodiversity hotspot, implying it could be a significant speciation mechanism in highly fragmented ecosystems Extensive peripatric speciation in this montane archipelago may explain the abundance of discrete lineages within the limited area of the EABH, as inferred in remote island archipelagos Future phylogenetic studies incorporating demographic and spatial analyses will clarify the role of peripatric speciation in creating biodiversity hotspots","In this case study, peripatric speciation appears to be an important driver of diversity within the EABH biodiversity hotspot, implying it could be a significant speciation mechanism in highly fragmented ecosystems."
"The roles of rivers and Pleistocene refugia in shaping genetic diversity in Praomys misonnei in tropical Africa","https://scispace.com/paper/the-roles-of-rivers-and-pleistocene-refugia-in-shaping-36q0l02ali","2011","Journal Article","Journal of Biogeography","Violaine Nicolas
Alain-Didier Missoup
Christiane Denys
J. C. Kerbis Peterhans
Pionus Katuala
Arnaud Couloux
Marc Colyn","10.1111/J.1365-2699.2010.02399.X","","Aim This study aims to elucidate the phylogeography of the murid rodent Praomys misonnei and to document whether or not rain forest refugia and rivers structure patterns of diversity within this species. Location Tropical Africa, from Ghana to Kenya. Methods Patterns of genetic structure and signatures of population history (cytochrome b gene) were assessed in a survey of 229 individuals from 54 localities. Using maximum likelihood, Bayesian, network and genetic structure analyses, we inferred intra-specific relationships and tested hypotheses for historical patterns of gene flow within P. misonnei. Results Our phylogenetic analyses reveal a strong phylogeographical structure. We identified four major geographical clades within P. misonnei: one clade in Ghana and Benin, a Nigerian clade, a West Central African clade and a Central and East African clade. Several subclades were identified within these four major clades. A signal of population expansion was detected in most clades or subclades. Coalescence within all of the major clades of P. misonnei occurred during the Middle Pleistocene and/or the beginning of Late Pleistocene. Main conclusions Our results suggest a role for both Pleistocene refugia and rivers in structuring genetic diversity in P. misonnei. This forest-dwelling rodent may have been isolated in a number of forest fragments during arid periods and expanded its range during wetter periods. Potential forest refugia may have been localized in Benin-Ghana, south-western Cameroon, southern Gabon, northern Gabon and eastern Democratic Republic of Congo-western Uganda. The Niger and/or the Cross Rivers, the Oubangui-Congo, Sanaga, Ogooue and/or Ivindo Rivers probably stopped the re-expansion of the species from relict areas.","This study aims to elucidate the phylogeography of the murid rodent Praomys misonnei and to document whether or not rain forest refugia and rivers structure patterns of diversity within this species are disturbed."
"Demographic history and population genetic structure of Hagenia abyssinica (Rosaceae), a tropical tree endemic to the Ethiopian highlands and eastern African mountains","https://scispace.com/paper/demographic-history-and-population-genetic-structure-of-1wz2munxv3","2017","Journal Article","Tree Genetics & Genomes","Andrew W. Gichira
Zhi-Zhong Li
Josphat K. Saina
Guang-Wan Hu
Robert Wahiti Gituru
Qing-Feng Wang
Jin-Ming Chen","10.1007/S11295-017-1156-6","","The distribution of genetic diversity among natural populations is significantly shaped by geographical and environmental heterogeneity. The key objectives of this study were to outline the population genetic structure and to investigate the effects of historical and current factors in shaping the population structure of an endemic tropical tree, Hagenia abyssinica. We used 11 polymorphic microsatellites to estimate genetic variability and evaluate gene flow among natural populations of H. abyssinica. Further, we employed ecological niche modeling approaches, to analyze the demographic history and map potential distributions of H. abyssinica during the Last Glacial Maximum and the present. Significant levels of genetic diversity (H
 O = 0.477, H
 E = 0.439) were observed among the sampled locations. High coefficient of genetic differentiation (F
 ST = 0.32) and considerable genetic variation within the sampled locations (68.01%) were detected. Our results indicated the existence of three genetic groups with limited gene exchange and revealed positive correlations (r = 0.425, P < 0.05) between genetic diversity and geo-graphic distance. The ecological niche modeling (ENM) results support the existence of three distribution zones during the Last Glacial Maximum (LGM), with high probability of occurrence (0.8–1.0), and indicated slight distribution disturbances during and after the LGM. The fundamental patterns of genetic diversity and population structuring of H. abyssinica result from a combination of both environmental and geographical factors, including long-term isolation by distance and characteristic life history of this species. Our ENM results identified three zones that could have served as glacial refugia for this species and lay a foundation for further studies, outlining demographic histories and population structures of Afromontane species.","The ENM results identified three zones that could have served as glacial refugia for this species and lay a foundation for further studies, outlining demographic histories and population structures of Afromontane species."
"Phylogeography of Haplocarpha rueppelii (Asteraceae) suggests a potential geographic barrier for plant dispersal and gene flow in East Africa","https://scispace.com/paper/phylogeography-of-haplocarpha-rueppelii-asteraceae-suggests-3njp0veauj","2015","Journal Article","Chinese Science Bulletin","Ling Yun Chen
John K. Muchuku
Xue Yan
Guang-Wan Hu
Qing-Feng Wang","10.1007/S11434-015-0832-X","","East Africa is a biodiversity hotspot. Haplocarpha rueppelii (Sch.Bip.) Beauverd is mainly distributed in the alpine grassland of East Africa. Here we sampled 65 individuals of eight populations/locations of H. rueppelii including hairy and glabrous forms from Mts. Elgon, Aberdare, Kenya, Kilimanjaro and Bale Mountains. We then sequenced one nuclear and three chloroplast DNA fragments and conducted phylogeographic analyses to test the taxonomic rank of the two forms and causes for the differentiation (intrinsic reproductive isolation and geographic barrier). The results demonstrate that the species consists of two major groups, one includes the populations from Mts. Elgon, Aberdare and Bale, while the other includes Mts. Kenya and Kilimanjaro. The species has established in Mts. Kenya and Aberdare during the Pleistocene. However, migration rate for individuals between the two mountains was low as showed by gene flow analysis. A barrier for plant dispersal and gene flow would have existed between Mts. Aberdare and Kenya since at least Pleistocene. No change of the taxonomic concept of this species is needed. This study reveals a potential geographic barrier in East Africa. We hope it will arouse more scientists’ interests in phylogeography and biodiversity of East Africa.","In this article, the authors sequenced one nuclear and three chloroplast DNA fragments and conducted phylogeographic analyses to test the taxonomic rank of the two forms and causes for the differentiation (intrinsic reproductive isolation and geographic barrier)."
"Comparative phylogeography of African rain forest trees: A review of genetic signatures of vegetation history in the Guineo-Congolian region","https://scispace.com/paper/comparative-phylogeography-of-african-rain-forest-trees-a-21xscxgfj7","2013","Journal Article","Comptes Rendus Geoscience","Olivier J. Hardy
Céline Born
Katarina Budde
Kasso Daïnou
Gilles Dauby
Jérôme Duminil
Eben-Ezer Ewedje
Céline Gomez
Myriam Heuertz
Guillaume K. Koffi
Guillaume K. Koffi
Andrew J. Lowe
Claire Micheneau
Claire Micheneau
Dyana Ndiade-Bourobou
Rosalía Piñeiro
Valérie Poncet","10.1016/J.CRTE.2013.05.001","","","In this paper, a review of the biogeographic history of the African rain forests has been presented, which explains which phylogeographic patterns are expected under different scenarios of past demographic change, and gives an overview of the patterns detected in African rain forest trees."
"Divergent pattern of nuclear genetic diversity across the range of the Afromontane Prunus africana mirrors variable climate of African highlands","https://scispace.com/paper/divergent-pattern-of-nuclear-genetic-diversity-across-the-7xbn49lo76","2013","Journal Article","Annals of Botany","C. A. C. Kadu
Heino Konrad
Silvio Schueler
Geoffrey M. Muluvi
Oscar Eyog-Matig
Alice Muchugi
Vivienne L. Williams
Lolona Ramamonjisoa
Consolatha Kapinga
Bernard Foahom
Cuthbert Katsvanga
David Hafashimana
Crisantos Obama
Thomas Geburek","10.1093/AOB/MCS235","","","Punus africana (one of the character trees of Afromontane forests) is used as a model for understanding the biogeography of this vegetation zone and indicates divergent population history across the continent most likely associated to Pleistocene changes in climatic conditions."
"Pliocene forest dynamics as a primary driver of African bird speciation.","https://scispace.com/paper/pliocene-forest-dynamics-as-a-primary-driver-of-african-bird-4z931v0mpp","2010","Journal Article","Global Ecology and Biogeography","Gary Voelker
Robert K. Outlaw
Rauri C. K. Bowie","10.1111/J.1466-8238.2009.00500.X","","Aim Montane tropics are areas of high endemism, and mechanisms driving this endemism have been receiving increasing attention at a global scale. A general trend is that climatic factors do not explain the species richness of species with small to medium-sized geographic ranges, suggesting that geological and evolutionary processes must be considered. On the African continent, several hypotheses including both refugial and geographic uplift models have been advanced to explain avian speciation and diversity in the lowland forest and montane regions of central and eastern Africa; montane regions in particular are recognized as hotspots of vertebrate endemism. Here, we examine the possible role of these models in driving speciation in a clade of African forest robins.



Location  Africa.



Methods  We constructed the first robustly supported molecular phylogenetic hypothesis of forest robins. On this phylogeny, we reconstructed habitat-based distributions and geographic distributions relative to the Albertine Rift. We also estimated the timing of lineage divergences via a molecular clock.



Results  Robust estimates of phylogenetic relationships and clock-based divergences reject Miocene tectonic uplift and Pleistocene forest refugia as primary drivers of speciation in forest robins. Instead, our data suggest that most forest robin speciation took place in the Late Pliocene, from 3.2 to 2.2 Ma. Distributional patterns are complex, with the Albertine Rift region serving as a general east–west break across the group. Montane distributions are inferred to have evolved four times.



Main conclusions  Phylogenetic divergence dates coincide with a single period of lowland forest retraction in the late Pliocene, suggesting that most montane speciation resulted from the rapid isolation of populations in montane areas, rather than montane areas themselves being drivers of speciation. This conclusion provides additional evidence that Pliocene climate change was a major driver of speciation in broadly distributed African animal lineages. We further show that lowland forest robins are no older than their montane relatives, suggesting that lowland areas are not museums which house ‘ancient’ taxa; rather, for forest robins, montane areas should be viewed as living museums of a late Pliocene diversification event. A forest refugial pattern is operating in Africa, but it is not constrained to the Pleistocene.","Phylogenetic divergence dates coincide with a single period of lowland forest retraction in the late Pliocene, suggesting that most montane speciation resulted from the rapid isolation of populations in montane areas, rather than montane Areas themselves being drivers of speciation."
