"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","https://scispace.com/pdf/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp.pdf","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest.","The importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest, are highlighted."
"The Biogeographic Evidence Supporting the Pleistocene Forest Refuge Hypothesis","https://scispace.com/paper/the-biogeographic-evidence-supporting-the-pleistocene-forest-34u349qw7u","1986","Posted Content","Social Science Research Network","Ernst Mayr
Robert J. O’Hara","","","The prevailing explanation for the observed distributional patterns and areas of endemism of tropical forest organisms is the Pleistocene refuge hypothesis, which proposes that wide-ranging ancestral taxa were isolated into forest refuges during certain glacial periods, and that this isolation provided them with the opportunity to speciate. John Endler has recently argued that two predictions of the refuge hypothesis — that contact zones between vicars should be between refuges and that contact zones of rapidly reproducing butterflies should be wider than those of more slowly reproducing birds — are not borne out by the evidence. Endler therefore rejects the refuge hypothesis. We show that the data available are far too imprecise to permit any conclusions regarding contact zone widths and that, according to our reanalysis of the African bird data used by Endler, all the contact zones between vicars do indeed occur between refuges, exactly where they are expected. Additional strong support for the refuge hypothesis comes from the existence of many taxa endemic to the particular forest areas which have been postulated as refuges and from fragmented taxa which are still allopatric, never having come into secondary contact.","It is shown that the data available are far too imprecise to permit any conclusions regarding contact zone widths and that, according to the reanalysis of the African bird data used by Endler, all the contact zones between vicars do indeed occur between refuges, exactly where they are expected."
"The biogeographic evidence supporting the pleistocene forest refuge hypothesis.","https://scispace.com/paper/the-biogeographic-evidence-supporting-the-pleistocene-forest-pupe3tkqn8","1986","Journal Article","Evolution","Ernst Mayr
Robert J. O’Hara","10.2307/2408603","https://scispace.com/pdf/the-biogeographic-evidence-supporting-the-pleistocene-forest-pupe3tkqn8.pdf","The prevailing explanation for the observed distributional patterns and areas of endemism of tropical forest organisms is the Pleistocene refuge hypothesis, which proposes that wide-ranging ancestral taxa were isolated into forest refuges during certain glacial periods, and that this isolation provided them with the opportunity to speciate. John Endler has recently argued that two predictions of the refuge hypothesis-that contact zones between vicars should be between refuges and that contact zones of rapidly reproducing butterflies should be wider than those of more slowly reproducing birds-are not borne out by the evidence. Endler therefore rejects the refuge hypothesis. We show that the data available are far too imprecise to permit any conclusions regarding contact zone widths and that, according to our reanalysis of the African bird data used by Endler, all the contact zones between vicars do indeed occur between refuges, exactly where they are expected. Additional strong support for the refuge hypothesis comes from the existence of many taxa endemic to the particular forest areas which have been postulated as refuges and from fragmented taxa which are still allopatric, never having come into secondary contact.","This article showed that the available data available are far too imprecise to permit any conclusions regarding contact zone widths and that, according to their reanalysis of the African bird data used by Endler, all the contact zones between vicars do indeed occur between refuges, exactly where they are expected."
"Persistent Quaternary climate refugia are hospices for biodiversity in the Anthropocene","https://scispace.com/paper/persistent-quaternary-climate-refugia-are-hospices-for-69jopbj41p","2020","Journal Article","Nature Climate Change","Stuart C. Brown
Tom M. L. Wigley
Tom M. L. Wigley
Bette L. Otto-Bliesner
Carsten Rahbek
Damien A. Fordham
Damien A. Fordham","10.1038/S41558-019-0682-7","","Climate stability leads to high levels of speciation and reduced extinction rates, shaping species richness patterns1–3. Hotspots of species diversity often overlap with regions that experienced stable temperatures and, perhaps, variable rates of precipitation during the late Quaternary4,5. These hotspots potentially harbour many species with low vagility and small geographical ranges6, making them more vulnerable to future ecoclimatic change4,7,8. By comparing global and regional patterns of climate stability during short periods of unusually large and widespread climate changes since the Last Glacial Maximum with twenty-first-century patterns, we show that human-driven climate change will disproportionally affect biodiversity in late Quaternary climate refugia, ultimately affecting the species, communities and ecosystems that are most vulnerable to climate change. Moreover, future changes in absolute temperature will probably erode the mechanisms that are theorized to sustain biodiversity hotspots across time. These impending shifts from stable to unstable temperatures—projected for the majority of the world’s biodiversity regions—threaten to reduce the size and extent of important climatic safe havens for diversity. Where climate refugia are forecast to persist until the end of this century, temperatures in these refuges are likely to exceed the acclimation capacity of many species, making them short-term hospices for biodiversity at best7–9. The stability of climatic conditions since the Last Glacial Maximum has contributed to current global patterns of species richness. Changes in patterns of climate stability this century reveal areas where climate change could reduce biodiversity, with largest losses in past climatic safe havens.","This article showed that human-driven climate change will disproportionally affect biodiversity in late Quaternary climate refugia, ultimately affecting the species, communities and ecosystems that are most vulnerable to climate change."
"Not all biodiversity richspots are climate refugia","https://scispace.com/paper/not-all-biodiversity-richspots-are-climate-refugia-1mswnc97x1","2021","Posted Content","Biogeosciences Discussions","Ádám T. Kocsis
Qianshuo Zhao
Mark J. Costello
Wolfgang Kiessling","10.5194/BG-2021-179","https://scispace.com/pdf/not-all-biodiversity-richspots-are-climate-refugia-1mswnc97x1.pdf",". Anthropogenic climate change is increasingly threatening biodiversity on a global scale. Richspots of biodiversity, regions with exceptionally high endemism and/or number of species, are a top priority for nature conservation. Terrestrial studies have hypothesised that richspots occur in places where long-term climate change was dampened relative to other regions. Here we tested whether biodiversity richspots are likely to provide refugia for organisms during anthropogenic climate change. We assess the spatial distribution of both historic (absolute temperature change and climate change velocities) and projected climate change in terrestrial, freshwater, and marine richspots. The results suggest that although terrestrial and freshwater richspots have been and will be somewhat less affected than other areas, they are not excluded from the impacts of global warming. Their characteristic biota is expected to witness similar forcing as other areas, including range shifts and elevated risk of extinction. Marine richspots have warmed even more, have higher climate velocities and are projected to experience higher future warming than non-richspot areas. Our findings emphasise the urgency of protecting a comprehensive and representative network of biodiversity-rich areas that accommodate species range shifts under climate change.","In this paper, the spatial distribution of both historic (absolute temperature change and climate change velocities) and projected climate change in terrestrial, freshwater, and marine richspots is assessed."
"At the crossroads of two biodiversity hotspots : the biogeographic patterns of Shimba Hills, Kenya","https://scispace.com/paper/at-the-crossroads-of-two-biodiversity-hotspots-the-55qbjg87rl","2017","Dissertation","","Beryl A. Bwong","10.5451/UNIBAS-006767203","","At the crossroads of two biodiversity hotspots; the biogeographic patterns of Shimba Hills, Kenya
Beryl A. Bwong
The Shimba Hills of Kenya (SHK) is geographically located at the cross roads of two major biodiversity hotspots; the Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region, specifically the neighbouring Eastern Arc Mountains (EAM). Results from old and recent collections of its flora and fauna indicate that Shimba Hills harbour species associated with EAM and CFEA as well as taxa that have affinity with West African Guineo-Congolian forest. However, the link between SHK and these biodiversity hotspots has never been tested appropriately using phylogenetic approaches. Using 16S mtDNA, demographic analysis and species distribution modelling, I sought to understand the phylogeographic affiliation of Shimba Hills with the neighbouring CFEA and EAM using its amphibian assemblage. Three main questions were explored, namely: a) Which are the closest relatives of SHK amphibian populations? b) Do amphibian species currently occurring in SHK have similar phylogeographic patterns to each other? c) Which historical processes, if any, account for the observed patterns of genetic diversity? I found that SHK and indeed the entire study area have a complex biogeographic history and no single pattern can explain the current amphibian assemblage in the area. Shimba Hills are more closely affiliated to the CFEA than to the EAM. Two previously undocumented putative phylogeographic breaks are recovered from the study area; one from the Kenya north coast and another in the Tanga region in Tanzania. Historical habitat stability and connectivity appear to play a significant role in species diversification in the area. Additionally, I also report on some fundamental findings on Shimba Hills amphibians during this study; Using a combination of molecular, morphological, spatial and bioacoustics methods the taxonomic status of the only endemic amphibian from Shimba Hills, Hyperolius rubrovermiculatus, is confirmed and description of a new species from the north eastern Tanzania is proposed. Secondly the taxonomic status of a Callulina rediscovered in Shimba Hills after 50 years is confirmed and I also propose the description of three new species of Callulina from the neighbouring Eastern Arc Mountains in Tanzania. Finally, I took the opportunity to compile the first ever annotated checklist of amphibians of Shimba Hills National Reserve where a new country record for the Ribbon Caecilian (Scolecomorphus vittatus) and other interesting discoveries are discussed. The reserve plus the entire SHK area contains the highest number of amphibian diversity for any known locality in Kenya. Therefore its continued conservation will ensure about 30% of Kenya’s amphibian species are preserved.

Key words: Coastal forests, Eastern Arc Mountains, Phylogeography, species distribution modelling, checklist, Amphibians.","Bwong et al. as discussed by the authors used 16S mtDNA, demographic analysis and species distribution modeling to understand the phylogenetic affiliation of Shimba Hills with the neighbouring Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region (EAM)."
"Climate Cycles, Habitat Stability, and Lineage Diversification in an African Biodiversity Hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","https://scispace.com/pdf/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r.pdf","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands.","In this paper , the evolutionary processes behind the diversity of birds in the Eastern Arc Mountains of Tanzania and Kenya were investigated using molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests, and it was shown that three periods of forest contraction and expansion affected the diversification of Eastern Arc birds."
"Biogeographic patterns of the East African coastal forest vertebrate fauna","https://scispace.com/paper/biogeographic-patterns-of-the-east-african-coastal-forest-33hd3t8cvx","2007","Journal Article","Biodiversity and Conservation","Ermias T. Azeria
Ermias T. Azeria
Isabel Sanmartín
Stefan Ås
Allan Carlson
Neil D. Burgess","10.1007/S10531-006-9022-0","https://scispace.com/pdf/biogeographic-patterns-of-the-east-african-coastal-forest-33hd3t8cvx.pdf","The archipelago-like coastal forest of East Africa is one of the highest priority ecosystems for biodiversity conservation worldwide. Here we investigate patterns of species richness and biogeographic distribution among birds, mammals and reptiles of these forests, using distribution data obtained from recently published reviews and information collated by the WWF Eastern Africa Coastal Forest Ecoregion Programme. Birds and mammals species were divided into forest specialists and generalists, and forest specialist reptiles into ‘coastal’ and ‘forest’ endemics. The species richness of birds and generalist mammals increased with area, and is probably a result of area-dependent extinction. Only in birds, however, species richness increased with decreasing isolation, suggesting possible isolation-dependent colonization. Forest diversity, associated to altitudinal range, is important for specialist birds and mammals, whose species richness increased with wider altitudinal range. The number of relict coastal endemic and forest endemic reptiles was higher in forests with wider altitudinal ranges and on relatively higher altitude, respectively. Such forests have probably provided a suitable (and perhaps stable) environment for these species through time, thus increasing their persistence. Parsimony analysis of distributions (PAD) and cluster analyses showed geographical distance and general ecological similarity among forests as a determinant factor in bird distribution patterns, with compositional similarity decreasing with increasing inter-forest distance. Compositional similarity patterns of mammals among the forests did not show a strong geographical correspondence or a significant correlation with inter-forest distance, and those of reptiles were not resolved, with very low similarity levels among forest faunas. Our results suggest that the relative importance (and causal relationship) of forest attributes affecting the distribution of the East African coastal forest vertebrate fauna varies depending on life history traits such as dispersal ability and forest specialization. The groupings in PAD are partly congruent with some of the previous classifications of areas of endemism for this region, supporting the ‘naturalness’ of these regions.","The results suggest that the relative importance (and causal relationship) of forest attributes affecting the distribution of the East African coastal forest vertebrate fauna varies depending on life history traits such as dispersal ability and forest specialization."
"Dispersal to or from an African biodiversity hotspot","https://scispace.com/paper/dispersal-to-or-from-an-african-biodiversity-hotspot-11v619fdks","2009","Journal Article","Molecular Ecology","David C. Blackburn
G. J. Measey","10.1111/J.1365-294X.2009.04156.X","","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution.","Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution, and is compared with contrasting hypotheses of latitudinal range expansion using bayes factors."
"Biogeography and ecology of the rain forests of eastern Africa: Eastern Arc moist forest flora","https://scispace.com/paper/biogeography-and-ecology-of-the-rain-forests-of-eastern-4qvxy1lxia","1993","Book Chapter","","J.C. Lovett","10.1017/CBO9780511895692.004","","Introduction In his classic paper on the vegetation of what is now Tanzania, the geographer Clement Gillman (1949) recognised the importance of the disjunct arc of mountains in the east of the country as condensers of moisture brought inland from the Indian Ocean. At this they are remarkably efficient: on the eastern side of the mountains rainfall can be well over 2000 mm per year; yet in the rain shadow only a few tens of kilometres to the west, it can be below 500 mm per year. In his list of Indian Ocean condensers, Gillman included the northern volcanic mountains of Meru and Kilimanjaro, and then ran the arc southwards along the disjunct crystalline block-faulted mountains to the Kipengere range above Lake Nyasa. Here he pointed out that high rainfall in the great amphitheatre of volcanic and crystalline mountains surrounding the northern end of Lake Nyasa was largely attributable to convection from the lake surface. The volcanoes of Meru and Kilimanjaro are geologically recent, having been formed within the last million years. However, the crystalline block-faulted mountains of the Eastern Arc are very old, with initiation of faulting dating from 290–180 Myr BP (million years before present) and reactivation of the faults creating the modern mountains during the last 7 Myr BP (Griffiths, Chapter 2). Indications are that the Indian Ocean climate was comparatively stable during Pleistocene climatic fluctuations (Lovett, Chapter 3).","Gillman as discussed by the authors pointed out that high rainfall in the great amphitheatre of volcanic and crystalline mountains surrounding the northern end of Lake Nyasa was largely attributable to convection from the lake surface."
