"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"African climate change and faunal evolution during the Pliocene–Pleistocene","https://scispace.com/paper/african-climate-change-and-faunal-evolution-during-the-xnaruuyzlgbb","2024","Repository","","","10.5281/zenodo.13467321","","(Uploaded by Plazi for the Bat Literature Project) Environmental theories of African faunal evolution state that important evolutionary changes during the Pliocene^ Pleistocene interval (the last ca. 5.3 million years) were mediated by changes in African climate or shifts in climate variability. Marine sediment sequences demonstrate that subtropical African climate periodically oscillated between markedly wetter and drier conditions, paced by earth orbital variations, with evidence for step-like ( þ 0.2 Ma) increases in African climate variability and aridity near 2.8 Ma, 1.7 Ma, and 1.0 Ma, coincident with the onset and intensification of high-latitude glacial cycles. Analysis of the best dated and most complete African mammal fossil databases indicates African faunal assemblage and, perhaps, speciation changes during the Pliocene^Pleistocene, suggesting more varied and open habitats at 2.9^2.4 Ma and after 1.8 Ma. These intervals correspond to key junctures in early hominid evolution, including the emergence of our genus Homo. Pliocene^Pleistocene shifts in African climate, vegetation, and faunal assemblages thus appear to be roughly contemporary, although detailed comparisons are hampered by sampling gaps, dating uncertainties, and preservational biases in the fossil record. Further study of possible relations between African faunal and climatic change will benefit from the accelerating pace of important new fossil discoveries, emerging molecular biomarker methods for reconstructing African paleovegetation changes, tephra correlations between terrestrial and marine sequences, as well as continuing collaborations between the paleoclimatic and paleoanthropological communities. ",""
"The role of Pleistocene forest refugia in the evolution and biogeography of tropical biotas.","https://scispace.com/paper/the-role-of-pleistocene-forest-refugia-in-the-evolution-and-30rkjm7yz8","1986","Journal Article","Trends in Ecology and Evolution","Edward F. Connor","10.1016/0169-5347(86)90047-9","","Refuge theory postulates that repeated oscillation of dry and moist climatic periods during the Pleistocene caused an alternating fragmentation and coalescence of areas of lowland tropical rainforest vegetation, leading to genetic differentiation and speciation in isolated populations of rainforest organisms and hence accounting for much of the high diversity now apparent in these habitats. The theory, which became widely accepted during the 1970s, is still based largely on inferences from modern species distribution patterns and on selected palaeoclimatic and geomorphic data. However, much of this evidence has multiple interpretations; indeed, modern population genetic theory argues against many of the tenets of refuge theory. Moreover, there is no palynological evidence against which refuge theory might be tested. Although large-scale dynamic processes have undoubtedly played many parts in promoting diversity in tropical rainforest, refuge theory must be seriously questioned on many counts.","Although large-scale dynamic processes have undoubtedly played many parts in promoting diversity in tropical rainforest, refuge theory must be seriously questioned on many counts."
"Turnover and accumulation of genetic diversity across large time-scale cycles of isolation and connection of populations","https://scispace.com/paper/turnover-and-accumulation-of-genetic-diversity-across-large-goq8tbp3ls","2014","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Nicolas Alcala
Séverine Vuilleumier","10.1098/RSPB.2014.1369","","Major climatic and geological events but also population history (secondary contacts) have generated cycles of population isolation and connection of long and short periods. Recent empirical and theoretical studies suggest that fast evolutionary processes might be triggered by such events, as commonly illustrated in ecology by the adaptive radiation of cichlid fishes (isolation and reconnection of lakes and watersheds) and in epidemiology by the fast adaptation of the influenza virus (isolation and reconnection in hosts). We test whether cyclic population isolation and connection provide the raw material (standing genetic variation) for species evolution and diversification. Our analytical results demonstrate that population isolation and connection can provide, to populations, a high excess of genetic diversity compared with what is expected at equilibrium. This excess is either cyclic (high allele turnover) or cumulates with time depending on the duration of the isolation and the connection periods and the mutation rate. We show that diversification rates of animal clades are associated with specific periods of climatic cycles in the Quaternary. We finally discuss the importance of our results for macroevolutionary patterns and for the inference of population history from genomic data.","The analytical results demonstrate that population isolation and connection can provide a high excess of genetic diversity compared with what is expected at equilibrium, and it is shown that diversification rates of animal clades are associated with specific periods of climatic cycles in the Quaternary."
"Le cadre paléoenvironnemental des refuges forestiers africains : quelques données et hypothèses","https://scispace.com/paper/le-cadre-paleoenvironnemental-des-refuges-forestiers-21mg8oae4o","1996","Book Chapter","","Jean Maley","10.1007/978-94-009-0285-5_68","","Since at least 800,000 years, during globally cold periods, and especially when glaciers at high latitudes reached their maximum sizes, the African tropical forest was very fragmented, and only survived in a series of relatively small refuges, spread across the original forest area. The end of the last climatic cycle, that started about 25 to 30,000 years ago, is characterized by the latest large fluctuation of the African tropical forest. This last period may help in modelling cyclic changes undergone by the African forest during the last 800,000 years. The last period when the forest had retreated into refuges was between 20,000 and 15,000 BC, and thus lasted about 5,000 years. A maximum extension of the forest, which coincided with the last warm period, occurred between 9,000 and 4,000 BC, and therefore also lasted 5,000 years. It might be deduced that, during the last 800,000 years, each minimum and maximum extension phase lasted no more than 5 to 10% of the total time. This means that during about 80 to 90% of the total time, the African forest exhibited an average extension, that is about the same extension as it has nowadays. The present extension therefore is typical for the greater part of the Quaternary.","In this article, it was shown that during at least 800,000 years, during globally cold periods, and especially when glaciers at high latitudes reached their maximum sizes, the African tropical forest was very fragmented, and only survived in a series of relatively small refuges, spread across the original forest area."
"Diversification of African Rainforest Restricted Clades: Piptostigmateae and Annickieae (Annonaceae)","https://scispace.com/paper/diversification-of-african-rainforest-restricted-clades-4h0al3i7ck","2020","Journal Article","Diversity","Baptiste Brée
Andrew J. Helmstetter
Kevin Bethune
Jean-Paul Ghogue
Bonaventure Sonké
Thomas L. P. Couvreur","10.3390/D12060227","","African rainforests (ARFs) are species rich and occur in two main rainforest blocks: West/Central and East Africa. This diversity is suggested to be the result of recent diversification, high extinction rates and multiple vicariance events between west/central and East African forests. We reconstructed the diversification history of two subtribes (Annickieae and Piptostigmateae) from the ecologically dominant and diverse tropical rainforest plant family Annonaceae. Both tribes contain endemic taxa in the rainforests of West/Central and East Africa. Using a dated molecular phylogeny based on 32 nuclear markers, we estimated the timing of the origin of East African species. We then undertook several diversification analyses focusing on Piptostigmateae to infer variation in speciation and extinction rates, and test the impact of extinction events. Speciation in both tribes dated to the Pliocene and Pleistocene. In particular, Piptostigma (13 species) diversified mainly during the Pleistocene, representing one of the few examples of Pleistocene speciation in an African tree genus. Our results also provide evidence of an ARF fragmentation at the mid-Miocene linked to climatic changes across the region. Overall, our results suggest that continental-wide forest fragmentation during the Neogene (23.03–2.58 Myr), and potentially during the Pliocene, led to one or possibly two vicariance events within the ARF clade Piptostigmateae, in line with other studies. Among those tested, the best fitting diversification model was the one with an exponential speciation rate and no extinction. We did not detect any evidence of mass extinction events. This study gives weight to the idea that the ARF might not have been so negatively impacted by extinction during the Neogene, and that speciation mainly took place during the Pliocene and Pleistocene.","In this article, the authors reconstructed the diversification history of two subtribes (Annickieae and Piptostigmateae) from the ecologically dominant and diverse tropical rainforest plant family Annonaceae."
"The quaternary history of African forests: its relevance to conservation","https://scispace.com/paper/the-quaternary-history-of-african-forests-its-relevance-to-19j3e6b90o","1981","Journal Article","African Journal of Ecology","A. C. Hamilton","10.1111/J.1365-2028.1981.TB00647.X","","Summary

The distributions of forest species in tropical Africa have partly been determined by Quaternary climatic change. Forest was restricted to a number of relatively small refugia during a pre-12,000 B.P. arid phase. A great increase in forest since that time has resulted in gradients of decreasing species diversity away from former refuge areas. From the point of view of species conservation, it is particularly important to conserve forests lying within those areas which retained a forest cover during the pre-12,000 B.P. arid period.



Resume

La distribution des especes forestieres en a ete partiellement determinee par le changement climatique de 1′ere quaternaire. La foret a ete restreinte a un nombre relativement faible de refuges durant la phase aride anterieure a 12000 B.P. L'importante augmentation de la foret depuis cette epoque s'est traduit en des gradients de diversite decroissante d'especes quittant les zones de refuge anterieures. D'un point de vue de conservation des especes, il est particulierement important de conserver les fore situees dans ces regions qui ont abrite une couverture forestiere durant la periode aride anterieure a 12000 B.P.","The distributions of forest species in tropical Africa have partly been determined by Quaternary climatic change as discussed by the authors, and it is particularly important to conserve forests lying within those areas which retained a forest cover during the pre-12,000 B.P. arid period."
"Phylogeography of the Afromontane Prunus africana reveals a former migration corridor between East and West African highlands","https://scispace.com/paper/phylogeography-of-the-afromontane-prunus-africana-reveals-a-12wd4f4ovy","2011","","","S. S Chueler
H. K Onrad
A. M Uchugi
C. K Apinga
C. K Atsvanga
Equatorial Guinea","","","Scattered populations of the same tree species in montane forests through Africa have led to speculations on the origins of distributions. Here, we inferred the colonization history of the Afromontane tree Prunus africana using seven chloroplast DNA loci to study 582 individuals from 32 populations sampled in a range-wide survey from across Africa, revealing 22 haplotypes. The predominant haplotype, HT1a, occurred in 13 populations of eastern and southern Africa, while a second common haplotype, HT1m, occurred in populations of western Uganda and western Africa. The high differentiation observed between populations in East Africa was unexpected, with stands in western Uganda belonging with the western African lineage. High genetic differentiation among populations revealed using ordered alleles (NST = 0.840) compared with unordered alleles (GST = 0.735), indicated a clear phylogeographic pattern. Bayesian coalescence modelling suggested that ‘east’ and ‘west’ African types likely split early during southward migration of the species, while further more recent splitting events occurred among populations in the East of the continent. The high genetic similarity found between western Uganda and west African populations indicates that a former Afromontane migration corridor may have existed through Equatorial Africa.","In this article, the authors inferred the colonization history of the Afromontane tree Prunus africana using seven chloroplast DNA loci to study 582 individuals from 32 populations sampled in a range-wide survey from across Africa, revealing 22 haplotypes."
"Persistent Quaternary climate refugia are hospices for biodiversity in the Anthropocene","https://scispace.com/paper/persistent-quaternary-climate-refugia-are-hospices-for-69jopbj41p","2020","Journal Article","Nature Climate Change","Stuart C. Brown
Tom M. L. Wigley
Tom M. L. Wigley
Bette L. Otto-Bliesner
Carsten Rahbek
Damien A. Fordham
Damien A. Fordham","10.1038/S41558-019-0682-7","","Climate stability leads to high levels of speciation and reduced extinction rates, shaping species richness patterns1–3. Hotspots of species diversity often overlap with regions that experienced stable temperatures and, perhaps, variable rates of precipitation during the late Quaternary4,5. These hotspots potentially harbour many species with low vagility and small geographical ranges6, making them more vulnerable to future ecoclimatic change4,7,8. By comparing global and regional patterns of climate stability during short periods of unusually large and widespread climate changes since the Last Glacial Maximum with twenty-first-century patterns, we show that human-driven climate change will disproportionally affect biodiversity in late Quaternary climate refugia, ultimately affecting the species, communities and ecosystems that are most vulnerable to climate change. Moreover, future changes in absolute temperature will probably erode the mechanisms that are theorized to sustain biodiversity hotspots across time. These impending shifts from stable to unstable temperatures—projected for the majority of the world’s biodiversity regions—threaten to reduce the size and extent of important climatic safe havens for diversity. Where climate refugia are forecast to persist until the end of this century, temperatures in these refuges are likely to exceed the acclimation capacity of many species, making them short-term hospices for biodiversity at best7–9. The stability of climatic conditions since the Last Glacial Maximum has contributed to current global patterns of species richness. Changes in patterns of climate stability this century reveal areas where climate change could reduce biodiversity, with largest losses in past climatic safe havens.","This article showed that human-driven climate change will disproportionally affect biodiversity in late Quaternary climate refugia, ultimately affecting the species, communities and ecosystems that are most vulnerable to climate change."
"A sequential diversification with Miocene extinction and Pliocene speciation linked to mountain uplift explains the diversity of the African rain forest clade Monodoreae (Annonaceae).","https://scispace.com/paper/a-sequential-diversification-with-miocene-extinction-and-3o9n9qsklq","2023","Journal Article","Annals of Botany","Léo-Paul M.J. Dagallier
Fabien L. Condamine
Thomas L. P. Couvreur","10.1093/aob/mcad130","","BACKGROUND AND AIMS
Throughout the Cenozoic, Africa underwent several climatic and geological changes impacting the evolution of tropical rain forests (TRF). African TRF are thought to have extended from East to West in a 'pan-African' TRF, followed by several events of fragmentation during drier climate periods. During the Miocene, climate cooling and mountain uplift led to the aridification of tropical Africa and open habitats expanded at the expense of TRF, which likely experienced local extinctions. However, in plants, these drivers were previously inferred using limited taxonomic and molecular data. Here, we tested the impact of climate and geological changes on diversification within the diverse clade Monodoreae (Annonaceae) composed of 90 tree species restricted to African TRF.


METHODS
We reconstructed a near complete phylogenetic tree, based on 32 nuclear genes, and dated using relaxed clocks and fossil calibrations in a Bayesian framework. We inferred the biogeographic history and the diversification dynamics of the clade using multiple birth-death models.


KEY RESULTS
Monodoreae originated in East African TRF ca. 25 million years ago (Ma) and expanded toward Central Africa during the Miocene. We inferred range contractions during the middle Miocene and document important connections between East and West African TRF after 15-13 Ma. Our results indicated a sudden extinction event during the late Miocene, followed by an increase in speciation rates. Birth-death models suggested that African elevation change (orogeny) is positively linked to speciation in this clade.


CONCLUSION
East Africa is inferred as an important source of Monodoreae species, and possibly for African plant diversity in general. Our results support a ""sequential scenario of diversification"" where increased aridification triggered extinction of TRF species in Monodoreae. This was quickly followed by rain forests fragmentation, subsequently enhancing lagged speciation resulting from vicariance and improved climate conditions. In contrast to previous ideas, the uplift of East Africa is shown to have played a positive role in Monodoreae diversification.","A ""sequential scenario of diversification"" where increased aridification triggered extinction of TRF species in Monodoreae was supported, which was quickly followed by rain forests fragmentation, subsequently enhancing lagged speciation resulting from vicariance and improved climate conditions."
"Phylogeography of the Afromontane Prunus africana reveals a former migration corridor between East and West African highlands.","https://scispace.com/paper/phylogeography-of-the-afromontane-prunus-africana-reveals-a-1qthshapl6","2011","Journal Article","Molecular Ecology","C. A. C. Kadu
Silvio Schueler
Heino Konrad
Geoffrey M. Muluvi
Oscar Eyog-Matig
Alice Muchugi
Vivienne L. Williams
Lolona Ramamonjisoa
Consolatha Kapinga
Bernard Foahom
Cuthbert Katsvanga
David Hafashimana
Crisantos Obama
Thomas Geburek","10.1111/J.1365-294X.2010.04931.X","","Scattered populations of the same tree species in montane forests through Africa have led to speculations on the origins of distributions. Here, we inferred the colonization history of the Afromontane tree Prunus africana using seven chloroplast DNA loci to study 582 individuals from 32 populations sampled in a range-wide survey from across Africa, revealing 22 haplotypes. The predominant haplotype, HT1a, occurred in 13 populations of eastern and southern Africa, while a second common haplotype, HT1m, occurred in populations of western Uganda and western Africa. The high differentiation observed between populations in East Africa was unexpected, with stands in western Uganda belonging with the western African lineage. High genetic differentiation among populations revealed using ordered alleles (N(ST) = 0.840) compared with unordered alleles (G(ST) = 0.735), indicated a clear phylogeographic pattern. Bayesian coalescence modelling suggested that 'east' and 'west' African types likely split early during southward migration of the species, while further more recent splitting events occurred among populations in the East of the continent. The high genetic similarity found between western Uganda and west African populations indicates that a former Afromontane migration corridor may have existed through Equatorial Africa.","The high genetic similarity found between western Uganda and west African populations indicates that a former Afromontane migration corridor may have existed through Equatorial Africa, and a clear phylogeographic pattern is indicated."
