"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Toward a paradigm shift in comparative phylogeography driven by trait-based hypotheses.","https://scispace.com/paper/toward-a-paradigm-shift-in-comparative-phylogeography-driven-268zywb64k","2016","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Anna Papadopoulou
L. Lacey Knowles","10.1073/PNAS.1601069113","","For three decades, comparative phylogeography has conceptually and methodologically relied on the concordance criterion for providing insights into the historical/biogeographic processes driving population genetic structure and divergence. Here we discuss how this emphasis, and the corresponding lack of methods for extracting information about biotic/intrinsic contributions to patterns of genetic variation, may bias our general understanding of the factors driving genetic structure. Specifically, this emphasis has promoted a tendency to attribute discordant phylogeographic patterns to the idiosyncracies of history, as well as an adherence to generic null expectations of concordance with reduced predictive power. We advocate that it is time for a paradigm shift in comparative phylogeography, especially given the limited utility of the concordance criterion as genomic data provide ever-increasing levels of resolution. Instead of adhering to the concordance-discordance dichotomy, comparative phylogeography needs to emphasize the contribution of taxon-specific traits that will determine whether concordance is a meaningful criterion for evaluating hypotheses or may predict discordant phylogeographic structure. Through reference to some case studies we illustrate how refined hypotheses based on taxon-specific traits can provide improved predictive frameworks to forecast species responses to climatic change or biogeographic barriers while gaining unique insights about the taxa themselves and their interactions with their environment. We outline a potential avenue toward a synthetic comparative phylogeographic paradigm that includes addressing some important conceptual and methodological challenges related to study design and application of model-based approaches for evaluating support of trait-based hypotheses under the proposed paradigm.","It is advocated that it is time for a paradigm shift in comparative phylogeography, especially given the limited utility of the concordance criterion as genomic data provide ever-increasing levels of resolution."
"Comparative Phylogeography of Forest-Dependent Mammals Reveals Paleo-Forest Corridors throughout Sundaland","https://scispace.com/paper/comparative-phylogeography-of-forest-dependent-mammals-yzi9khq2vdq1","2024","Repository","","Helgen, Kristofer M.
Murphy, William J.","10.5281/zenodo.13474865","","(Uploaded by Plazi for the Bat Literature Project) The evolutionary history of the colugo, a gliding arboreal mammal distributed throughout Sundaland, was influenced by the location of and connections between forest habitats. By comparing colugo phylogenetic patterns, species ecology, sample distributions, and times of divergence to those of other Sundaic taxa with different life-history traits and dispersal capabilities, we inferred the probable distribution of paleo-forest corridors and their influence on observed biogeographic patterns. We identified a consistent pattern of early diversification between east and west Bornean lineages in colugos, lesser mouse deer, and Sunda pangolins, but not in greater mouse deer. This deep east-west split within Borneo has not been commonly described in mammals. Colugos on West Borneo diverged from colugos in Peninsular Malaysia and Sumatra in the late Pliocene, however most other mammalian populations distributed across these same geographic regions diverged from a common ancestor more recently in the Pleistocene. Low genetic divergence between colugos on large landmasses and their neighboring satellite islands indicated that past forest distributions were recently much larger than present refugial distributions. Our analysis of colugo evolutionary history reconstructs Borneo as the most likely ancestral area of origin for Sunda colugos, and suggests that forests present during the middle Pliocene within the Sunda Shelf were more evergreen and contiguous, while forests were more fragmented, transient, seasonal, or with lower density canopies in the Pleistocene. ",""
"Primates in Africa and Asia","https://scispace.com/paper/primates-in-africa-and-asia-am1pk224n865","","","","Michael Heads","10.1525/california/9780520271968.003.0005","","The distributions of the ten widespread primate clades in Africa are compared and contrasted. The phylogenetic breaks are related to aspects of regional tectonics, including the Lebombo monocline of southern Africa, the Central African rift system, marine transgression in the Congo basin, and Cenozoic uplift in East Africa. In Asia, evolution in the nine widespread primate clades is related to the complex paleogeography of the Tethys basins, the plate margins around the India-China border, the formation of Borneo and Sulawesi by the fusion of multiple terranes, and the uplift of the Himalayas and Tibet. Groups such as the odd-nosed colobines range from mangroves in Borneo to montane forests in Yunnan and Tibet, and this elevational range is attributed to passive uplift of populations during orogeny.","This study examines the distribution of 19 primate clades in Africa and Asia, linking their evolution to regional tectonics, paleogeography, and orogeny, highlighting the role of geological events in shaping primate diversity and distribution across these continents."
"Comparative Phylogeography of Forest-Dependent Mammals Reveals Paleo-Forest Corridors throughout Sundaland","https://scispace.com/paper/comparative-phylogeography-of-forest-dependent-mammals-0rauzdcgd0s5","2024","Repository","","Helgen, Kristofer M.
Murphy, William J.","10.5281/zenodo.13474866","","(Uploaded by Plazi for the Bat Literature Project) The evolutionary history of the colugo, a gliding arboreal mammal distributed throughout Sundaland, was influenced by the location of and connections between forest habitats. By comparing colugo phylogenetic patterns, species ecology, sample distributions, and times of divergence to those of other Sundaic taxa with different life-history traits and dispersal capabilities, we inferred the probable distribution of paleo-forest corridors and their influence on observed biogeographic patterns. We identified a consistent pattern of early diversification between east and west Bornean lineages in colugos, lesser mouse deer, and Sunda pangolins, but not in greater mouse deer. This deep east-west split within Borneo has not been commonly described in mammals. Colugos on West Borneo diverged from colugos in Peninsular Malaysia and Sumatra in the late Pliocene, however most other mammalian populations distributed across these same geographic regions diverged from a common ancestor more recently in the Pleistocene. Low genetic divergence between colugos on large landmasses and their neighboring satellite islands indicated that past forest distributions were recently much larger than present refugial distributions. Our analysis of colugo evolutionary history reconstructs Borneo as the most likely ancestral area of origin for Sunda colugos, and suggests that forests present during the middle Pliocene within the Sunda Shelf were more evergreen and contiguous, while forests were more fragmented, transient, seasonal, or with lower density canopies in the Pleistocene. ",""
"The evolution of comparative phylogeography: putting the geography (and more) into comparative population genomics.","https://scispace.com/paper/the-evolution-of-comparative-phylogeography-putting-the-4ca659ge8f","2021","Journal Article","Genome Biology and Evolution","Scott V. Edwards
Vv Robin
Nuno Ferrand
Craig Moritz","10.1093/GBE/EVAB176","","Comparative population genomics is an ascendant field using genomic comparisons between species to draw inferences about forces regulating genetic variation. Comparative phylogeography, by contrast, focuses on the shared lineage histories of species co-distributed geographically and is decidedly organismal in perspective. Comparative phylogeography is approximately 35 years old, and, by some metrics, is showing signs of reduced growth. Here we contrast the goals and methods of comparative population genomics and comparative phylogeography and argue that comparative phylogeography offers an important perspective on evolutionary history that succeeds in integrating genomics with landscape evolution in ways that complement the suprageographic perspective of comparative population genomics. Focusing primarily on terrestrial vertebrates, we review the history of comparative phylogeography, its milestones and ongoing conceptual innovations, its increasingly global focus and its status as a bridge between landscape genomics and the process of speciation. We also argue that, as a science with a strong ""sense of place"", comparative phylogeography offers abundant ""place-based"" educational opportunities with its focus on geography and natural history, as well as opportunities for collaboration with local communities and indigenous peoples. Although comparative phylogeography does not yet require whole genome sequencing for many of its goals, we conclude that it nonetheless plays an important role in grounding our interpretation of genetic variation in the fundamentals of geography and Earth history.","Comparative population genomics is an ascendant field that uses genomic comparisons between species to draw inferences about forces regulating genetic variation as mentioned in this paper, while comparative phylogeography focuses on the shared lineage histories of species co-distributed geographically."
"Geographies and Genealogies: Phylogeographic Simulation and Bayesian Approaches to Statistical Phylogeographic Model Selection","https://scispace.com/paper/geographies-and-genealogies-phylogeographic-simulation-and-1qcjvpm81i","2012","Dissertation","","Jeet Sukumaran","","","A wide class of biogeographic or phylogeographic studies predicts the simultaneous divergence of co-distributed taxa. Typically, a geological event, or a climate-related change in geography, is hypothesized to have structured a broad range of biota, many components of which may only be distantly related to each other. Direct assessment of these predictions is precluded in many studies by the lack or paucity of appropriate fossils for calibration when estimating divergence times in a phylogenetic context. However, even without direct divergence time estimation of all the relevant splits, there might be sufficient information in the data to estimate the probability that these groups diverged simultaneously if the datasets are treated in a parallel, coordinated, and integrated fashion, rather than independently. This study investigates the statistical framework and methods used to address this issue. Most current statistical phylogeographic methods rely on the coalescent as an underlying model. While the coalescent is robust to a range of violations of some of its assumptions, such as the WrightFisher demographic model, and, morever, has been elaborated or extended to allow the relaxing of some of its other assumptions, little has been done to assess and quanitfy how violations of these assumptions affect phylogeographic analysis in general, and phylogeographic model selection in particular. One of the major problems in evaluating the performance of phylogeographic methods with respect to their responses or behavior when the assumptions of the coalescent are violated is the lack of a rich or flexible non-coalesccent based spatially-explicit simulation engine. The first chapter of my dissertation is thus focussed on developing and producing such a simulator: a forward-time, agent-based, spatially-explicit simulation program that generates genealogies for multiple loci evolving in populations of multiple sexual diploid species on a spatio-temporally environmentally-heterogenous landscape. iii The second chapter of the dissertation assesses the performance of an Approximate Bayesian Computation approach to simultaneous divergence time testing model selection. It profiles the performance this approach under a variety of conditions, ranging from ones in which its model assumptions are completely met, to ones in which they are selectively violated in varying degrees. While there currently are no fullor exact-likelihood methods that address this question, under the special controlled circumstances of the study it was possible to adapt an existing program to provide some indication of how a full-likehood method may work in contrast. The third chapter of this work presents a program that simultaneously estimates the divergence time between sister populations of multiple species in parallel. This program uses a Bayesian statistical framework to analyze data from multiple genetic loci, integrating over uncertainty in gene trees, divergence times, and demographic parameters. If limited to two species, the program allows for reverse-jump MCMC to sample from models of different dimensionality with respect to the divergence time, so as to explicitly estimate the posterior probability of simultaneous divergence vs. non-simultaneous divergence.","This study investigates the statistical framework and methods used to address the simultaneous divergence of co-distributed taxa in phylogeographic studies, and presents a program that simultaneously estimates the divergence time between sister populations of multiple species in parallel."
"A Macrogenetic Analysis of Isolation Mechanisms Shaping Genetic Divergence in Mammals.","https://scispace.com/paper/a-macrogenetic-analysis-of-isolation-mechanisms-shaping-7grjc0c1wsqm","2026","Journal Article","Journal of Heredity","Daniel Anthony Hancock
Patrick Meirmans","10.1093/jhered/esag003","","Understanding the processes that shape spatial genetic differentiation is essential for understanding how populations adapt to environmental change. By evaluating the influence of these processes, we can gain insights into evolutionary dynamics and the potential for species to respond to shifting landscapes. Three well-accepted processes that create spatial patterns in genetic variation are isolation-by-distance (IBD), where individuals are more genetically similar the closer they are geographically; isolation-by-environment (IBE), where gene flow is reduced due to selection against migrants in unsuitable ecological conditions; and isolation-by-resistance (IBR), where landscape features limit dispersal. We conducted a macrogenetic meta-analysis of single-nucleotide-polymorphism data to identify patterns shaping spatial genetic differentiation in 40 mammalian datasets globally. For each species, we built a species-distribution model and combined it with the global Human Footprint layer to create a composite resistance surface, revealing that habitat suitability and anthropogenic impact contribute roughly equally to resistance. Model selection tests found IBR was the mechanism most frequently retained in the best models and had the highest variable importance. IBD and IBE alone had little effect but were often selected alongside IBR, suggesting they may have secondary, context-dependent effects. However, the probability of finding IBD in the best model of divergence significantly increased as the number of populations sampled increased. Similarly, the probability of finding IBE increased with the spatial scale of the study. Our findings suggest that resistance is pervasive in shaping genetic variation in mammals worldwide, but that study design affects our ability to detect the presence of IBD and IBE.","A macrogenetic analysis of 40 mammalian datasets reveals that isolation-by-resistance is the primary mechanism shaping genetic divergence, with habitat suitability and anthropogenic impact contributing equally to resistance, while isolation-by-distance and isolation-by-environment have context-dependent effects."
"Working at the interface of phylogenetics and population genetics: a biogeographical analysis of Triaenops spp. (Chiroptera: Hipposideridae)","https://scispace.com/paper/working-at-the-interface-of-phylogenetics-and-population-4s41bjvhch","2007","","","BP Antananarivo","","","New applications of genetic data to questions of historical biogeography have revolutionized our understanding of how organisms have come to occupy their present distributions. Phylogenetic methods in combination with divergence time estimation can reveal biogeographical centres of origin, differentiate between hypotheses of vicariance and dispersal, and reveal the directionality of dispersal events. Despite their power, however, phylogenetic methods can sometimes yield patterns that are compatible with multiple, equally well-supported biogeographical hypotheses. In such cases, additional approaches must be integrated to differentiate among conflicting dispersal hypotheses. Here, we use a synthetic approach that draws upon the analytical strengths of coalescent and population genetic methods to augment phylogenetic analyses in order to assess the biogeographical history of Madagascar’s Triaenops bats (Chiroptera: Hipposideridae). Phylogenetic analyses of mitochondrial DNA sequence data for Malagasy and east African Triaenops reveal a pattern that equally supports two competing hypotheses. While the phylogeny cannot determine whether Africa or Madagascar was the centre of origin for the species investigated, it serves as the essential backbone for the application of coalescent and population genetic methods. From the application of these methods, we conclude that a hypothesis of two independent but unidirectional dispersal events from Africa to Madagascar is best supported by the data.","A synthetic approach that draws upon the analytical strengths of coalescent and population genetic methods to augment phylogenetic analyses in order to assess the biogeographical history of Madagascar’s Triaenops bats concludes that a hypothesis of two independent but unidirectional dispersal events from Africa to Madagascar is best supported by the data."
"Diversification of Small Mammals in the Atlantic Forest of Brazil: Testing the Alternatives","https://scispace.com/paper/diversification-of-small-mammals-in-the-atlantic-forest-of-2u0afl948t","2006","Book Chapter","","Marcia Lara
Lena Geise
Christopher J. Schneider","10.1525/CALIFORNIA/9780520098534.003.0010","","Hypotheses of speciation in the tropics generate expected patterns of species distributions and phylogenetic relationships. Here, we review phylogeographic predictions from the main models of speciation in the tropics and compare them to observed patterns of mtDNA variation in three genera of small mammals from the Atlantic Forest of Brazil. The patterns of mtDNA variation among the genera are idiosyncratic, suggesting that large-scale external environmental factors have not affected all taxa similarly. However, we find some support for relative isolation among the three main mountain ranges in the Atlantic Forest domain consistent with the Montane Isolates Hypothesis. Also, there is some support for the Ecological Gradients Hypothesis in the distribution of sister species/clades in different habitats within mountain ranges. Speciation in the Atlantic Forest is likely to involve multiple mechanisms and additional, fine-scale studies of numerous groups are needed to differentiate among alternative hypotheses.","The patterns of mtDNA variation among the genera are idiosyncratic, suggesting that large-scale external environmental factors have not affected all taxa similarly and there is some support for relative isolation among the three main mountain ranges in the Atlantic Forest domain consistent with the Montane Isolates Hypothesis."
"Evolution and Biogeography of Mesoamerican Small Mammals: With Focus on the Genus Handleyomys and Related Taxa","https://scispace.com/paper/evolution-and-biogeography-of-mesoamerican-small-mammals-3h6kcji805","2015","","","Ana Villalba Almendra","","","Evolution and Biogeography of Mesoamerican Small Mammals: Focus on the Genus Handleyomys and Related Taxa Ana Laura Villalba Almendra Department of Biology, BYU Doctor of Philosophy Mesoamerica is considered a biodiversity hot spot with levels of endemism and species diversity likely underestimated. For mammals, the patterns of diversification of Mesoamerican taxa still are controversial. Reasons for this include the region’s complex geologic history, and the relatively recent timing of such geological events. Previous studies, however, support the view that substantial migration between North (NA) and South America (SA) occurred prior or/and during the Great American Biotic Interchange (GABI) ~3.5 Ma. This was followed by repeated periods of isolation during Pleistocene climatic oscillations, which produced most of the diversification in the region. From a North American origin, the subfamily Sigmodontinae migrated to SA, where most of its present day diversity exists. The taxonomic history of this subfamily, and of Oryzomynii, its largest tribe, has been exceptionally complex. Recently, extensive studies have helped to clarify genealogical relationships among major clades, but have left the evolutionary histories of several groups unresolved. Such is the case for the genus Handleyomys that includes nine species; seven of which are endemic to Mesoamerica; and of its phylogenetic position among closely related genera Euryoryzomys, Hylaeamys, Oecomys, Nephelomys and Transandinomys. The results supported the monophyly of Handleyomys, and four clades with inter-generic levels of divergence within the genus, three of these clades restricted to Mesoamerica (the alfaroi, chapmani and melanotis species groups). Furthermore, the estimated time for the split of the Mesoamerican Handleyomys is on average, 2.0 Myr older than the proposed migrations to NA during the GABI. In addition, the position of Handleyomys as the sister clade to Euryoryzomys, Hylaeamys, Oecomys, Nephelomys and Transandinomys was well supported, as it was a biogeographic hypotheses that depicted a polyphyletic origin for these genera and Handleyomys 5.5-6.0 Ma. The integrative approach implemented in this dissertation allowed the development of more biologically realistic hypothesis than has previously been conducted in Mesoamerica, where half of the endemic mammals are listed under the IUCN Red list; and where mammals with small ranges, which are the most vulnerable to extinction, are found largely outside reserves. The continued decline of the ecosystems health in this region calls for a more precise account of its biodiversity for its proper conservation; and for rigorous biogeographic studies for its management, since the region also serves as a biological corridor for intercontinental connectivity.","The integrative approach implemented in this dissertation allowed the development of more biologically realistic hypothesis than has previously been conducted in Mesoamerica, where half of the endemic mammals are listed under the IUCN Red list; and where mammals with small ranges, which are the most vulnerable to extinction, are found largely outside reserves."
