"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Climate Cycles, Habitat Stability, and Lineage Diversification in an African Biodiversity Hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","https://scispace.com/pdf/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r.pdf","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands.","In this paper , the evolutionary processes behind the diversity of birds in the Eastern Arc Mountains of Tanzania and Kenya were investigated using molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests, and it was shown that three periods of forest contraction and expansion affected the diversification of Eastern Arc birds."
"Diversification across an altitudinal gradient in the Tiny Greenbul (Phyllastrephus debilis) from the Eastern Arc Mountains of Africa","https://scispace.com/paper/diversification-across-an-altitudinal-gradient-in-the-tiny-4bf25jvkqg","2011","Journal Article","BMC Evolutionary Biology","Jérôme Fuchs
Jérôme Fuchs
Jérôme Fuchs
Jon Fjeldså
Rauri C. K. Bowie
Rauri C. K. Bowie","10.1186/1471-2148-11-117","https://scispace.com/pdf/diversification-across-an-altitudinal-gradient-in-the-tiny-4bf25jvkqg.pdf","The Eastern Arc Mountains of Africa have become one of the focal systems with which to explore the patterns and mechanisms of diversification among montane species and populations. One unresolved question is the extent to which populations inhabiting montane forest interact with those of adjacent lowland forest abutting the coast of eastern Africa. The Tiny Greenbul (Phyllastephus debilis) represents the only described bird species within the Eastern Arc/coastal forest mosaic, which is polytypic across an altitudinal gradient: the subspecies albigula (green head) is distributed in the montane Usambara and Nguru Mountains whereas the subspecies rabai (grey head) is found in Tanzanian lowland and foothill forest. Using a combination of morphological and genetic data, we aim to establish if the pattern of morphological differentiation in the Tiny Greenbul (Phyllastrephus debilis) is the result of disruptive selection along an altitudinal gradient or a consequence of secondary contact following population expansion of two differentiated lineages. We found significant biometric differences between the lowland (rabai) and montane (albigula) populations in Tanzania. The differences in shape are coupled with discrete differences in the coloration of the underparts. Using multi-locus data gathered from 124 individuals, we show that lowland and montane birds form two distinct genetic lineages. The divergence between the two forms occurred between 2.4 and 3.1 Myrs ago. Our coalescent analyses suggest that limited gene flow, mostly from the subspecies rabai to albigula, is taking place at three mid-altitude localities, where lowland and montane rainforest directly abut. The extent of this introgression appears to be limited and is likely a consequence of the recent expansion of rabai further inland. The clear altitudinal segregation in morphology found within the Tiny Greenbul is the result of secondary contact of two highly differentiated lineages rather than disruptive selection in plumage pattern across an altitudinal gradient. Based on our results, we recommend albigula be elevated to species rank.","It is shown that lowland and montane birds form two distinct genetic lineages, and albigula is recommended to be elevated to species rank based on the results."
"East African uplift as a catalyst for Middle Miocene faunal transitions","https://scispace.com/paper/east-african-uplift-as-a-catalyst-for-middle-miocene-faunal-c9ke3emj32kt","2025","Journal Article","Science Advances","Niklas Werner
Zhenqian Wang
Lars Werdelin
Qiong Zhang","10.1126/sciadv.adx6569","","The East African uplift during the Miocene played a crucial role in reshaping regional climates, ecosystems, and faunal communities, contributing to a shift from forested landscapes to widespread grasslands. Here, we use the high-resolution Earth System Model EC-Earth3, coupled with a dynamic vegetation model, to simulate climate and vegetation responses to East African uplift across three key Miocene intervals (25, 20, and 15 Ma) under varying atmospheric CO 2 levels. Our results show that tectonic uplift, combined with declining CO 2 during the Middle Miocene Climate Transition, substantially reduced forest cover and promoted grassland expansion across East and Central Africa. These environmental transitions likely facilitated faunal dispersals and ecological turnover, including among large mammals and early crown hominoids. By integrating geodynamic reconstructions, paleoclimate modeling, and fossil data, this study provides insight into how large-scale Earth system processes shaped Miocene biodiversity and altered the environmental context for mammalian evolution in Africa. ",""
"A long‐standing Pleistocene refugium in southern Africa and a mosaic of refugia in East Africa: insights from mtDNA and the common eland antelope","https://scispace.com/paper/a-long-standing-pleistocene-refugium-in-southern-africa-and-1gcxaw1w9u","2010","Journal Article","Journal of Biogeography","Eline D. Lorenzen
Charles Masembe
Peter Arctander
Hans R. Siegismund","10.1111/J.1365-2699.2009.02207.X","","Aim Previous genetic studies of African savanna ungulates have indicated Pleistocene refugial areas in East and southern Africa, and recent palynological, palaeovegetation and fossil studies have suggested the presence of a long-standing refugium in the south and a mosaic of refugia in the east. Phylogeographic analysis of the common eland antelope, Taurotragus oryx (Bovidae), was used to assess these hypotheses and the existence of genetic signatures of Pleistocene climate change.



Location  The sub-Saharan savanna biome of East and southern Africa.



Methods  Mitochondrial DNA control-region fragments (414 bp) from 122 individuals of common eland were analysed to elucidate the phylogeography, genetic diversity, spatial population structuring, historical migration and demographic history of the species. The phylogeographic split among major genetic lineages was dated using Bayesian coalescent-based methods and a calibrated fossil root of 1.6 Ma for the split between the common eland and the giant eland, Taurotragus derbianus.



Results  Two major phylogeographic lineages comprising East and southern African localities, respectively, were separated by a net nucleotide distance of 4.7%. A third intermediate lineage comprised only three haplotypes, from Zimbabwe in southern Africa. The estimated mutation rate of 0.097 Myr−1 revealed a more recent common ancestor for the eastern lineage (0.21 Ma; 0.07–0.37) than for the southern lineage (0.35 Ma; 0.10–0.62). Compared with the latter, the eastern lineage showed pronounced geographic structuring, lower overall nucleotide diversity, higher population differentiation, and isolation-by-distance among populations.



Main conclusions  The data support the hypothesis of Pleistocene refugia occurring in East and southern Africa. In agreement with palynological, palaeovegetation and fossil studies, our data strongly support the presence of a longer-standing population in the south and a mosaic of Pleistocene refugia in the east, verifying the efficacy of genetic tools in addressing such questions. The more recent origin of the common eland inhabiting East Africa could result from colonization following extinction from the region. Only two other dated African ungulate phylogenies have been published, applying different methods, and the similarity of dates obtained from the three distinct approaches indicates a significant event c. 200 ka, which left a strong genetic signature across a range of ungulate taxa.","The data strongly support the hypothesis of Pleistocene refugia occurring in East and southern Africa, and the more recent origin of the common eland inhabiting East Africa could result from colonization following extinction from the region."
"Persistent Quaternary climate refugia are hospices for biodiversity in the Anthropocene","https://scispace.com/paper/persistent-quaternary-climate-refugia-are-hospices-for-69jopbj41p","2020","Journal Article","Nature Climate Change","Stuart C. Brown
Tom M. L. Wigley
Tom M. L. Wigley
Bette L. Otto-Bliesner
Carsten Rahbek
Damien A. Fordham
Damien A. Fordham","10.1038/S41558-019-0682-7","","Climate stability leads to high levels of speciation and reduced extinction rates, shaping species richness patterns1–3. Hotspots of species diversity often overlap with regions that experienced stable temperatures and, perhaps, variable rates of precipitation during the late Quaternary4,5. These hotspots potentially harbour many species with low vagility and small geographical ranges6, making them more vulnerable to future ecoclimatic change4,7,8. By comparing global and regional patterns of climate stability during short periods of unusually large and widespread climate changes since the Last Glacial Maximum with twenty-first-century patterns, we show that human-driven climate change will disproportionally affect biodiversity in late Quaternary climate refugia, ultimately affecting the species, communities and ecosystems that are most vulnerable to climate change. Moreover, future changes in absolute temperature will probably erode the mechanisms that are theorized to sustain biodiversity hotspots across time. These impending shifts from stable to unstable temperatures—projected for the majority of the world’s biodiversity regions—threaten to reduce the size and extent of important climatic safe havens for diversity. Where climate refugia are forecast to persist until the end of this century, temperatures in these refuges are likely to exceed the acclimation capacity of many species, making them short-term hospices for biodiversity at best7–9. The stability of climatic conditions since the Last Glacial Maximum has contributed to current global patterns of species richness. Changes in patterns of climate stability this century reveal areas where climate change could reduce biodiversity, with largest losses in past climatic safe havens.","This article showed that human-driven climate change will disproportionally affect biodiversity in late Quaternary climate refugia, ultimately affecting the species, communities and ecosystems that are most vulnerable to climate change."
"At the crossroads of two biodiversity hotspots : the biogeographic patterns of Shimba Hills, Kenya","https://scispace.com/paper/at-the-crossroads-of-two-biodiversity-hotspots-the-55qbjg87rl","2017","Dissertation","","Beryl A. Bwong","10.5451/UNIBAS-006767203","","At the crossroads of two biodiversity hotspots; the biogeographic patterns of Shimba Hills, Kenya
Beryl A. Bwong
The Shimba Hills of Kenya (SHK) is geographically located at the cross roads of two major biodiversity hotspots; the Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region, specifically the neighbouring Eastern Arc Mountains (EAM). Results from old and recent collections of its flora and fauna indicate that Shimba Hills harbour species associated with EAM and CFEA as well as taxa that have affinity with West African Guineo-Congolian forest. However, the link between SHK and these biodiversity hotspots has never been tested appropriately using phylogenetic approaches. Using 16S mtDNA, demographic analysis and species distribution modelling, I sought to understand the phylogeographic affiliation of Shimba Hills with the neighbouring CFEA and EAM using its amphibian assemblage. Three main questions were explored, namely: a) Which are the closest relatives of SHK amphibian populations? b) Do amphibian species currently occurring in SHK have similar phylogeographic patterns to each other? c) Which historical processes, if any, account for the observed patterns of genetic diversity? I found that SHK and indeed the entire study area have a complex biogeographic history and no single pattern can explain the current amphibian assemblage in the area. Shimba Hills are more closely affiliated to the CFEA than to the EAM. Two previously undocumented putative phylogeographic breaks are recovered from the study area; one from the Kenya north coast and another in the Tanga region in Tanzania. Historical habitat stability and connectivity appear to play a significant role in species diversification in the area. Additionally, I also report on some fundamental findings on Shimba Hills amphibians during this study; Using a combination of molecular, morphological, spatial and bioacoustics methods the taxonomic status of the only endemic amphibian from Shimba Hills, Hyperolius rubrovermiculatus, is confirmed and description of a new species from the north eastern Tanzania is proposed. Secondly the taxonomic status of a Callulina rediscovered in Shimba Hills after 50 years is confirmed and I also propose the description of three new species of Callulina from the neighbouring Eastern Arc Mountains in Tanzania. Finally, I took the opportunity to compile the first ever annotated checklist of amphibians of Shimba Hills National Reserve where a new country record for the Ribbon Caecilian (Scolecomorphus vittatus) and other interesting discoveries are discussed. The reserve plus the entire SHK area contains the highest number of amphibian diversity for any known locality in Kenya. Therefore its continued conservation will ensure about 30% of Kenya’s amphibian species are preserved.

Key words: Coastal forests, Eastern Arc Mountains, Phylogeography, species distribution modelling, checklist, Amphibians.","Bwong et al. as discussed by the authors used 16S mtDNA, demographic analysis and species distribution modeling to understand the phylogenetic affiliation of Shimba Hills with the neighbouring Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region (EAM)."
"Dispersal to or from an African biodiversity hotspot","https://scispace.com/paper/dispersal-to-or-from-an-african-biodiversity-hotspot-11v619fdks","2009","Journal Article","Molecular Ecology","David C. Blackburn
G. J. Measey","10.1111/J.1365-294X.2009.04156.X","","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution.","Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution, and is compared with contrasting hypotheses of latitudinal range expansion using bayes factors."
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","https://scispace.com/pdf/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp.pdf","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest.","The importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest, are highlighted."
"Biogeographic patterns of the East African coastal forest vertebrate fauna","https://scispace.com/paper/biogeographic-patterns-of-the-east-african-coastal-forest-33hd3t8cvx","2007","Journal Article","Biodiversity and Conservation","Ermias T. Azeria
Ermias T. Azeria
Isabel Sanmartín
Stefan Ås
Allan Carlson
Neil D. Burgess","10.1007/S10531-006-9022-0","https://scispace.com/pdf/biogeographic-patterns-of-the-east-african-coastal-forest-33hd3t8cvx.pdf","The archipelago-like coastal forest of East Africa is one of the highest priority ecosystems for biodiversity conservation worldwide. Here we investigate patterns of species richness and biogeographic distribution among birds, mammals and reptiles of these forests, using distribution data obtained from recently published reviews and information collated by the WWF Eastern Africa Coastal Forest Ecoregion Programme. Birds and mammals species were divided into forest specialists and generalists, and forest specialist reptiles into ‘coastal’ and ‘forest’ endemics. The species richness of birds and generalist mammals increased with area, and is probably a result of area-dependent extinction. Only in birds, however, species richness increased with decreasing isolation, suggesting possible isolation-dependent colonization. Forest diversity, associated to altitudinal range, is important for specialist birds and mammals, whose species richness increased with wider altitudinal range. The number of relict coastal endemic and forest endemic reptiles was higher in forests with wider altitudinal ranges and on relatively higher altitude, respectively. Such forests have probably provided a suitable (and perhaps stable) environment for these species through time, thus increasing their persistence. Parsimony analysis of distributions (PAD) and cluster analyses showed geographical distance and general ecological similarity among forests as a determinant factor in bird distribution patterns, with compositional similarity decreasing with increasing inter-forest distance. Compositional similarity patterns of mammals among the forests did not show a strong geographical correspondence or a significant correlation with inter-forest distance, and those of reptiles were not resolved, with very low similarity levels among forest faunas. Our results suggest that the relative importance (and causal relationship) of forest attributes affecting the distribution of the East African coastal forest vertebrate fauna varies depending on life history traits such as dispersal ability and forest specialization. The groupings in PAD are partly congruent with some of the previous classifications of areas of endemism for this region, supporting the ‘naturalness’ of these regions.","The results suggest that the relative importance (and causal relationship) of forest attributes affecting the distribution of the East African coastal forest vertebrate fauna varies depending on life history traits such as dispersal ability and forest specialization."
"Sequential Fragmentation of Pleistocene Forests in an East Africa Biodiversity Hotspot: Chameleons as a Model to Track Forest History","https://scispace.com/paper/sequential-fragmentation-of-pleistocene-forests-in-an-east-58uvqhpw2t","2011","Journal Article","PLOS ONE","G. John Measey
Krystal A. Tolley","10.1371/JOURNAL.PONE.0026606","https://scispace.com/pdf/sequential-fragmentation-of-pleistocene-forests-in-an-east-58uvqhpw2t.pdf","Background: The Eastern Arc Mountains (EAM) is an example of naturally fragmented tropical forests, which contain one of the highest known concentrations of endemic plants and vertebrates. Numerous paleo-climatic studies have not provided direct evidence for ancient presence of Pleistocene forests, particularly in the regions in which savannah presently occurs. Knowledge of the last period when forests connected EAM would provide a sound basis for hypothesis testing of vicariance and dispersal models of speciation. Dated phylogenies have revealed complex patterns throughout EAM, so we investigated divergence times of forest fauna on four montane isolates in close proximity to determine whether forest break-up was most likely to have been simultaneous or sequential, using population genetics of a forest restricted arboreal chameleon, Kinyongia boehmei. Methodology/Principal Findings: We used mitochondrial and nuclear genetic sequence data and mutation rates from a fossil-calibrated phylogeny to estimate divergence times between montane isolates using a coalescent approach. We found that chameleons on all mountains are most likely to have diverged sequentially within the Pleistocene from 0.93–0.59 Ma (95% HPD 0.22–1.84 Ma). In addition, post-hoc tests on chameleons on the largest montane isolate suggest a population expansion ,182 Ka. Conclusions/Significance: Sequential divergence is most likely to have occurred after the last of three wet periods within the arid Plio-Pleistocene era, but was not correlated with inter-montane distance. We speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region’s historic dispersal events. The population expansion coincides with nearby volcanic activity, which may also explain the relative paucity of the Taita’s endemic fauna. Our study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma.","This study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma, and speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region's historic dispersal events."
