"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Incomplete lineage sorting in mammalian phylogenomics","https://scispace.com/paper/incomplete-lineage-sorting-in-mammalian-phylogenomics-1fbrxwocn0","2016","Journal Article","Systematic Biology","Celine Scornavacca
Nicolas Galtier","10.1093/SYSBIO/SYW082","https://academic.oup.com/sysbio/article-pdf/doi/10.1093/sysbio/syw082/17647916/syw082.pdf","The impact of incomplete lineage sorting (ILS) on phylogenetic conflicts among genes, and the related issue of whether to account for ILS in species tree reconstruction, are matters of …","—The impact of incomplete lineage sorting (ILS) on phylogenetic conflicts among genes, and the related issue of whether to account for ILS in species tree reconstruction, are matters of intense controversy. Here, focusing on full-genome data in placental mammals, we empirically test two assumptions underlying current usage of tree-building methods that account for ILS. We show that in this data set (i) distinct exons from a common gene do not share a common genealogy, and (ii) ILS is only a minor determinant of the existing phylogenetic conflict. These results shed new light on the relevance and conditions of applicability of ILS-aware methods in phylogenomic analyses of protein coding sequences. [Coalescence; exon; Supertree; phylogeny; placental.]"
"Inferring phylogeny despite incomplete lineage sorting","https://scispace.com/paper/inferring-phylogeny-despite-incomplete-lineage-sorting-3gay941gkq","2006","Journal Article","Systematic Biology","Wayne P. Maddison
L. Lacey Knowles","10.1080/10635150500354928","https://academic.oup.com/sysbio/article-pdf/55/1/21/26554321/10635150500354928.pdf","… These conclusions were reached with both of our species-tree reconstruction methods, … We are not necessarily recommending our particular species tree reconstruction methods, but …","It is now well known that incomplete lineage sorting can cause serious difficulties for phylogenetic inference, but little attention has been paid to methods that attempt to overcome these difficulties by explicitly considering the processes that produce them. Here we explore approaches to phylogenetic inference designed to consider retention and sorting of ancestral polymorphism. We examine how the reconstructability of a species (or population) phylogeny is affected by (a) the number of loci used to estimate the phylogeny and (b) the number of individuals sampled per species. Even in difficult cases with considerable incomplete lineage sorting (times between divergences less than 1 Ne generations), we found the reconstructed species trees matched the ""true"" species trees in at least three out of five partitions, as long as a reasonable number of individuals per species were sampled. We also studied the tradeoff between sampling more loci versus more individuals. Although increasing the number of loci gives more accurate trees for a given sampling effort with deeper species trees (e.g., total depth of 10 Ne generations), sampling more individuals often gives better results than sampling more loci with shallower species trees (e.g., depth = 1 Ne). Taken together, these results demonstrate that gene sequences retain enough signal to achieve an accurate estimate of phylogeny despite widespread incomplete lineage sorting. Continued improvement in our methods to reconstruct phylogeny near the species level will require a shift to a compound model that considers not only nucleotide or character state substitutions, but also the population genetics processes of lineage sorting. (Coalescence; divergence; population; speciation.) The challenges associated with inferring evolutionary relationships of recently diverged species or populations differ significantly from those for deep phylogenetic di vergence. At shallow time depths, hazards such as in complete lineage sorting predominate, whereas accurate molecular phylogenetic inference at greater time depths may be hampered by saturation, misalignment, unrec"
"Phylogenomic discordance is driven mainly by pervasive ancient hybridization and incomplete lineage sorting during the early divergence of major angiosperm …","https://scispace.com/paper/2hQzh-uADvAJ","","","","X Huang
L Yang
X Ma
Z Yang
Q Wang
H Wang","","https://www.cell.com/plant-communications/pdfExtended/S2590-3462(25)00291-3","… Coalescent simulation analyses suggested that a combination of incomplete lineage sorting and hybridization could explain the extensive discordance among nuclear genes in the …",""
"Phylogenomics reveals high levels of incomplete lineage sorting at the ancestral nodes of the macaque radiation","https://scispace.com/paper/phylogenomics-reveals-high-levels-of-incomplete-lineage-3nxoa7n27j","2023","Journal Article","Molecular Biology and Evolution","Xinxin Tan
Jiwei Qi
Zhijin Liu
Pengfei Fan
Gaoming Liu
Liye Zhang
Ying Shen
Jing Li
Christian Roos
Xuming Zhou
Ming Li","10.1093/molbev/msad229","https://academic.oup.com/mbe/article-pdf/doi/10.1093/molbev/msad229/53798927/msad229.pdf","… ogy and new computational tools for phylogenomics has enabled researchers to reconstruct the … Incomplete lineage sorting (ILS) is one potential explanation for gene tree discordances. …","The genus Macaca includes 23 species assigned into four to seven groups. It exhibits the largest geographic range and represents the most successful example of adaptive radiation of nonhuman primates. However, intrageneric phylogenetic relationships among species remain controversial and have not been resolved so far. In this study, we conducted a phylogenomic analysis on 16 newly generated and eight published macaque genomes. We found strong evidence supporting the division of this genus into seven species groups. Incomplete lineage sorting (ILS) was the primary factor contributing to the discordance observed among gene trees; however, we also found evidence of hybridization events, specifically between the ancestral arctoides/sinica and silenus/nigra lineages which resulted in the hybrid formation of the fascicularis/mulatta group. Combined with fossil data, our phylogenomic data was used to establish a scenario for macaque radiation. These findings provide insights into ILS and potential ancient introgression events that were involved in the radiation of macaques, which will lead to a better understanding of the rapid speciation occurring in nonhuman primates."
"Species tree inference methods intended to deal with incomplete lineage sorting are robust to the presence of paralogs","https://scispace.com/paper/species-tree-inference-methods-intended-to-deal-with-35dss4pciw","2021","Journal Article","Systematic Biology","Zhi Yan
Megan L. Smith
Peng Du
Matthew W. Hahn
Luay Nakhleh","10.1093/SYSBIO/SYAB056","https://academic.oup.com/sysbio/article-pdf/71/2/367/42493261/syab056.pdf","Many recent phylogenetic methods have focused on accurately inferring species trees when there is gene tree discordance due to incomplete lineage sorting (ILS). For almost all of …","Many recent phylogenetic methods have focused on accurately inferring species trees when there is gene tree discordance due to incomplete lineage sorting (ILS). For almost all of these methods, and for phylogenetic methods in general, the data for each locus is assumed to consist of orthologous, single-copy sequences. Loci that are present in more than a single copy in any of the studied genomes are excluded from the data. These steps greatly reduce the number of loci available for analysis. The question we seek to answer in this study is: What happens if one runs such species tree inference methods on data where paralogy is present, in addition to or without ILS being present? Through simulation studies and analyses of two large biological data sets, we show that running such methods on data with paralogs can still provide accurate results. We use multiple different methods, some of which are based directly on the multispecies coalescent (MSC) model, and some of which have been proven to be statistically consistent under it. We also treat the paralogous loci in multiple ways: from explicitly denoting them as paralogs, to randomly selecting one copy per species. In all cases the inferred species trees are as accurate as equivalent analyses using single-copy orthologs. Our results have significant implications for the use of ILS-aware phylogenomic analyses, demonstrating that they do not have to be restricted to single-copy loci. This will greatly increase the amount of data that can be used for phylogenetic inference."
"Comparing two Bayesian methods for gene tree/species tree reconstruction: simulations with incomplete lineage sorting and horizontal gene transfer","https://scispace.com/paper/comparing-two-bayesian-methods-for-gene-tree-species-tree-3iwm93xv5o","2011","Journal Article","Systematic Biology","Yujin Chung
Cécile Ané","10.1093/SYSBIO/SYR003","https://academic.oup.com/sysbio/article-pdf/60/3/261/24555088/syr003.pdf","With the increasing interest in recognizing the discordance between gene genealogies, various gene tree/species tree reconciliation methods have been developed. We present here …","With the increasing interest in recognizing the discordance between gene genealogies, various gene tree/species tree reconciliation methods have been developed. We present here the first attempt to assess and compare two such Bayesian methods, Bayesian estimation of species trees (BEST) and BUCKy (Bayesian untangling of concordance knots), in the presence of several known processes of gene tree discordance. DNA alignments were simulated under the influence of incomplete lineage sorting (ILS) and of horizontal gene transfer (HGT). BEST and BUCKy both account for uncertainty in gene tree estimation but differ substantially in their assumptions of what caused gene tree discordance. BEST estimates a species tree using the coalescent model, assuming that all gene tree discordance is due to ILS. BUCKy does not assume any specific biological process of gene tree discordance through the use of a nonparametric clustering of concordant genes. BUCKy estimates the concordance factor (CF) of a clade, which is defined as the proportion of genes that truly have the clade in their trees. The estimated concordance tree is then built from clades with the highest estimated CFs. Because of their different assumptions, it was expected that BEST would perform better in the presence of ILS and that BUCKy would perform better in the presence of HGT. As expected, the species tree was more accurately reconstructed by BUCKy in the presence of HGT, when the HGT events were unevenly placed across the species tree. BUCKy and BEST performed similarly in most other cases, including in the presence of strong ILS and of HGT events that were evenly placed across the tree. However, BUCKy was shown to underestimate the uncertainty in CF estimation, with short credibility intervals. Despite this, the discordance pattern estimated by BUCKy could be compared with the signature of ILS. The resulting test for the adequacy of the coalescent model proved to have low Type I error. It was powerful when HGT was the major source of discordance and when HGT events were unevenly placed across the species tree."
"Addressing incomplete lineage sorting and paralogy in the inference of uncertain salmonid phylogenetic relationships","https://scispace.com/paper/addressing-incomplete-lineage-sorting-and-paralogy-in-the-4g8dld8lp2","2020","Journal Article","PeerJ","Matthew A. Campbell
Thaddaeus John Buser
Michael E. Alfaro
J. Andrés López","10.7717/PEERJ.9389","https://peerj.com/articles/9389.pdf","… autopolyploidy and the resulting residual tetrasomy increases the potential for conflicts between gene trees and species trees due to a greater likelihood for incomplete lineage sorting. …","Recent and continued progress in the scale and sophistication of phylogenetic research has yielded substantial advances in knowledge of the tree of life; however, segments of that tree remain unresolved and continue to produce contradicting or unstable results. These poorly resolved relationships may be the product of methodological shortcomings or of an evolutionary history that did not generate the signal traits needed for its eventual reconstruction. Relationships within the euteleost fish family Salmonidae have proven challenging to resolve in molecular phylogenetics studies in part due to ancestral autopolyploidy contributing to conflicting gene trees. We examine a sequence capture dataset from salmonids and use alternative strategies to accommodate the effects of gene tree conflict based on aspects of salmonid genome history and the multispecies coalescent. We investigate in detail three uncertain relationships: (1) subfamily branching, (2) monophyly of Coregonus and (3) placement of Parahucho. Coregoninae and Thymallinae are resolved as sister taxa, although conflicting topologies are found across analytical strategies. We find inconsistent and generally low support for the monophyly of Coregonus, including in results of analyses with the most extensive dataset and complex model. The most consistent placement of Parahucho is as sister lineage of Salmo."
"Inferring duplications, losses, transfers and incomplete lineage sorting with nonbinary species trees","https://scispace.com/paper/inferring-duplications-losses-transfers-and-incomplete-4oddqdxo94","2012","Journal Article","Bioinformatics","Maureen Stolzer
Han Lai
Minli Xu
Deepa Sathaye
Benjamin Vernot
Dannie Durand","10.1093/BIOINFORMATICS/BTS386","https://academic.oup.com/bioinformatics/article-pdf/28/18/i409/48884879/bts386.pdf","Motivation: Gene duplication (D), transfer (T), loss (L) and incomplete lineage sorting (I) are crucial to the evolution of gene families and the emergence of novel functions. The history of …","Motivation: Gene duplication (D), transfer (T), loss (L) and incomplete lineage sorting (I) are crucial to the evolution of gene families and the emergence of novel functions. The history of these events can be inferred via comparison of gene and species trees, a process called reconciliation, yet current reconciliation algorithms model only a subset of these evolutionary processes.

Results: We present an algorithm to reconcile a binary gene tree with a nonbinary species tree under a DTLI parsimony criterion. This is the first reconciliation algorithm to capture all four evolutionary processes driving tree incongruence and the first to reconcile non-binary species trees with a transfer model. Our algorithm infers all optimal solutions and reports complete, temporally feasible event histories, giving the gene and species lineages in which each event occurred. It is fixed-parameter tractable, with polytime complexity when the maximum species outdegree is fixed. Application of our algorithms to prokaryotic and eukaryotic data show that use of an incomplete event model has substantial impact on the events inferred and resulting biological conclusions.

Availability: Our algorithms have been implemented in Notung, a freely available phylogenetic reconciliation software package, available at http://www.cs.cmu.edu/~durand/Notung.

Contact: mstolzer@andrew.cmu.edu"
"Phylogenomics reveal extensive phylogenetic discordance due to incomplete lineage sorting following the rapid radiation of alpine butterflies (Papilionidae …","https://scispace.com/paper/PVHaAmJLt-AJ","","","","B He
Y Zhao
C Su
G Lin
Y Wang
L Li","","https://www.researchgate.net/profile/Jiasheng-Hao-3/publication/369768502_Phylogenomics_reveal_extensive_phylogenetic_discordance_due_to_incomplete_lineage_sorting_following_the_rapid_radiation_of_alpine_butterflies_Papilionidae_Parnassius/links/643e05b739aa471a5245bcf0/Phylogenomics-reveal-extensive-phylogenetic-discordance-due-to-incomplete-lineage-sorting-following-the-rapid-radiation-of-alpine-butterflies-Papilionidae-Parnassius.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","… Gene‐tree/species‐tree conflicts were detected by … among subgenera was extensive incomplete lineage sorting (ILS), … explicitly accommodate gene‐tree/species‐tree conflicts caused …",""
"The perfect storm: gene tree estimation error, incomplete lineage sorting, and ancient gene flow explain the most recalcitrant ancient angiosperm clade, Malpighiales","https://scispace.com/paper/the-perfect-storm-gene-tree-estimation-error-incomplete-zbsq9bcxe7","2020","Posted Content","bioRxiv","Liming Cai
Zhenxiang Xi
Zhenxiang Xi
Emily Moriarty Lemmon
Alan R. Lemmon
Austin Mast
Christopher E. Buddenhagen
Christopher E. Buddenhagen
Liang Liu
Charles C. Davis","10.1101/2020.05.26.112318","https://www.biorxiv.org/content/biorxiv/early/2020/05/27/2020.05.26.112318.full.pdf","… Finally, we quantified gene tree–species tree discordance and species tree error by measuring the Robinson–Foulds (RF) distance between an estimated gene tree or species tree to …","The genomic revolution offers renewed hope of resolving rapid radiations in the Tree of Life. The development of the multispecies coalescent (MSC) model and improved gene tree estimation methods can better accommodate gene tree heterogeneity caused by incomplete lineage sorting (ILS) and gene tree estimation error stemming from the short internal branches. However, the relative influence of these factors in species tree inference is not well understood. Using anchored hybrid enrichment, we generated a data set including 423 single-copy loci from 64 taxa representing 39 families to infer the species tree of the flowering plant order Malpighiales. This order alone includes nine of the top ten most unstable nodes in angiosperms, and the recalcitrant relationships along the backbone of the order have been hypothesized to arise from the rapid radiation during the Cretaceous. Here, we show that coalescent-based methods do not resolve the backbone of Malpighiales and concatenation methods yield inconsistent estimations, providing evidence that gene tree heterogeneity is high in this clade. Despite high levels of ILS and gene tree estimation error, our simulations demonstrate that these two factors alone are insufficient to explain the lack of resolution in this order. To explore this further, we examined triplet frequencies among empirical gene trees and discovered some of them deviated significantly from those attributed to ILS and estimation error, suggesting gene flow as an additional and previously unappreciated phenomenon promoting gene tree variation in Malpighiales. Finally, we applied a novel method to quantify the relative contribution of these three primary sources of gene tree heterogeneity and demonstrated that ILS, gene tree estimation error, and gene flow contributed to 15%, 52%, and 32% of the variation, respectively. Together, our results suggest that a perfect storm of factors likely influence this lack of resolution, and further indicate that recalcitrant phylogenetic relationships like the backbone of Malpighiales may be better represented as phylogenetic networks. Thus, reducing such groups solely to existing models that adhere strictly to bifurcating trees greatly oversimplifies reality, and obscures our ability to more clearly discern the process of evolution."
