"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Recent past connections between Amazonian and Atlantic forests by comparative phylogeography and paleodistribution models for didelphid mammals","https://scispace.com/paper/recent-past-connections-between-amazonian-and-atlantic-19rd1il6oo","2024","Journal Article","Evolutionary Ecology","Arielli Fabrício Machado
Maria Nazareth Ferreira Da Silva
Izeni Pires Farias
Marina Anciães
Mario Silva Nunes
W. T. Peçanha
Camila Duarte Ritter
Josué Anderson Rêgo Azevedo
Cleuton Lima Miranda
Leandro Duarte","10.1007/s10682-024-10292-6","","Despite the current disjoint distribution of Amazonian and Atlantic forests, evidence suggests past historical connections. Here we investigated the historical connections between three didelphid mammal species from Amazonian and Atlantic forests (Caluromys philander, Marmosa demerarae, and M. murina) using comparative phylogeography and paleodistribution models. We generated ecological niche models from the present until the Pliocene to evaluate changes in distributions over time, focusing on the previously suggested connection routes. We inferred divergence times between populations of each species using the mitochondrial Cytochrome b, estimated the phylogeographic relationships with haplotype networks, and calculated the genetic distances. All species exhibited populations that were separated between the Amazonian and Atlantic forests around 1–2 million years ago, while some populations showed more recent divergences. Paleodistributions were more extensive for periods predating the estimated times of divergence for all species, becoming narrower after this period. We suggest that the climatic oscillations during the onset of the Pleistocene largely influenced the phylogenetic structuring of these forest-dwelling species. This led to the separation of populations currently restricted to Amazonian or Atlantic forests. Our findings also point to repeated connections over time, with both North- and South-Eastern routes compatible with ancient connections. This represents the first simultaneous evaluation of past connections between Amazonian and Atlantic forests combining phylogeographic inferences with paleodistribution models for didelphid marsupials. We suggested the relation of the responses to past climate change, such as increases in the paleodistribution, and species resilience.","Comparative phylogeography and paleodistribution models reveal past connections between Amazonian and Atlantic forests for three didelphid mammal species, influenced by climatic oscillations during the Pleistocene, with repeated connections over time via North- and South-Eastern routes."
"The BlackwellScience,Ltd comparative phylogeography of Neotropical mammals: patterns of intraspecific mitochondrial DNA variation among bats contrasted to nonvolant small mammals","https://scispace.com/paper/the-blackwellscience-ltd-comparative-phylogeography-of-9xnn43zyxmp3","2000","Repository","","Ditchfield, A. D.","10.5281/zenodo.13481769","","(Uploaded by Plazi for the Bat Literature Project) The major aim of this study was to compare the phylogeographic patterns of codistributed bats and small nonvolant Neotropical mammals. Cytochrome b sequences (mitochondrial DNA) were obtained for a total of 275 bats representing 17 species. The tissue samples were collected in coastal Brazil, and were available from Mexico and the Guyana. The study concentrates on four species ( Artibeus lituratus, Carollia perspicillata, Sturnira lilium and Glossophaga soricina) which were well represented. The other 13 species were sequenced to test the generality of the patterns observed. In general, sequence divergence values within species were low, with most bat species presenting less than 4% average sequence divergence, and usually between 1 and 2.5%. Clades of highly similar haplotypes enjoyed broad distribution on a continental scale. These clades were not usually geographically structured, and at a given locality the number of haplotypes was high (8–10). As distance increased, some moderately divergent clades were found, although the levels of divergence were low. This suggests a geographical effect that varied depending on species and scale. Small nonvolant mammals almost invariably have high levels of sequence divergence (&gt; 10%) for cytochrome b over much shorter distances (&lt; 1000 km). The grain of intraspecific variation found in small nonvolant mammals is much finer than in bats. Low levels of geographical structuring cannot be attributed to a slower evolutionary rate of bat DNA in relation to other mammalian taxa. The phylogeographic pattern of bats contrasts sharply with the pattern found for Neotropical rodents and marsupials. ","This study compares phylogeographic patterns of Neotropical bats and small nonvolant mammals, revealing low intraspecific mitochondrial DNA variation in bats, contrasting with high variation in small mammals, and suggesting a geographical effect on bat divergence."
"The BlackwellScience,Ltd comparative phylogeography of Neotropical mammals: patterns of intraspecific mitochondrial DNA variation among bats contrasted to nonvolant small mammals","https://scispace.com/paper/the-blackwellscience-ltd-comparative-phylogeography-of-syb0xat9oraq","2024","Repository","","Ditchfield, A. D.","10.5281/zenodo.13481768","","(Uploaded by Plazi for the Bat Literature Project) The major aim of this study was to compare the phylogeographic patterns of codistributed bats and small nonvolant Neotropical mammals. Cytochrome b sequences (mitochondrial DNA) were obtained for a total of 275 bats representing 17 species. The tissue samples were collected in coastal Brazil, and were available from Mexico and the Guyana. The study concentrates on four species ( Artibeus lituratus, Carollia perspicillata, Sturnira lilium and Glossophaga soricina) which were well represented. The other 13 species were sequenced to test the generality of the patterns observed. In general, sequence divergence values within species were low, with most bat species presenting less than 4% average sequence divergence, and usually between 1 and 2.5%. Clades of highly similar haplotypes enjoyed broad distribution on a continental scale. These clades were not usually geographically structured, and at a given locality the number of haplotypes was high (8–10). As distance increased, some moderately divergent clades were found, although the levels of divergence were low. This suggests a geographical effect that varied depending on species and scale. Small nonvolant mammals almost invariably have high levels of sequence divergence (> 10%) for cytochrome b over much shorter distances (< 1000 km). The grain of intraspecific variation found in small nonvolant mammals is much finer than in bats. Low levels of geographical structuring cannot be attributed to a slower evolutionary rate of bat DNA in relation to other mammalian taxa. The phylogeographic pattern of bats contrasts sharply with the pattern found for Neotropical rodents and marsupials. ",""
"Quaternary phylogeography: the roots of hybrid zones","https://scispace.com/paper/quaternary-phylogeography-the-roots-of-hybrid-zones-i479hzf1zr","2011","Journal Article","Genetica","Godfrey M. Hewitt","10.1007/S10709-011-9547-3","","The older history of hybrid zones is explored through consideration of recent advances in climatology, paleontology and phylogeography in the Late Cenozoic, particularly the Quaternary Period with its major climatic cycles. The fossil record shows that these ice ages and their nested millennial oscillations caused substantial changes in species distributions and with genetic evidence allows deduction of refugia and colonization routes in arctic, temperate, desert and tropical regions. The age of divergence between hybridizing lineages varies from the Late Pleistocene to the Late Miocene, implying much range change and varying selection on sister lineages. Hybridizing lineages in the Tropical and Temperate regions range in age from young to old, but those studied in the Arctic are no more than a few ice ages old and their refugial roots are not clear. Mid to low latitude regions often show parapatric patchworks of lineages and multiple refugia stable through many climatic oscillations. Particular hybrid zones may have formed more than once; while some expansions were not the same, producing reticulation and introgression in previous glacial cycles. Hybrid-zone roots are complex and deep, and considerations of their complexity can reveal evolutionary pathways of species. They are indeed windows on evolution.","The older history of hybrid zones is explored through consideration of recent advances in climatology, paleontology and phylogeography in the Late Cenozoic, particularly the Quaternary Period with its major climatic cycles."
"Phylogeographic breaks without geographic barriers to gene flow","https://scispace.com/paper/phylogeographic-breaks-without-geographic-barriers-to-gene-kkl4yhaqc28e","","","","DE Irwin","10.1111/j.0014-3820.2002.tb00164.x","","The spatial distribution of genetic markers can be useful both in estimating patterns of gene flow and in reconstructing biogeographic history, particularly when gene genealogies can be estimated. Genealogies based on nonrecombining genetic units such as mitochondrial and chloroplast DNA often consist of geographically separated clades that come into contact in narrow regions. Such phylogeographic breaks are usually assumed to be the result of long-term barriers to gene flow. Here I show that deep phylogeographic breaks can form within a continuously distributed species even when there are no barriers to gene flow. The likelihood of observing phylogeographic breaks increases as the average individual dispersal distance and population size decrease. Those molecular markers that are most likely to show evidence of real geographic barriers are also most likely to show phylogeographic breaks that formed without any barrier to gene flow. These results might provide an explanation as to why some species, such as the greenish warblers (Phylloscopus trochiloides), have phylogeographic breaks in mitochondrial or chloroplast DNA that do not coincide with sudden changes in other traits.","Phylogeographic breaks can occur within continuously distributed species without geographic barriers to gene flow, influenced by dispersal distance and population size, and may be more evident in markers with limited gene flow."
"Phylogeographic breaks without geographic barriers to gene flow","https://scispace.com/paper/phylogeographic-breaks-without-geographic-barriers-to-gene-2au34p3qun","2002","Journal Article","Evolution","Darren E. Irwin","10.1554/0014-3820(2002)056[2383:PBWGBT]2.0.CO;2","","The spatial distribution of genetic markers can be useful both in estimating patterns of gene flow and in reconstructing biogeographic history, particularly when gene genealogies can be estimated. Genealogies based on nonrecombining genetic units such as mitochondrial and chloroplast DNA often consist of geographically separated clades that come into contact in narrow regions. Such phylogeographic breaks are usually assumed to be the result of long-term barriers to gene flow. Here I show that deep phylogeographic breaks can form within a continuously distributed species even when there are no barriers to gene flow. The likelihood of observing phylogeographic breaks increases as the average individual dispersal distance and population size decrease. Those molecular markers that are most likely to show evidence of real geographic barriers are also most likely to show phylogeographic breaks that formed without any barrier to gene flow. These results might provide an explanation as to why some species, such as the greenish warblers (Phylloscopus trochiloides), have phylogeographic breaks in mitochondrial or chloroplast DNA that do not coincide with sudden changes in other traits.","It is shown that deep phylogeographic breaks can form within a continuously distributed species even when there are no barriers to gene flow, which might provide an explanation as to why some species, such as the greenish warblers, have phyloGeographic breaks in mitochondrial or chloroplast DNA that do not coincide with sudden changes in other traits."
"Comparative phylogeography clarifies the complexity and problems of continental distribution that drove A. R. Wallace to favor islands","https://scispace.com/paper/comparative-phylogeography-clarifies-the-complexity-and-1m3xwyhrd7","2016","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Brett R. Riddle","10.1073/PNAS.1601072113","","Deciphering the geographic context of diversification and distributional dynamics in continental biotas has long been an interest of biogeographers, ecologists, and evolutionary biologists. Thirty years ago, the approach now known as comparative phylogeography was introduced in a landmark study of a continental biota. Here, I use a set of 455 studies to explore the current scope of continental comparative phylogeography, including geographic, conceptual, temporal, ecological, and genomic attributes. Geographically, studies are more frequent in the northern hemisphere, but the south is catching up. Most studies focus on a Quaternary timeframe, but the Neogene is well represented. As such, explanations for geographic structure and history include geological and climatic events in Earth history, and responses include vicariance, dispersal, and range contraction-expansion into and out of refugia. Focal taxa are biased toward terrestrial or semiterrestrial vertebrates, although plants and invertebrates are well represented in some regions. The use of various kinds of nuclear DNA markers is increasing, as are multiple locus studies, but use of organelle DNA is not decreasing. Species distribution models are not yet widely incorporated into studies. In the future, continental comparative phylogeographers will continue to contribute to erosion of the simple vicariance vs. dispersal paradigm, including exposure of the widespread nature of temporal pseudocongruence and its implications for models of diversification; provide new templates for addressing a variety of ecological and evolutionary traits; and develop closer working relationships with earth scientists and biologists in a variety of disciplines.","A set of 455 studies is used to explore the current scope of continental comparative phylogeography, including geographic, conceptual, temporal, ecological, and genomic attributes, and new templates for addressing a variety of ecological and evolutionary traits."
"Temporal, spatial and ecological dynamics of speciation among amphi-Beringian small mammals","https://scispace.com/paper/temporal-spatial-and-ecological-dynamics-of-speciation-among-481rx0gjjj","2013","Journal Article","Journal of Biogeography","Andrew G. Hope
Andrew G. Hope
Naoki Takebayashi
Kurt E. Galbreath
Sandra L. Talbot
Joseph A. Cook","10.1111/JBI.12056","","Aim

Quaternary climate cycles played an important role in promoting diversification across the Northern Hemisphere, although details of the mechanisms driving evolutionary change are still poorly resolved. In a comparative phylogeographical framework, we investigate temporal, spatial and ecological components of evolution within a suite of Holarctic small mammals. We test a hypothesis of simultaneous divergence among multiple taxon pairs, investigating time to coalescence and demographic change for each taxon in response to a combination of climate and geography.



Location

Beringia, the nexus of the northern continents.



Methods

We used approximate Bayesian computation methods to test for simultaneous divergence among eight pairs of taxa, using cytochrome b gene sequences. We calculated coalescence times for eastern and western components of each pair and for the combined pairs, and relate dates to Quaternary climatic periodicity and combinations of environmental events and physical barriers. Population growth and expansion statistics were used to test evolutionary responses among taxa, including range shifts, persistence or periodic extirpation. Species distribution models (SDMs) for each taxon were used to predict their geographical ranges during the present interglacial, Last Glacial Maximum and previous interglacial.



Results

Multiple divergence events across Beringia were primarily coincident with extreme glacial cycles of the late Quaternary. Structure within Beringia is spatially consistent with at least three environmental barriers arising at different times: the Kolyma Uplands, Bering Strait and portions of the Bering Isthmus. Levels of divergence varied substantially, indicating evolutionary processes spanning deep and shallow time-scales. The different demographics among taxa reflect their distinct ecological responses. SDMs predicted regional distributional changes through time and different spatial responses among taxa.



Main conclusions

Beringia predominantly constituted a dispersal corridor during the early Quaternary and a major centre of endemism in the late Quaternary. Coincident with severe glacial cycles, small mammal species were ‘caught’ in Beringia and diversified over multiple climatic phases. Relative genetic differentiation across Beringia appears to be related to ecological differences reflecting a gradual adaptation to Beringian environments through time. Some methodological constraints associated with resolving recent (late Quaternary) isolation events or drawing inferences from a single locus are discussed.","Beringia predominantly constituted a dispersal corridor during the early Quaternary and a major centre of endemism in the late quaternary, and small mammal species were ‘caught’ in Beringia and diversified over multiple climatic phases."
"Recent past connections between Amazonian and Atlantic forests by comparative phylogeography and paleodistribution models for didelphid mammals","https://scispace.com/paper/recent-past-connections-between-amazonian-and-atlantic-1mxur67y","2023","Posted Content","","","10.21203/rs.3.rs-2600787/v1","","Abstract Despite the disjunct distribution of Amazonian and Atlantic forests, evidence suggests historical connections. Here we investigated the historical connections between three didelphid mammal species from Amazonian and Atlantic forests ( Caluromys philander , Marmosa murina and Marmosa demerarae ) to uncover these connections using a comparative phylogeography approach and paleodistribution models. We generated species distribution models from the present and past (Holocene through Pliocene) to evaluate changes in distributions over time focusing on the previously suggested connection regions. We inferred divergence times between populations of each species via the mitochondrial cytochrome b gene, estimated the phylogeographic relationships with haplotype networks, and calculated the genetic distances. All species showed Amazonian and Atlantic Forest divergences between 1 and 2 million years ago, while some populations diverged in more recent times. Paleodistribution was wider for periods before the estimated divergence times, becoming narrower after. We suggest that the climatic oscillations during the onset of the Pleistocene largely influenced the phylogenetic structuring of these forest-dwelling species, leading to the separation of populations of taxa currently distributed in Amazonian and Atlantic forests. Our findings also point to repeated connections over time, with both North- and South-eastern routes compatible with older connections, whereas younger connections were supported only for the Southeastern route. This represents the first simultaneous evaluation of past connections between Amazonian and Atlantic forests combining phylogeographic inferences with paleodistribution models. Our results highlight the relevance of environmental tolerance of species to their responses to climate change, such as more frequent increases in the paleodistribution of more resilient species. ","The authors investigated the historical connections between three didelphid mammal species from Amazonian and Atlantic forests using a comparative phylogeography approach and paleodistribution models. But their results highlight the relevance of environmental tolerance of species to their responses to climate change, such as more frequent increases in the paleo-diversity of more resilient species."
"Contrasting Phylogeographic Histories of Chimpanzees in Nigeria and Cameroon: A Multi-Locus Genetic Analysis","https://scispace.com/paper/contrasting-phylogeographic-histories-of-chimpanzees-in-1jtrzcdybd","2006","Book Chapter","","M. Katherine Gonder
Todd R. Disotell","10.1007/0-387-31710-4_5","","As many as four geographically distinct subspecies of chimpanzees (Pan troglodytes) may persist across sub-Saharan Africa, but little is known about the geographic boundaries that delimit these populations. Genetic studies of the first hypervariable region (HVRI) of mitochondrial (mt)DNA of wild chimpanzees suggest that the Sanaga River may important in delineating chimpanzee populations in western Africa from those western equatorial Africa. However, the HVRI represents only a single realization of the evolutionary process. Here we present microsatellite, or Single Tandem Repeat (STR), genotypes of wild chimpanzees from Nigeria and Cameroon to complement and expand upon previous studies of chimpanzee mtDNA. We observed a different but compatible pattering of genetic diversity between the STR loci and the HVRI sequences. Generally, our analyses of these data suggest that the Sanaga River has played an important, but not exclusive, role in delimiting chimpanzees from western Africa from those in western equatorial Africa. The significance of the Niger River and of the Dahomey Gap in limiting chimpanzee distribution patterns remain equivocal. Additional multi-locus sampling of chimpanzees near these putative biogeographic boundaries may more clearly resolve the roles they have played in recent chimpanzee evolution.","Analysis of microsatellite, or Single Tandem Repeat (STR), genotypes of wild chimpanzees from Nigeria and Cameroon to complement and expand upon previous studies of chimpanzee mtDNA suggest that the Sanaga River has played an important, but not exclusive, role in delimiting chimpanzees from western Africa from those in western equatorial Africa."
