"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","https://scispace.com/pdf/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp.pdf","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest.","The importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest, are highlighted."
"Dispersal to or from an African biodiversity hotspot","https://scispace.com/paper/dispersal-to-or-from-an-african-biodiversity-hotspot-11v619fdks","2009","Journal Article","Molecular Ecology","David C. Blackburn
G. J. Measey","10.1111/J.1365-294X.2009.04156.X","","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution.","Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution, and is compared with contrasting hypotheses of latitudinal range expansion using bayes factors."
"Late Pleistocene molecular dating of past population fragmentation and demographic changes in African rain forest tree species supports the forest refuge hypothesis","https://scispace.com/paper/late-pleistocene-molecular-dating-of-past-population-1k3ko1u5qy","2015","Journal Article","Journal of Biogeography","Jérôme Duminil
Jérôme Duminil
Stefano Mona
Patrick Mardulyn
Charles Doumenge
Frédéric Walmacq
Jean-Louis Doucet
Olivier J. Hardy","10.1111/JBI.12510","https://scispace.com/pdf/late-pleistocene-molecular-dating-of-past-population-1k3ko1u5qy.pdf","Aim Phylogeographical signatures of past population fragmentation and demographic change have been reported in several African rain forest trees. These signatures have usually been interpreted in the light of the Pleistocene forest refuge hypothesis, although dating these events has remained impracticable because of inadequate genetic markers. We assess the timing of interspecific and intraspecific genetic differentiation and demographic changes within two rain forest Erythrophleum tree species (Fabaceae: Caesalpinioideae). Location Tropical forests of Upper Guinea (West Africa) and Lower Guinea (Atlantic Central Africa). Methods Six single-copy nuclear genes were used to characterize the phylogeographical patterns of the parapatric sister species Erythrophleum suaveolens (characteristic of semi-deciduous or gallery forests) and Erythrophleum ivorense (characteristic of evergreen forests). The number of gene pools within each species was determined and the timings of their divergence and past demographic changes were estimated using Bayesian-based coalescent approaches. Results Three geographically separated gene pools were identified within E. suaveolens, and a single gene pool was inferred in E. ivorense. All gene pools show signatures of demographic bottlenecks concomitant with the last glacial period (c. 120–12 ka). Species-tree inferences show that the two species diverged c. 600 ka, whereas the divergence between E. suaveolens gene pools was dated to the late Pleistocene (first divergence c. 120 ka, second c. 60 ka). Main conclusions (1) Molecular dating of demographic changes of two African tropical forest tree species is consistent with the Pleistocene forest refuge hypothesis. (2) Tree species from Guinean evergreen tropical forests might have been less affected by past climate change than semi-deciduous species. (3) Our phylogeographical data support a recent date (Holocene) of the last opening of the Dahomey Gap. (Resume d'auteur)","This work assesses the timing of interspecific and intraspecific genetic differentiation and demographic changes within two rain forest Erythrophleum tree species (Fabaceae: Caesalpinioideae)."
"At the crossroads of two biodiversity hotspots : the biogeographic patterns of Shimba Hills, Kenya","https://scispace.com/paper/at-the-crossroads-of-two-biodiversity-hotspots-the-55qbjg87rl","2017","Dissertation","","Beryl A. Bwong","10.5451/UNIBAS-006767203","","At the crossroads of two biodiversity hotspots; the biogeographic patterns of Shimba Hills, Kenya
Beryl A. Bwong
The Shimba Hills of Kenya (SHK) is geographically located at the cross roads of two major biodiversity hotspots; the Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region, specifically the neighbouring Eastern Arc Mountains (EAM). Results from old and recent collections of its flora and fauna indicate that Shimba Hills harbour species associated with EAM and CFEA as well as taxa that have affinity with West African Guineo-Congolian forest. However, the link between SHK and these biodiversity hotspots has never been tested appropriately using phylogenetic approaches. Using 16S mtDNA, demographic analysis and species distribution modelling, I sought to understand the phylogeographic affiliation of Shimba Hills with the neighbouring CFEA and EAM using its amphibian assemblage. Three main questions were explored, namely: a) Which are the closest relatives of SHK amphibian populations? b) Do amphibian species currently occurring in SHK have similar phylogeographic patterns to each other? c) Which historical processes, if any, account for the observed patterns of genetic diversity? I found that SHK and indeed the entire study area have a complex biogeographic history and no single pattern can explain the current amphibian assemblage in the area. Shimba Hills are more closely affiliated to the CFEA than to the EAM. Two previously undocumented putative phylogeographic breaks are recovered from the study area; one from the Kenya north coast and another in the Tanga region in Tanzania. Historical habitat stability and connectivity appear to play a significant role in species diversification in the area. Additionally, I also report on some fundamental findings on Shimba Hills amphibians during this study; Using a combination of molecular, morphological, spatial and bioacoustics methods the taxonomic status of the only endemic amphibian from Shimba Hills, Hyperolius rubrovermiculatus, is confirmed and description of a new species from the north eastern Tanzania is proposed. Secondly the taxonomic status of a Callulina rediscovered in Shimba Hills after 50 years is confirmed and I also propose the description of three new species of Callulina from the neighbouring Eastern Arc Mountains in Tanzania. Finally, I took the opportunity to compile the first ever annotated checklist of amphibians of Shimba Hills National Reserve where a new country record for the Ribbon Caecilian (Scolecomorphus vittatus) and other interesting discoveries are discussed. The reserve plus the entire SHK area contains the highest number of amphibian diversity for any known locality in Kenya. Therefore its continued conservation will ensure about 30% of Kenya’s amphibian species are preserved.

Key words: Coastal forests, Eastern Arc Mountains, Phylogeography, species distribution modelling, checklist, Amphibians.","Bwong et al. as discussed by the authors used 16S mtDNA, demographic analysis and species distribution modeling to understand the phylogenetic affiliation of Shimba Hills with the neighbouring Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region (EAM)."
"Climate Cycles, Habitat Stability, and Lineage Diversification in an African Biodiversity Hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","https://scispace.com/pdf/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r.pdf","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands.","In this paper , the evolutionary processes behind the diversity of birds in the Eastern Arc Mountains of Tanzania and Kenya were investigated using molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests, and it was shown that three periods of forest contraction and expansion affected the diversification of Eastern Arc birds."
"Diversification in a biodiversity hot spot: landscape correlates of phylogeographic patterns in the African spotted reed frog","https://scispace.com/paper/diversification-in-a-biodiversity-hot-spot-landscape-tghiifkxid","2013","Journal Article","Molecular Ecology","Lucinda P. Lawson
Lucinda P. Lawson","10.1111/MEC.12229","","The Eastern Afromontane Biodiversity Hotspot is known for microendemism and exceptional population genetic structure. The region's landscape heterogeneity is thought to limit gene flow between fragmented populations and create opportunities for regional adaptation, but the processes involved are poorly understood. Using a combination of phylogeographic analyses and circuit theory, I investigate how characteristics of landscape heterogeneity including regional distributions of slope, rivers and streams, habitat and hydrological basins (drainages) impact genetic distance among populations of the endemic spotted reed frog (Hyperolius substriatus), identifying corridors of connectivity as well as barriers to dispersal. Results show that genetic distance among populations is most strongly correlated to regional and local hydrologic structure and the distribution of suitable habitat corridors, not isolation by distance. Contrary to expectations, phylogeographic structure is not coincident with the two montane systems, but instead corresponds to the split between the region's two major hydrological basins (Zambezi and East Central Coastal). This results in a paraphyletic relationship for the Malawian Highlands populations with respect to the Eastern Arc Mountains and implies that the northern Malawian Highlands are the diversity centre for H. substriatus. Although the Malawian Highlands collectively hold the greatest genetic diversity, individual populations have lower diversity than their Eastern Arc counterparts, with an overall pattern of decreasing population diversity from north to south. Through the study of intraspecific differentiation across a mosaic of ecosystem and geographic heterogeneity, we gain insight into the processes of diversification and a broader understanding of the role of landscape in evolution.","This work investigates how characteristics of landscape heterogeneity including regional distributions of slope, rivers and streams, habitat and hydrological basins (drainages) impact genetic distance among populations of the endemic spotted reed frog (Hyperolius substriatus), identifying corridors of connectivity as well as barriers to dispersal."
"Pan African phylogeography and palaeodistribution of rousettine fruit bats: Ecogeographic correlation with Pleistocene climate vegetation cycles","https://scispace.com/paper/pan-african-phylogeography-and-palaeodistribution-of-2yc6uv2a7v","2019","Journal Article","Journal of Biogeography","Tereza Stribna
Dušan Romportl
Jan Demjanovič
Anna Vogeler
Marco Tschapka
Marco Tschapka
Petr Benda
Petr Benda
Ivan Horáček
Javier Juste
Steven M. Goodman
Pavel Hulva
Pavel Hulva","10.1111/JBI.13651","","AIM: The impact of Pleistocene climatic oscillations on tropical biomes is associated with changes in the extent of forest cover. Fruit bats have played a role in woodland dynamics via pollination and seed dispersal. We hypothesized that phylogeographic patterns of Rousettus on continental Africa and adjacent islands should show a signature of pluvial‐drought cycles, involving demographic expansions and contractions. LOCATION: Afrotropical, Malagasy and Saharo‐Arabian biogeographic realms. TAXON: Genus Rousettus (Pteropodidae). METHODS: Phylogeographic and population genetic approaches using mitochondrial and microsatellite data were integrated with species distribution modelling of currently suitable habitats and those of the Last Glacial Maximum using climate simulations. RESULTS: Phylogenetic reconstruction yielded an Asian outgroup followed by pectinate branching of the Indian Ocean taxa and Rousettus aegyptiacus. While nuclear microsatellites were homogeneous across the African mainland, two mitochondrial haplogroups were found. Haplogroup I is widespread in regions with extensive tree cover, including tropical rain forests, and has close relationships to isolated lineages in the Middle East and islands in the Gulf of Guinea. Haplogroup II is sister to the rest of the R. aegyptiacus radiation and is found in eastern and southern Africa and the Sudanian savanna in habitats with semi‐open land cover. MAIN CONCLUSION: Palaeodistributional modelling ascertained that the Indian Ocean islands provided more extensive areas of suitable habitat in the past relative to conditions today, suggesting stepping stone connectivity between Asia and Africa during Pleistocene interpluvial sea‐level lowstands. Inverse pluvial‐drought demography was detected in lineages ancestral to recent haplogroups, providing evidence of past forest refugia and complex ecogeographic scenarios of haplogroup origins involving allopatry and parapatry connected with the eastern Afromontane biodiversity hotspot, and subsequent admixture of nuclear gene pools. The Middle Eastern lineage probably originated during pluvial green Sahara periods, possibly in co‐evolution with ancestors of tree crop species domesticated later during the Neolithic revolution. The keystone role of rousettine bats for forest regeneration and their ability to pioneer dry and distant habitats emphasize their role in conservation biology and restoration ecology.","Palaeodistributional modelling ascertained that the Indian Ocean islands provided more extensive areas of suitable habitat in the past relative to conditions today, suggesting stepping stone connectivity between Asia and Africa during Pleistocene interpluvial sea‐level lowstands."
"Sequential Fragmentation of Pleistocene Forests in an East Africa Biodiversity Hotspot: Chameleons as a Model to Track Forest History","https://scispace.com/paper/sequential-fragmentation-of-pleistocene-forests-in-an-east-58uvqhpw2t","2011","Journal Article","PLOS ONE","G. John Measey
Krystal A. Tolley","10.1371/JOURNAL.PONE.0026606","https://scispace.com/pdf/sequential-fragmentation-of-pleistocene-forests-in-an-east-58uvqhpw2t.pdf","Background: The Eastern Arc Mountains (EAM) is an example of naturally fragmented tropical forests, which contain one of the highest known concentrations of endemic plants and vertebrates. Numerous paleo-climatic studies have not provided direct evidence for ancient presence of Pleistocene forests, particularly in the regions in which savannah presently occurs. Knowledge of the last period when forests connected EAM would provide a sound basis for hypothesis testing of vicariance and dispersal models of speciation. Dated phylogenies have revealed complex patterns throughout EAM, so we investigated divergence times of forest fauna on four montane isolates in close proximity to determine whether forest break-up was most likely to have been simultaneous or sequential, using population genetics of a forest restricted arboreal chameleon, Kinyongia boehmei. Methodology/Principal Findings: We used mitochondrial and nuclear genetic sequence data and mutation rates from a fossil-calibrated phylogeny to estimate divergence times between montane isolates using a coalescent approach. We found that chameleons on all mountains are most likely to have diverged sequentially within the Pleistocene from 0.93–0.59 Ma (95% HPD 0.22–1.84 Ma). In addition, post-hoc tests on chameleons on the largest montane isolate suggest a population expansion ,182 Ka. Conclusions/Significance: Sequential divergence is most likely to have occurred after the last of three wet periods within the arid Plio-Pleistocene era, but was not correlated with inter-montane distance. We speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region’s historic dispersal events. The population expansion coincides with nearby volcanic activity, which may also explain the relative paucity of the Taita’s endemic fauna. Our study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma.","This study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma, and speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region's historic dispersal events."
"From Pleistocene Corridors to Isolated Peaks and Back: Biogeography of <i>Afrocarduus</i> (Compositae) in the Afromontane Archipelago","https://scispace.com/paper/from-pleistocene-corridors-to-isolated-peaks-and-back-bu6z4vncqvps","2025","Journal Article","Journal of Biogeography","Lucía D. Moreyra
Cristina Roquet
Alfonso Susanna
Siri Birkeland
Carme Blanco‐Gavaldà
Christian Brochmann
Desalegn Chala
Mercè Galbany‐Casals
Abel Gizaw
Juan Antonio Calleja","10.1111/jbi.70045","","ABSTRACT Aim We investigated the biogeographic history and diversification dynamics of Afrocarduus , an Afromontane–Afroalpine genus endemic to eastern Africa. We aimed to assess the roles of geographic isolation, habitat transitions, and ecological speciation in shaping current diversity. Location The Afromontane and Afroalpine regions of East Africa and Ethiopia are situated along the Great Rift Valley system. Taxon Afrocarduus (Compositae: Carduinae), a genus comprising 18 endemic species. Methods We conducted a comprehensive taxonomic and geographic sampling of Afrocarduus , generating data from 489 nuclear loci. Phylogenomic and biogeographic ancestral estimation analyses were performed to infer the evolutionary history and historical biogeography of the genus. Results Afrocarduus originated in the Afromontane zone of eastern Africa during the Late Miocene (~10.7 Ma), with major diversification events occurring in the Early Pleistocene (~2.3 Ma). Most dispersal events occurred between neighbouring massifs, though occasional long‐distance dispersal between disjunct mountain systems was detected. The Turkana Depression and the Great Rift Valley have acted as major biogeographic barriers. Phylogenetic structure shows distinct clades occupying different regions. Ecological divergence between Afromontane and Afroalpine environments contributed to speciation, with at least six independent adaptations to Afroalpine conditions and multiple cases of ecological reversal. Stem loss, a trait associated with alpine habitats, evolved convergently in two clades. Closely related species often segregate by elevation or microhabitat within the same massif. Main Conclusions The diversification of Afrocarduus has been shaped by a combination of historical climate change, geographic isolation, and ecological adaptation. Our results emphasise the importance of ecological speciation and habitat transitions in Afrotemperate plant evolution and highlight the need for further research on understudied Afromontane taxa, especially under the threat of ongoing climate change. ","This study investigates the biogeographic history of Afrocarduus, an eastern African genus, revealing Late Miocene origins, Early Pleistocene diversification, and ecological speciation driven by habitat transitions and geographic isolation."
"A long‐standing Pleistocene refugium in southern Africa and a mosaic of refugia in East Africa: insights from mtDNA and the common eland antelope","https://scispace.com/paper/a-long-standing-pleistocene-refugium-in-southern-africa-and-1gcxaw1w9u","2010","Journal Article","Journal of Biogeography","Eline D. Lorenzen
Charles Masembe
Peter Arctander
Hans R. Siegismund","10.1111/J.1365-2699.2009.02207.X","","Aim Previous genetic studies of African savanna ungulates have indicated Pleistocene refugial areas in East and southern Africa, and recent palynological, palaeovegetation and fossil studies have suggested the presence of a long-standing refugium in the south and a mosaic of refugia in the east. Phylogeographic analysis of the common eland antelope, Taurotragus oryx (Bovidae), was used to assess these hypotheses and the existence of genetic signatures of Pleistocene climate change.



Location  The sub-Saharan savanna biome of East and southern Africa.



Methods  Mitochondrial DNA control-region fragments (414 bp) from 122 individuals of common eland were analysed to elucidate the phylogeography, genetic diversity, spatial population structuring, historical migration and demographic history of the species. The phylogeographic split among major genetic lineages was dated using Bayesian coalescent-based methods and a calibrated fossil root of 1.6 Ma for the split between the common eland and the giant eland, Taurotragus derbianus.



Results  Two major phylogeographic lineages comprising East and southern African localities, respectively, were separated by a net nucleotide distance of 4.7%. A third intermediate lineage comprised only three haplotypes, from Zimbabwe in southern Africa. The estimated mutation rate of 0.097 Myr−1 revealed a more recent common ancestor for the eastern lineage (0.21 Ma; 0.07–0.37) than for the southern lineage (0.35 Ma; 0.10–0.62). Compared with the latter, the eastern lineage showed pronounced geographic structuring, lower overall nucleotide diversity, higher population differentiation, and isolation-by-distance among populations.



Main conclusions  The data support the hypothesis of Pleistocene refugia occurring in East and southern Africa. In agreement with palynological, palaeovegetation and fossil studies, our data strongly support the presence of a longer-standing population in the south and a mosaic of Pleistocene refugia in the east, verifying the efficacy of genetic tools in addressing such questions. The more recent origin of the common eland inhabiting East Africa could result from colonization following extinction from the region. Only two other dated African ungulate phylogenies have been published, applying different methods, and the similarity of dates obtained from the three distinct approaches indicates a significant event c. 200 ka, which left a strong genetic signature across a range of ungulate taxa.","The data strongly support the hypothesis of Pleistocene refugia occurring in East and southern Africa, and the more recent origin of the common eland inhabiting East Africa could result from colonization following extinction from the region."
