"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Speciation in the Lesser Galagos","https://scispace.com/paper/speciation-in-the-lesser-galagos-3wowd1av9o","1998","Journal Article","Folia Primatologica","Judith C. Masters","10.1159/000052724","","Species and their origins remain one of the outstanding enigmas of evolutionary biology. Many different views of the problem exist, but few have concrete predictions that open the problem to investigation. This study formalises predictions arising from the Recognition Concept of species (RC) and the Organization Theory of Speciation (OTS), and applies them to the pattern demonstrated by the lesser galago radiation. The RC and OTS are in agreement that one of the primary adaptive responses during animal speciation events involves the system of sexual recognition and reproduction, and indeed the lesser galago taxa show significant divergences in their communication systems relating to specific-mate recognition. On the other hand, only the RC predicts a concomitant adaptive response to the ecological conditions prevailing during speciation, and there are strong indications of shifts in habitat preference among these taxa. The predictions of the RC are supported above those of the OTS.","This study formalises predictions arising from the Recognition Concept of species (RC) and the Organization Theory of Speciation (OTS), and applies them to the pattern demonstrated by the lesser galago radiation."
"Galago nyasae Elliot 1907","https://scispace.com/paper/galago-nyasae-elliot-1907-s9p3qr2g3jib","2024","Repository","","Wilson, Don E.
Reeder, DeeAnn","10.5281/zenodo.11337856","","Galago nyasae Elliot 1907 Galago nyasae Elliot 1907, Ann. Mag. Nat. Hist., ser. 7, 20: 188. Type Locality: Mozambique, mountains south of Lake Malawi. Vernacular Names: Malawi Bushbaby. Distribution: S Malawi and neighbouring region of Mozambique. Conservation: CITES – Appendix II. Discussion: G. zanzibaricus species group. An undescribed taxon occurs on Mt. Cholo, Malawi; vocalizations of the ""Kalwe small"" galago (Bearder et al., 1995) may pertain to either of these (Groves, 2001 c:113). ",""
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene.","This study suggests that galagid evolution and diversification was affected by three major climatic episodes: the global cooling and forest contraction in the Early Oligocene, the forest expansion and the uplift of the African rifts in the Miocene, and the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
"Comparative penile morphology of East African galagos of the genus Galagoides (family Galagidae): implications for taxonomy.","https://scispace.com/paper/comparative-penile-morphology-of-east-african-galagos-of-the-ysn8n6vjbn","2007","Journal Article","American Journal of Primatology","Andrew Perkin","10.1002/AJP.20323","","Recent studies on the comparative penile morphology of galagos have revealed complex patterns that vary among both genera and species, and help with species identification So far the penile morphologies of 14 galago species have been described and an identification key has been proposed The present study extends and revises previous work Wild Galagoides cocos, G granti, G zanzibaricus and G rondoensis from the Eastern Arc Mountains and coastal forests of Tanzania and Kenya were live-trapped, and one species (G orinus) was examined using a museum specimen Penile morphology was photographed, traced, and described qualitatively All of the mature males had penile spines Spines were absent or indistinct in immature males of all of the species The penile morphologies of G cocos, G granti, and G zanzibaricus are similar in their overall distribution and type of spines, but differ in the shape of the glans penis Both G orinus and G rondoensis have divergent penile morphologies compared to all other galagos, and are probably phylogenetically distinct The results support other recent morphological and behavioral studies that consider these five galagos to be distinct species The evolution of the baculum and spines is thought to be linked to sexual selection in multimale mating systems, but the mechanisms involved are not entirely understood Adult male G rondoensis appear to display the penile spines by exposing the distal section of the penis Am J Primatol 68:16–26, 2007 © 2006 Wiley-Liss, Inc","In this article, the penile morphology of five different species of wild Galagoides (G cocos, G granti, G zanzibaricus, G rondoensis, and G orinus) was examined using a museum specimen and the results support other recent morphological and behavioral studies that consider these five species to be distinct species."
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex.","https://scispace.com/paper/cryptic-diversity-and-species-boundaries-within-the-35mpmiaq7i","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/J.YMPEV.2020.106887","","","This study explores species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods and concludes that these three lineages represent valid cryptic species."
"Taxonomy, Distribution, and Conservation Status of Three Species of Dwarf Galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew Perkin
Simon K. Bearder
Paul Honess","10.1896/0898-6207.21.1.63","","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets","The authors reviewed the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon."
"A survey of nocturnal primates in Malawi - August 2009","https://scispace.com/paper/a-survey-of-nocturnal-primates-in-malawi-august-2009-4c7429ib93","2009","","","Simon K. Bearder
Johan Karlsson","","","We conducted 75 hours of nocturnal surveys in the rainforests of Malawi from 30 July to 23 August 2009 in three regions: Mount Mulanje, in the south; Nkhata Bay, on the lake-shore; and in the Misuku Hills, in the far north. We identified four different kinds of bushbaby (galagos) on the basis of their different calls and pelage colouration: Otolemur crassicaudatus (in all areas); Galagoides granti (Southern Malawi); Galagoides sp. nov. 1 (near Nkahata Bay); and Galagoides orinus /Galagoides sp. nov. 3 (Mughese Forest, Misuku). We noted the position, height and behaviour of each animal seen during night surveys using torch light and a handheld GPS-unit. We collected over 10 hours of tape recordings of galago calls, 4 hours of video recordings and many photographs of the animals and their habitats to aid a more detailed analysis and assessment of conservation priorities for the severely threatened, yet unique forest areas that remain in Malawi. The complete destruction of the Kalwe Forest Reserve, the last remaining easily accessible forest of its kind in Malawi and a national treasure, is particularly alarming.","In this paper, the authors conducted 75 hours of nocturnal surveys in the rainforests of Malawi from 30 July to 23 August 2009 in three regions: Mount Mulanje, in the south; Nkhata Bay, on the lake-shore; and in the Misuku Hills, in far north."
"Galago granti Thomas and Wroughton 1907","https://scispace.com/paper/galago-granti-thomas-and-wroughton-1907-aci7r4epq8ei","2022","Repository","","Honacki, James H.
Kinman, Kenneth E.","10.5281/zenodo.7210177","","<i>Galago granti</i> Thomas and Wroughton, 1907. Proc. Zool. Soc. Lond., 1907:286. TYPE LOCALITY: Mozambique, Inhambane, Coguno. DISTRIBUTION: Mozambique; Malawi; E. Zimbabwe. COMMENT: Formerly included in <i>senegalensis;</i> see Smithers and Wilson, 1979, Mus. Mem. Nat. Mus. Rhodesia, p. 1 -193. PROTECTED STATUS: CITES - Appendix II as Order Primates. ",""
"Morphological Correlates of Speciation in Bush Babies","https://scispace.com/paper/morphological-correlates-of-speciation-in-bush-babies-3j0t6aexdo","2000","Journal Article","International Journal of Primatology","Judith C. Masters
Nigel P. Bragg","10.1023/A:1005590524932","","Morphology is not a reliable specific indicator in nocturnal animals. Nevertheless, because species are genetically independent, appropriate analytic methods should reveal subtle and consistent morphological differences among them. Until recently, the diversity of living bush babies was underrated, and new species have been recognized on the basis of genetic, behavioral and soft tissue data. This has placed museum curators in a quandary as to how to sort their skin and skull collections according to the new specific designations. We conducted multivariate analyses of 6 morphologically similar pairs of bush baby taxa: Otolemur crassicaudatus and O. garnettii; Galagoides demidoffand G. thomasi; Galago gallarumand G. senegalensis; G. moholi and G. senegalensis; Euoticus elegantulus and E. pallidus, and Galagoides zanzibaricus and G. granti. We also compared subspecies within the taxa Otolemur crassicaudatus, O. garnettii, Galagoides demidoff, and Galago senegalensis.
 Five out of six species pairs were discriminated with a high level of reliability (88.5–99%) on the basis of 2–5 morphological variables. Only Euoticus elegantulus and E. pallidus did not show this pattern. All strongly supported specific discriminations share two features: (a) ear length is a highly significant factor, while the involvement of other characters is variable; (b) the greater the reliability of the discrimination, the fewer variables necessary to effect it. Euoticus elegantulus and E. pallidus behaved more like subspecies in the discrimination, while Galago senegalensis sspp. showed a pattern of variation similar to that in the specific analyses.","This paper performed multivariate analyses of 6 morphologically similar pairs of bush baby taxa: Otolemur crassicaudatus and O. garnettii, Galagoides demidoff, and Galago senegalensis."
"A new galago species for South Africa (Primates: Strepsirhini: Galagidae)","https://scispace.com/paper/a-new-galago-species-for-south-africa-primates-strepsirhini-3g1xv05v6b","2016","Journal Article","African Zoology","Fabien Génin
Ayabulela Yokwana
Nokuthula Kom
Sébastien Couette
Thibault Dieuleveut
Stephen D. Nash
Judith C. Masters","10.1080/15627020.2016.1232602","","The primate fauna of South Africa has historically been viewed as comprising three diurnal cercopithecoid taxa — chacma baboons (Papio ursinus), vervet (Chlorocebus pygerythrus) and samango monkeys (Cercopithecus albogularis) — and two nocturnal lorisoid species — the thick-tailed greater galago (Otolemur crassicaudatus) and the southern lesser galago (Galago moholi). Here we report the positive identification of a third galago species within South Africa's borders: the Mozambique dwarf galago or Grant's galago, Galagoides granti (Thomas and Wroughton, 1907). The taxon was previously held to be restricted to Mozambique, eastern Zimbabwe, Malawi and Tanzania, but we have also observed it in the sand forest of Tembe Elephant Park and the Tshanini Community Reserve, near the Mozambique border. The species was formerly mistaken for Galago moholi, erroneously (we believe) extending the range of the latter species into northern KwaZulu-Natal. In South Africa the two small galagos are unlikely to have overlappin...","In this article, the authors reported the positive identification of a third Galago species within South Africa's borders: the Mozambique dwarf Galago or Grant's Galago, Galagoides granti (Thomas and Wroughton, 1907)."
