"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Late Quaternary Montane Forest Dynamics From Equatorial East Africa: A Biome Perspective","https://scispace.com/paper/late-quaternary-montane-forest-dynamics-from-equatorial-east-8x3nbr5rocmp","2025","Journal Article","Journal of Biogeography","Esther Githumbi
Jemma M. Finch
Rahab Kinyanjui
Colin Courtney‐Mustaphi
Paul Musili
Stephen M. Rucina
Julius Lejju
Peter Liljenberg
Rob Marchant","10.1111/jbi.15173","","Understanding environmental change over large spatial and temporal scales requires working at a broad ecological scale to enable cross‐site comparisons. This allows data‐based comparisons to dynamic vegetation model outputs, with utility for climate and land cover modelling. We synthesise multisite pollen data at the biome level to understand Equatorial Afromontane ecosystem response to climate change over the last 50,000 years and quantitatively document the timing, character and spatial patterns of ecosystem transitions.","This study synthesizes multisite pollen data to understand Equatorial Afromontane ecosystem responses to climate change over 50,000 years, enabling cross-site comparisons and informing climate and land cover modeling at a broad ecological scale."
"A tale of the nearly tail‐less: the effects of Plio‐Pleistocene climate change on the diversification of the African avian genus Sylvietta","https://scispace.com/paper/a-tale-of-the-nearly-tail-less-the-effects-of-plio-aqkmzgvdts","2017","Journal Article","Zoologica Scripta","Jerry W. Huntley
Gary Voelker","10.1111/ZSC.12240","","Sylvietta is a broadly distributed group of African species inhabiting a wide range of habitats and presents an interesting opportunity to investigate the historic mechanisms that have impacted the biogeography of African avian species. We collected sequence data from 50 individuals and used model-based phylogenetic methods, molecular divergence estimates and ancestral area estimates to construct a time-calibrated phylogeny and estimation of biogeographic history. We estimate a southern African origin for Sylvietta, with an initial divergence splitting the genus into two clades. The first consists of arid-adapted species, with a southern African origin and subsequent diversification north into Ethiopia–Somalia. The second clade is estimated as having a Congolian forest origin with an eastward pattern of colonization and diversification as a result of Plio-Pleistocene forest dynamics. Additionally, two members of the genus Sylvietta display interesting patterns of intraspecific diversification. Sylvietta rufescens is an arid-adapted species inhabiting southern Africa, and we recover two subclades with a divergence dating to the Pleistocene, a unique pattern for avian species which may be explained via isolation in arid habitat fragments in the early Pleistocene. Second, Sylvietta virens, a species endemic to Afro-tropical forests, is recovered with geographically structured genetic diversification across its broad range, an interesting result given that recent investigations of several avian forest species have found similar and substantial geographically structured genetic diversity relating to Plio-Pleistocene forest fragmentation. Overall, Plio-Pleistocene habitat cycling played a significant role in driving diversification in Sylvietta, and this investigation highlights the substantial impact of climate-driven habitat dynamics on the history of sub-Saharan species.","Overall, Plio‐Pleistocene habitat cycling played a significant role in driving diversification in Sylvietta, and this investigation highlights the substantial impact of climate‐driven habitat dynamics on the history of sub‐Saharan species."
"From Pleistocene Corridors to Isolated Peaks and Back: Biogeography of <i>Afrocarduus</i> (Compositae) in the Afromontane Archipelago","https://scispace.com/paper/from-pleistocene-corridors-to-isolated-peaks-and-back-bu6z4vncqvps","2025","Journal Article","Journal of Biogeography","Lucía D. Moreyra
Cristina Roquet
Alfonso Susanna
Siri Birkeland
Carme Blanco‐Gavaldà
Christian Brochmann
Desalegn Chala
Mercè Galbany‐Casals
Abel Gizaw
Juan Antonio Calleja","10.1111/jbi.70045","","ABSTRACT Aim We investigated the biogeographic history and diversification dynamics of Afrocarduus , an Afromontane–Afroalpine genus endemic to eastern Africa. We aimed to assess the roles of geographic isolation, habitat transitions, and ecological speciation in shaping current diversity. Location The Afromontane and Afroalpine regions of East Africa and Ethiopia are situated along the Great Rift Valley system. Taxon Afrocarduus (Compositae: Carduinae), a genus comprising 18 endemic species. Methods We conducted a comprehensive taxonomic and geographic sampling of Afrocarduus , generating data from 489 nuclear loci. Phylogenomic and biogeographic ancestral estimation analyses were performed to infer the evolutionary history and historical biogeography of the genus. Results Afrocarduus originated in the Afromontane zone of eastern Africa during the Late Miocene (~10.7 Ma), with major diversification events occurring in the Early Pleistocene (~2.3 Ma). Most dispersal events occurred between neighbouring massifs, though occasional long‐distance dispersal between disjunct mountain systems was detected. The Turkana Depression and the Great Rift Valley have acted as major biogeographic barriers. Phylogenetic structure shows distinct clades occupying different regions. Ecological divergence between Afromontane and Afroalpine environments contributed to speciation, with at least six independent adaptations to Afroalpine conditions and multiple cases of ecological reversal. Stem loss, a trait associated with alpine habitats, evolved convergently in two clades. Closely related species often segregate by elevation or microhabitat within the same massif. Main Conclusions The diversification of Afrocarduus has been shaped by a combination of historical climate change, geographic isolation, and ecological adaptation. Our results emphasise the importance of ecological speciation and habitat transitions in Afrotemperate plant evolution and highlight the need for further research on understudied Afromontane taxa, especially under the threat of ongoing climate change. ","This study investigates the biogeographic history of Afrocarduus, an eastern African genus, revealing Late Miocene origins, Early Pleistocene diversification, and ecological speciation driven by habitat transitions and geographic isolation."
"Biogeographic patterns of the East African coastal forest vertebrate fauna","https://scispace.com/paper/biogeographic-patterns-of-the-east-african-coastal-forest-33hd3t8cvx","2007","Journal Article","Biodiversity and Conservation","Ermias T. Azeria
Ermias T. Azeria
Isabel Sanmartín
Stefan Ås
Allan Carlson
Neil D. Burgess","10.1007/S10531-006-9022-0","","The archipelago-like coastal forest of East Africa is one of the highest priority ecosystems for biodiversity conservation worldwide. Here we investigate patterns of species richness and biogeographic distribution among birds, mammals and reptiles of these forests, using distribution data obtained from recently published reviews and information collated by the WWF Eastern Africa Coastal Forest Ecoregion Programme. Birds and mammals species were divided into forest specialists and generalists, and forest specialist reptiles into ‘coastal’ and ‘forest’ endemics. The species richness of birds and generalist mammals increased with area, and is probably a result of area-dependent extinction. Only in birds, however, species richness increased with decreasing isolation, suggesting possible isolation-dependent colonization. Forest diversity, associated to altitudinal range, is important for specialist birds and mammals, whose species richness increased with wider altitudinal range. The number of relict coastal endemic and forest endemic reptiles was higher in forests with wider altitudinal ranges and on relatively higher altitude, respectively. Such forests have probably provided a suitable (and perhaps stable) environment for these species through time, thus increasing their persistence. Parsimony analysis of distributions (PAD) and cluster analyses showed geographical distance and general ecological similarity among forests as a determinant factor in bird distribution patterns, with compositional similarity decreasing with increasing inter-forest distance. Compositional similarity patterns of mammals among the forests did not show a strong geographical correspondence or a significant correlation with inter-forest distance, and those of reptiles were not resolved, with very low similarity levels among forest faunas. Our results suggest that the relative importance (and causal relationship) of forest attributes affecting the distribution of the East African coastal forest vertebrate fauna varies depending on life history traits such as dispersal ability and forest specialization. The groupings in PAD are partly congruent with some of the previous classifications of areas of endemism for this region, supporting the ‘naturalness’ of these regions.","The results suggest that the relative importance (and causal relationship) of forest attributes affecting the distribution of the East African coastal forest vertebrate fauna varies depending on life history traits such as dispersal ability and forest specialization."
"Diversification of African greenbuls in space and time: linking ecological and historical processes","https://scispace.com/paper/diversification-of-african-greenbuls-in-space-and-time-t061pz2kgd","2007","Journal Article","Journal of Ornithology","Jon Fjeldså
Ulf S. Johansson
L. G. Sampath Lokugalappatti
Rauri C. K. Bowie
Rauri C. K. Bowie","10.1007/S10336-007-0179-4","","The process of diversification of African forest birds since the upper Tertiary can be illustrated by linking together a well-resolved phylogeny and species distribution for the 65 species of African greenbuls (Pycnonotidae, exculsive bulbuls). The geographical pattern of species richness and of branch-length sums resembles the general forest biodiversity pattern, with richness peaks corresponding to postulated Pleistocene forest refuges. However, closer examination reveals that this is caused by the disproportionately high contribution of data points representing old and widespread species. Most of the recently evolved species have tiny geographical ranges, mostly in the montane areas, and therefore contribute little to the overall picture. It is suggested that speciation may generally take place in topographically well-structured areas but that species distributions are gradually shifted towards productive lowland areas as a consequence of long-term range dynamics.","It is suggested that speciation may generally take place in topographically well-structured areas but that species distributions are gradually shifted towards productive lowland areas as a consequence of long-term range dynamics."
"At the crossroads of two biodiversity hotspots : the biogeographic patterns of Shimba Hills, Kenya","https://scispace.com/paper/at-the-crossroads-of-two-biodiversity-hotspots-the-55qbjg87rl","2017","Dissertation","","Beryl A. Bwong","10.5451/UNIBAS-006767203","","At the crossroads of two biodiversity hotspots; the biogeographic patterns of Shimba Hills, Kenya
Beryl A. Bwong
The Shimba Hills of Kenya (SHK) is geographically located at the cross roads of two major biodiversity hotspots; the Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region, specifically the neighbouring Eastern Arc Mountains (EAM). Results from old and recent collections of its flora and fauna indicate that Shimba Hills harbour species associated with EAM and CFEA as well as taxa that have affinity with West African Guineo-Congolian forest. However, the link between SHK and these biodiversity hotspots has never been tested appropriately using phylogenetic approaches. Using 16S mtDNA, demographic analysis and species distribution modelling, I sought to understand the phylogeographic affiliation of Shimba Hills with the neighbouring CFEA and EAM using its amphibian assemblage. Three main questions were explored, namely: a) Which are the closest relatives of SHK amphibian populations? b) Do amphibian species currently occurring in SHK have similar phylogeographic patterns to each other? c) Which historical processes, if any, account for the observed patterns of genetic diversity? I found that SHK and indeed the entire study area have a complex biogeographic history and no single pattern can explain the current amphibian assemblage in the area. Shimba Hills are more closely affiliated to the CFEA than to the EAM. Two previously undocumented putative phylogeographic breaks are recovered from the study area; one from the Kenya north coast and another in the Tanga region in Tanzania. Historical habitat stability and connectivity appear to play a significant role in species diversification in the area. Additionally, I also report on some fundamental findings on Shimba Hills amphibians during this study; Using a combination of molecular, morphological, spatial and bioacoustics methods the taxonomic status of the only endemic amphibian from Shimba Hills, Hyperolius rubrovermiculatus, is confirmed and description of a new species from the north eastern Tanzania is proposed. Secondly the taxonomic status of a Callulina rediscovered in Shimba Hills after 50 years is confirmed and I also propose the description of three new species of Callulina from the neighbouring Eastern Arc Mountains in Tanzania. Finally, I took the opportunity to compile the first ever annotated checklist of amphibians of Shimba Hills National Reserve where a new country record for the Ribbon Caecilian (Scolecomorphus vittatus) and other interesting discoveries are discussed. The reserve plus the entire SHK area contains the highest number of amphibian diversity for any known locality in Kenya. Therefore its continued conservation will ensure about 30% of Kenya’s amphibian species are preserved.

Key words: Coastal forests, Eastern Arc Mountains, Phylogeography, species distribution modelling, checklist, Amphibians.","Bwong et al. as discussed by the authors used 16S mtDNA, demographic analysis and species distribution modeling to understand the phylogenetic affiliation of Shimba Hills with the neighbouring Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region (EAM)."
"Cooling-induced expansions of Afromontane forests in the Horn of Africa since the Last Glacial Maximum","https://scispace.com/paper/cooling-induced-expansions-of-afromontane-forests-in-the-3nwqcasi","2023","Journal Article","Dental science reports","Manuel Casas-Gallego
Karen Hahn
Katharina Neumann
Sebsebe Demissew
Marco Schmidt
Stéphanie Bodin
Angela A Bruch","10.1038/s41598-023-37135-8","","Understanding the changing plant ecosystems that existed in East Africa over the past millennia is crucial for identifying links between habitats and past human adaptation and dispersal across the region. In the Horn of Africa, this task is hampered by the scarcity of fossil botanical data. Here we present modelled past vegetation distributions in Ethiopia from the Last Glacial Maximum (LGM) to present at high spatial and temporal resolution. The simulations show that, contrary to long-standing hypotheses, the area covered by Afromontane forests during the Late Glacial was significantly larger than at present. The combined effect of low temperatures and the relative rainfall contribution sourced from the Congo Basin and Indian Ocean, emerges as the mechanism that controlled the migration of Afromontane forests to lower elevations. This process may have enabled the development of continuous forest corridors connecting populations that are currently isolated in mountainous areas over the African continent. Starting with the Holocene, the expansion of forests began to reverse. This decline intensified over the second half of the Holocene leading to a retreat of the forests to higher elevations where they are restricted today. The simulations are consistent with proxy data derived from regional pollen records and provide a key environmental and conceptual framework for human environmental adaptation research. ","In this paper , the authors modelled past vegetation distributions in Ethiopia from the Last Glacial Maximum (LGM) to present at high spatial and temporal resolution, showing that the area covered by Afromontane forests during the Late Glacial was significantly larger than at present."
"Remarkable insights into processes shaping African tropical tree diversity","https://scispace.com/paper/remarkable-insights-into-processes-shaping-african-tropical-42pdzhsh20","2020","Journal Article","","Michael D. Pirie","10.24072/PCI.EVOLBIOL.100094","","A recommendation of: Andrew J. Helmstetter, Biowa E. N. Amoussou, Kevin Bethune, Narcisse G. Kandem, Romain Glele Kakai, Bonaventure Sonke, Thomas L. P. Couvreur Phylogenomic approaches reveal how a climatic inversion and glacial refugia shape patterns of diversity in an African rain forest tree species 10.1101/807727","In this article, a recommendation of Andrew J. Helmstetter, Biowa E. N. Amoussou, Kevin Bethune, Narcisse G. Kandem, Romain Glele Kakai, Bonaventure Sonke, Thomas L. P. Couvreur has been made."
"Broken bridges: The isolation of Kilimanjaro's ecosystem.","https://scispace.com/paper/broken-bridges-the-isolation-of-kilimanjaro-s-ecosystem-4hn6phu1ii","2018","Journal Article","Global Change Biology","Andreas Hemp
Claudia Hemp","10.1111/GCB.14078","","Biodiversity studies of global change mainly focus on direct impacts such as losses in species numbers or ecosystem functions. In this study, we focus on the long-term effects of recent land-cover conversion and subsequent ecological isolation of Kilimanjaro on biodiversity in a paleobiogeographical context, linking our findings with the long-standing question whether colonization of African mountains mainly depended on long-distance dispersal, or whether gradual migration has been possible through habitat bridges under colder climates. For this, we used Orthoptera as bioindicators, whose patterns of endemism and habitat demands we studied on about 500 vegetation plots on Kilimanjaro and Mt. Meru (Tanzania) since 1996. Land-cover changes in the same area were revealed using a supervised classification of Landsat images from 1976 to 2000. In 1976, there was a corridor of submontane forest vegetation linking Kilimanjaro with Mt. Meru, replaced by human settlements and agriculture after 2000. Until recently, this submontane forest bridge facilitated the dispersal of forest animals, illustrated by the large number of endemic submontane forest Orthoptera shared by both mountains. Furthermore, the occurrence of common montane endemics suggests the existence of a former forest corridor with montane vegetation during much earlier times under climatic conditions 2-7°C cooler and 400-1,700 mm wetter than today. Based on the endemicity patterns of forest Orthoptera, negative consequences are predicted due to the effects of isolation, in particular for larger forest animals. Kilimanjaro is becoming an increasingly isolated ecosystem with far reaching consequences for diversity and endemism. Forest bridges between East African mountains acted as important migratory corridors and are not only a prehistoric phenomenon during periods with other climatic conditions but also disappeared in some places recently due to increasing and direct anthropogenic impact.","The long-term effects of recent land-cover conversion and subsequent ecological isolation of Kilimanjaro on biodiversity in a paleobiogeographical context is focused on, linking the findings with the long-standing question whether colonization of African mountains mainly depended on long-distance dispersal, or whether gradual migration has been possible through habitat bridges under colder climates."
"Forest refugia revisited: nSSRs and cpDNA sequences support historical isolation in a wide‐spread African tree with high colonization capacity, Milicia excelsa (Moraceae)","https://scispace.com/paper/forest-refugia-revisited-nssrs-and-cpdna-sequences-support-k6he0j5vau","2010","Journal Article","Molecular Ecology","Kasso Daïnou
Jean-Philippe Bizoux
Jean-Louis Doucet
Grégory Mahy
Olivier J. Hardy
Myriam Heuertz
Myriam Heuertz","10.1111/J.1365-294X.2010.04831.X","","The impact of the Pleistocene climate oscillations on the structure of biodiversity in tropical regions remains poorly understood. In this study, the forest refuge theory is examined at the molecular level in Milicia excelsa, a dioecious tree with a continuous range throughout tropical Africa. Eight nuclear microsatellites (nSSRs) and two sequences and one microsatellite from chloroplast DNA (cpDNA) showed a deep divide between samples from Benin and those from Lower Guinea. This suggests that these populations were isolated in separate geographical regions, probably for several glacial cycles of the Pleistocene, and that the nuclear gene pools were not homogenized despite M. excelsa’s wind-pollination syndrome. The divide could also be related to seed dispersal patterns, which should be largely determined by the migration behaviour of M. excelsa’s main seed disperser, the frugivorous bat Eidolon helvum. Within Lower Guinea, a north–south divide, observed with both marker types despite weak genetic structure (nSSRs: FST = 0.035, cpDNA: GST = 0.506), suggested the existence of separate Pleistocene refugia in Cameroon and the Gabon ⁄Congo region. We inferred a pollen-toseed dispersal distance ratio of c. 1.8, consistent with wide-ranging gene dispersal by both wind and bats. Simulations in an Approximate Bayesian Computation framework suggested low nSSR and cpDNA mutation rates, but imprecise estimates of other demographic parameters, probably due to a substantial gene flow between the Lower Guinean gene pools. The decline of genetic diversity detected in some Gabonese populations could be a consequence of the relatively recent establishment of a closed canopy forest, which could negatively affect M. excelsa’s reproductive system.","A deep divide between samples from Benin and those from Lower Guinea suggests that these populations were isolated in separate geographical regions, probably for several glacial cycles of the Pleistocene, and that the nuclear gene pools were not homogenized despite M. excelsa’s wind‐pollination syndrome."
