"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Fragmentation genetics of rainforest animals: insights from recent studies","https://scispace.com/paper/fragmentation-genetics-of-rainforest-animals-insights-from-1afd8lu662","2014","Journal Article","Conservation Genetics","Ute Radespiel
Michael William Bruford","10.1007/S10592-013-0550-3","","Habitat fragmentation is one of the most prominent effects of anthropogenic ecosystem degradation. However, despite the accumulating evidence that anthropogenic habitat fragmentation acts negatively on the dynamics and viability of many species, rainforest fragmentation can occur naturally. The need to disentangle ‘natural’ fragmentation processes from (often) very recent anthropogenic effects poses a methodological challenge in the field of conservation genetics. Additional challenges include sampling schemes that can generate false signals of population size changes or population genetic structure. Finally, limited analytical power often results from restricted sample sizes, numbers of markers, or their informativeness. We reviewed the available literature on the effects of habitat fragmentation in non-aquatic tropical animal species over the last 10 years to ask what has been learned as a result of the increasing attention paid to these methodological issues. Fifty-four studies contained relevant datasets on the question of fragmentation effects in 74 animal species. Primates (n = 18) and passerine birds (n = 17) contributed most species to the survey. Unambiguous signals of fragmentation effects were reported in 33.8 % of species, whereas the remaining species showed either equivocal (36.5 %) or no evidence (29.7 %) of fragmentation effects. Our review further reveals that uneven sampling cannot be ruled out as possible explanation for many of the reported genetic bottleneck signals and genetic structure effects. Based on the reviewed evidence, methodological (e.g. improving sampling schemes, multiple analytical approaches, added value of different markers) and conceptual recommendations offering a better understanding of general and species-specific evolutionary responses to fragmentation are formulated for future studies.","It is revealed that uneven sampling cannot be ruled out as possible explanation for many of the reported genetic bottleneck signals and genetic structure effects, and conceptual recommendations offering a better understanding of general and species-specific evolutionary responses to fragmentation are formulated for future studies."
"Role of Geographical Gaps in the Western Ghats in Shaping Intra- and Interspecific Genetic Diversity","https://scispace.com/paper/role-of-geographical-gaps-in-the-western-ghats-in-shaping-10a6pteqwk","2021","Journal Article","Journal of the Indian Institute of Science","Aritra Biswas
K. Praveen Karanth","10.1007/S41745-021-00241-5","","Gaps or wide valleys in mountain systems are of much interest to biogeographers and evolutionary biologists since they shape species distributions as well as inter- and intraspecific genetic diversity. The Western Ghats, a hill range that runs parallel to the west coast of India, is one of the biodiversity hotspots with the highest level of endemism in the Indian Subcontinent. This hill range is interrupted by at least three large valleys or gaps, namely Palghat, Shencottah and Goa Gaps. Here, we review studies undertaken in the last two decades that have looked at the role of these gaps in shaping inter and intraspecific genetic diversity in different taxa. Overall, our review suggests that the Palghat gap appears to be a major barrier for a range of taxonomic groups, followed by Shencottah and Goa Gaps to a lesser extent. These patterns are consistent with the depth and width of these gaps, as Palghat gap is the deepest and widest among these gaps. Importantly, all of these divergences across the gaps have occurred long after the formation of these gaps. Therefore, geology-mediated vicariance can be ruled out. Furthermore, in some groups, the ecology, life-history traits, historical biogeography of the taxa in question better explain their distributions.","The role of the Palghat gap in shaping inter-and intraspecific genetic diversity in different taxa has been studied in this paper, where the authors found that the Palaghat gap appears to be a major barrier for a range of taxonomic groups, followed by Shencottah and Goa gaps to a lesser extent."
"The roles of rivers and Pleistocene refugia in shaping genetic diversity in Praomys misonnei in tropical Africa","https://scispace.com/paper/the-roles-of-rivers-and-pleistocene-refugia-in-shaping-36q0l02ali","2011","Journal Article","Journal of Biogeography","Violaine Nicolas
Alain-Didier Missoup
Christiane Denys
J. C. Kerbis Peterhans
Pionus Katuala
Arnaud Couloux
Marc Colyn","10.1111/J.1365-2699.2010.02399.X","","Aim This study aims to elucidate the phylogeography of the murid rodent Praomys misonnei and to document whether or not rain forest refugia and rivers structure patterns of diversity within this species. Location Tropical Africa, from Ghana to Kenya. Methods Patterns of genetic structure and signatures of population history (cytochrome b gene) were assessed in a survey of 229 individuals from 54 localities. Using maximum likelihood, Bayesian, network and genetic structure analyses, we inferred intra-specific relationships and tested hypotheses for historical patterns of gene flow within P. misonnei. Results Our phylogenetic analyses reveal a strong phylogeographical structure. We identified four major geographical clades within P. misonnei: one clade in Ghana and Benin, a Nigerian clade, a West Central African clade and a Central and East African clade. Several subclades were identified within these four major clades. A signal of population expansion was detected in most clades or subclades. Coalescence within all of the major clades of P. misonnei occurred during the Middle Pleistocene and/or the beginning of Late Pleistocene. Main conclusions Our results suggest a role for both Pleistocene refugia and rivers in structuring genetic diversity in P. misonnei. This forest-dwelling rodent may have been isolated in a number of forest fragments during arid periods and expanded its range during wetter periods. Potential forest refugia may have been localized in Benin-Ghana, south-western Cameroon, southern Gabon, northern Gabon and eastern Democratic Republic of Congo-western Uganda. The Niger and/or the Cross Rivers, the Oubangui-Congo, Sanaga, Ogooue and/or Ivindo Rivers probably stopped the re-expansion of the species from relict areas.","This study aims to elucidate the phylogeography of the murid rodent Praomys misonnei and to document whether or not rain forest refugia and rivers structure patterns of diversity within this species are disturbed."
"Population Genetics in the Conservation of Cetaceans and Primates","https://scispace.com/paper/population-genetics-in-the-conservation-of-cetaceans-and-50l2jj7jk5","2014","Book Chapter","","Kimberly R. Andrews","10.1007/978-4-431-54523-1_15","","Understanding the factors driving spatial and temporal variation in genetic diversity in cetaceans and primates is crucial in directing conservation and management decisions for these taxa. Spatial variation in genetic diversity can be driven by geographic barriers to dispersal, such as rivers for primates or land masses for cetaceans. Spatial variation in diversity can also be driven by population size differences across habitat patches that vary in resource abundance, with smaller populations typically exhibiting lower genetic diversity than larger populations. However, cetaceans and primates often exhibit complex genetic structure that cannot be explained by simple geographic barriers or variation in habitat abundance. In many cases this complex structure is attributed to behavioral philopatry or social structure. Many cetaceans and primates exhibit philopatry to natal ranges or philopatry to particular habitat types, and many species also exhibit complex social structure features that can influence genetic structure, such as strong group stability and sex-biased dispersal. Finally, genetic diversity can vary temporally; genetic coalescent analyses indicate that diversity has declined in the recent past for several cetacean and primate species, often with evidence for population bottlenecks during times of historical anthropogenic impact, such as habitat fragmentation or whaling. The complexity of factors influencing genetic structure over space and time for cetacean and primate species illustrates that multidisciplinary studies are required to truly understand genetic structure for these species. These studies are becoming increasingly important as cetaceans and primates face severe anthropogenic threats around the world.","The complexity of factors influencing genetic structure over space and time for cetacean and primate species illustrates that multidisciplinary studies are required to truly understand genetic structure for these species."
"Neglected Quaternary legacy of biodiversity for the Mountains of Southwest China","https://scispace.com/paper/neglected-quaternary-legacy-of-biodiversity-for-the-4nl15k3ews","2020","Posted Content","bioRxiv","Tao Wan
Tao Wan
Tao Wan
Huateng Huang
Jamie R. Oaks
Xue-Long Jiang
L. Lacey Knowles","10.1101/2020.02.28.969089","","Mountains of Southwest China (MSWC) is a biodiversity hotspot with very unique and highly complex terrain. With the majority of studies focusing on the biogeographic consequences of massive mountain building, the Quaternary legacy of biodiversity for the MSWC has long been overlooked. Here, we took a comparative phylogeography approach to examine factors that shaped community-wide diversification. With data from 30 vertebrate species and the results reveal spatially concordant phylogeographic structure, indicating riverine barriers are an important proxy for illustrating phylogeographic history, and temporally clustered divergence events during severe glacial cycles. We conclude that the repeated glacial cycles and the heterogeneous montane environments have left a unique phylogeographic imprint in the MSWC. The orderly process of diversifications unravels profound implications for conservation and calls for further comparative phylogeographic investigations in this biodiversity hotspot.","It is concluded that the repeated glacial cycles are associated with temporal synchrony of divergence patterns that are themselves structured by the heterogeneity of the montane landscape has of the MSWC, and this orderly process of diversifications has profound implications for conservation."
"How monkeys see a forest: genetic variation and population genetic structure of two forest primates","https://scispace.com/paper/how-monkeys-see-a-forest-genetic-variation-and-population-1hfmaiyxfq","2015","Journal Article","Conservation Genetics","David N. M. Mbora
Mark A. McPeek","10.1007/S10592-014-0680-2","","The biological traits of different species usually predispose them to dissimilar levels of extinction risk. Accordingly, we analysed genetic variation and population genetic structure of two endangered forest monkeys to determine how they were influenced by habitat change. The Tana River red colobus and mangabey are of similar body size, are sympatric and endemic to forests in Kenya. The mangabey is frugivorous, terrestrial and exhibits female philopatry but the colobus is folivorous, arboreal and both sexes exhibit natal dispersal. We predicted that both species would have low genetic variation due to high genetic drift, and possible inbreeding, because their populations are relatively small and subdivided in forest fragments. Nevertheless, we expected the mangabeys to have a higher genetic variation because they have a larger population, and their higher vagility would enhance gene flow. Thus, we expected a stronger population genetic structure in the colobus because lower vagility would constrain dispersal and increase genetic differentiation. Finally, we expected both species to exhibit isolation by distance due to greater gene flow among populations in close geographic proximity. We genotyped 146 colobus and 76 mangabeys with nine microsatellite markers and found that both species had relatively high heterozygosities but low allelic richness. Furthermore, allelic richness, heterozygosity and genetic differentiation were all higher in the mangabey and only the mangabey exhibited isolation by distance. Taken together, our results suggest that species with divergent behavioral ecologies may exhibit differential vulnerabilities to genetic erosion due to habitat change.","Analysis of genetic variation and population genetic structure of two endangered forest monkeys to determine how they were influenced by habitat change suggests species with divergent behavioral ecologies may exhibit differential vulnerabilities to genetic erosion due to habitat change."
"Comparative Population Genomics of African Montane Forest Mammals Support Population Persistence across a Climatic Gradient and Quaternary Climatic Cycles","https://scispace.com/paper/comparative-population-genomics-of-african-montane-forest-5eulia38sv","2015","Journal Article","PLOS ONE","Terrence C. Demos
Terrence C. Demos
Julian C. Kerbis Peterhans
Julian C. Kerbis Peterhans
Tyler A. Joseph
John D. Robinson
John D. Robinson
Bernard Agwanda
Michael J. Hickerson
Michael J. Hickerson","10.1371/JOURNAL.PONE.0131800","","The Eastern Afromontane biodiversity hotspot (EABH) has the highest concentration of biodiversity in tropical Africa, yet few studies have investigated recent historical diversification processes in EABH lineages. Herein, we analyze restriction-site associated DNA-sequences (RAD-Seq) to study recent historical processes in co-distributed mouse (Hylomyscus) and shrew (Sylvisorex) species complexes, with an aim to better determine how historical paleoenvironmental processes might have contributed to the EABH’s high diversity. We analyzed complete SNP matrices of > 50,000 RAD loci to delineate populations, reconstruct the history of isolation and admixture, and discover geographic patterns of genetic partitioning. These analyses demonstrate that persistently unsuitable habitat may have isolated multiple populations distributed across montane habitat islands in the Itombwe Massif and Albertine Rift to the west as well as Mt Elgon and Kenyan Highlands to the east. We detected low genetic diversity in Kenyan Highland populations of both genera, consistent with smaller historical population sizes in this region. We additionally tested predictions that Albertine Rift populations are older and more persistently isolated compared to the Kenyan Highlands. Phylogenetic analyses support greater historical isolation among Albertine Rift populations of both shrews and mice compared to the Kenyan Highlands and suggest that there are genetically isolated populations from both focal genera in the Itombwe Massif, Democratic Republic of Congo. The Albertine Rift ecoregion has the highest mammalian tropical forest species richness per unit area on earth. Our results clearly support accelerating efforts to conserve this diversity.","Analysis of restriction-site associated DNA-sequences (RAD-Seq) to study recent historical processes in co-distributed mouse and shrew species complexes suggests that there are genetically isolated populations from both focal genera in the Itombwe Massif and Albertine Rift ecoregion, Democratic Republic of Congo."
"Population genetic structure of Grauer's Swamp Warbler Bradypterus graueri, an Albertine Rift endemic","https://scispace.com/paper/population-genetic-structure-of-grauer-s-swamp-warbler-42xi9s7hd6","2017","Journal Article","Ibis","Charles Kahindo
John M. Bates
Rauri C. K. Bowie","10.1111/IBI.12453","","The endangered warbler Bradypterus graueri is endemic to the Albertine Rift, where it is restricted to montane swamps above 1900 m across the region. We studied genetic structure among six populations sampled across the species’ distribution in northern Burundi, Rwanda, Uganda and the eastern Democratic Republic of Congo. A total of 2117 base pairs of mitochondrial data were sequenced. Phylogenetic analyses and network reconstruction of B. graueri haplotypes recovered three clades with a defined geographical pattern: clade 1, Virunga Volcanoes and Kigezi Highlands; clade 2, Rugege Highlands; and clade 3, Kahuzi-Biega Highlands; clades 2 and 3 are sisters to each other. Both landscape dynamics and historical climate are likely to have played a role in the diversification of this species. The divergence between clade 1 and clades 2 and 3 (168.5 Ka, 95% HPD 108.5, 244.4) coincides with a prolonged period of aridity in tropical Africa between 130-270 Ka. Similarly, the divergence between clades 2 and 3 (99.4 Ka, 95% HPD 55.4, 153.8) corresponds with a period of aridity just prior to 94 Ka. Populations sampled from the eastern arm of the central Albertine Rift (Kigezi and Rugege Highlands) show a coincident increase in effective population size after the Last Glacial Maximum at c. 15 Ka, whereas those sampled from Kahuzi-Biega on the western arm of the rift do not. Despite the perceived higher vagility of bird species relative to other vertebrates, the degree of phylogeographic structure among populations of B. graueri is similar to that reported for small mammals (Hylomyscus vulcanorum, Lophuromys woosnami, Sylvisorex vulcanorum) and a frog Hyperolius castaneus sampled across the central Albertine Rift. Collectively our results suggest that climate dynamics associated with late-Pleistocene cycles had a significant influence on driving the population genetic structure and associated levels of genetic diversity in B. graueri and other small terrestrial vertebrates. Our results have implications for the conservation of B. graueri and other endemics to the Albertine Rift, particularly in the context of other phylogegeographic studies centered on this biodiversity hotspot.

This article is protected by copyright. All rights reserved.","It is suggested that climate dynamics associated with late-Pleistocene cycles had a significant influence on driving the population genetic structure and associated levels of genetic diversity in B. graueri and other small terrestrial vertebrates."
"Riverine barrier effects on population genetic structure of the Hanuman langur (Semnopithecus entellus) in the Nepal Himalaya.","https://scispace.com/paper/riverine-barrier-effects-on-population-genetic-structure-of-1bbrpa1kdj","2018","Journal Article","BMC Evolutionary Biology","Laxman Khanal
Laxman Khanal
Laxman Khanal
Mukesh Kumar Chalise
Tao Wan
Xue-Long Jiang
Xue-Long Jiang","10.1186/S12862-018-1280-4","","Past climatological events and contemporary geophysical barriers shape the distribution, population genetic structure, and evolutionary history of many organisms. The Himalayan region, frequently referred to as the third pole of the Earth, has experienced large-scale climatic oscillations in the past and bears unique geographic, topographic, and climatic areas. The influences of the Pleistocene climatic fluctuations and present-day geographical barriers such as rivers in shaping the demographic history and population genetic structure of organisms in the Nepal Himalaya have not yet been documented. Hence, we examined the effects of late-Quaternary glacial-interglacial cycles and riverine barriers on the genetic composition of Hanuman langurs (Semnopithecus entellus), a colobine primate with a wide range of altitudinal distribution across the Nepalese Himalaya, using the mitochondrial DNA control region (CR, 1090 bp) and cytochrome B (CYTB, 1140 bp) sequences combined with paleodistribution modeling. DNA sequences were successfully retrieved from 67 non-invasively collected fecal samples belonging to 18 wild Hanuman langur troops covering the entire distribution range of the species in Nepal. We identified 37 haplotypes from the concatenated CR + CYTB (2230 bp) sequences, with haplotype and nucleotide diversities of 0.958 ± 0.015 and 0.0237 ± 0.0008, respectively. The troops were clustered into six major clades corresponding to their river-isolated spatial distribution, with the significantly high genetic variation among these clades confirming the barrier effects of the snow-fed Himalayan rivers on genetic structuring. Analysis of demographic history projected a decrease in population size with the onset of the last glacial maximum (LGM); and, in accordance with the molecular analyses, paleodistribution modeling revealed a range shift in its suitable habitat downward/southward during the LGM. The complex genetic structure among the populations of central Nepal, and the stable optimal habitat through the last interglacial period to the present suggest that the central mid-hills of Nepal served as glacial refugia for the Hanuman langur. Hanuman langurs of the Nepal Himalaya region exhibit high genetic diversity, with their population genetic structure is strongly shaped by riverine barrier effects beyond isolation by distance; hence, this species demands detailed future phylogenetic study.","The complex genetic structure among the populations of central Nepal, and the stable optimal habitat through the last interglacial period to the present suggest that the central mid-hills of Nepal served as glacial refugia for the Hanuman langur."
"Comparative Phylogeography of Two Specialist Rodents in Forest Fragments in Kenya","https://scispace.com/paper/comparative-phylogeography-of-two-specialist-rodents-in-2mk21wgxc86j","2024","Journal Article","Reproductive and developmental Biology","Alois Wambua Mweu
Kenneth Otieno Onditi
Laxman Khanal
Simon Musila
Esther Kioko
Xuelong Jiang","10.3390/life14111469","","The fragmented forests of the Kenya highlands, known for their exceptional species richness and endemism, are among the world’s most important biodiversity hotspots. However, detailed studies on the fauna of these ecosystems—especially specialist species that depend on moist forests, which are particularly threatened by habitat fragmentation—are still limited. In this study, we used mitochondrial genes (cytochrome b and the displacement loop) and a nuclear marker (retinol-binding protein 3) to investigate genetic and morphological diversity, phylogenetic associations, historical divergence, population dynamics, and phylogeographic patterns in two rodent species—the soft-furred mouse (Praomys jacksoni) and the African wood mouse (Hylomyscus endorobae)—across Kenya’s forest landscapes. We found a complex genetic structure, with P. jacksoni exhibiting greater genetic diversity than H. endorobae. The Mt. Kenya P. jacksoni populations are significantly genetically different from those in southwestern forests (Mau Forest, Kakamega Forest, and Loita Hills). In contrast, H. endorobae presented no observable biogeographic structuring across its range. The genetic diversity and geographic structuring patterns highlighted selectively strong effects of forest fragmentation and differing species’ ecological and evolutionary responses to these landscape changes. Our findings further underscore the need for expanded sampling across Kenya’s highland forests to better understand species’ changing diversity and distribution patterns in response to the impacts of human-mediated habitat changes. These insights are critical for informing conservation strategies to preserve biodiversity better in this globally important region. ","This study investigates genetic and morphological diversity in two Kenyan forest rodent species, Praomys jacksoni and Hylomyscus endorobae, revealing complex genetic structures and differing responses to forest fragmentation, highlighting conservation implications for biodiversity preservation in Kenya's highland forests."
