"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Why do tropical mountains support exceptionally high biodiversity? The Eastern Arc mountains and the drivers of Saintpaulia diversity.","https://scispace.com/paper/why-do-tropical-mountains-support-exceptionally-high-aai603p0n5","2012","Journal Article","PLOS ONE","Dimitar Dimitrov
David Nogués-Bravo
Nikolaj Scharff","10.1371/JOURNAL.PONE.0048908","https://scispace.com/pdf/why-do-tropical-mountains-support-exceptionally-high-aai603p0n5.pdf","We combine information about the evolutionary history and distributional patterns of the genus Saintpaulia H. Wendl. (Gesneriaceae; 'African violets') to elucidate the factors and processes behind the accumulation of species in tropical montane areas of high biodiversity concentration. We find that high levels of biodiversity in the Eastern Arc Mountains are the result of pre-Quaternary speciation processes and environmental stability. Our results support the hypothesis that climatically stable mountaintops may have acted as climatic refugia for lowland lineages during the Pleistocene by preventing extinctions. In addition, we found evidence for the existence of lowland micro-refugia during the Pleistocene, which may explain the high species diversity of East African coastal forests. We discuss the conservation implications of the results in the context of future climate change.","chameleon's biogeographical history. In some cases differentiation among populations was attributed to fluctuations in forest extent during the Pleistocene, and -in concordance with the stability hypothesis -new lineages formed on the periphery of stable areas. Introduction:
 A better understanding of the biogeographic histories of Eastern Arc lineages is essential to explain how present diversity has been formed and maintained in this biodiversity hotspot over the recent geological time frame, and in the context of past climatic fluctuations. The Eastern Arc endemic plant genus Saintpaulia provides an ideal model to study the effects of ecosystem dynamics at high and low altitude on the diversity and distribution of tropical forest species in the Eastern Arc. A highland ancestry has been proposed for this genus ; however, due to the lack of a calibrated phylogeny, the timing of divergences among lineages could not be assessed. Burtt  recognized a total of 20 species of Saintpaulia as well as four varieties, but species delimitations have been questioned in two molecular studies . A recent revision of the genus reduced the number of species to six , all endemic to the Eastern Arc Mountains and coastal forests of Tanzania and Kenya. Two new species from the Uluguru Mountains, Tanzania, were recently described  elevating the number of species to eight. Most species of Saintpaulia are restricted to montane forests on a single mountain block, although S. shumensis B.L. Burtt occurs on two and S. pusilla Engl. on four mountain blocks. Only Saintpaulia ionantha H. Wendl. has a wider distribution over the altitudinal gradient, from coastal lowlands to montane forests. Saintpaulia has already attracted attention due to its high degree of endemism and commercial importance (several thousand cultivars originating from a few specimens of wild S. ionantha are sold under the common name of African Violet or Usambara Violet) . Introduction:
 Here we use historical biogeographical data for Saintpaulia in conjunction with distributional and environmental data to further our understanding about the role of past environmental variations on current diversity patterns in the region and the possible impacts of future changes of climate and habitats. We aim to reconcile species' phylogenetic and biogeographic histories with information on current environmental conditions to gain insights into the processes that have shaped present day distributional patterns and diversity."
"Cryptic diversity in Rhampholeon boulengeri (Sauria: Chamaeleonidae), a pygmy chameleon from the Albertine Rift biodiversity hotspot.","https://scispace.com/paper/cryptic-diversity-in-rhampholeon-boulengeri-sauria-1oxuw1bse3","2018","Journal Article","Molecular Phylogenetics and Evolution","Daniel F. Hughes
Krystal A. Tolley
Mathias Behangana
Wilber Lukwago
Michele Menegon
J. Maximilian Dehling
Jan Stipala
Colin R. Tilbury
Arshad M. Khan
Chifundera Kusamba
Eli Greenbaum","10.1016/J.YMPEV.2017.11.015","https://works.bepress.com/arshad_m_khan/25/download/","","Miocene around 18 Mya ( ± 5 Mya) (this study; . This period correlates with some of the initial uplift and subsequent drying of East Africa's climate , which caused the break-up of forest habitats between Central and East Africa. Historical biogeography:
 We found that the Miocene epoch was an important period for diversification of East African Rhampholeon species. In the Miocene, the environment of the AR was experiencing dramatic changes from both climatological and geological factors, which derive from arid conditions induced by a combination of reduced atmospheric CO 2 concentrations globally  and tectonic uplifts that altered climatic patterns in East Africa . Global cooling trends that began after the late Oligocene warming heightened during the Miocene, and these drops in temperature altered precipitation patterns , which increased aridity across the African continent . A global cooling trend in the Miocene is evident from sedimentation records , and supported by faunal changes from the fossil record of sub-Saharan Africa . Rainfall vicissitudes throughout the Neogene across Central and East Africa  resulted in drastically transformed vegetation patterns , which manifested in the extensive development of savannas  and the interrelated fragmentation of forests . Not only was the Miocene climate a significant influence, but tectonic activities were also drivers of major environmental change in the AR. Initial rifting of the AR began around the Oligocene-Miocene boundary , and most of the geophysical rifting and volcanism in East Africa occurred during the Miocene , with increased activity from 10 to 5 Mya around the Miocene-Pliocene boundary . These geological changes also shifted climatic patterns towards increased aridity and thus reinforced the global weather trends, which were linked to substantial decreases in the extent of tropical rainforest across sub-Saharan Africa in the Miocene . General trends of forest fragmentation during the Miocene likely underlie most of the species-level diversification patterns in Rhampholeon,afinding that is similar to trends noted for East African thicket rats  and forest chameleons ."
"Evolutionary history of the thicket rats (genus Grammomys) mirrors the evolution of African forests since late Miocene","https://scispace.com/paper/evolutionary-history-of-the-thicket-rats-genus-grammomys-1aq0mvhiht","2017","Journal Article","Journal of Biogeography","Josef Bryja
Josef Bryja
Radim Šumbera
Julian C. Kerbis Peterhans
Julian C. Kerbis Peterhans
Tatiana Aghová
Tatiana Aghová
Anna Bryjová
Ondřej Mikula
Violaine Nicolas
Christiane Denys
Erik Verheyen","10.1111/JBI.12890","https://scispace.com/pdf/evolutionary-history-of-the-thicket-rats-genus-grammomys-1aq0mvhiht.pdf","Aim
Grammomys are mostly arboreal rodents occurring in forests, woodlands and thickets throughout sub-Saharan Africa. We investigated whether the divergence events within the genus follow the existing evolutionary scenario for the development of African forests since the late Miocene.

Location
Sub-Saharan African forests and woodlands.

Methods
We inferred the molecular phylogeny of Grammomys using Bayesian and maximum likelihood methods and DNA sequences of 351 specimens collected from across the distribution of the genus. We mapped the genetic diversity, estimated the divergence times by a relaxed clock model and compared evolution of the genus with forest history.

Results
Phylogenetic analysis confirms the monophyly of Grammomys and reveals five main Grammomys lineages with mainly parapatric distributions: (1) the poensis group in Guineo-Congolese forests; (2) the selousi group with a distribution mainly in coastal forests of southern and eastern Africa; (3) the dolichurus group restricted to the easternmost part of South Africa; (4) the macmillani group in the northern part of eastern and Central Africa with one isolated species in Guinean forests; and (5) the surdaster group, widely distributed in eastern Africa south of the equator. Every group contains well supported sublineages suggesting the existence of undescribed species. The earliest split within the genus (groups 1 vs. 2–5) occurred in the late Miocene and coincides with the formation of the Rift Valley which resulted in the east–west division of the initially pan-African forest. The subsequent separation between groups (2 vs. 3–5) also dates to the end of the Miocene and suggests the split between Grammomys from coastal to upland forests in eastern Africa followed by a single dispersal event into western Africa during the Pleistocene.

Conclusions
The evolutionary history of the genus Grammomys closely reflects the accepted scenario of major historical changes in the distribution of tropical African forests since the late Miocene.","group of Hylomyscus and Praomys delectorum), split from their sister lineages living mostly in Guineo-Congolese forests at the beginning of the Praomyini radiation dated to the end of the Miocene . Palaeoendemism in coastal forests of East Africa:
 The coastal forests of East Africa were recognised as a distinct phytogeographical unit by  and, more recently, by . They exhibit a patchy distribution extending from southern Somalia to the Limpopo River in southern Mozambique and represent endangered centres of biodiversity. There is evidence that most of the coastal forest endemics, including mammals, are palaeoendemics . Phylogenetic reconstruction of Grammomys revealed the split of the selousi group from other East African Grammomys ca 6.5 Ma (Fig. ), indicating a Late Miocene separation of coastal and highland forests in eastern Africa (Fig. ). This is concordant with the divergence time (ca 6.5 Ma) proposed by  between the genus Beamys (a rodent typical of African coastal forests), and its sister genus Cricetomys (widespread in various African forests). The Grammomys lineage se3 from east coastal South Africa suggests a historical connection between coastal forests in East Africa and those further south, which has not been reported before. Species inhabiting these coastal forests are able to reach higher altitude forests (possibly via riverine gallery forests) as suggested by the presence of se2 in the Mulanje Mts, se5 in the Usambara Mts and the observation that Beamys occurs in coastal forests as well as in the Southern Rift Mountains (SRM) . The clear north-south structuring within the selousi group reflects the fragmented nature of coastal forests; this separation may be maintained by large rivers (e.g. Rufiji, Zambezi, Limpopo) as observed for other lowland species . Alternative hypotheses of divergence within coastal forests include climatic changes in the Plio-Pleistocene or increases in sea level, shrinking suitable habitats into isolated fragments situated at higher elevations ."
"Cryptic diversity in Afro-tropical lowland forests: The systematics and biogeography of the avian genus Bleda","https://scispace.com/paper/cryptic-diversity-in-afro-tropical-lowland-forests-the-2uj5c9ykce","2016","Journal Article","Molecular Phylogenetics and Evolution","Jerry W. Huntley
Gary Voelker","10.1016/J.YMPEV.2016.04.002","","","""evolutionary museum"" concept, which hypothesized that lowland forests are incapable of creating diversity. It is clear that much of the intraspecific variation within Bleda did indeed occur within lowland forests, and much of it evolutionarily recently. Biogeography -West Africa:
 The LaGrange analysis recovered an Upper Guinean origin for Bleda, and the lack of any significant montane centers in that region supports the likelihood that early diversification in this group would have taken place within lowland forests. We find evidence for distinct genetic variation in West Africa between populations in Sierra Leone/Liberia and Ghana for B. syndactylus, B. canicapillus, and B. eximius with high genetic distances (Table ). These two areas have long been proposed locations for Plio-Pleistocene forest refuges    . Benin has not traditionally been associated with historic forest refuges, instead being associated with the dry, savannah conditions of the Dahomey Gap ). Yet the presence of unique lineages of B. canicapillus and Stiphrornis suggests the possibility of some refugial forests existing during the Pleistocene, as do recent investigations of the rodent genera Praomys  and Lemniscomys ). This suggestion is further supported by the presence of the Lama Forest (and others) within the Dahomey Gap  which has acted as a tropical forest refuge throughout the Holocene (c. 11,700 Ka to present) . Additionally, the results of this study plus that on the Green Hylia  are in stark contrast to several studies which have found no evidence of geographic structuring of taxa with West African distributions . Clearly there is higher than expected level of complexity in the diversification of forest mammals and birds in West Africa and recent investigations have served to highlight the limits of our knowledge of the effects of historic forest fragmentation patterns on genetic diversity in the region. More extensive sampling and further phylogeographic investigations of West African taxa will be crucial to gaining a clearer picture of the historical factors that have driven diversification in this region. Biogeography -Central Africa:
 Several recent studies have found evidence for riverine barriers to gene flow within the Lower Guinean and Congolian Forest blocks.  found evidence for genetic differentiation in four of ten bird species with distributions on both the north and south banks of the Congo River in the eastern DRC. Two of these ten species, B. syndactylus and B. ugandae, are represented in the current study, with higher numbers of samples. We corroborate here the results found in the previous study, where B. syndactylus displays genetic variation north and south of the river (with 3.4% uncorrected p-distance) and a dating estimate for this diversification at c. 1.2 Ma. The Congo River as a potential barrier to gene flow during the Pleistocene is not unique to birds: evidence has also been found in some rodent and bat taxa , either as a barrier during forest fragmentation or as a post-fragmentation barrier blocking secondary contact."
"Middle Stone Age Hominin Foraging Ecology in Tanzania: An Archaeozoological Study of the Loiyangalani Open-Air Site and Magubike Rockshelter","https://scispace.com/paper/middle-stone-age-hominin-foraging-ecology-in-tanzania-an-2tee0sq8to","2018","","","Frank M. Masele","10.7939/R3FX74D1C","https://scispace.com/pdf/middle-stone-age-hominin-foraging-ecology-in-tanzania-an-2tee0sq8to.pdf","","may have served as refugia for the environmental fluctuations troubled Homo sapiens populations . Some researchers working in East Africa region have also recently correlated the large-scale Pleistocene environmental fluctuations to the emergence and dispersal of anatomically modern humans (see ). The Hominin Fossils and Genetic Evidence:
 The Eastern Arc Mountains, which cover much of the areas close to the Indian Ocean coast in Tanzania and Kenya are today mostly characterized by moist montane forests (URT 2010). Palaeoecological evidence also indicates they have experienced long-term environmental and ecosystem stability . Sediments core drilling in the Dama Swamp near the Udzungwa National Park in Iringa Region about 70 km away from Magubike rockshelter have shown that the southern highlands of Tanzania also had more favourable climate conditions (stable temperatures and rich plant resources) between 50 and 18 kya making it an attractive place for the animals and hominin populations as they escaped the more drier low altitude areas . Accordingly, the Eastern Arc Mountains and the southern highlands of Tanzania may have served as the highland refugia during a large part of the Upper Pleistocene. The Great and Little Ruaha Rivers and their tributaries dissecting the southern highlands of Tanzania might have afforded the wildlife and hominins access to reliable fresh water sources, edible resources and their valleys may have constituted important escape routes in search for the ecologically rich and hospitable pockets during environmental crises of the Pleistocene. Recent archaeological evidence from the rockshelters and open-air sites in Iringa Region has also recently suggested that hominins might have uninterruptedly settled the southern highlands of Tanzania from the Early Stone Age to historical times, thereby surviving several glacial cycles ."
"Testing the forest refuge hypothesis in sub-Saharan Africa using species distribution modeling for a key savannah tree species, Senegalia senegal (L.) Britton","https://scispace.com/paper/testing-the-forest-refuge-hypothesis-in-sub-saharan-africa-170e1102s5","2020","Journal Article","Frontiers of biogeography","Paul Terwase Lyam
Joaquín Duque-Lazo
Jan Schnitzler
Frank Hauenschild
Alexandra N. Muellner-Riehl","10.21425/F5FBG48689","https://scispace.com/pdf/testing-the-forest-refuge-hypothesis-in-sub-saharan-africa-170e1102s5.pdf","Quaternary geographic range dynamics of savannah tree species are still not fully understood. The forest refuge hypothesis postulates that climatic and vegetational upheavals during the Pleistocene fragmented the previously continuous ranges of many species into isolated refuges that would have acted as shelters for rainforest taxa and allowed their survival through the Pleistocene cold stages. This hypothesis has recently been applied to studies of taxa in the African savannahs. We here test this hypothesis using the savannah tree species Senegalia senegal (L.) Britton., which is widely distributed across sub-Saharan Africa. Specifically, we ask the following questions: (i) Do we find evidence for savannah refugia during the last 130,000 before-present in sub-Saharan Africa? (ii) Would the climate in West Africa already have been suitable for S. senegal prior to the Last Glacial Maximum (LGM)? Using 1,132 occurrence records,we modeled the geographic distribution of S. senegal and projected the model into the past using climatic conditions from four time slices spanning the last 130,000 years bp. Our analyses show that the projected geographic extent of S. senegal was broader during the Last Interglacial, with a dramatic decline during the LGM and the subsequent recovery through the mid-Holocene to the present day. Our results indicate a range expansion at least from the mid-Holocene to the present and further show that S. senegal had similarly continuous distribution during the LGM as found today in sub-Saharan Africa. We also assessed the regional variation of environmental niche occupancy using a principal components analysis (PCA). The PCA reveals variation in the occupancy of environmental space across sub-Saharan Africa, a key indication of a wide ecological amplitude exhibited by the species. This study provides insights into the ancestral distribution and the temporal dynamics of a key savannah species that have shaped its current areas of occupancy.","Duque-Lazo,Jan Schnitzler,Frank Hauenschild,Alexandra N Muellner-Riehl Keywords: palaeodistribution, Quaternary, refugia, Senegalia senegal, species distribution model, sub-Saharan Africa Introduction:
 The distribution ranges of most organisms have changed over time subject to historical events that predisposed the Earth to climatic fluctuations throughout its history. Environmental driving forces acting during the Pleistocene, i.e., starting 2.6 Million years ago (Mya; , resulted in repeated range contractions and expansions and have been decisive for the present-day geographic distribution of species . In many cases, the fossil record provides evidence that extant species' ranges can be very different from past distributions, indicating the impact of past environmental changes . Introduction:
 Several biogeographical hypotheses and mechanisms, including speciation (allopatric and parapatric), historical mountain ridges, climatic disturbance, as well as forest refugia, have been proposed to explain patterns of species distribution  in response to Pleistocene climate change. Earlier studies on palaeoecology, geologic, and climatic history of tropical continents and species highlighted the importance of glacial refugia . For example,  investigated the bird faunas of Africa and its islands. These early works altogether inspired studies that resulted to what is today known as the forest refugia hypothesis. Introduction:
 The forest refugia hypothesis was initially formulated to explain species distribution patterns, especially vicariant distributions and high levels of endemism, for South American forest bird fauna . It gained wide application for explaining distribution patterns and range dynamics of faunas and floras across other continents, like Africa ), Asia , Europe and North America . The hypothesis advocates that fragments of tropical forest would have acted as shelters for rainforest taxa and allowed their survival through the Pleistocene cold stages . Thus, species retreating into smaller patches, reduction in overall range size, and increase in fragmentation were notable events of the Pleistocene refugia . Several studies have been published in support of refugia during the cold and arid periods of the Quaternary in Africa . These studies employed approaches such as palaeoclimatic analysis , phylogeography and vegetation mapping , palaeoecological analysis, and species distribution modeling  to infer the historical distribution and presence of forest refugia."
"Chapter 7:Tropical Moist Forests","https://scispace.com/paper/chapter-7-tropical-moist-forests-3juz0rldgq","2007","Book Chapter","","Jon C. Lovett
Rob Marchant
Andrew R. J. Marshall
Janet Barber","10.1039/9781847557650-00161","https://scispace.com/pdf/chapter-7-tropical-moist-forests-3juz0rldgq.pdf","About 50% of the Earth’s surface lies in the tropics between latitudes 30°N and 30°S. This land is in the South American and African continental landmasses and a scatter of peninsulas and islands in the south Asian and Australian tropics. More than a third of the world’s population inhabit tropical ...","Begoniaceae distribution identified three refuge areas in Upper Guinea and a further four smaller forest refuges within Lower Guinea. Tropical moist forest refuges existed in Gabon and the Mayombe region in the Peoples Democratic Republic of Congo (PDRC). Inferential Evidence for Change:
 At the LGM the majority of the areas presently supporting tropical moist forest supported dry forest.  Bengo and Maley  point to differences between Zambezian and Sudanean dry forest; these indicate past isolation across the equator by a band of moist forest, possibly located along the Zaire river system.  This is further supported by evidence for a ''migratory trackway'' between East and West Africa along the Zambezi-Zaire watershed  and by the occurrence of distinct sub-species of primates in Central Africa,  which were isolated within a ''major fluvial refuge''.  Additional support for Gabon, Cameroon and Central African moist forest refuges comes from the distribution of birds,  forest mammals  and ethnographic evidence from pygmy populations.  A study of passerine birds showed that centres of species diversity, endemism and disjunction coincide spatially in Ethiopian montane forest, Cameroon/ Gabon, east PDRC, and the eastern Tanzanian mountains, the latter extending to the coast.  Relatively high diversity within the Albertine Refuge is indicated by a study of forest mammal distribution,  flightless insects  and molluscs from Kakamega Forest.  Similar post-LGM migratory routes out of core areas have been identified for forest tree species throughout Uganda and into neighbouring Tanzania and Kenya.  Indeed, within East Africa, many restricted-range tree and shrub species show distinct concentrations.  An assessment of ecoclimatic stability based on species distribution indicates that the most stable areas are in the upper Zaire River catchment and on the east-facing escarpments of the East African mountains.  Farther to the east, Tropical moist forest persisted in parts of coastal East Africa throughout glacial periods due to the moist climate resulting from a relatively constant temperature of the Indian Ocean.  A similar importance for forest persistence, attributed to local topography, is indicated for South Africa."
"Seven new montane species of Drosophila in the Eastern Arc mountains and Mt Kilimanjaro in Tanzania attesting to past connections between eastern and western African mountains (Diptera: Drosophilidae)","https://scispace.com/paper/seven-new-montane-species-of-drosophila-in-the-eastern-arc-29aik2ywob","2001","Journal Article","European Journal of Entomology","Daniel Lachaise
Marie-Thérèse Chassagnard","10.14411/EJE.2001.056","https://scispace.com/pdf/seven-new-montane-species-of-drosophila-in-the-eastern-arc-29aik2ywob.pdf","This report describes 7 new species of Drosophila found in the Eastern Arc mountains and on Mount Kilimanjaro in Tanzania: D. baucipyga, D. gata, D. kilimanjarica, D. neogata, D. paragata, D. pilocornuta and D. usambarensis spp.n. Two new species complexes, the megapyga species complex (Sophophora subgenus, melanogaster group, montium subgroup) and the gata species complex (Drosophila subgenus) are introduced. Only one species, D. baucipyga of the montium subgroup, has a geographical range matching the whole Eastern Arc, from the Usambara Mts. in the north-east of Tanzania to Mt. Uzungwa in the south-south west of the country. Five others, including one representative of the dentissima group of the Sophophora subgenus, D. usambarensis, and four representatives of the Drosophila subgenus, D. gata, D. neogata, D. paragata and D. pilocornuta, were found only in the Usambara Mts. Two of these five, D. usambarensis and D. pilocornuta were found only in West-Usambara, while two other related species, D. gata and D. paragata, were found only in East-Usambara. Only the distribution of D. neogata covers the whole of the Usambara mountains. Outside the Eastern Arc, another representative of the dentissima group, D. kilimanjarica, was found only on Mount Kilimanjaro. This new, highly specific, montane fauna of Drosophila further contributes to the unique biological diversity of the Eastern Arc Mts. The biogeographic affinities of the new taxa suggest past connections with the Virunga and Ruwenzori ranges and further west with the Cameroon Volcanic Line. It indicates, in particular, that the Eastern Arc forests have passed through a succession of coalescence and fragmentation events.","species of Drosophila found in the Eastern Arc mountains and on Mount Kilimanjaro and described in the present work provide futher evidence that the highly fragmented montane for ests ofTanzania have long been centres of speciation. DISCUSSION:
 The new species, D. baucipyga, is undoubtedly among the most spectacular representatives in the Afrotropical region of the basically Oriental montium species sub group. It is also most interesting for its biogeography. The geographical range of D. baucipyga is at once local ized and widespread, matching the range of the suppos edly old forests (in a geological sense) of the overall Eastern Arc, from Mount Usambara to the north-east of Tanzania to Mount Uzungwa to the south-south west of the country. Otherwise, the species is seemingly absent from the much younger forests of Mt Kilimanjaro and Mt Meru (D.L. unpublished). Should this distribution be con firmed, it probably means that the species has little pro pensity to migrate and the subdivided extant populations result from the fragmentation of the species home range. If this is so, D. baucipyga would be a palaeoendemic, a relic of the formerly continuous submontane Eastern Arc forests. This would support further the view that these ancient crystalline mountain forests have been intercon nected, and isolated from distant forest blocks for a rela tively long period of evolutionary time . Worth noting in this respect is the striking simi larity of D. baucipyga to the species pair D. megapyga from Ruwenzori and the Cameroon Volcanic Line, and D. eupyga from the Cameroon highlands and Gabon . The three species, D. baucipyga, D. megapyga and D. eupyga of the montium species subgroup all have very similar overall phenotypes, sexual combs on the basal and second fore tarsomeres, and similar -albeit distinctepandrium and hypandrium. Noticeably, all three species have a row of 4-5 huge cercal teeth protruding from the male abdomen, making them very easy to identify. They are undoubtedly closely related and we propose to place them all in a new species complex, the megapyga species complex. The finding of D. baucipyga in the Eastern Arc forests is of great interest for understanding biogeog raphical patterns throughout tropical African mountains, since it clearly indicates an old connection between Usambara, Ruwenzori and the Cameroon highlands. The presence of D. eupyga at lower elevations in northeastern Gabon (500 m a.s.l. at Makokou), and at mid (800 m a.s.l. at N 'Kolbisson by Yaounde) and higher elevations (2000 m at Bafut N 'Guemba on Mt Lefo) in Cameroon indicates that these basically montane species could migrate between forest blocks."
"The biogeographical assignment of a west Kenyan rain forest remnant: Further evidence from analysis of its reptile fauna","https://scispace.com/paper/the-biogeographical-assignment-of-a-west-kenyan-rain-forest-92e7jw89fe","2008","Journal Article","Journal of Biogeography","Philipp Wagner
Jörn Köhler
Andreas Schmitz
Wolfgang Böhme","10.1111/J.1365-2699.2008.01883.X","https://scispace.com/pdf/the-biogeographical-assignment-of-a-west-kenyan-rain-forest-92e7jw89fe.pdf","Aim The Kakamega Forest, western Kenya, has been biogeographically assigned to both lowland and montane forest biomes, or has even been considered to be unique. Most frequently it has been linked with the Guineo-Congolian rain forest block. The present paper aims to test six alternative hypotheses of the zoogeographical relationships between this forest remnant and other African forests using reptiles as a model group. Reptiles are relatively slow dispersers, compared with flying organisms (Aves and Odonata) on which former hypotheses have been based, and may thus result in a more conservative biogeographical analysis.



Location  Kakamega Forest, Kenya, Sub-Saharan Africa.



Methods  The reptile diversity of Kakamega Forest was evaluated by field surveys and data from literature resources. Faunal comparisons of Kakamega Forest with 16 other African forests were conducted by the use of the ‘coefficient of biogeographic resemblance’ using the reptile communities as zoogeographic indicators. Parsimony Analysis of Endemism and Neighbour Joining Analysis of Endemism were used to generate relationship trees based on an occurrence matrix with paup*.



Results  The analysis clearly supports the hypothesis that the Kakamega Forest is the easternmost fragment of the Guineo-Congolian rain forest belt, and thus more closely related to the forests of that Central–West African complex than to any forest further east, such as the Kenyan coastal forests. Many Kenyan reptile species occur exclusively in the Kakamega Forest and its associated forest fragments.



Main conclusions  The Kakamega Forest is the only remnant of the Guineo-Congolian rain forest in the general area. We assume that the low degree of resemblance identified for the Guineo-Congolian forest and the East African coastal forest reflect the long history of isolation of the two forest types from each other. Kenyan coastal forests may have been historically connected through forest ‘bridges’ of the southern highlands with the Congo forest belt, allowing reptile species to migrate between them. The probability of a second ‘bridge’ located in the region of southern Tanzanian inselbergs is discussed. Although not particularly rich in reptile species, the area should be considered of high national priority for conservation measures.","currori by . Similar results exist for 'Mochlus' aff. fernandi and Psammophis phillipsi; Pseudohaje goldi and many others are also to be assigned to this indicator group (P. . Faunal comparisons:
 The results are strongly supported by the testing of different hypotheses. Only the Winning-sites test of hypothesis H6, setting Kakamega Forest as sister group to other East African forests, resulted in non-significant differences of probability when compared with our H0 hypothesis (Table ). Therefore, we cannot completely rule out this possibility, but this scenario is considered unlikely compared to the one contained in the H0 hypothesis. This assumption is supported by the fact that in the Wilcoxon-signed test our null hypothesis was significantly better than hypothesis H6. Faunal comparisons:
 This strongly argues for a recent connection between Kakamega Forest and the forested parts of Uganda. The Virungas, the Garamba, Kibale, Bwindi and Kakamega forests have many reptile species in common (see Table ), which may demonstrate that these forests were in contact for at least short periods. This also fits the hypotheses of  and , who argued that the forests of Uganda and western Kenya were former outliers of the Virunga Mountains, i.e. parts of the eastern Congo basin forest. Faunal comparisons:
 The comparatively low species richness of Kakamega Forest may be explained by its more elevated situation, moderate amount of rainfall, and its small size (and subsequent progressive destruction and habitat fragmentation). Fragmentation still continues and seriously threatens forest species in particular (classified in group 1 above), whereas common ubiquitous species are probably less affected. This underlines the necessity of prioritizing the protection of these forest remnants. Faunal comparisons:
 Our results also show, however, that the Eastern Arc Mountains form a zoogeographical unit of their own, indicating that they have long been isolated from equatorial forest. This is reinforced by their high rate of endemism. For instance, 87% of the amphibian and 55% of the reptile species of the Usambara Mountains are endemic to the Tanzanian highland forests . Kakamega Forest has more species in common with the Ziama Forest in southeastern Guinea (5000 km apart) than with the Usambara Mountains (1100 km apart), which reflects the obviously longer separation from the latter. The Udzungwa Mountains are even more isolated and they have only six reptile species in common with the Usambara Mountains, i.e. one species more than the species common to both Kakamega and Usambara forests. The faunal comparison also highlights the uniqueness of the East African coastal forests, which clearly form their own, distinct zoogeographic unit and which are in desperate need of efficient protection ."
"The Indian Ocean dipole - the unsung driver of climatic variability in East Africa","https://scispace.com/paper/the-indian-ocean-dipole-the-unsung-driver-of-climatic-4932brb8hw","2007","Journal Article","African Journal of Ecology","Rob Marchant
Cassian Mumbi
Cassian Mumbi
Swadhin K. Behera
Toshio Yamagata","10.1111/J.1365-2028.2006.00707.X","https://scispace.com/pdf/the-indian-ocean-dipole-the-unsung-driver-of-climatic-4932brb8hw.pdf","A growing body of evidence suggests that an independent ocean circulation system in the Indian Ocean, the Indian Ocean dipole (IOD), is partly responsible for driving climate variability of the surrounding landmasses. The IOD had traditionally been viewed as an artefact of the El Nino - Southern Oscillation (ENSO) system although increasingly the evidence is amassing that it is separate and distinct phenomenon. We review the causes of the IOD, how it develops within the Indian Ocean, the relationships with ENSO, and the consequences for East African climate dynamics and associated impacts on ecosystems, in par- ticular along the Eastern Arc Mountains of Kenya and Tanzania. We evaluate current research initiatives focussed on characterizing and constraining the IOD and examine how effective these will be in determining climate change impacts on East African ecosystems and how such predictive capacity can be used in developing policy.","indeed how responsive these montane ecosystems are to change, are not yet quantified. Indeed, as Dama Swamp is the only site located some 400 km from the Indian Ocean, a number of such studies distributed across the range of environments are required Future developments:
 The results from the first proxy record of past Eastern Arc Mountain ecosystem composition show evidence of environmental stability during some 10,000 years before and after the LGM (Fig. ) whereas other more dryland systems are prone to large, infrequent disturbances . Specific characteristics of some mountain areas, in combination with the stabilizing influence of continued moisture supply relatively constant temperature of the Indian Ocean and steep continental shelf may have allowed tropical moist forest to have persisted in parts of coastal East Africa throughout glacial periods. Such a stabilizing influence could have resulted in large numbers of endemic species in the Eastern Arc and Coastal forests . More records are required to substantiate the hypothesis that long-term ecological stability during the Pleistocene can explain why the Eastern Arc Mountains are so rich in species and, as a consequence, a biodiversity hotspot. By combining palaeoecology, biogeography, phylogeography and modelling approaches we will be able to determine if high levels of biodiversity depend on buffering from global climate changes, due to the close proximity of the Indian Ocean system, or if this is a response to high climatic and environmental variability. Unfortunately, comparable with the Eastern Arc Mountains, there is a lack of long-term records from the Indian Ocean with relatively few long-term observational data sets available. Information on longer-term climatic variability is very limited from marine sediments  due to seabed topography where water flowing the Mozambique Channel prevents sediments accumulation. Records on Indian Ocean SST variation are crucial that need to be placed in context of other climatic forces of SST variation such as volcanic eruptions ."
