"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"… diversity and divergence dating of Angolan colobus monkeys (Colobus angolensis) in the eastern forests of Kenya and Tanzania: Implications for subspeciation and …","https://scispace.com/paper/VIx9fkSWwzoJ","","","","MM McDonald
PMK Cunneyworth","","","… Colobine monkeys are medium-sized folivorous primates that inhabit Africa and Asia. … subspecies north of the Rufiji River, our phylogeographic results for the two subspecies, together …",""
"Biogeographical importance of the Livingstone Mountains in Southern Tanzania: comparative genetic structure of small non-volant mammals","https://scispace.com/paper/biogeographical-importance-of-the-livingstone-mountains-in-3poohbt0","2022","Journal Article","Frontiers in Ecology and Evolution","Laura N Cuypers
Christopher A. Sabuni
Radim Šumbera
Tatiana Aghová
Edita Lišková
Herwig Leirs
Stuart J. E. Baird
Joëlle Goüy de Bellocq
Josef Bryja","10.3389/fevo.2021.742851","https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2021.742851/pdf","… mammals both in and around the LM. The focus of this paper is to compare phylogeographic patterns of small mammals … Specifically, we assess: (1) how unique the LM small mammals …","The Livingstone Mountains (LM; also known as the Kipengere Range) found in south-western Tanzania at the northern end of Lake Nyasa are an important region for understanding the biogeography of Eastern Africa. The two branches of the East African Rift Valley meet here and the mountains might represent stepping stones for colonization and migration between different parts of the Eastern Afromontane Biodiversity Hotspot (especially the link between the Eastern Arc Mountains, EAM, and the Southern Rift Mountains, SRM), as well as an efficient barrier to gene flow for taxa living in drier savannahs in lower elevations. Here we combine new mitochondrial sequence data from 610 recently sampled rodents and shrews with available georeferenced genetic data (3538 specimens) from southern Tanzania, northern Malawi/Zambia and northern Mozambique and compare the spatial genetic structure among different taxa. There is no universal phylogeographic pattern in taxa preferring humid montane habitats. For some of them, the Makambako Gap acts as a barrier between the SRM and the EAM, but other taxa can bridge this gap. Barriers within the EAM (frequently) and within the SRM (sometimes) appear more important. The Rukwa rift between the SRM and the ARM is an important barrier that perhaps can only be crossed by taxa that are not that strictly tied to humid montane environments. For mammals living in lower-elevation savannah-like habitats, the LM can act as a strict barrier to gene flow, and together with the Ufipa Plateau, Lake Nyasa and the EAM create a very similar phylogeographic pattern with three recognizable genetic groups in most savannah-dwellers. The Livingstone Mountains thus appear to be one of the most important biogeographic crossroads in Eastern Africa."
"Phylogeography of the Angolan black and white colobus monkey, Colobus angolesnsis palliatus, in Kenya and Tanzania","https://scispace.com/paper/phylogeography-of-the-angolan-black-and-white-colobus-monkey-1n3mzkhtj1","2010","Journal Article","American Journal of Primatology","Monica M. McDonald
Monica M. McDonald
Healy Hamilton","10.1002/AJP.20828","https://www.academia.edu/download/39394937/McDonald_et_al-2010-American_Journal_of_Primatology.pdf","… palliatus populations in Kenya and those in Central and southern Tanzania, as earlier … palliatus habitat in Tanzania is currently better protected than in Kenya, our results suggest …","Little is known about genetic variation in the 6–8 subspecies of Colobus angolensis, currently distinguished by pelage differences. We present a comparative genetic analysis of one of these subspecies, C. a. palliatus, in Kenya and Tanzania that assesses evolutionary relationships and patterns of mitochondrial genetic diversity in 103 individuals across its geographic range. Fecal samples from approximately 156 individuals were collected in four localities: (1) Diani Forest, Kenya; (2) Shimoni, Kenya; (3) Udzungwa Mountains National Park, Eastern Arc Mountains, Tanzania; and (4) Mount Rungwe, Southern Highlands, Tanzania. These samples represent at least six groups, with 5–15 samples from each. Comparative sequence analysis of a 1,795 base pair mtDNA fragment revealed 19 unique haplotypes in four populations. Phylogenetic analyses suggest that sampled Kenyan haplotypes are paraphyletic, with one Kenyan haplotype basal to all other sampled haplotypes. Analysis of molecular variance (AMOVA) suggests high levels of genetic variation among populations (ΦST 0.72, P<0.001). Genetic data are concordant with a subspecies level differentiation between C. a. palliatus populations in Kenya and those in Central and southern Tanzania, as earlier suggested based on pelage differences. This study highlights the evolutionary distinctiveness of Kenyan populations of C. a. palliatus relative to Tanzanian populations. Although C. a. palliatus habitat in Tanzania is currently better protected than in Kenya, our results suggest Kenyan and Tanzanian populations should be considered distinct units, and the protection of C. a. palliatus habitat in Kenya, as well as habitat connectivity between Kenyan populations, should be prioritized for conservation and management. Am. J. Primatol. 72:715–724, 2010. © 2010 Wiley-Liss, Inc."
"… history of the endangered Sanje mangabey (Cercocebus sanjei) in the Udzungwa Mountains, Tanzania: inferences from phylogeography and historical niche …","https://scispace.com/paper/cWjCXpICrk0J","","","","CL Paddock
MJ Ferreira da Silva
GM McCabe","","https://link.springer.com/content/pdf/10.1007/s10329-026-01255-2.pdf","… We aimed to investigate i) the phylogeographic history and … The probability of suitable habitat across Tanzania and the … of suitable habitat across southern Tanzania. Large genetic …",""
"Priority primate areas in Tanzania","https://scispace.com/paper/priority-primate-areas-in-tanzania-599jpgnlsk","2014","Journal Article","Oryx","Tim R.B. Davenport
Katarzyna Nowak
Andrew Perkin","10.1017/S0030605312001676","http://www.cf.tfcg.org/pubs/Davenport%20et%20al.%202014.%20Priority%20primate%20areas%20in%20Tz.pdf","… of Tanzania’s primate taxa, using IUCN Red List criteria, as well as the first national inventory of primates … ANDREW PERKIN studies the phylogeography, bioacoustics and taxonomy of …","Priority Primate Areas are identified in Tanzania, mainland Africa's most important country for conservation of primates, on the basis of occupancy by globally rare, Red-Listed and range-restricted primate species and subspecies. We provide a comprehensive list and regional assessment of Tanzania's primate taxa, using IUCN Red List criteria, as well as the first national inventory of primates for 62 sites. The Priority Primate Areas, encompassing 102,513 km2, include nine national parks, one conservation area, seven game reserves, six nature reserves, 34 forest reserves and five areas with no official protection status. Primate species were evaluated and ranked on the basis of irreplaceability and vulnerability, using a combination of established and original criteria, resulting in a primate Taxon Conservation Score. Sites were ranked on the basis of summed primate scores. The majority (71%) of Priority Primate Areas are also Important Bird Areas (IBAs), or part of an IBA. Critical subsets of sites were derived through complementarity analyses. Adequate protection of just nine sites, including six national parks (Kilimanjaro, Kitulo, Mahale, Saadani, Udzungwa and Jozani-Chwaka Bay), one nature reserve (Kilombero) and two forest reserves (Minziro and Mgambo), totalling 8,679 km2, would protect all 27 of Tanzania's primate species. The addition of three forest reserves (Rondo, Kilulu Hill and Ngezi) and two game reserves (Grumeti and Biharamulo), results in a list of 14 Priority Primate Areas covering 10,561 km2 (1.1% of Tanzania's total land area), whose conservation would ensure the protection of all 43 of Tanzania's species and subspecies of primates."
"Identifying source populations and genetic structure for savannah elephants in human-dominated landscapes and protected areas in the Kenya-Tanzania borderlands","https://scispace.com/paper/identifying-source-populations-and-genetic-structure-for-xwbp5eggwe","2012","Journal Article","PLOS ONE","Marissa A. Ahlering
Lori S. Eggert
David Western
Anna B. Estes
Linus Munishi
Robert C. Fleischer
Melissa T. Roberts
Melissa T. Roberts
Jesús E. Maldonado
Jesús E. Maldonado","10.1371/JOURNAL.PONE.0052288","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0052288&type=printable","… populations and the genetic structure of the regional … region that spans the Kenya-Tanzania border. This region … the patterns of metapopulation genetic structure in the region …","We investigated the genetic metapopulation structure of elephants across the trans Rift Valley region of Kenya and Tanzania, one of the remaining strongholds for savannah elephants (Loxodonata africana) in East Africa, using microsatellite and mitochondrial DNA (mtDNA) markers We then examined this population structure to determine the source population for a recent colonization event of savannah elephants on community-owned land within the trans rift valley region Four of the five sampled populations showed significant genetic differentiation (p<005) as measured with both mtDNA haplotypes and microsatellites Only the samples from the adjacent Maasai Mara and Serengeti ecosystems showed no significant differentiation A phylogenetic neighbour-joining tree constructed from mtDNA haplotypes detected four clades Clade four corresponds to the F clade of previous mtDNA studies that reported to have originated in forest elephants (Loxodonta cyclotis) but to also be present in some savannah elephant populations The split between clade four and the other three clades corresponded strongly to the geographic distribution of mtDNA haplotypes across the rift valley in the study area Clade four was the dominant clade detected on the west side of the rift valley with rare occurrences on the east side Finally, the strong patterns of population differentiation clearly indicated that the recent colonists to the community-owned land in Kenya came from the west side of the rift valley Our results indicate strong female philopatry within the isolated populations of the trans rift valley region, with gene flow primarily mediated via male movements The recent colonization event from Maasai Mara or Serengeti suggests there is hope for maintaining connectivity and population viability outside formal protected areas in the region"
"Genetic connectivity and population structure of African savanna elephants (Loxodonta africana) in Tanzania","https://scispace.com/paper/genetic-connectivity-and-population-structure-of-african-4lhxgtaekm","2020","Journal Article","Ecology and Evolution","George Gwaltu Lohay
Thomas Casey Weathers
Anna B. Estes
Barbara C. McGrath
Douglas R. Cavener
Douglas R. Cavener","10.1002/ECE3.6728","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.6728","… distinct population genetic structure within and between ecosystems across Tanzania, and … to assess nucleotide and haplotype diversity among mammals. The mtDNA is inherited in a …","Increasing human population growth, exurban development, and associated habitat fragmentation is accelerating the isolation of many natural areas and wildlife populations across the planet. In Tanzania, rapid and ongoing habitat conversion to agriculture has severed many of the country's former wildlife corridors between protected areas. To identify historically linked protected areas, we investigated the genetic structure and gene flow of African savanna elephants in Tanzania using microsatellite and mitochondrial DNA markers in 688 individuals sampled in 2015 and 2017. Our results indicate distinct population genetic structure within and between ecosystems across Tanzania, and reveal important priority areas for connectivity conservation. In northern Tanzania, elephants sampled from the Tarangire‐Manyara ecosystem appear marginally, yet significantly isolated from elephants sampled from the greater Serengeti ecosystem (mean F ST = 0.03), where two distinct subpopulations were identified.Unexpectedly, elephants in the Lake Manyara region appear to be more closely related to those across the East African Rift wall in the Ngorongoro Conservation Area than they are to the neighboring Tarangire subpopulations. We concluded that the Rift wall has had a negligible influence on genetic differentiation up to this point, but differentiation may accelerate in the future because of ongoing loss of corridors in the area. Interestingly, relatively high genetic similarity was found between elephants in Tarangire and Ruaha although they are separated by >400 km. In southern Tanzania, there was little evidence of female‐mediated gene flow between Ruaha and Selous, probably due to the presence of the Udzungwa Mountains between them. Despite observing evidence of significant isolation, the populations of elephants we examined generally exhibited robust levels of allelic richness (mean A R = 9.96), heterozygosity (mean µH E = 0.73), and effective population sizes (mean N e = 148). Our results may inform efforts to restore wildlife corridors between protected areas in Tanzania in order to facilitate gene flow for long‐term survival of elephants and other species."
"Phylogeography and evolutionary lineage diversity in the small-eared greater galago, Otolemur garnettii (Primates: Galagidae)","https://scispace.com/paper/BAezYRdAwHsJ","","","","A Penna
R Dillon
SK Bearder","","https://par.nsf.gov/servlets/purl/10647470","… -level phylogeographic study of the species, sampling wild specimens from across almost its entire latitudinal range, including the Zanzibar … garnettii from Zanzibar Island and of O. g …",""
"Biogeographic implications of small mammals from Northern Highlands in Tanzania with first data from the volcanic Mount Kitumbeine","https://scispace.com/paper/biogeographic-implications-of-small-mammals-from-northern-33pm7hcskh","2018","Journal Article","Mammalia","Christopher A. Sabuni
Tatiana Aghová
Anna Bryjová
Radim Šumbera
Josef Bryja","10.1515/MAMMALIA-2017-0069","","… of various Tanzanian ecosystems, we sampled small mammals on … phylogeographical interpretations. Our present study thus not only reports data on the occurrence of small mammals …","Small terrestrial mammals and their biogeographical affinities were studied on Mount Kitumbeine, one of the little known volcanoes in the Gregory Rift Valley (northern Tanzania). In June, 2015, a total of 10 species, two insectivores and eight rodents, were recorded during a short-time sampling in two high altitude habitats. Taxonomic identification was based on genetic data allowing zoogeographic interpretations. For most of the taxa, there was a clear link with fauna of the northern part of the Eastern Arc Mountains, but there were also species with their core distributions in the Albertine Rift Mountains (Crocidura montis) as well as taxa endemic to the volcanic Northern Highlands (e.g. Hanang or Ngorongoro), such as Lophuromys makundi and probably Otomys angoniensis. Comparison of genotyped small mammals from Kitumbeine and neighboring hills with previously collected data revealed the first genetically confirmed Tanzanian records of two species (C. montis and Lophuromys stanleyi) and one species (Lophuromys sabunii) is reported for the first time from Zambia. The present study thus showed that, even in such well-studied areas like northern Tanzania, a basic faunistic survey of mammals can still bring interesting results stressing the need to study biota in small and poorly known areas."
"Phylogeography of a widespread sub-Saharan murid rodent Aethomys chrysophilus: the role of geographic barriers and paleoclimate in the Zambezian bioregion","https://scispace.com/paper/phylogeography-of-a-widespread-sub-saharan-murid-rodent-4vhj0gecqo","2018","Journal Article","Mammalia","Vladimír Mazoch
Ondřej Mikula
Josef Bryja
Hana Konvičková
Isa-Rita M. Russo
Erik Verheyen
Radim Šumbera","10.1515/MAMMALIA-2017-0001","https://orca.cardiff.ac.uk/id/eprint/125569/1/Mazoch_Mammalia_2017.pdf","… low genetic differentiation in large mammals possibly as a result of … phylogeographic lineages. Individuals from the northern lineage (E) inhabiting arid habitats in northwestern Tanzania …","Murid rodents of the genus Aethomys are one of the most common rodents in drier habitats in subSaharan Africa. Among them, the red veld rat Aethomys chrysophilus is the most widespread species with the core distribution located in the Zambezian bioregion. In this study, we describe phylogeographic structure of the species and estimate its age from a time-calibrated phylogeny of the genus. Seven parapatric clades were identified in the mitochondrial cytochrome b phylogeny, where some of the distributions of these clades have been separated by previously described biogeographical divides (Zambezi-Kafue river system, Rukwa Rift and the Eastern Arc Mountains). One internal Glade corresponded to populations previously described as a distinct species, Aethomys ineptus. The whole A. chrysophilus complex was estimated to be 1.3 (0.5-2.4) Mya old, with A. ineptus originating 0.7 (0.1-1.4) Mya before present. The internal position of A. ineptus was also recovered in phylogenetic reconstruction based on two nuclear genes and thus it is not a consequence of mitochondrial introgression. In addition, we analyzed skull form variation across the species' distributional range and found no significant difference between A. ineptus and the rest of A. chrysophilus complex."
