"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Eastern Afromontane Mammalian Diversity","https://scispace.com/paper/eLvG3BOdyHIJ","","","","MH Tsingalia","","","… this region is natural and explains why so much speciation has occurred. Studies by Stanley et al. (… There are also threatened primate species that include a subspecies of the owl-faced …",""
"Habitat fragmentation, patterns of diversity and phylogeography of small mammal species in the Albertine rift","https://scispace.com/paper/habitat-fragmentation-patterns-of-diversity-and-3t3xlez99w","2011","Dissertation","","Prince K. Kaleme","","https://scholar.sun.ac.za/bitstream/10019.1/18110/2/kaleme_habitat_2011.pdf","… The overall goal of this thesis is to further our knowledge on the Albertine Rift’s biodiversity for … but the rifting produced cold and wet Afromontane conditions favorable for the spread of …",""
"Mitochondrial genetic diversity and divergence dating of Angolan colobus monkeys (Colobus angolensis) in the eastern forests of Kenya and Tanzania: Implications …","https://scispace.com/paper/VIx9fkSWwzoJ","","","","MM McDonald
PMK Cunneyworth","","","… is more than that of other primate subspecies. Analysis of molecular … reaching the northern Eastern Arc Mountains and the … We characterized the phylogenetic and population genetics by …",""
"Phylogenetic diversity and the conservation biogeography of African primates","https://scispace.com/paper/phylogenetic-diversity-and-the-conservation-biogeography-of-2iel4cm4m5","2007","Journal Article","Journal of Biogeography","Keriann C. McGoogan
Tracy L. Kivell
Matthew Hutchison
Hilary C. Young
Sean Blanchard
Margaret Keeth
Shawn M. Lehman","10.1111/J.1365-2699.2007.01759.X","http://individual.utoronto.ca/slehman/files/Download/Phylogenetic%20diversity%20and%20the%20conservation%20biogeography%20of%20African%20primates.pdf","… , biodiversity … for primate species based on phylogenetic diversity (PD). We compare the results obtained using our PD method with the IUCN conservation priorities for African primates. …","Aim Phylogenetics has an important role in conservation biogeography.
However, there are few data on the phylogenetic diversity of African primates.
The phylogenetic diversity (PD) of a species is a measure of its taxonomic
distinctness and can be estimated by looking at the phylogenetic relationships
among taxa. Species-specific metrics on PD can then be used to determine
conservation priorities at various biogeographical scales. We used PD metrics to
rank 55 African primate species according to their conservation priorities at the
country level and within six African biogeographical regions. We also addressed
the following question: are there differences in conservation rankings between the
IUCN Red List and our PD metrics?
Location Africa.
Methods We created a consensus phylogeny for all African primate clades based
on genetic studies. Analyses of species distributions were determined using
presence/absence scores at two levels: country and biogeographical region.
A node-based method that standardizes for widespread taxa and endemicity was
used to calculate PD indices. Hierarchical cluster analysis was used to convert one
of the standardized, phylogenetic indices into three clusters that could be ranked
and compared with the main IUCN conservation rankings of endangered,
vulnerable, and lower risk.
Results At the country and region levels, the top-priority species in terms of PD are
Pan paniscus, Macaca sylvanus, Arctocebus calabarensis, Gorilla beringei, Arctocebus
aureus, Allenopithecus nigroviridis, Gorilla gorilla, Procolobus verus, Cercopithecus
solatus, Cercocebus galeritus, Colobus angolensis, Theropithecus gelada, Galagoides
zanzibaricus, Galagoides granti, and Procolobus (Piliocolobus) badius. Geographic
rankings were highest for the Democratic Republic of the Congo (country level) and
Central Africa (region level). Although there were no overall differences between
IUCN conservation ranks and the PD rankings, there were significant differences
between the two systems for vulnerable and endangered primate taxa.
Main conclusions There are few ecological and behavioural data on populations
of some of the African primates that represent the highest levels of phylogenetic
diversity. Studies of primate taxa with high PD rankings should focus on
identifying sites suitable for intensive studies of population densities, feeding
ecology, and reproductive behaviour. We suggest that PD metrics can serve as an
important, complementary data set in the IUCN ranking system for primates."
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","https://www.nature.com/articles/srep45749.pdf","… iv) provide insights into the phylogeography of an Afromontane epiphytic species. Since the epiphytic growth of this species is tied to dominant tree species of the Afromontane forests, it …","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest."
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/jbi.12846","… Miocene and Early Pliocene in the Eastern Arc Mountains and coastal forests. This … primate biodiversity and at exploring the ecological and evolutionary factors that drive diversification …","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
"A review of endemic species in the Eastern Arc Afromontane Region: Importance, inferences, and conservation","https://scispace.com/paper/a-review-of-endemic-species-in-the-eastern-arc-afromontane-3v5i512pmf","2008","","","Carl Skarbek","","https://digitalcommons.macalester.edu/cgi/viewcontent.cgi?article=1002&context=biogeography","… explanation is that the Eastern Arc has had elevated rates of in situ speciation. For … Eastern Arc also rely on the biodiversity for basic needs and survival, and if biodiversity …","The Eastern Arc mountain region has been identified as one of the top 25 biodiversity “hotspots” worldwide, and contains a large proportion of endemic species The endemic species are invaluable resources This review paper will explore and discuss the possible theories behind the high rate of endemism The importance of these endemics to local peoples and to the greater global community has been studied thoroughly, and these results are presented in further detail in this paper The Eastern Arc is also facing many problems that are threatening the biodiversity and rare endemic species of this region Human expansion into natural habitat, as well as deforestation and forest fragmentation are among the most pressing issues The causes and impacts of these issues will be explored and suggestions for the protection and conservation of endemic species and biodiversity will be discussed"
"Impact of habitat fragmentation on the spatial structure of the Eastern Arc forests in East Africa: Implications for biodiversity conservation","https://scispace.com/paper/impact-of-habitat-fragmentation-on-the-spatial-structure-of-2qe0ebznxe","2018","Journal Article","Biodiversity and Conservation","William D. Newmark
Phoebe B. McNeally","10.1007/S10531-018-1498-X","https://www.researchgate.net/profile/William-Newmark/publication/322525062_Impact_of_habitat_fragmentation_on_the_spatial_structure_of_the_Eastern_Arc_forests_in_East_Africa_implications_for_biodiversity_conservation/links/5c54ab0992851c22a3a14490/Impact-of-habitat-fragmentation-on-the-spatial-structure-of-the-Eastern-Arc-forests-in-East-Africa-implications-for-biodiversity-conservation.pdf","… are, as are many other tropical biodiversity hotspots, highly … Forest area across the 13 Eastern Arc Mountains is 405,852 … The 18 largest forest fragments in the Eastern Arc Mountains …","The Eastern Arc Mountains in Tanzania and Kenya are one of 35 global biodiversity hotspots. The Eastern Arc forests are, as are many other tropical biodiversity hotspots, highly fragmented. Understanding the impact of habitat fragmentation (i.e., habitat loss and subdivision) on the spatial structure of the Eastern Arc forests is important because forest spatial structure highly influences species richness, persistence, and extinction debt. Here we examine the impact of habitat fragmentation on the spatial structure of the Eastern Arc forests at a patch scale using very high resolution aerial imagery having a spatial resolution of 0.5–1.5 m. Forest area across the 13 Eastern Arc Mountains is 405,852 ha and is distributed into 311 fragments ≥ 10 ha in size with a median fragment size of 84 ha. The 18 largest forest fragments in the Eastern Arc Mountains contain greater than three-quarters of total forest area. Average fragment isolation, as assessed by median distance to nearest fragment and median distance to the nearest larger fragment, is 867 and 1533 m, respectively. Of total forest area, 14% is < 100 m from the forest edge and 33% is < 300 m from the forest edge. Establishing forested linkages among the largest and closest forest fragments through forest regeneration and protection of secondary regenerating forest as well as providing protected area status to the remaining non-protected forest including unprotected smaller forest fragments are important to enhancing the long-term persistence of many plant and animal species here."
"Phylogenetic patterns of extinction risk in the eastern arc ecosystems, an African biodiversity hotspot","https://scispace.com/paper/phylogenetic-patterns-of-extinction-risk-in-the-eastern-arc-5fldrfe11i","2012","Journal Article","PLOS ONE","Kowiyou Yessoufou
Barnabas H. Daru
T. Jonathan Davies","10.1371/JOURNAL.PONE.0047082","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0047082&type=printable","… phylogenetic tree of angiosperm species of the Eastern Arc Mountains – an important African biodiversity hotspot … We provide evidence for both taxonomic and phylogenetic selectivity in …","There is an urgent need to reduce drastically the rate at which biodiversity is declining worldwide. Phylogenetic methods are increasingly being recognised as providing a useful framework for predicting future losses, and guiding efforts for preemptive conservation actions. In this study, we used a reconstructed phylogenetic tree of angiosperm species of the Eastern Arc Mountains ‐ an important African biodiversity hotspot ‐ and described the distribution of extinction risk across taxonomic ranks and phylogeny. We provide evidence for both taxonomic and phylogenetic selectivity in extinction risk. However, we found that selectivity varies with IUCN extinction risk category. Vulnerable species are more closely related than expected by chance, whereas endangered and critically endangered species are not significantly clustered on the phylogeny. We suggest that the general observation for taxonomic and phylogenetic selectivity (i.e. phylogenetic signal, the tendency of closely related species to share similar traits) in extinction risks is therefore largely driven by vulnerable species, and not necessarily the most highly threatened. We also used information on altitudinal distribution and climate to generate a predictive model of at-risk species richness, and found that greater threatened species richness is found at higher altitude, allowing for more informed conservation decision making. Our results indicate that evolutionary history can help predict plant susceptibility to extinction threats in the hyper-diverse but woefully-understudied Eastern Arc Mountains, and illustrate the contribution of phylogenetic approaches in conserving African floristic biodiversity where detailed ecological and evolutionary data are often lacking."
"Genetic variation of the most abundant forest‐dwelling rodents in Central Africa (Praomys jacksoni complex): Evidence for Pleistocene refugia in both montane and …","https://scispace.com/paper/sWH_pDSFAy4J","","","","D Mizerovská
V Nicolas
TC Demos","","","… and diversification in forest refugia. There is little support for ecological parapatric speciation or … On the other hand, Eastern Afromontane forests are geographically much less extensive …",""
