"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Why do tropical mountains support exceptionally high biodiversity? The Eastern Arc mountains and the drivers of Saintpaulia diversity.","https://scispace.com/paper/why-do-tropical-mountains-support-exceptionally-high-aai603p0n5","2012","Journal Article","PLOS ONE","Dimitar Dimitrov
David Nogués-Bravo
Nikolaj Scharff","10.1371/JOURNAL.PONE.0048908","","We combine information about the evolutionary history and distributional patterns of the genus Saintpaulia H. Wendl. (Gesneriaceae; 'African violets') to elucidate the factors and processes behind the accumulation of species in tropical montane areas of high biodiversity concentration. We find that high levels of biodiversity in the Eastern Arc Mountains are the result of pre-Quaternary speciation processes and environmental stability. Our results support the hypothesis that climatically stable mountaintops may have acted as climatic refugia for lowland lineages during the Pleistocene by preventing extinctions. In addition, we found evidence for the existence of lowland micro-refugia during the Pleistocene, which may explain the high species diversity of East African coastal forests. We discuss the conservation implications of the results in the context of future climate change.","It is found that high levels of biodiversity in the Eastern Arc Mountains are the result of pre-Quaternary speciation processes and environmental stability, and the hypothesis that climatically stable mountaintops may have acted as climatic refugia for lowland lineages during the Pleistocene by preventing extinctions is supported."
"From Pleistocene Corridors to Isolated Peaks and Back: Biogeography of <i>Afrocarduus</i> (Compositae) in the Afromontane Archipelago","https://scispace.com/paper/from-pleistocene-corridors-to-isolated-peaks-and-back-bu6z4vncqvps","2025","Journal Article","Journal of Biogeography","Lucía D. Moreyra
Cristina Roquet
Alfonso Susanna
Siri Birkeland
Carme Blanco‐Gavaldà
Christian Brochmann
Desalegn Chala
Mercè Galbany‐Casals
Abel Gizaw
Juan Antonio Calleja","10.1111/jbi.70045","","ABSTRACT Aim We investigated the biogeographic history and diversification dynamics of Afrocarduus , an Afromontane–Afroalpine genus endemic to eastern Africa. We aimed to assess the roles of geographic isolation, habitat transitions, and ecological speciation in shaping current diversity. Location The Afromontane and Afroalpine regions of East Africa and Ethiopia are situated along the Great Rift Valley system. Taxon Afrocarduus (Compositae: Carduinae), a genus comprising 18 endemic species. Methods We conducted a comprehensive taxonomic and geographic sampling of Afrocarduus , generating data from 489 nuclear loci. Phylogenomic and biogeographic ancestral estimation analyses were performed to infer the evolutionary history and historical biogeography of the genus. Results Afrocarduus originated in the Afromontane zone of eastern Africa during the Late Miocene (~10.7 Ma), with major diversification events occurring in the Early Pleistocene (~2.3 Ma). Most dispersal events occurred between neighbouring massifs, though occasional long‐distance dispersal between disjunct mountain systems was detected. The Turkana Depression and the Great Rift Valley have acted as major biogeographic barriers. Phylogenetic structure shows distinct clades occupying different regions. Ecological divergence between Afromontane and Afroalpine environments contributed to speciation, with at least six independent adaptations to Afroalpine conditions and multiple cases of ecological reversal. Stem loss, a trait associated with alpine habitats, evolved convergently in two clades. Closely related species often segregate by elevation or microhabitat within the same massif. Main Conclusions The diversification of Afrocarduus has been shaped by a combination of historical climate change, geographic isolation, and ecological adaptation. Our results emphasise the importance of ecological speciation and habitat transitions in Afrotemperate plant evolution and highlight the need for further research on understudied Afromontane taxa, especially under the threat of ongoing climate change. ","This study investigates the biogeographic history of Afrocarduus, an eastern African genus, revealing Late Miocene origins, Early Pleistocene diversification, and ecological speciation driven by habitat transitions and geographic isolation."
"Late Quaternary Montane Forest Dynamics From Equatorial East Africa: A Biome Perspective","https://scispace.com/paper/late-quaternary-montane-forest-dynamics-from-equatorial-east-8x3nbr5rocmp","2025","Journal Article","Journal of Biogeography","Esther Githumbi
Jemma M. Finch
Rahab Kinyanjui
Colin Courtney‐Mustaphi
Paul Musili
Stephen M. Rucina
Julius Lejju
Peter Liljenberg
Rob Marchant","10.1111/jbi.15173","","Understanding environmental change over large spatial and temporal scales requires working at a broad ecological scale to enable cross‐site comparisons. This allows data‐based comparisons to dynamic vegetation model outputs, with utility for climate and land cover modelling. We synthesise multisite pollen data at the biome level to understand Equatorial Afromontane ecosystem response to climate change over the last 50,000 years and quantitatively document the timing, character and spatial patterns of ecosystem transitions.","This study synthesizes multisite pollen data to understand Equatorial Afromontane ecosystem responses to climate change over 50,000 years, enabling cross-site comparisons and informing climate and land cover modeling at a broad ecological scale."
"Climate Cycles, Habitat Stability, and Lineage Diversification in an African Biodiversity Hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands.","In this paper , the evolutionary processes behind the diversity of birds in the Eastern Arc Mountains of Tanzania and Kenya were investigated using molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests, and it was shown that three periods of forest contraction and expansion affected the diversification of Eastern Arc birds."
"Environmental correlates of phylogenetic endemism in amphibians and the conservation of refugia in the Coastal Forests of Eastern Africa","https://scispace.com/paper/environmental-correlates-of-phylogenetic-endemism-in-4p2lwvf1cq","2017","Journal Article","Diversity and Distributions","Christopher D. Barratt
Christopher D. Barratt
Beryl A. Bwong
Renske E. Onstein
Dan F. Rosauer
Michele Menegon
Nike Doggart
Peter Nagel
W. Daniel Kissling
Simon P. Loader
Simon P. Loader
Simon P. Loader","10.1111/DDI.12582","","Aims
To quantify the spatial distribution of amphibian phylogenetic endemism (PE), an indicator of potential refugia, to test PE for correlations with current and historical environmental predictors, and to evaluate the effectiveness of current protected areas at conserving evolutionary history

Location
Coastal Forests of Eastern Africa (CFEA) and the adjacent low-elevation Eastern Afromontane (EA)

Methods
We integrated new and existing spatial and phylogenetic data to map PE for almost the full amphibian assemblage (41 of 55 species), including 35 intraspecific lineages from several species and complexes showing high phylogeographic structure Using spatial and non-spatial regressive models, we tested whether PE can be predicted by measures of Quaternary climate change, forest stability, topographic heterogeneity and current climate PE results were intersected with the protected area network to evaluate current conservation effectiveness

Results
We detect refugia in Tanzania and coastal Kenya previously identified as CFEA centres of endemism but also new areas (lowland Tanga region and Pangani river, Zaraninge forest, Mafia island, Matumbi hills) Results show that refugia for amphibians (high PE) are located in areas with long-term Quaternary climate stability and benign current climate (high precipitation of driest quarter, high annual precipitation), with climatically unstable areas demonstrating low PE Conservation analyses revealed that ten PE hotspots account for over 25% of the total PE, but only small parts of these areas are under conservation protection

Main Conclusions
Utilizing cryptic diversity from novel phylogeographic data and distribution modelling improves our understanding of endemism patterns, with climate stability being strongly correlated with the distribution of PE Our analyses point towards high PE areas being refugia, which require an urgent need to consolidate protected areas within centres of endemism in this highly threatened biodiversity hotspot","In this article, the spatial distribution of amphibian phylogenetic endemism (PE), an indicator of potential refugia, was quantified to evaluate the effectiveness of current protected areas at conserving evolutionary history."
"Vanishing refuge? Testing the forest refuge hypothesis in coastal East Africa using genome-wide sequence data for seven amphibians.","https://scispace.com/paper/vanishing-refuge-testing-the-forest-refuge-hypothesis-in-2gkjxwncf2","2018","Journal Article","Molecular Ecology","Christopher D. Barratt
Beryl A. Bwong
Robert Jehle
H. Christoph Liedtke
H. Christoph Liedtke
Peter Nagel
Renske E. Onstein
Daniel M. Portik
Daniel M. Portik
Jeffrey W. Streicher
Simon P. Loader
Simon P. Loader","10.1111/MEC.14862","","High‐throughput sequencing data have greatly improved our ability to understand the processes that contribute to current biodiversity patterns The “vanishing refuge” diversification model is speculated for the coastal forests of eastern Africa, whereby some taxa have persisted and diversified between forest refugia, while others have switched to becoming generalists also present in non‐forest habitats Complex arrangements of geographical barriers (hydrology and topography) and ecological gradients between forest and non‐forest habitats may have further influenced the region's biodiversity, but elucidation of general diversification processes has been limited by lack of suitable data Here, we explicitly test alternative diversification modes in the coastal forests using genome‐wide single nucleotide polymorphisms, mtDNA, spatial and environmental data for three forest (Arthroleptis xenodactyloides, Leptopelis flavomaculatus and Afrixalus sylvaticus) and four generalist (Afrixalus fornasini, A delicatus, Leptopelis concolor, L argenteus) amphibians Multiple analyses provide insight about divergence times, spatial population structure, dispersal barriers, environmental stability and demographic history We reveal highly congruent intra‐specific diversity and population structure across taxa, with most divergences occurring during the late Pliocene and Pleistocene Although stability models support the existence of some forest refugia, dispersal barriers and demographic models point toward idiosyncratic diversification modes across taxa We identify a consistent role for riverine barriers in the diversification of generalist taxa, but mechanisms of diversification are more complex for forest taxa and potentially include topographical barriers, forest refugia and ecological gradients Our work demonstrates the complexity of diversification processes in this region, which vary between forest and generalist taxa, but also for ecologically similar species with shared population boundaries","This work tests alternative diversification modes in the coastal forests of eastern Africa using genome‐wide single nucleotide polymorphisms, mtDNA, spatial and environmental data for three forest and four generalist amphibians and reveals highly congruent intra‐specific diversity and population structure across taxa."
"Biodiversity patterns and conservation of the coastal forests of Eastern Africa","https://scispace.com/paper/biodiversity-patterns-and-conservation-of-the-coastal-32y68k25y7","2017","Dissertation","","Christopher D. Barratt","10.5451/UNIBAS-006724218","","The earth is in the midst of a sixth major extinction crisis with biodiversity highly threatened by climate change at global scales. Biodiversity is crucial to humans due to the ecosystem functioning and services it provides, and therefore the conservation of biodiversity is paramount to human prosperity in in the future. This PhD thesis uses amphibians to examine biodiversity patterns across the Coastal Forests of Eastern Africa (CFEA), a global biodiversity hotspot. The CFEA comprises of a network of tiny fragmented forest patches thought to be the remnants of a once widespread tropical forest that spanned across tropical Africa from West to East prior to major tectonic activity in the Miocene. The gradual aridification of the African continent since then, combined with significant climate and sea level oscillations during the Pliocene and Pleistocene contributed to the natural fragmentation of the CFEA, but human impacts have severely accelerated the pace of forest loss. The work in this thesis integrates field work, taxonomy, morphology, molecular techniques and spatial data to measure biodiversity across the CFEA, explain its distribution and provide a conceptual framework in which this data can be usefully applied for future conservation efforts. A broad scale DNA barcoding project forms the basis of all work in the thesis, assimilating museum specimens and archived spatial records with newly collected data from recent fieldwork to create the most thorough inventory of the CFEA amphibians currently known. Chapter 1 focuses on the use of Next Generation Sequencing (NGS) data for five widespread species clades to estimate phylogeny and population structure, genetic distances between populations, and explain these patterns using long-term environmental data. Chapter 2 maps the spatial distribution of evolutionary history measured from phylogenetic branch lengths for multiple intraspecific lineages within species, highlighting places which appear to be refugia and examining their environmental correlates and conservation. Chapter 3 uses close to the full assemblage of Tanzania and Kenya (55 species) to categorize the types of endemism present, distinguishing areas that are ‘museums’ supporting ancient diversity (paleo-endemism) from ‘cradles’ that support recently evolved diversity (neo-endemism). Chapter 4 combines morphological, genetic and spatial data to describe a new endemic species of treefrog, Hyperolius ruvuensis, from a highly threatened reserve in coastal Tanzania. A synthesis chapter summarises the work in the thesis and outlines new directions for CFEA conservation.","In this paper, the authors use amphibians to examine biodiversity patterns across the Coastal Forests of Eastern Africa (CFEA), a global biodiversity hotspot, and explain its distribution and provide a conceptual framework in which this data can be usefully applied for future conservation efforts."
"Sequential Fragmentation of Pleistocene Forests in an East Africa Biodiversity Hotspot: Chameleons as a Model to Track Forest History","https://scispace.com/paper/sequential-fragmentation-of-pleistocene-forests-in-an-east-58uvqhpw2t","2011","Journal Article","PLOS ONE","G. John Measey
Krystal A. Tolley","10.1371/JOURNAL.PONE.0026606","","Background: The Eastern Arc Mountains (EAM) is an example of naturally fragmented tropical forests, which contain one of the highest known concentrations of endemic plants and vertebrates. Numerous paleo-climatic studies have not provided direct evidence for ancient presence of Pleistocene forests, particularly in the regions in which savannah presently occurs. Knowledge of the last period when forests connected EAM would provide a sound basis for hypothesis testing of vicariance and dispersal models of speciation. Dated phylogenies have revealed complex patterns throughout EAM, so we investigated divergence times of forest fauna on four montane isolates in close proximity to determine whether forest break-up was most likely to have been simultaneous or sequential, using population genetics of a forest restricted arboreal chameleon, Kinyongia boehmei. Methodology/Principal Findings: We used mitochondrial and nuclear genetic sequence data and mutation rates from a fossil-calibrated phylogeny to estimate divergence times between montane isolates using a coalescent approach. We found that chameleons on all mountains are most likely to have diverged sequentially within the Pleistocene from 0.93–0.59 Ma (95% HPD 0.22–1.84 Ma). In addition, post-hoc tests on chameleons on the largest montane isolate suggest a population expansion ,182 Ka. Conclusions/Significance: Sequential divergence is most likely to have occurred after the last of three wet periods within the arid Plio-Pleistocene era, but was not correlated with inter-montane distance. We speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region’s historic dispersal events. The population expansion coincides with nearby volcanic activity, which may also explain the relative paucity of the Taita’s endemic fauna. Our study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma.","This study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma, and speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region's historic dispersal events."
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest.","The importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest, are highlighted."
"Persistence and stability of Eastern Afromontane forests: evidence from brevicipitid frogs","https://scispace.com/paper/persistence-and-stability-of-eastern-afromontane-forests-35zn64fcs3","2014","Journal Article","Journal of Biogeography","Simon P. Loader
F. Sara Ceccarelli
Michele Menegon
Kim M. Howell
Roman Kassahun
Abebe Ameha Mengistu
Samy A. Saber
Fikirte Gebresenbet
Rafael O. de Sá
Tim R.B. Davenport
Joanna G. Larson
Hendrik Müller
Mark Wilkinson
David J. Gower","10.1111/JBI.12331","","Aim

The persistence and stability of habitats through time are considered predictors of high levels of biodiversity in some environments. Long-term habitat persistence and stability may explain the species-rich, endemic forest fauna and flora of the Eastern Afromontane Biodiversity Region (EABR). Using complementary phylogenetic and biogeographical approaches, we examine evolutionary patterns in EABR brevicipitid frogs. Using these data, we test whether brevicipitid history reflects patterns of long-term forest persistence and/or stability across the EABR.



Location

East Africa.



Methods

A dated phylogeny for brevicipitids was constructed using two nuclear and three mitochondrial markers. Alternative diversification models were used to determine signal for constant or varying net diversification rates. Using our dated tree, we identified areas of high phylogenetic diversity (PD), and inferred ancestral areas using likelihood and Bayesian approaches.



Results

Brevicipitids have a long history, with generic diversification among extant lineages pre-dating the Oligocene (> 33 Ma). Ancestral-area reconstructions indicate the presence of brevicipitids in the EABR since the Oligocene, and support a scenario of palaeoendemics surviving in EABR refugia. Ancestral-area reconstructions indicate that the central Eastern Arc Mountains (EAM) formed the initial centre of diversification of forest brevicipitids. Measures of PD show that diversity varies across the EABR but is highest in the EAM. Constant net diversification rate in brevicipitids is a significantly better fit than alternative, rate-variable models.



Main conclusions

The degree of persistence of forest habitats appears to be a contributing factor to the varying levels of diversity across the EABR in brevicipitids (and other organisms). In contrast to the Southern Highlands and Ethiopian Bale Mountains, the EAM stands out as an area that enabled the constant accumulation of brevicipitid species over a long period of time.","The degree of persistence of forest habitats appears to be a contributing factor to the varying levels of diversity across the EABR in brevicipitids (and other organisms)."
