"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Late Quaternary Montane Forest Dynamics From Equatorial East Africa: A Biome Perspective","https://scispace.com/paper/late-quaternary-montane-forest-dynamics-from-equatorial-east-8x3nbr5rocmp","2025","Journal Article","Journal of Biogeography","Esther Githumbi
Jemma M. Finch
Rahab Kinyanjui
Colin Courtney‐Mustaphi
Paul Musili
Stephen M. Rucina
Julius Lejju
Peter Liljenberg
Rob Marchant","10.1111/jbi.15173","","Understanding environmental change over large spatial and temporal scales requires working at a broad ecological scale to enable cross‐site comparisons. This allows data‐based comparisons to dynamic vegetation model outputs, with utility for climate and land cover modelling. We synthesise multisite pollen data at the biome level to understand Equatorial Afromontane ecosystem response to climate change over the last 50,000 years and quantitatively document the timing, character and spatial patterns of ecosystem transitions.","This study synthesizes multisite pollen data to understand Equatorial Afromontane ecosystem responses to climate change over 50,000 years, enabling cross-site comparisons and informing climate and land cover modeling at a broad ecological scale."
"A tale of the nearly tail‐less: the effects of Plio‐Pleistocene climate change on the diversification of the African avian genus Sylvietta","https://scispace.com/paper/a-tale-of-the-nearly-tail-less-the-effects-of-plio-aqkmzgvdts","2017","Journal Article","Zoologica Scripta","Jerry W. Huntley
Gary Voelker","10.1111/ZSC.12240","","Sylvietta is a broadly distributed group of African species inhabiting a wide range of habitats and presents an interesting opportunity to investigate the historic mechanisms that have impacted the biogeography of African avian species. We collected sequence data from 50 individuals and used model-based phylogenetic methods, molecular divergence estimates and ancestral area estimates to construct a time-calibrated phylogeny and estimation of biogeographic history. We estimate a southern African origin for Sylvietta, with an initial divergence splitting the genus into two clades. The first consists of arid-adapted species, with a southern African origin and subsequent diversification north into Ethiopia–Somalia. The second clade is estimated as having a Congolian forest origin with an eastward pattern of colonization and diversification as a result of Plio-Pleistocene forest dynamics. Additionally, two members of the genus Sylvietta display interesting patterns of intraspecific diversification. Sylvietta rufescens is an arid-adapted species inhabiting southern Africa, and we recover two subclades with a divergence dating to the Pleistocene, a unique pattern for avian species which may be explained via isolation in arid habitat fragments in the early Pleistocene. Second, Sylvietta virens, a species endemic to Afro-tropical forests, is recovered with geographically structured genetic diversification across its broad range, an interesting result given that recent investigations of several avian forest species have found similar and substantial geographically structured genetic diversity relating to Plio-Pleistocene forest fragmentation. Overall, Plio-Pleistocene habitat cycling played a significant role in driving diversification in Sylvietta, and this investigation highlights the substantial impact of climate-driven habitat dynamics on the history of sub-Saharan species.","Overall, Plio‐Pleistocene habitat cycling played a significant role in driving diversification in Sylvietta, and this investigation highlights the substantial impact of climate‐driven habitat dynamics on the history of sub‐Saharan species."
"Vanishing refuge? Testing the forest refuge hypothesis in coastal East Africa using genome-wide sequence data for seven amphibians.","https://scispace.com/paper/vanishing-refuge-testing-the-forest-refuge-hypothesis-in-2gkjxwncf2","2018","Journal Article","Molecular Ecology","Christopher D. Barratt
Beryl A. Bwong
Robert Jehle
H. Christoph Liedtke
H. Christoph Liedtke
Peter Nagel
Renske E. Onstein
Daniel M. Portik
Daniel M. Portik
Jeffrey W. Streicher
Simon P. Loader
Simon P. Loader","10.1111/MEC.14862","","High‐throughput sequencing data have greatly improved our ability to understand the processes that contribute to current biodiversity patterns The “vanishing refuge” diversification model is speculated for the coastal forests of eastern Africa, whereby some taxa have persisted and diversified between forest refugia, while others have switched to becoming generalists also present in non‐forest habitats Complex arrangements of geographical barriers (hydrology and topography) and ecological gradients between forest and non‐forest habitats may have further influenced the region's biodiversity, but elucidation of general diversification processes has been limited by lack of suitable data Here, we explicitly test alternative diversification modes in the coastal forests using genome‐wide single nucleotide polymorphisms, mtDNA, spatial and environmental data for three forest (Arthroleptis xenodactyloides, Leptopelis flavomaculatus and Afrixalus sylvaticus) and four generalist (Afrixalus fornasini, A delicatus, Leptopelis concolor, L argenteus) amphibians Multiple analyses provide insight about divergence times, spatial population structure, dispersal barriers, environmental stability and demographic history We reveal highly congruent intra‐specific diversity and population structure across taxa, with most divergences occurring during the late Pliocene and Pleistocene Although stability models support the existence of some forest refugia, dispersal barriers and demographic models point toward idiosyncratic diversification modes across taxa We identify a consistent role for riverine barriers in the diversification of generalist taxa, but mechanisms of diversification are more complex for forest taxa and potentially include topographical barriers, forest refugia and ecological gradients Our work demonstrates the complexity of diversification processes in this region, which vary between forest and generalist taxa, but also for ecologically similar species with shared population boundaries","This work tests alternative diversification modes in the coastal forests of eastern Africa using genome‐wide single nucleotide polymorphisms, mtDNA, spatial and environmental data for three forest and four generalist amphibians and reveals highly congruent intra‐specific diversity and population structure across taxa."
"Cooling-induced expansions of Afromontane forests in the Horn of Africa since the Last Glacial Maximum","https://scispace.com/paper/cooling-induced-expansions-of-afromontane-forests-in-the-3nwqcasi","2023","Journal Article","Dental science reports","Manuel Casas-Gallego
Karen Hahn
Katharina Neumann
Sebsebe Demissew
Marco Schmidt
Stéphanie Bodin
Angela A Bruch","10.1038/s41598-023-37135-8","","Understanding the changing plant ecosystems that existed in East Africa over the past millennia is crucial for identifying links between habitats and past human adaptation and dispersal across the region. In the Horn of Africa, this task is hampered by the scarcity of fossil botanical data. Here we present modelled past vegetation distributions in Ethiopia from the Last Glacial Maximum (LGM) to present at high spatial and temporal resolution. The simulations show that, contrary to long-standing hypotheses, the area covered by Afromontane forests during the Late Glacial was significantly larger than at present. The combined effect of low temperatures and the relative rainfall contribution sourced from the Congo Basin and Indian Ocean, emerges as the mechanism that controlled the migration of Afromontane forests to lower elevations. This process may have enabled the development of continuous forest corridors connecting populations that are currently isolated in mountainous areas over the African continent. Starting with the Holocene, the expansion of forests began to reverse. This decline intensified over the second half of the Holocene leading to a retreat of the forests to higher elevations where they are restricted today. The simulations are consistent with proxy data derived from regional pollen records and provide a key environmental and conceptual framework for human environmental adaptation research. ","In this paper , the authors modelled past vegetation distributions in Ethiopia from the Last Glacial Maximum (LGM) to present at high spatial and temporal resolution, showing that the area covered by Afromontane forests during the Late Glacial was significantly larger than at present."
"Climate Cycles, Habitat Stability, and Lineage Diversification in an African Biodiversity Hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands.","In this paper , the evolutionary processes behind the diversity of birds in the Eastern Arc Mountains of Tanzania and Kenya were investigated using molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests, and it was shown that three periods of forest contraction and expansion affected the diversification of Eastern Arc birds."
"A 37,500-year pollen record from Lake Malawi and implications for the biogeography of afromontane forests","https://scispace.com/paper/a-37-500-year-pollen-record-from-lake-malawi-and-4lndu0yme8","1998","Journal Article","Journal of Biogeography","George H. DeBusk","10.1046/J.1365-2699.1998.2530479.X","",". Two 10-metre cores were analysed and a 37,500 year pollen stratigraphy was established for Lake Malaŵi. A lowstand from 37,500 to 35,900 BP indicates extremely dry conditions. From 35,900 to 34,000 BP montane forests were widespread indicating cold, moist climate. Between 34,000 and 26,400 BP warm and dry conditions prevailed and forest area decreased. During the Last Glacial Maximum montane forest was widespread in the catchment, although woodlands apparently persisted at low altitudes: the expansion of the montane forest indicates that the aridity that affected equatorial Africa during this time period did not affect the Lake Malaŵi Catchment. The cold and relatively moist conditions during the Late Pleistocene probably allowed biotic interchange between the highlands of East and West Africa via the highlands along the Zaire—Zambezi watershed and among now-isolated islands of Afromontane vegetation in the Lake Malaŵi catchment. The Holocene is characterized by climate and vegetation quite similar to today, with indications of slightly wetter conditions between 6150 and 3000 bp and slightly drier conditions between 8000 and 6150 bp. The low percentages of montane forest pollen throughout the Holocene support the hypothesis that the montane grasslands of Malaŵi are not recently anthropogenic.","In this article, two 10-metre cores were analysed and a 37,500 year pollen stratigraphy was established for Lake Malaŵi, showing that during the last glacial maximum montane forest was widespread in the catchment, although woodlands apparently persisted at low altitudes."
"Comparative Population Genomics of African Montane Forest Mammals Support Population Persistence across a Climatic Gradient and Quaternary Climatic Cycles","https://scispace.com/paper/comparative-population-genomics-of-african-montane-forest-5eulia38sv","2015","Journal Article","PLOS ONE","Terrence C. Demos
Terrence C. Demos
Julian C. Kerbis Peterhans
Julian C. Kerbis Peterhans
Tyler A. Joseph
John D. Robinson
John D. Robinson
Bernard Agwanda
Michael J. Hickerson
Michael J. Hickerson","10.1371/JOURNAL.PONE.0131800","","The Eastern Afromontane biodiversity hotspot (EABH) has the highest concentration of biodiversity in tropical Africa, yet few studies have investigated recent historical diversification processes in EABH lineages. Herein, we analyze restriction-site associated DNA-sequences (RAD-Seq) to study recent historical processes in co-distributed mouse (Hylomyscus) and shrew (Sylvisorex) species complexes, with an aim to better determine how historical paleoenvironmental processes might have contributed to the EABH’s high diversity. We analyzed complete SNP matrices of > 50,000 RAD loci to delineate populations, reconstruct the history of isolation and admixture, and discover geographic patterns of genetic partitioning. These analyses demonstrate that persistently unsuitable habitat may have isolated multiple populations distributed across montane habitat islands in the Itombwe Massif and Albertine Rift to the west as well as Mt Elgon and Kenyan Highlands to the east. We detected low genetic diversity in Kenyan Highland populations of both genera, consistent with smaller historical population sizes in this region. We additionally tested predictions that Albertine Rift populations are older and more persistently isolated compared to the Kenyan Highlands. Phylogenetic analyses support greater historical isolation among Albertine Rift populations of both shrews and mice compared to the Kenyan Highlands and suggest that there are genetically isolated populations from both focal genera in the Itombwe Massif, Democratic Republic of Congo. The Albertine Rift ecoregion has the highest mammalian tropical forest species richness per unit area on earth. Our results clearly support accelerating efforts to conserve this diversity.","Analysis of restriction-site associated DNA-sequences (RAD-Seq) to study recent historical processes in co-distributed mouse and shrew species complexes suggests that there are genetically isolated populations from both focal genera in the Itombwe Massif and Albertine Rift ecoregion, Democratic Republic of Congo."
"Evolutionary and Ecological Explanations for the Elevational Flexibility of Several East African Bird Species Complexes","https://scispace.com/paper/evolutionary-and-ecological-explanations-for-the-elevational-v7av5a0pd8zo","","","","Jon Fjeldsa
Rauri C. K. Bowie","10.3389/fevo.2021.768062","","Africa’s montane areas are broken up into several large and small units, each isolated as forest-capped “sky islands” in a “sea” of dry lowland savanna. Many elements of their biota, including montane forest birds, are shared across several disjunct mountains, yet it has been difficult to rigorously define an Afromontane forest avifauna, or determine its evolutionary relationships with the birds of the surrounding lowland forests. In order to trace the historical relationship between lowland and highland avifaunas, we review cases of species or groups of closely related species with breeding populations at different elevations, and use phylogeographic methods to explore the historical connections between such populations within the biodiversity hotspot of East Africa. The study reveals several idiosyncratic patterns, but also a prominent number of cases of gene flow between populations in southern areas, mainly around the Malawi Rift, and mountains and coastal forests to the north, close to the equator. This may reflect more continuous past distributions through northern Mozambique and coastal Tanzania, or seasonal migrations between areas with different rainfall regimes. Over time, these distributional dynamics have resulted in a higher persistence of lineages, and an accumulation of forest-dependent lineages within the Eastern Arc Mountains of Tanzania and the northern part of the coastal forest mosaic.","This study explores the evolutionary relationships between East African bird species complexes across elevations, revealing gene flow between populations in southern areas and northern mountains, influenced by past distributional dynamics and rainfall regimes."
"Distribution patterns of land snails in Ugandan rain forests support the existence of Pleistocene forest refugia","https://scispace.com/paper/distribution-patterns-of-land-snails-in-ugandan-rain-forests-b1ohdj0sup","2008","Journal Article","Journal of Biogeography","Torsten Wronski
Bernhard Hausdorf","10.1111/J.1365-2699.2008.01933.X","","Aim We investigated whether the biogeographical patterns expected if the East African fauna was affected by cycles of contraction to refugia and expansion of ranges, as has been previously hypothesized, can be found in the land snail fauna of rain forests in Uganda.



Location  The Albertine Rift region and the Lake Victoria forest belt in Uganda.



Methods  Snails and slugs were sampled in 60 plots in 13 rain forests, and small species were extracted from 5-L leaf litter samples. Relative species richness was calculated by rarefaction. The influence of putative determinants of species richness was examined by bivariate correlation and multiple regression. Clustering and nestedness were tested by Monte Carlo simulations with a null model that considers the range size distribution, the species richness distribution of the forests, and the spatial autocorrelation of the occurrences of each species. Biotic elements were determined by model-based Gaussian clustering.



Results  A total of 169 land snail species were recorded from 13 Ugandan rain forests. Relative species richness increases with rainfall and altitude, and decreases with evaporation and distance from the putative East Congolian refugia. Mean annual rainfall and distance from the putative East Congolian refugia were included in the best multiple regression model. The distribution areas of the Ugandan land snails are significantly clustered. Two montane, two lowland and a northern biotic element were found. The mean range extension increases with increasing distance from the putative East Congolian refugia. Moreover, the ranges of the Ugandan land snails are significantly nested. The centre of the sets of nested subsets is in the Virunga Mountains, close to the putative East Congolian refugia.



Main conclusions  The decrease of diversity with increasing distance from the putative East Congolian refugia, the clustering and nestedness of ranges, and the range size increase with increasing distance from the refugia indicate that the East African land snail fauna was affected by cycles of contraction to refugia and expansion of ranges. The significant clustering and nestedness cannot be explained by current environmental conditions. Given the environmental history, it can be supposed that the lowland elements expanded post-glacially, whereas the ranges of the montane species are probably currently contracting.","In this article, the authors investigated whether the biogeographical patterns expected if the East African fauna was affected by cycles of contraction to refugia and expansion of ranges, as has been previously hypothesized, can be found in the land snail fauna of rain forests in Uganda."
"Congruent phylogeographical patterns of eight tree species in Atlantic Central Africa provide insights into the past dynamics of forest cover.","https://scispace.com/paper/congruent-phylogeographical-patterns-of-eight-tree-species-3bq4vwxz8p","2014","Journal Article","Molecular Ecology","Gilles Dauby
Jérôme Duminil
Jérôme Duminil
Miryam Heuertz
Miryam Heuertz
Guillaume K. Koffi
Guillaume K. Koffi
Tariq Stévart
Tariq Stévart
Olivier J. Hardy","10.1111/MEC.12724","","Cycles of Quaternary climatic change are assumed to be major drivers of African rainforest dynamics and evolution. However, most hypotheses on past vegetation dynamics relied on palaeobotanical records, an approach lacking spatial resolution, and on current patterns of species diversity and endemism, an approach confounding history and environmental determinism. In this context, a comparative phylogeographical study of rainforest species represents a complementary approach because Pleistocene climatic fluctuations may have left interpretable signatures in the patterns of genetic diversity within species. Using 1274 plastid DNA sequences from eight tree species (Afrostyrax kamerunensis, A. lepidophyllus, Erythrophleum suaveolens, Greenwayodendron suaveolens, Milicia excelsa, Santiria trimera, Scorodophloeus zenkeri and Symphonia globulifera) sampled in 50 populations of Atlantic Central Africa (ACA), we averaged divergence across species to produce the first map of the region synthesizing genetic distinctiveness and standardized divergence within and among localities. Significant congruence in divergence was detected mostly among five of the eight species and was stronger in the northern ACA. This pattern is compatible with a scenario of past forest fragmentation and recolonization whereby forests from eastern Cameroon and northeastern Gabon would have been more affected by past climatic change than those of western Cameroon (where one or more refugia would have occurred). By contrast, southern ACA (Gabon) displayed low congruence among species that may reflect less drastic past forest fragmentation or a more complex history of vegetation changes. Finally, we also highlight the potential impact of current environmental barriers on spatial genetic structures.","This work averages divergence across species to produce the first map of the region synthesizing genetic distinctiveness and standardized divergence within and among localities, and highlights the potential impact of current environmental barriers on spatial genetic structures."
