"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Climate change refugia hotspots for priority species: A case study in East Africa","https://scispace.com/paper/climate-change-refugia-hotspots-for-priority-species-a-case-pmhijsi99e1r","2025","Journal Article","Conservation science and practice","C. N. Cavalieri
Devolent Mtui
Alex Lobora
Toni Lyn Morelli","10.1111/csp2.70178","https://conbio.onlinelibrary.wiley.com/doi/pdf/10.1111/csp2.70178","… assessment of climate change refugia in Tanzania, addressing a critical gap in climate adaptation … : (1) the spatial distribution of climate change refugia for key species, (2) locations of …","Natural resource managers and policymakers need actionable climate data to guide conservation decisions. Conserving climate change refugia, areas relatively buffered from contemporary climate change, is increasingly considered an effective strategy for adaptation. Despite tropical species facing heightened vulnerability to climate change, the tropics remain underserved in climate adaptation research. We coproduced with Tanzanian partners the first comprehensive assessment of climate change refugia across Tanzania through extensive consultation, in‐person conversations, and field visits to priority ecosystems, ensuring our analysis addressed local conservation needs and decision‐making contexts. We developed species distribution models for 33 terrestrial animal species using maximum entropy and boosted regression tree algorithms. We projected future suitable habitats for SSP126 and SSP585, for 2011–2040 and 2071–2100, using GFDL Earth System and the UK Earth System models. More than half under SSP126 and 79% of focal species under SSP585 lost their suitable habitat by 2100. Serengeti National Park, Northern Highlands Forest Reserve, and the Eastern Arc Mountains emerged as key climate change refugia, while other protected areas, including Kigosi and Ugalla River National Parks, had no climate change refugia. This assessment provides actionable insights for Tanzania's conservation prioritization while identifying critical research gaps in western and montane ecosystems."
"A long‐standing Pleistocene refugium in southern Africa and a mosaic of refugia in East Africa: insights from mtDNA and the common eland antelope","https://scispace.com/paper/a-long-standing-pleistocene-refugium-in-southern-africa-and-1gcxaw1w9u","2010","Journal Article","Journal of Biogeography","Eline D. Lorenzen
Charles Masembe
Peter Arctander
Hans R. Siegismund","10.1111/J.1365-2699.2009.02207.X","https://www.jstor.org/stable/pdf/25654274.pdf","… the hypothesis of Pleistocene refugia occurring in East and … south and a mosaic of Pleistocene refugia in the east, verifying … of the common eland inhabiting East Africa could result from …","Aim Previous genetic studies of African savanna ungulates have indicated Pleistocene refugial areas in East and southern Africa, and recent palynological, palaeovegetation and fossil studies have suggested the presence of a long-standing refugium in the south and a mosaic of refugia in the east. Phylogeographic analysis of the common eland antelope, Taurotragus oryx (Bovidae), was used to assess these hypotheses and the existence of genetic signatures of Pleistocene climate change.



Location  The sub-Saharan savanna biome of East and southern Africa.



Methods  Mitochondrial DNA control-region fragments (414 bp) from 122 individuals of common eland were analysed to elucidate the phylogeography, genetic diversity, spatial population structuring, historical migration and demographic history of the species. The phylogeographic split among major genetic lineages was dated using Bayesian coalescent-based methods and a calibrated fossil root of 1.6 Ma for the split between the common eland and the giant eland, Taurotragus derbianus.



Results  Two major phylogeographic lineages comprising East and southern African localities, respectively, were separated by a net nucleotide distance of 4.7%. A third intermediate lineage comprised only three haplotypes, from Zimbabwe in southern Africa. The estimated mutation rate of 0.097 Myr−1 revealed a more recent common ancestor for the eastern lineage (0.21 Ma; 0.07–0.37) than for the southern lineage (0.35 Ma; 0.10–0.62). Compared with the latter, the eastern lineage showed pronounced geographic structuring, lower overall nucleotide diversity, higher population differentiation, and isolation-by-distance among populations.



Main conclusions  The data support the hypothesis of Pleistocene refugia occurring in East and southern Africa. In agreement with palynological, palaeovegetation and fossil studies, our data strongly support the presence of a longer-standing population in the south and a mosaic of Pleistocene refugia in the east, verifying the efficacy of genetic tools in addressing such questions. The more recent origin of the common eland inhabiting East Africa could result from colonization following extinction from the region. Only two other dated African ungulate phylogenies have been published, applying different methods, and the similarity of dates obtained from the three distinct approaches indicates a significant event c. 200 ka, which left a strong genetic signature across a range of ungulate taxa."
"Towards a comprehensive view on evolutionary refugia in West African rainforests","https://scispace.com/paper/towards-a-comprehensive-view-on-evolutionary-refugia-in-west-44cukn03e3k5","2025","Journal Article","Frontiers of biogeography","Mario Ernst
Mark-Oliver Rödel
Mozes P. K. Blom","10.21425/fob.18.139537","https://biogeography.pensoft.net/article/139537/download/pdf/","… refugia dynamics, predict species response to climate change and prioritise future climate refugia… Despite being overshadowed by research in Central or East Africa, studies on refugia …",""
"Environmental correlates of phylogenetic endemism in amphibians and the conservation of refugia in the Coastal Forests of Eastern Africa","https://scispace.com/paper/environmental-correlates-of-phylogenetic-endemism-in-4p2lwvf1cq","2017","Journal Article","Diversity and Distributions","Christopher D. Barratt
Christopher D. Barratt
Beryl A. Bwong
Renske E. Onstein
Dan F. Rosauer
Michele Menegon
Nike Doggart
Peter Nagel
W. Daniel Kissling
Simon P. Loader
Simon P. Loader
Simon P. Loader","10.1111/DDI.12582","https://www.academia.edu/download/115617213/ddi.pdf","… refugia where biodiversity has persisted during times of climatic instability. Given the extreme climate … , we hypothesize that measures of climate stability have a major influence on …","Aims
To quantify the spatial distribution of amphibian phylogenetic endemism (PE), an indicator of potential refugia, to test PE for correlations with current and historical environmental predictors, and to evaluate the effectiveness of current protected areas at conserving evolutionary history

Location
Coastal Forests of Eastern Africa (CFEA) and the adjacent low-elevation Eastern Afromontane (EA)

Methods
We integrated new and existing spatial and phylogenetic data to map PE for almost the full amphibian assemblage (41 of 55 species), including 35 intraspecific lineages from several species and complexes showing high phylogeographic structure Using spatial and non-spatial regressive models, we tested whether PE can be predicted by measures of Quaternary climate change, forest stability, topographic heterogeneity and current climate PE results were intersected with the protected area network to evaluate current conservation effectiveness

Results
We detect refugia in Tanzania and coastal Kenya previously identified as CFEA centres of endemism but also new areas (lowland Tanga region and Pangani river, Zaraninge forest, Mafia island, Matumbi hills) Results show that refugia for amphibians (high PE) are located in areas with long-term Quaternary climate stability and benign current climate (high precipitation of driest quarter, high annual precipitation), with climatically unstable areas demonstrating low PE Conservation analyses revealed that ten PE hotspots account for over 25% of the total PE, but only small parts of these areas are under conservation protection

Main Conclusions
Utilizing cryptic diversity from novel phylogeographic data and distribution modelling improves our understanding of endemism patterns, with climate stability being strongly correlated with the distribution of PE Our analyses point towards high PE areas being refugia, which require an urgent need to consolidate protected areas within centres of endemism in this highly threatened biodiversity hotspot"
"Ancient forest fragmentation or recent radiation? Testing refugial speciation models in chameleons within an African biodiversity hotspot","https://scispace.com/paper/ancient-forest-fragmentation-or-recent-radiation-testing-ij7ez47x49","2011","Journal Article","Journal of Biogeography","Krystal A. Tolley
Colin R. Tilbury
G. John Measey
Michele Menegon
William R. Branch
Conrad A. Matthee","10.1111/J.1365-2699.2011.02529.X","","… in refugia has contributed substantially to the remarkably high biodiversity of East Africa. … Overall, lineage diversification reflects vicariance through isolation in refugia, rendering the …","Aim East Africa is one of the most biologically diverse regions, especially in terms of endemism and species richness. Hypotheses put forward to explain this high diversity invoke a role for forest refugia through: (1) accumulation of new species due to radiation within refugial habitats, or (2) retention of older palaeoendemic species in stable refugia. We tested these alternative hypotheses using data for a diverse genus of East African forest chameleons, Kinyongia.



Location  East Africa.



Methods  We constructed a dated phylogeny for Kinyongia using one nuclear and two mitochondrial markers. We identified areas of high phylogenetic diversity (PD) and evolutionary diversity (ED), and mapped ancestral areas to ascertain whether lineage diversification could best be explained by vicariance or dispersal.



Results  Vicariance best explains the present biogeographic patterns, with divergence between three major Kinyongia clades (Albertine Rift, southern Eastern Arc, northern Eastern Arc) in the early Miocene/Oligocene (> 20 Ma). Lineage diversification within these clades pre-dates the Pliocene (> 6 Ma). These dates are much older than the Plio-Pleistocene climatic shifts associated with cladogenesis in other East African taxa (e.g. birds), and instead point to a scenario whereby palaeoendemics are retained in refugia, rather than more recent radiations within refugia. Estimates of PD show that diversity was highest in the Uluguru, Nguru and East Usambara Mountains and several lineages (from Mount Kenya, South Pare and the Uluguru Mountains) stand out as being evolutionarily distinct as a result of isolation in forest refugia. PD was lower than expected by chance, suggesting that the phylogenetic signal is influenced by an unusually low number of extant lineages with long branch lengths, which is probably due to the retention of palaeoendemic lineages.



Main conclusions  The biogeographic patterns associated with Kinyongia are the result of long evolutionary histories in isolation. The phylogeny is dominated by ancient lineages whose origins date back to the early Miocene/Oligocene as a result of continental wide forest fragmentation and contraction due to long term climatic changes in Africa. The maintenance of palaeoendemic lineages in refugia has contributed substantially to the remarkably high biodiversity of East Africa."
"Sequential fragmentation of Pleistocene forests in an East Africa biodiversity hotspot: chameleons as a model to track forest history","https://scispace.com/paper/sequential-fragmentation-of-pleistocene-forests-in-an-east-58uvqhpw2t","2011","Journal Article","PLOS ONE","G. John Measey
Krystal A. Tolley","10.1371/JOURNAL.PONE.0026606","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0026606&type=printable","… To investigate forest biogeography on a fine scale, we focus on intraspecific gene-flow of the two-horned chameleon, Kinyongia boehmei endemic to the Taita Hills complex of the EAM. …","Background: The Eastern Arc Mountains (EAM) is an example of naturally fragmented tropical forests, which contain one of the highest known concentrations of endemic plants and vertebrates. Numerous paleo-climatic studies have not provided direct evidence for ancient presence of Pleistocene forests, particularly in the regions in which savannah presently occurs. Knowledge of the last period when forests connected EAM would provide a sound basis for hypothesis testing of vicariance and dispersal models of speciation. Dated phylogenies have revealed complex patterns throughout EAM, so we investigated divergence times of forest fauna on four montane isolates in close proximity to determine whether forest break-up was most likely to have been simultaneous or sequential, using population genetics of a forest restricted arboreal chameleon, Kinyongia boehmei. Methodology/Principal Findings: We used mitochondrial and nuclear genetic sequence data and mutation rates from a fossil-calibrated phylogeny to estimate divergence times between montane isolates using a coalescent approach. We found that chameleons on all mountains are most likely to have diverged sequentially within the Pleistocene from 0.93–0.59 Ma (95% HPD 0.22–1.84 Ma). In addition, post-hoc tests on chameleons on the largest montane isolate suggest a population expansion ,182 Ka. Conclusions/Significance: Sequential divergence is most likely to have occurred after the last of three wet periods within the arid Plio-Pleistocene era, but was not correlated with inter-montane distance. We speculate that forest connection persisted due to riparian corridors regardless of proximity, highlighting their importance in the region’s historic dispersal events. The population expansion coincides with nearby volcanic activity, which may also explain the relative paucity of the Taita’s endemic fauna. Our study shows that forest chameleons are an apposite group to track forest fragmentation, with the inference that forest extended between some EAM during the Pleistocene 1.1–0.9 Ma."
"Climate cycles, habitat stability, and lineage diversification in an African biodiversity hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","https://scispace.com/pdf/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r.pdf","… from a refugium across the Eastern Arc in the Pleistocene. In general, the lack of evidence for the expansion of paleoendemic lineages out of refugia in the Eastern Arc may suggest that …","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands."
"Modelling potential Pleistocene habitat corridors between Afromontane forest regions","https://scispace.com/paper/modelling-potential-pleistocene-habitat-corridors-between-1exa36vi4c","2021","Journal Article","Biodiversity and Conservation","Kaitlin E. Allen
Walter P. Tapondjou
Benedictus Freeman
Jacob C. Cooper
Rafe M. Brown
A. Townsend Peterson","10.1007/S10531-021-02198-4","https://www.researchgate.net/profile/Andrew-Peterson-11/publication/351887904_Modelling_potential_Pleistocene_habitat_corridors_between_Afromontane_forest_regions/links/61dcb6e53a192d2c8af130d7/Modelling-potential-Pleistocene-habitat-corridors-between-Afromontane-forest-regions.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail","… and East Africa for … biogeography of the African continent historically has identified three potential routes for biotic exchange among Afromontane forest regions during the Pleistocene …","The unusually high floral and faunal similarity between the different regions of the Afromontane archipelago has been noted by biogeographers since the late 1800s. A possible explanation for this similarity is the spread of montane habitat into the intervening lowlands during the glacial periods of the Pleistocene, allowing biotic exchange between mountain ranges. In this study, we sought to infer the existence and most likely positions of these potential habitat corridors. We focused on sixteen Afromontane endemic tree, shrub, and bird species in the Cameroon Volcanic Line, East African Rift and Great Escarpment. Species were chosen based on distribution above 1200–1500 m in at least two of the major Afromontane regions. Ecological niche models were developed for each species in the present and projected to the mid-Holocene and the last glacial maximum (LGM). Models were thresholded to create binary maps of presence/absence and then summed across taxa to estimate potential LGM and mid-Holocene distributions. We found widespread climatic suitability for our montane taxa throughout the lowlands of Central Africa during the LGM, connecting all regions of the Afromontane archipelago except the Ethiopian Highlands and the Dahomey Gap. During the mid-Holocene, we noted more limited climatic suitability for fewer species in lowland areas. Although we set out to test predictions derived from alternatively hypothesized corridors, we instead found widespread climatic suitability connecting Afromontane regions across the entire Congo Basin for all species."
"Biogeography and ecology of miombo woodlands","https://scispace.com/paper/biogeography-and-ecology-of-miombo-woodlands-vk61q0do7i","2020","Book Chapter","","Natasha Ribeiro
Pedro L. Silva de Miranda
Jonathan Timberlake","10.1007/978-3-030-50104-4_2","","… Apart from climate, soils in the miombo woodlands are also influenced by topographical features, vegetation types, lithology and land use; and these may influence spatial and temporal …","The miombo woodlands form the largest dry forest ecosystem both worldwide and in southern Africa. They have existed since the Tertiary Period following major climatic and topographic changes which shrank the closed evergreen forests. We describe miombo distribution according to the ecological importance of Brachystegia and Julbernardia, the two main genera, and according to the abundance of the main plant species. Analyses indicate that the woodlands cover nearly 2 million km2. The ecology of the woodlands is driven by climate, soils and disturbances, but given the extent of woodland cover change, the variability in structure and composition across the region is enormous and not always directly related to the determinants. This landscape variability is important for miombo conservation and management. Continued active research is essential to increase knowledge in the current global changing context."
"Conserving biodiversity in East African forests: a study of the Eastern Arc Mountains","https://scispace.com/paper/conserving-biodiversity-in-east-african-forests-a-study-of-da60yb81yp","2001","Book","","William D. Newmark","","","… conducted field research in the Eastern Arc Mountains. However, what is striking to many observers is the incompleteness of our knowledge about the biogeography of most taxa and …","Tanzania is one of the most biologically diverse nations in the world. Traveling from west to east across Tanzania, one encounters an incredible array of ecosystems and species. Beginning at Lakes Victoria, Tanganyika, and Nyasa that form much of the western boundary of Tanzania, one finds the most diverse and some of the most spectacular concentrations of endemic fish in any of the world's lakes. Moving further inland from the lakes, one meets the woodlands and plains of Serengeti, Ngorongoro, Tarangire, and Lake"
