"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Hidden in the Dark: A Review of Galagid Systematics and Phylogenetics","https://scispace.com/paper/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","2024","","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://scispace.com/records/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","1. Origins and biogeography of the galagids:
 For example, speciation events within both greater (Otolemur ssp.) and lesser (Galago spp.) species seem to be associated with the expansion of more arid savanna-like environments in the Early-Middle Pleistocene , whereas the diversification of eastern dwarf galagos (Paragalago zanzibaricus species complex) seems to be linked with forest contraction and expansion during the Middle Miocene .

2. Eastern dwarf galagos (Paragalago -Masters et al., 2017):
 In 1979, Olson recognized only two species of dwarf galago in eastern Africa (Galagoides demidoff and ""Galagoides"" zanzibaricus). Their taxonomy has been extensively revised over the past 20 years, particularly since the incorporation of acoustic communication data.

3. Introduction:
 Similarly, the integration of morphological, acoustic, genetic, and biogeographical data has resulted in the description of a new genus, Paragalago, for the eastern species of dwarf galagos . Despite recent work, a firm understanding of galagid systematics is likely hindered by substantial cryptic diversity .","An accurate representation of species diversity is critical in primatology; most of the questions in evolutionary biology, ecology, and conservation hinge on species as a fundamental unit of analysis. Galagos are among the least-known primates. Because of their cryptic morphology, broad distribution, and sampling challenges arising from elusive habits and political instability, substantial knowledge gaps about their taxonomy, evolutionary history, and biogeography remain. Despite these limitations, recent research that integrated field surveys, acoustic, morphological, and genetic analyses helped us to better understand the taxonomic diversity of this primate group. In this paper, we (1) review the current status of galagid taxonomy; (2) synthesize our current understanding of their phylogenetics, origins, and biogeography; and (3) explore current and future approaches to elucidate galagid cryptic species diversity. The onset of galago systematics dates back to the early 19th century, with taxonomic descriptions following natural history expeditions and comparative anatomy studies. Although morphology has historically dominated systematic research on galagos, the coupling of acoustic analyses with genetic data has revolutionized the field. Taxonomic rearrangements include the discovery of new species in the wild (e.g., Galagoides kumbirensis) and the description of a new genus (Paragalago). Technological advances have allowed the collection of acoustic data in remote areas, and molecular techniques have the potential to help researchers fill important geographic gaps. Improving the resolution of galago species diversity also has implications for the conservation of wild populations, as a better understanding of species boundaries and ranges can aid in the implementation of conservation strategies."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-wiwdh4b7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-wiwdh4b7","1. Abstract:
 Relatively little is k n o h about the galagos (Ptimates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa.

2. I:
 of galagos have contributed to an overview of mammal diversity in East African ts .

3. 77).:
 This galago of uncertain taxonomic status  appears to have a distribution that is limited to areas of southeastern Tanzania ;","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex","https://scispace.com/paper/pozzi-et-al-2020-cryptic-diversity-and-species-boundaries-4ase77fu","2020","","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/j.ympev.2020.106887","https://scispace.com/records/pozzi-et-al-2020-cryptic-diversity-and-species-boundaries-4ase77fu","1. Abstract:
 The recently described genus Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. Species diversity within this genus has been mainly described using species-specific differences in their loud calls.

2. Introduction:
 Additionally, dwarf galagos-once clustered in a single genus-were recognized as two distinct polyphyletic clades, the western (Galagoides) and the eastern dwarf galagos (Paragalago; . Currently, the genus Paragalago includes six species: the rondo dwarf galago (P. rondoensis), the mountain dwarf galago (P. orinus), the Malawi dwarf galago (P.

3. Introduction:
 Dwarf galagos are among the most morphologically cryptic of all the primates and growing evidence indicates that species diversity in this group is much higher than previously thought. Based on morphological and bioacoustical data,  recently described a new species of dwarf galagos from Angola, Galagoides kumbirensis.","The recently described genus Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. Species diversity within this genus has been mainly described using species-specific differences in their loud calls. However, molecular data are still lacking for this group and species boundaries remain unclear. In this study, we explore species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods. Our results consistently support the existence of three independent lineages, P. cocos, P. zanzibaricus, and P. granti, confirming previous hypotheses based on vocal data. We conclude that these three lineages represent valid cryptic species and we hypothesize that speciation within this complex was characterized by cycles of forest expansion and contraction in the Plio-Pleistocene."
"Identification, distribution, and taxonomy of three populations of galagos (Primates, Galagidae) in Malawi","https://scispace.com/paper/j-karlsson-galago-malawi-ssb-application-21-march-2007-et00k377","2007","","","Johan Karlsson","","https://scispace.com/records/j-karlsson-galago-malawi-ssb-application-21-march-2007-et00k377","1. Abstract:
 The information that is gathered will serve as baseline data for a PhDproject commencing during the winter 20078, on the phylogeny and biogeography of galagos in the southern regions of the Eastern Afromontane Biodiversity Hotspot ).","The objectives of this study are: 1. To establish a preliminary taxonomic rank of three of the most isolated and esoteric populations of galagos (bushbabies) (Primates, Galagidae) of the genus Galagoides in Africa: (Malawi galago, G. nyasae; Kalwe small galago, G. sp. nov. 1; Misuku Hills galago, G. sp.), based on their vocal repertoire. 2. To investigate the ecological requirements of these populations. 3. To estimate local population density and distribution with each type locality. 4. To initiate biogeographic mapping of the inhabited forest patches using Geographic Information System (GIS) models. The information that is gathered will serve as baseline data for a PhD-project commencing during the winter 2007-8, on the phylogeny and biogeography of galagos in the southern regions of the Eastern Afromontane Biodiversity Hotspot (Brooks et al. 2007)."
"Identification, distribution, and taxonomy of three populations of galagos (Primates, Galagidae) in Malawi","https://scispace.com/paper/systematics-application-kadxcqp0","2007","","","Johan Karlsson","","https://scispace.com/records/systematics-application-kadxcqp0","1. Abstract:
 The information that is gathered will serve as baseline data for a PhDproject commencing during the winter 20078, on the phylogeny and biogeography of galagos in the southern regions of the Eastern Afromontane Biodiversity Hotspot ).",""
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1. Abstract:
 Relatively little is k n o h about the galagos (Ptimates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa.

2. I:
 of galagos have contributed to an overview of mammal diversity in East African ts .

3. 77).:
 This galago of uncertain taxonomic status  appears to have a distribution that is limited to areas of southeastern Tanzania ;","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"Application to the PRIMATE ACTION FUND for the research project: “Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""","https://scispace.com/paper/paf-karlson-fy10-agreement-4frn5wm9","2009","","PRIMATE ACTION FUND","Johan Karlsson","","https://scispace.com/records/paf-karlson-fy10-agreement-4frn5wm9","1. Summary:
 The findings from this project are expected to give strong indications on the taxonomic and ecological status of three, virtually unknown, populations of galagos.","African nocturnal primates of the family Galagidae (galagos) display species-specific sets of vocalizations that can contain up to 25 structurally distinct calls. This fact has been used to identify populations in the wild and has been especially effective when studying and the small (<200 grams) and elusive members of the Galagoides genera. There are currently 11 species of Galagoides recognized but the taxonomic rank of at least three is uncertain due to lack of behavioral and genetic data. Five Galagoides species can be found in Malawi, where of four are endemic: Malawi galago (Galagoides nyasae), Mt. Thyolo galago (G. sp. nov. 2), Kalwe small galago (Galagoides sp. nov. 1), and the Misuku Hills galago (Galagoides sp.), but their taxonomic rank is highly uncertain or undecided. The current conservation status of these three populations is tentative since the studies that identified them dates back 20 (Kalwe small and Misuku Hills galago) to 120 (Malawi galago) years, and no further field study has been carried out since. In the light of the described data deficiency, this study suggests a survey of the above described Galagoides species' type localities, to record each population's vocal repertoire, map their geographical distribution, local abundance, and establish their basic ecological preferences. The baseline data derived from this study will help to clarify the taxonomic status, the presence and abundance, the ecological requirements, and allow an up-to-date analysis of their conservation status. This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010."
"Application to the PRIMATE ACTION FUND for the research project: “Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""","https://scispace.com/paper/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","2009","","PRIMATE ACTION FUND","Johan Karlsson","","https://scispace.com/records/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","1. Summary:
 The findings from this project are expected to give strong indications on the taxonomic and ecological status of three, virtually unknown, populations of galagos.

2. Objectives:
 The objectives of this study are: A. To establish a preliminary taxonomic rank of three of the most isolated and esoteric populations of the nocturnal galagos The information that is gathered will serve as baseline data for a overarching genetic project planned for 2010 to establish a phylogeny based on DNA markers of dwarf galagos in the Eastern Afromontane Biodiversity Hotspot of Tanzania and Malawi.","African nocturnal primates of the family Galagidae (galagos) display species-specific sets of vocalizations that can contain up to 25 structurally distinct calls. This fact has been used to identify populations in the wild and has been especially effective when studying and the small (<200 grams) and elusive members of the Galagoides genera. There are currently 11 species of Galagoides recognized but the taxonomic rank of at least three is uncertain due to lack of behavioral and genetic data. Five Galagoides species can be found in Malawi, where of four are endemic: Malawi galago (Galagoides nyasae), Mt. Thyolo galago (G. sp. nov. 2), Kalwe small galago (Galagoides sp. nov. 1), and the Misuku Hills galago (Galagoides sp.), but their taxonomic rank is highly uncertain or undecided. The current conservation status of these three populations is tentative since the studies that identified them dates back 20 (Kalwe small and Misuku Hills galago) to 120 (Malawi galago) years, and no further field study has been carried out since. In the light of the described data deficiency, this study suggests a survey of the above described Galagoides species' type localities, to record each population's vocal repertoire, map their geographical distribution, local abundance, and establish their basic ecological preferences. The baseline data derived from this study will help to clarify the taxonomic status, the presence and abundance, the ecological requirements, and allow an up-to-date analysis of their conservation status. This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010."
"Identification, Abundance, and Behaviour of Galagos (Primates, Galagidae) in the Shire Highlands, Malawi","https://scispace.com/paper/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","2005","","","Graham Edward Wallace","","https://scispace.com/records/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","1. Abstract:
 Although galagos are extensively distributed across sub-Saharan Africa as a taxonomic group, many species are only partially described both in terms of and throughout their range.

2. BACKGROUND:
 Although galagos (Order Primates, Family Galagidae) are extensively distributed across sub-Saharan Africa as a taxonomic group, many species of galago continue to be only partially described both in terms of and throughout their range .

3. INTRODUCTION:
 Although assessment of taxonomic status is rarely a straightforward process across many primate genera , galago systematics continue to be particularly unclear and subject to ongoing revision .","Although galagos are extensively distributed across sub-Saharan Africa as a taxonomic group, many species are only partially described both in terms of and throughout their range. In particular, there is a lack of data for species occurring in the Shire Highlands of Malawi, and one form at Thyolo Mountain awaits description. The aims of the study where to address existing data deficiencies by (i) identifying and describing the species of galago occurring in Malawi's Shire Highlands, (ii) assessing their distribution and relative abundance, (iii) providing insights into their behaviour, and (iv) gathering information with regard to human impacts that impinge upon their current and future conservation status. Assessment of the inter-relationships between these factors is fundamental to ensuring the long-term viability of galago populations in the region. Vocalisation analysis, compilation of call profiles, descriptions of morphology, systematic surveys, behaviour observations, and assessments of substrate-use were completed to identify two species of galago in the Shire Highlands (Galagoides granti and Otolemur crassicaudatus), determine their distribution and relative abundance on the basis of encounter rates, construct activity budgets, and compile substrate-use profiles that reflect habitat preferences across the region. Vocal repertoires were compiled for each species, and preliminary information regarding human impacts and disturbance was acquired. The results of the study not only contribute to clarification of galago diversity but also provide valuable preliminary data fundamental to management and conservation of galagos across the Shire Highlands."
"Comparative penile morphology of East African galagos (Family Galagidae): Implications for taxonomy.","https://scispace.com/paper/comparative-penile-morphology-of-east-african-galagos-family-vpkvhper","","","","Andrew Perkin","","https://scispace.com/records/comparative-penile-morphology-of-east-african-galagos-family-vpkvhper","1. Introduction:
 The penile morphologies of 14 galago species have been described, including the East African dwarf galago species: G. zanzibaricus,  rondoensis . However, since this study there have been taxonomic changes affecting these species.","Recent studies on the comparative penile morphology of galagos have revealed complex patterns, which vary between both genera and species and can help with the identification and the classification of species. So far the penile morphologies of 14 galago species have been described and an identification key proposed. The present study extends and revises previous work. Wild Galagoides rondoensis, G. cocos, G. zanzibaricus and G. granti, from the Eastern Arc Mountains and coastal forests of Tanzania and Kenya, were live trapped and one species, G. orinus, was examined using museum specimens. Penile morphology was photographed, traced and described qualitatively. All of the mature males had penile spines. Spines were absent or indistinct on immature males in all species. The penile morphologies of G. cocos, G. zanzibaricus and G. granti are similar in the overall distribution and type of spines but differ in the shape of the glans penis. Both G. orinus and G. rondoensis have divergent penile morphologies compared to all other galagos and are probably phylogenetically distinct. The results support other recent morphological and behavioral studies that consider these five galagos to be distinct species. The evolution of the baculum and spines is thought to be linked to sexual selection in multi-male mating systems but the mechanisms involved are not entirely understood. Adult male G. rondoensis appear to display the penile spines by exposing the distal section of the penis. This may have implications for the hypothesis of cryptic mate choice by females in this species."
"Molecular phylogeny of East African dwarf galagos (Galagoides spp.)","https://scispace.com/paper/rwpgrantapplication-j-karlsson-2011-47gf2wi3","2011","","","Johan Karlsson","","https://scispace.com/records/rwpgrantapplication-j-karlsson-2011-47gf2wi3","1. 03/04/2011:
 Molecular phylogeny of East African dwarf galagos (Galagoides spp.)

2. Objective:
 As with many nocturnal animals, dwarf galagos have a cryptic morphology that confounds full understanding of their true species diversity.

3. Outcome:
 The implications of an extensive molecular study on dwarf galagos would help us to establish basic but mandatory information about how many species there are, and deepen our understanding of the evolutionary forces responsible for current species diversity.","Non-human primate species belong to a group of generally well studied mammals. One of the more pertinent exceptions is the rarely seen but often heard African nocturnal primate, the dwarf galago (genus Galagoides). As with many nocturnal animals, dwarf galagos have a cryptic morphology that confounds full understanding of their true species diversity. To fully quantify the extent of the taxonomic variety of the genus, it is necessary to conduct an assessment of the genetic diversity in an evolutionary perspective, i.e. create a genetically based phylogeny. However, current records of dwarf galago DNA are very patchy and are mostly derived from captive populations, leaving incomplete phylogenetic understanding. Differences between species are often hard to discern, especially when it comes to cryptic species such as dwarf galagos. Morphology and behavior cannot always be used to differentiate between species and cannot, with any high accuracy, reveal ancestral relationships between species. We therefore suggest a survey of specific localities in the Eastern Afromountain Biodiversity Hotspots of Tanzania, Kenya and Malawi to collect genetic material from all known and all presumptive dwarf galago species (table 1; see table 2 for timeline for fieldwork). The intent is to construct the most comprehensive phylogeny made to date over the genus Galagoides derived from genetic markers. We believe the results from this study will prove pivotal for future research and conservation prioritizing of dwarf galagos."
"Assessment of the Diversity of African Primates","https://scispace.com/paper/grubb-et-al-2003-assessment-of-the-diversity-of-african-lujudh7y","2003","","International Journal of Primatology","Peter Grubb
Thomas M. Butynski
John F. Oates
Simon K. Bearder
Todd R. Disotell
Colin P. Groves
Thomas T. Struhsaker","","https://scispace.com/records/grubb-et-al-2003-assessment-of-the-diversity-of-african-lujudh7y","1. GALAGOIDES ORINUS, G. ZANZIBARICUS, and G. GRANTI GROUPS:
 The small and dwarf galagos of eastern Africa (Galagoides orinus, G. zanzibaricus, and G. granti groups) are more diverse than previously thought. In Table  we integrate the information from vocalizations  and from morphology . Three of the 9 recognized species are still unnamed.","This account of the systematics of African primates is the consensus view of a group of authors who attended the Workshop of the IUCN/SSC Primate Specialist Group held at Orlando, Florida, in February 2000. We list all species and subspecies that we consider to be valid, together with a selected synonymy for all names that have been controversial in recent years or that have been considered to be valid by other authors in recent publications. For genera, species-groups or species, we tabulate and discuss different published systematic interpretations, with emphasis on more recent publications. We explain why we have adopted our taxonomic treatment and give particular attention to cases where more research is urgently required and in which systematic changes are most likely to be made. For all taxa, from suborder to subspecies, we provide English names."
"The Taxonomic Status and Distribution of Bushbabies (Primates, Galagidae) in the Uluguru Mountains","https://scispace.com/paper/perkin-the-taxonomic-status-and-distribution-of-bushbabies-fpq98yzx","","","","Andrew Perkin","","https://scispace.com/records/perkin-the-taxonomic-status-and-distribution-of-bushbabies-fpq98yzx","1. Galago taxonomy:
 The most recent study  using these new methods resulted in several changes in galago classification within the genus Galagoides that effect Tanzanian and East African 'dwarf galago' species (see Table ).

2. DISCUSSION:
 The taxonomic status of the species of Galagos in the Uluguru Mountains

3. Galago taxonomy:
 Thus isolated populations may develop divergent vocal and olfactory 'repertoires' that may ultimately become a barrier to successful breeding between the populations.","The consultant was asked to collate information on the Galagos (Bushbabies) in the forests of the Uluguru Mountains. Three galago species are known to occur in the Uluguru Mountain forests, the Mountain galago Galagoides orinus, the Matundu galago G. udzungwensis and the Small Eared Greater Galago or Garnett's galago Otolemur garnetti. Of these, the Mountain galago G. orinus, an Eastern Arc endemic species, is of particular interest because the type locality for this species is located near Bagilo village close to Uluguru North Forest Reserve. A brief taxonomic review and history of research on this species is presented. New developments in species recognition methods are outlined and were employed in the fieldwork. The results indicate that only G. orinus occurs in Uluguru North and South Forest Reserves. This is a very significant population for the conservation of this species with more than 23,000 individuals estimated to occur. The data support the taxonomic status G. orinus as a valid species. Two other galago species O. garnetti and G. udzungwensis were found to occur in the lowland forests surrounding the Uluguru Mountains. Maintenance of forest habitat, even secondary habitat, will ensure these species survival in the Uluguru Mountains. Of notable conservation importance is Mkungwe Forest Reserve which contains the largest area of good sub-montane forest outside the Uluguru Mountains."
"Identification, distribution, taxonomy, and conservation status of three populations of galagos (Primates, Galagidae) in Malawi.","https://scispace.com/paper/ptes-application-15-dec-2006-j-karlsson-u4tk4zi3","2006","","","Johan Karlsson","","https://scispace.com/records/ptes-application-15-dec-2006-j-karlsson-u4tk4zi3","1. Objectives:
 This information is closely linked to assessments of biodiversity, but is also vital for understanding galago ecology and habitat requirements, leading to a better understanding of the geographic range of each taxon and providing a basis for future conservation management plans.","Galagos (Primates, Galagidae) are small (150 – 2000 grams), nocturnal primates, that can be found over most parts of sub-Saharan Africa (Groves 2001; Grubb et al. 2003). While a few species are very widely distributed, most are confined to small and isolated regions and long term research is limited to only four countries (South Africa, Tanzania, Kenya, and Gabon - Nekaris & Bearder 2007; Grubb et al. 2003). The IUCN Red List (IUCN 2006) lists only 62.5% of the galago species that are now recognised (15 of 24 - Grubb et al. 2003) and two taxa (Galagoides sp. nov. 3 and G. rondoensis) are listed by the IUCN/SSC Primate Specialist Group among the Top 25 Most Endangered Primates (Mittermeier et al. 2006a, b). The lack of research on this group is, therefore, especially alarming. There is an urgent need to conduct more baseline and long-term research on cryptic species that are currently overlooked in relation to conservation protection programmes, and to widen the geographical coverage of such efforts.
Malawi is believed to have five species of galagos, of which two (Galagoides nyasae and G. sp. nov 1) are not listed in the IUCN Red List and one (Galagoides granti) is registered as Data Deficient (IUCN 2006). The only previous scientific studies of galagos in Malawi are two short term field studies (Courtenay & Bearder 1989; Wallace 2005) limited to very small geographical areas. With a current annual deforestation rate in Malawi at 3.5% (WWF 2006) it is clear that all forest species now face severe threats to their future existence. Establishment of a scientific baseline on the presence and abundance of key indicator species will enhance recognition of the problem and help to establish protection strategies for the most vulnerable and important of the remaining forest habitats."
